	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
24	24	aaleykusunda-KusundaK	kusu1250		above	1741	ABOVE		ɐ̃ː.ʤi	ɐ̃ː + dʒ i
30	30	abrahammonpa-HrusoAkaJamiri	hrus1242		above	1741	ABOVE		ʔodɹu	ʔ o d u
492	16643	hubercolumbian-Kamsa	cams1241		at	1461	AT		óka	o k a
500	16651	hubercolumbian-Paez	paez1247		at	1461	AT		n	n
501	16652	hubercolumbian-Paez	paez1247		at	1461	AT		na	n a
505	16656	hubercolumbian-Puinave	puin1248		at	1461	AT		ha	h a
506	16657	hubercolumbian-Puinave	puin1248		at	1461	AT		u	u
507	16658	hubercolumbian-Puinave	puin1248		at	1461	AT		i	i
637	16788	transnewguineaorg-kuot	kuot1243		at	1461	AT		na	n a
639	16790	transnewguineaorg-mbaniata	touo1238		at	1461	AT		teo	t e o
640	16791	transnewguineaorg-mbaniata	touo1238		at	1461	AT		mbua	m b u a
641	16792	transnewguineaorg-mbilua	bilu1245		at	1461	AT		uki	u k i
644	16795	transnewguineaorg-savosavo	savo1255		at	1461	AT		la	l a
710	16861	northeuralex-bsk	buru1296		atfirst	2915	AT FIRST		aˈwal	a w a l
731	16882	northeuralex-eus	basq1248		atfirst	2915	AT FIRST		ɑurena	ɑ u r e n a
732	16883	northeuralex-eus	basq1248		atfirst	2915	AT FIRST		lehenbisi	l e h e n b i s i
985	17136	northeuralex-bsk	buru1296		atthattime	2922	AT THAT TIME		ˈɛt̪olɔ	ɛ t̪ o l ɔ
1008	17159	northeuralex-eus	basq1248		atthattime	2922	AT THAT TIME		oɾduɑn	o ɾ d u ɑ n
1100	17251	abrahammonpa-HrusoAkaJamiri	hrus1242		aubergine	1146	AUBERGINE		khatʃo	kʰ a tʃ o
1294	17445	northeuralex-eus	basq1248		august	2851	AUGUST		abustu	a b u s t u
1443	17594	northeuralex-bsk	buru1296		aunt	1272	AUNT		ˈnana	n a n a
1462	17613	northeuralex-eus	basq1248		aunt	1272	AUNT		iseba	i s e b a
1720	17871	northeuralex-bsk	buru1296		autumn	1276	AUTUMN		d̪aˈt̪u	d̪ a t̪ u
1738	17889	northeuralex-eus	basq1248		autumn	1276	AUTUMN		udasken	u d a s k e n
1739	17890	northeuralex-eus	basq1248		autumn	1276	AUTUMN		neɡuɑnt͡s	n e g u ɑ n ts
2049	18200	abrahammonpa-HrusoAkaJamiri	hrus1242		axe	677	AXE		phodʒe	pʰ o dʒ e
2185	18336	hubercolumbian-Kamsa	cams1241		axe	677	AXE		tatɕnía	t a tɕ n i a
2193	18344	hubercolumbian-Paez	paez1247		axe	677	AXE		am	a m
2197	18348	hubercolumbian-Puinave	puin1248		axe	677	AXE		hi̵	h ɨ
2790	18941	hubercolumbian-Kamsa	cams1241		baby	1289	BABY		ɕeɕóna	ɕ e ɕ o n a
2791	18942	hubercolumbian-Kamsa	cams1241		baby	1289	BABY		ɕoɕóna	ɕ o ɕ o n a
2799	18950	hubercolumbian-Paez	paez1247		baby	1289	BABY		luuʧ leʔʧkwe	l uː tʃ + l e ʔ tʃ k w e
2805	18956	hubercolumbian-Puinave	puin1248		baby	1289	BABY		takət	t a k ə t
2955	19106	transnewguineaorg-fuyug	fuyu1242		baby	1289	BABY		esa	e s a
2966	19117	transnewguineaorg-kol	kolp1236		baby	1289	BABY		gol_tipa'teŋ	g o l + t i p a t e ŋ
2985	19136	transnewguineaorg-tauade	taua1242		baby	1289	BABY		epiřubaubi	e p i r̝ u b a u b i
3053	19204	abrahammonpa-HrusoAkaJamiri	hrus1242		back	1291	BACK		ʔə̆tʃəbo	ʔ ə̆ tʃ ə b o
3770	19921	hantganbangime-Bangime	bang1363		back	1291	BACK		ɡīìⁿ	g i ĩ
