	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
492	16643	hubercolumbian-Kamsa	cams1241		at	1461	AT		óka	o k a
500	16651	hubercolumbian-Paez	paez1247		at	1461	AT		n	n
501	16652	hubercolumbian-Paez	paez1247		at	1461	AT		na	n a
505	16656	hubercolumbian-Puinave	puin1248		at	1461	AT		ha	h a
506	16657	hubercolumbian-Puinave	puin1248		at	1461	AT		u	u
507	16658	hubercolumbian-Puinave	puin1248		at	1461	AT		i	i
637	16788	transnewguineaorg-kuot	kuot1243		at	1461	AT		na	n a
639	16790	transnewguineaorg-mbaniata	touo1238		at	1461	AT		teo	t e o
640	16791	transnewguineaorg-mbaniata	touo1238		at	1461	AT		mbua	m b u a
641	16792	transnewguineaorg-mbilua	bilu1245		at	1461	AT		uki	u k i
644	16795	transnewguineaorg-savosavo	savo1255		at	1461	AT		la	l a
3053	19204	abrahammonpa-HrusoAkaJamiri	hrus1242		back	1291	BACK		ʔə̆tʃəbo	ʔ ə̆ tʃ ə b o
3770	19921	hantganbangime-Bangime	bang1363		back	1291	BACK		ɡīìⁿ	g i ĩ
3820	19971	hubercolumbian-Kamsa	cams1241		back	1291	BACK		sti̵tɕáxa	s t ɨ tɕ a x a
3829	19980	hubercolumbian-Paez	paez1247		back	1291	BACK		tsiz	ts i z
3833	19984	hubercolumbian-Puinave	puin1248		back	1291	BACK		tum	t u m
3864	20015	johanssonsoundsymbolic-Alsea	alse1251		back	1291	BACK		axa	a x a
3868	20019	johanssonsoundsymbolic-Atakapa	atak1252		back	1291	BACK		hal	h a l
3877	20028	johanssonsoundsymbolic-Berta	bert1248		back	1291	BACK		gundi	g u n d i
3879	20030	johanssonsoundsymbolic-CandoshiShapra	cand1248		back	1291	BACK		kooʃitʃ	k oː ʃ i tʃ
3881	20032	johanssonsoundsymbolic-Cayuvava	cayu1262		back	1291	BACK		tɔkɔ	t ɔ k ɔ
