	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9099	25250	northeuralex-abk	abkh1244		bark	1204	BARK		ɑt͡sʰəɑ	ɑ tsʰ ə ɑ
9100	25251	northeuralex-ady	adyg1241		bark	1204	BARK		pχaːˈʂʷa	p χ aː ʂʷ a
23114	39265	northeuralex-abk	abkh1244		belly	1251	BELLY		ɑmɡəɑ	ɑ m g ə ɑ
23115	39266	northeuralex-ady	adyg1241		belly	1251	BELLY		nəˈba	n ə b a
28071	44222	joophonosemantic-Kabardian	kaba1278		big	1202	BIG		i.n	i n
28264	44415	northeuralex-abk	abkh1244		big	1202	BIG		ɑdu	ɑ d u
28265	44416	northeuralex-ady	adyg1241		big	1202	BIG		jəˈnə	j ə n ə
30442	46593	joophonosemantic-Kabardian	kaba1278		bird	937	BIRD		qʷ.a.l.ə.b.z.w	qʷ a l ə b z w
30601	46752	northeuralex-abk	abkh1244		bird	937	BIRD		ɑpʰsɑːtʼə	ɑ pʰ s ɑː tʼ ə
30602	46753	northeuralex-ady	adyg1241		bird	937	BIRD		bˈzəwə	b z ə w ə
32802	48953	joophonosemantic-Kabardian	kaba1278		bite	1403	BITE		dz.ə.q	dz ə q
32937	49088	northeuralex-abk	abkh1244		bite	1403	BITE		ɑt͡sʰħɑrɑ	ɑ tsʰ ħ ɑ r ɑ
32938	49089	northeuralex-ady	adyg1241		bite	1403	BITE		jat͡saˈqan	j a ts a q a n
35416	51567	joophonosemantic-Kabardian	kaba1278		black	163	BLACK		fˀ.i.tsˀ.ə	fˀ i tsˀ ə
35564	51715	northeuralex-abk	abkh1244		black	163	BLACK		ɑikʰuɑt͡sʼʷɑ	ɑ i kʰ u ɑ tsʼʷ ɑ
35565	51716	northeuralex-ady	adyg1241		black	163	BLACK		ʃʷʼt͡sʼa	ʃʼʷ tsʼ a
38830	54981	joophonosemantic-Kabardian	kaba1278		blood	946	BLOOD		ɮ.i	ɮ i
38978	55129	northeuralex-abk	abkh1244		blood	946	BLOOD		ɑʃɑ	ɑ ʃ ɑ
38979	55130	northeuralex-ady	adyg1241		blood	946	BLOOD		ɬə	ɬ ə
47050	63201	joophonosemantic-Kabardian	kaba1278		bone	1394	BONE		qʷ.p.ɕ.ħ.ə	qʷ p ɕ ħ ə
47201	63352	northeuralex-abk	abkh1244		bone	1394	BONE		ábɑɥ	á b ɑ ɥ
47202	63353	northeuralex-ady	adyg1241		bone	1394	BONE		qʷəpʂˈħa	qʷ ə p ʂ ħ a
57135	73288	joophonosemantic-Kabardian	kaba1278		breast	1402	BREAST		b.ʁ.ə	b ʁ ə
57261	73414	northeuralex-abk	abkh1244		breast	1402	BREAST		ɑɡəɨpʰħəɨ	ɑ g ə ɨ pʰ ħ ə ɨ
57262	73415	northeuralex-ady	adyg1241		breast	1402	BREAST		bˈʁa	b ʁ a
87025	103178	northeuralex-abk	abkh1244		claw	72	CLAW		ɑʃɑpʼχɨt͡sʰ	ɑ ʃ ɑ pʼ χ ɨ tsʰ
87026	103179	northeuralex-ady	adyg1241		claw	72	CLAW		ɬabˈʐaːn	ɬ a b ʐ aː n
91880	108033	northeuralex-abk	abkh1244		cloud	1489	CLOUD		ɑpʰstʰħəɑ	ɑ pʰ s tʰ ħ ə ɑ
91881	108034	northeuralex-ady	adyg1241		cloud	1489	CLOUD		waʂʷaːpɕa	w a ʂʷ aː p ɕ a
95474	111627	northeuralex-abk	abkh1244		cold	1287	COLD		ɑχʲʂəɑʂəɑ	ɑ χʲ ʂ ə ɑ ʂ ə ɑ
95475	111628	northeuralex-ady	adyg1241		cold	1287	COLD		t͡ɕəˈʔa	tɕ ə ʔ a
98993	115146	joophonosemantic-Kabardian	kaba1278		come	1446	COME		q.ə.kˀʷ.ə	q ə kʷˀ ə
99143	115296	northeuralex-abk	abkh1244		come	1446	COME		ɑːrɑ	ɑː r ɑ
99144	115297	northeuralex-abk	abkh1244		come	1446	COME		ɑːirɑ	ɑː i r ɑ
99145	115298	northeuralex-ady	adyg1241		come	1446	COME		qakʼ̈wan	q a kʼ w a n
127353	143508	northeuralex-abk	abkh1244		die	1494	DIE		ɑpʰsrɑ	ɑ pʰ s r ɑ
127354	143509	northeuralex-ady	adyg1241		die	1494	DIE		ɬʼan	ɬʼ a n
135766	151921	joophonosemantic-Kabardian	kaba1278		dog	2009	DOG		ħ.ə	ħ ə
135917	152072	northeuralex-abk	abkh1244		dog	2009	DOG		ɑlɑ	ɑ l ɑ
135918	152073	northeuralex-ady	adyg1241		dog	2009	DOG		bʲa	bʲ a
142234	158389	joophonosemantic-Kabardian	kaba1278		drink	1401	DRINK		j.ə.f	j ə f
142378	158533	northeuralex-abk	abkh1244		drink	1401	DRINK		ɑʐərɑ	ɑ ʐ ə r ɑ
142379	158534	northeuralex-ady	adyg1241		drink	1401	DRINK		jaˈʂʷan	j a ʂʷ a n
145940	162095	northeuralex-abk	abkh1244		dry	1398	DRY		ɑbɑ	ɑ b ɑ
145941	162096	northeuralex-abk	abkh1244		dry	1398	DRY		ɑɥɑ	ɑ ɥ ɑ
145942	162097	northeuralex-ady	adyg1241		dry	1398	DRY		ʁʷəʂ	ʁʷ ə ʂ
145943	162098	northeuralex-ady	adyg1241		dry	1398	DRY		t͡ɕapχəʁ	tɕ a p χ ə ʁ
151311	167466	joophonosemantic-Kabardian	kaba1278		ear	1247	EAR		t.ħ.ə.kˀʷ.m.ə	t ħ ə kʷˀ m ə
151466	167621	northeuralex-abk	abkh1244		ear	1247	EAR		ɑlɨmħɑ	ɑ l ɨ m ħ ɑ
151467	167622	northeuralex-ady	adyg1241		ear	1247	EAR		tħaːkʷʼ́m	t ħ aː kʼʷ m
154227	170382	joophonosemantic-Kabardian	kaba1278		earthsoil	1228	EARTH (SOIL)		ɕˀ.i.ɡʷ.ɮ	ɕˀ i gʷ ɮ
154284	170439	northeuralex-abk	abkh1244		earthsoil	1228	EARTH (SOIL)		ɑdɡʲil	ɑ d gʲ i l
154285	170440	northeuralex-ady	adyg1241		earthsoil	1228	EARTH (SOIL)		t͡ʃʼ́əɡʷə	tʃʼ ə gʷ ə
156836	172991	joophonosemantic-Kabardian	kaba1278		eat	1336	EAT		ʃ.x	ʃ x
156997	173152	northeuralex-abk	abkh1244		eat	1336	EAT		ɑkʼrɨfɑrɑ	ɑ kʼ r ɨ f ɑ r ɑ
156998	173153	northeuralex-ady	adyg1241		eat	1336	EAT		ʃxən	ʃ x ə n
159133	175291	joophonosemantic-Kabardian	kaba1278		egg	744	EGG		dʒ.ə.d.i.tʃ.ə	dʒ ə d i tʃ ə
159279	175437	northeuralex-abk	abkh1244		egg	744	EGG		ɑkʼətʼɑʁʲ	ɑ kʼ ə tʼ ɑ ʁʲ
159280	175438	northeuralex-ady	adyg1241		egg	744	EGG		kʼanˈkʼa	kʼ a n kʼ a
169716	185874	joophonosemantic-Kabardian	kaba1278		eye	1248	EYE		n.ə	n ə
169865	186023	northeuralex-abk	abkh1244		eye	1248	EYE		ɑlɑ	ɑ l ɑ
169866	186024	northeuralex-ady	adyg1241		eye	1248	EYE		na	n a
182222	198382	northeuralex-abk	abkh1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɑʂʂɑ	ɑ ʂ ʂ ɑ
182223	198383	northeuralex-ady	adyg1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		daːˈʁa	d aː ʁ a
185106	201266	northeuralex-abk	abkh1244		feather	1201	FEATHER		ɑχd͡zɨ	ɑ χ dz ɨ
185107	201267	northeuralex-ady	adyg1241		feather	1201	FEATHER		qaːmˈʔəj	q aː m ʔ ə j
187203	219856	joophonosemantic-Kabardian	kaba1278		fleshormeat	2615	FLESH OR MEAT		ɮ.i	ɮ i
193016	225669	northeuralex-abk	abkh1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɑpʰɨrrɑ	ɑ pʰ ɨ r r ɑ
193017	225670	northeuralex-ady	adyg1241		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		bəˈbən	b ə b ə n
196397	229050	northeuralex-abk	abkh1244		foot	1301	FOOT		ɑʃɑpʼsɨrɡəɨt͡sʼɑ	ɑ ʃ ɑ pʼ s ɨ r g ə ɨ tsʼ ɑ
196398	229051	northeuralex-ady	adyg1241		foot	1301	FOOT		ɬaɡʷə	ɬ a gʷ ə
209465	242118	northeuralex-abk	abkh1244		full	1429	FULL		ɑznɑ	ɑ z n ɑ
209466	242119	northeuralex-ady	adyg1241		full	1429	FULL		jəz	j ə z
209467	242120	northeuralex-ady	adyg1241		full	1429	FULL		jəzəbz	j ə z ə b z
214743	247396	joophonosemantic-Kabardian	kaba1278		give	1447	GIVE		t.i	t i
214890	247543	northeuralex-abk	abkh1244		give	1447	GIVE		ɑtʰɑrɑ	ɑ tʰ ɑ r ɑ
214891	247544	northeuralex-ady	adyg1241		give	1447	GIVE		jaˈtən	j a t ə n
220872	253528	joophonosemantic-Kabardian	kaba1278		good	1035	GOOD		fˀ.i	fˀ i
221031	253687	northeuralex-abk	abkh1244		good	1035	GOOD		ɑbziɑ	ɑ b z i ɑ
221032	253688	northeuralex-ady	adyg1241		good	1035	GOOD		daʁʷ́	d a ʁʷ
228764	261420	northeuralex-abk	abkh1244		green	1425	GREEN		ɑʃɑt͡sʰpʰʂtʰəɑlɑ	ɑ ʃ ɑ tsʰ pʰ ʂ tʰ ə ɑ l ɑ
228765	261421	northeuralex-abk	abkh1244		green	1425	GREEN		ɑɛt͡sʼəɑ	ɑ ɛ tsʼ ə ɑ
228766	261422	northeuralex-ady	adyg1241		green	1425	GREEN		ʃχʷaːntʼa	ʃ χʷ aː n tʼ a
234672	267328	joophonosemantic-Kabardian	kaba1278		hair	1040	HAIR		ɕ.ħ.ə.ts	ɕ ħ ə ts
234768	267424	northeuralex-abk	abkh1244		hair	1040	HAIR		ɑχəɨt͡sʰ	ɑ χ ə ɨ tsʰ
234769	267425	northeuralex-ady	adyg1241		hair	1040	HAIR		ʂħaːˈt͡sə	ʂ ħ aː ts ə
238607	271263	northeuralex-abk	abkh1244		hand	1277	HAND		ɑnɑpʼɨ	ɑ n ɑ pʼ ɨ
238608	271264	northeuralex-ady	adyg1241		hand	1277	HAND		atħat͡sʷə	a t ħ a tsʷ ə
244225	276882	northeuralex-abk	abkh1244		head	1256	HEAD		ɑχɨ	ɑ χ ɨ
244226	276883	northeuralex-ady	adyg1241		head	1256	HEAD		ʂˈħa	ʂ ħ a
247000	279657	joophonosemantic-Kabardian	kaba1278		hear	1408	HEAR		z.ə.x.ə.x	z ə x ə x
247156	279813	northeuralex-abk	abkh1244		hear	1408	HEAR		ɑħɑrɑ	ɑ ħ ɑ r ɑ
247157	279814	northeuralex-ady	adyg1241		hear	1408	HEAR		zaxaxən	z a x a x ə n
248740	281397	northeuralex-abk	abkh1244		heart	1223	HEART		ɑɡəɨ	ɑ g ə ɨ
248741	281398	northeuralex-ady	adyg1241		heart	1223	HEART		ɡʷə	gʷ ə
263448	296108	joophonosemantic-Kabardian	kaba1278		hornanatomy	1393	HORN (ANATOMY)		b.ʑ.ə	b ʑ ə
263583	296243	northeuralex-abk	abkh1244		hornanatomy	1393	HORN (ANATOMY)		ɑtʼəɨɥɑ	ɑ tʼ ə ɨ ɥ ɑ
263584	296244	northeuralex-ady	adyg1241		hornanatomy	1393	HORN (ANATOMY)		bʐa	b ʐ a
274822	307482	joophonosemantic-Kabardian	kaba1278		i	1209	I		s.ə	s ə
274903	307563	northeuralex-abk	abkh1244		i	1209	I		sɑ	s ɑ
