	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
618	16769	servamalagasy-BaraIhosy	bara1395		at	1461	AT		agny	a ŋ i
658	16809	wold-Gawwada	gaww1239		at	1461	AT		=ma	m a
660	16811	wold-Hausa	haus1257		at	1461	AT		à	a
686	16837	wold-TarifiytBerber	tari1263		at	1461	AT		ɣā	ɣ aː
702	16853	northeuralex-arb	stan1318		atfirst	2915	AT FIRST		awalaan	a w a l a a n
742	16893	northeuralex-heb	hebr1245		atfirst	2915	AT FIRST		kodɛm	k o d ɛ m
845	16996	kraftchadic-Angas	ngas1240		atop	57	ATOP		kàke	k a k e
846	16997	kraftchadic-Ankwe	goem1240		atop	57	ATOP		kâ	k a
847	16998	kraftchadic-Bacama	baca1246		atop	57	ATOP		àno tɛybùlto	a n o + t ɛ j b u l t o
848	16999	kraftchadic-Bade	bade1248		atop	57	ATOP		àɗán	a ɗ a n
849	17000	kraftchadic-Bananamouseye	muse1242		atop	57	ATOP		kayami	k a j a m i
850	17001	kraftchadic-Boka	boga1251		atop	57	ATOP		aɗə̀rki̵n	a ɗ ə r k ɨ n
851	17002	kraftchadic-Bolewa	nucl1695		atop	57	ATOP		gàkuki	g a k u k i
852	17003	kraftchadic-Bura	bura1292		atop	57	ATOP		atà	a t a
853	17004	kraftchadic-Burma	bogh1241		atop	57	ATOP		rəttì	r ə t t i
854	17005	kraftchadic-Cibak	ciba1236		atop	57	ATOP		àtà kur̃	a t a + k u r̃
855	17006	kraftchadic-Cip	mish1244		atop	57	ATOP		nkǎ	n k a
856	17007	kraftchadic-Daba	nucl1683		atop	57	ATOP		àtə̀ləŋ	a t ə l ə ŋ
857	17008	kraftchadic-Dera	dera1248		atop	57	ATOP		kò	k o
858	17009	kraftchadic-Dera	dera1248		atop	57	ATOP		kweyi	k w e j i
859	17010	kraftchadic-Dera	dera1248		atop	57	ATOP		akai	a k a i
860	17011	kraftchadic-Dira	diri1259		atop	57	ATOP		dὲn gàmi	d ɛ n + g a m i
861	17012	kraftchadic-Dwot	dass1243		atop	57	ATOP		ˀàgə̀m	ʔ a g ə m
862	17013	kraftchadic-Faligili	bana1305		atop	57	ATOP		kùnà	k u n a
863	17014	kraftchadic-Falijilbu	zizi1238		atop	57	ATOP		vɩ̂n tìŋgù	v ɨ n + t i ŋ g u
864	17015	kraftchadic-Falikiria	kiry1234		atop	57	ATOP		tùɣùnə̌ŋ	t u ɣ u n ə ŋ
865	17016	kraftchadic-Falimucella	gude1246		atop	57	ATOP		ʔɛ̂n	ʔ ɛ n
866	17017	kraftchadic-Faliwagira	fali1285		atop	57	ATOP		gr̃əftusɩn	g r̃ ə f t u s ɪ n
867	17018	kraftchadic-Gabin	gaan1243		atop	57	ATOP		à inən	a + i n ə n
868	17019	kraftchadic-Gava	gudu1252		atop	57	ATOP		ǹtu gùr̃à	n t u + g u r̃ a
869	17020	kraftchadic-Geji	geji1246		atop	57	ATOP		à dənì	a + d ə n i
870	17021	kraftchadic-Gera	gera1246		atop	57	ATOP		àkəɗəy	a k ə ɗ ə j
871	17022	kraftchadic-Glvda	glav1244		atop	57	ATOP		tὺɣὺrà	t ʊ ɣ ʊ r a
872	17023	kraftchadic-Gudu	gudu1250		atop	57	ATOP		gùíːnà	g u iː n a
873	17024	kraftchadic-Higighye	hyaa1239		atop	57	ATOP		tɩxə̀y	t ɪ x ə j
874	17025	kraftchadic-Higikamale	psik1239		atop	57	ATOP		kunəy	k u n ə j
875	17026	kraftchadic-Higinkafa	kamw1239		atop	57	ATOP		tὲ	t ɛ
876	17027	kraftchadic-Higinkafa	kamw1239		atop	57	ATOP		mὲ	m ɛ
877	17028	kraftchadic-Hildi	marg1266		atop	57	ATOP		àdar̃ ki̵ranyi	a d a r̃ + k ɨ r a n j i
878	17029	kraftchadic-Hwona	hwan1240		atop	57	ATOP		àtεŋgì̵n	a t ɛ ŋ g ɨ n
881	17032	kraftchadic-Karekare	kare1348		atop	57	ATOP		na kàyî	n a + k a j i
882	17033	kraftchadic-Kilba	huba1236		atop	57	ATOP		átǜkέř	a t y k ɛ ɽ
884	17035	kraftchadic-Lamepeve	peve1243		atop	57	ATOP		wa	w a
885	17036	kraftchadic-Mandara	wand1278		atop	57	ATOP		ʔatirè	ʔ a t i r e
886	17037	kraftchadic-Margi	marg1265		atop	57	ATOP		àdar̃	a d a r̃
887	17038	kraftchadic-Massa	masa1322		atop	57	ATOP		kai	k a i
888	17039	kraftchadic-Matakam	mafa1239		atop	57	ATOP		nagideʔa	n a g i d e ʔ a
889	17040	kraftchadic-Mismezime	mesm1239		atop	57	ATOP		watouko	w a t o u k o
890	17041	kraftchadic-Miya	miya1266		atop	57	ATOP		âm	a m
891	17042	kraftchadic-Mwulyen	bata1314		atop	57	ATOP		áhùnògún	a h u n o g u n
892	17043	kraftchadic-Nakatsa	cine1238		atop	57	ATOP		taɣara	t a ɣ a r a
893	17044	kraftchadic-Ngamo	ngam1282		atop	57	ATOP		ʔàkənnì	ʔ a k ə n n i
894	17045	kraftchadic-Ngizim	ngiz1242		atop	57	ATOP		duskùgu	d u s k u g u
895	17046	kraftchadic-Ngwaxi	nggw1242		atop	57	ATOP		àti̵kɩr̃	a t ɨ k ɪ r̃
896	17047	kraftchadic-Njanye	nzan1240		atop	57	ATOP		akì̵ràgi̵n	a k ɨ r a g ɨ n
897	17048	kraftchadic-Pero	pero1241		atop	57	ATOP		takwì	t a k w i
898	17049	kraftchadic-Piimdi	tera1251		atop	57	ATOP		ajinεn	a dʒ i n ɛ n
899	17050	kraftchadic-Plci	polc1243		atop	57	ATOP		dənì	d ə n i
900	17051	kraftchadic-Seya	saya1246		atop	57	ATOP		ˀadὺl	ʔ a d ʊ l
901	17052	kraftchadic-Sura	mwag1236		atop	57	ATOP		ŋ̀ka	ŋ k a
902	17053	kraftchadic-Tangale	nucl1696		atop	57	ATOP		kwi	k w i
