	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8980	25131	kraftchadic-Angas	ngas1240		bark	1204	BARK		fop ndarm	f o p + n d a r m
8981	25132	kraftchadic-Ankwe	goem1240		bark	1204	BARK		šarəm	ʃ a r ə m
8982	25133	kraftchadic-Bacama	baca1246		bark	1204	BARK		pùyɛy	p u j ɛ j
8983	25134	kraftchadic-Bade	bade1248		bark	1204	BARK		ƚáƚə́rán	lˠ a lˠ ə r a n
8984	25135	kraftchadic-Bananamouseye	muse1242		bark	1204	BARK		bɔlɔk guna	b ɔ l ɔ k + g u n a
8985	25136	kraftchadic-Boka	boga1251		bark	1204	BARK		ɓwəra	ɓ w ə r a
8986	25137	kraftchadic-Bolewa	nucl1695		bark	1204	BARK		bambìròšoi	b a m b i r o ʃ o i
8987	25138	kraftchadic-Bura	bura1292		bark	1204	BARK		bwətì̵là	b w ə t ɨ l a
8988	25139	kraftchadic-Burma	bogh1241		bark	1204	BARK		kòpƚaŋ	k o p lˠ a ŋ
8989	25140	kraftchadic-Cibak	ciba1236		bark	1204	BARK		muli kubà	m u l i + k u b a
8990	25141	kraftchadic-Cip	mish1244		bark	1204	BARK		ɓutǐŋ	ɓ u t i ŋ
8991	25142	kraftchadic-Daba	nucl1683		bark	1204	BARK		pì̵pəƚ	p ɨ p ə lˠ
8992	25143	kraftchadic-Dera	dera1248		bark	1204	BARK		bîni bî šowi	b i n i + b i + ʃ o w i
8993	25144	kraftchadic-Dira	diri1259		bark	1204	BARK		wuɓuri	w u ɓ u r i
8994	25145	kraftchadic-Dwot	dass1243		bark	1204	BARK		ko pùt	k o + p u t
8995	25146	kraftchadic-Faligili	bana1305		bark	1204	BARK		xwum	x w u m
8996	25147	kraftchadic-Falijilbu	zizi1238		bark	1204	BARK		li̵bi	l ɨ b i
8997	25148	kraftchadic-Falikiria	kiry1234		bark	1204	BARK		ðàpàl	ð a p a l
8998	25149	kraftchadic-Falimucella	gude1246		bark	1204	BARK		kwàƚi̵pu	k w a lˠ ɨ p u
8999	25150	kraftchadic-Faliwagira	fali1285		bark	1204	BARK		r̃ìɓun	r̃ i ɓ u n
9000	25151	kraftchadic-Gabin	gaan1243		bark	1204	BARK		ɓərdi̵fta	ɓ ə r d ɨ f t a
9001	25152	kraftchadic-Gava	gudu1252		bark	1204	BARK		lə̀bà	l ə b a
9002	25153	kraftchadic-Geji	geji1246		bark	1204	BARK		gùpɬɩŋ	g u p ɬ ɪ ŋ
9003	25154	kraftchadic-Gera	gera1246		bark	1204	BARK		dombì̵là	d o m b ɨ l a
9004	25155	kraftchadic-Glvda	glav1244		bark	1204	BARK		ˀàlàbà	ʔ a l a b a
9005	25156	kraftchadic-Gudu	gudu1250		bark	1204	BARK		mə̌ːpwəì	m əː p w ə i
9006	25157	kraftchadic-Higighye	hyaa1239		bark	1204	BARK		làɓi̵lε	l a ɓ ɨ l ɛ
9007	25158	kraftchadic-Higikamale	psik1239		bark	1204	BARK		ðὲpùlɩ	ð ɛ p u l ɪ
9008	25159	kraftchadic-Higinkafa	kamw1239		bark	1204	BARK		làpi̵lε	l a p ɨ l ɛ
9009	25160	kraftchadic-Hildi	marg1266		bark	1204	BARK		mi̵lpūbà	m ɨ l p u b a
9010	25161	kraftchadic-Hwona	hwan1240		bark	1204	BARK		ɓara	ɓ a r a
9013	25164	kraftchadic-Karekare	kare1348		bark	1204	BARK		bəyì	b ə j i
9014	25165	kraftchadic-Kilba	huba1236		bark	1204	BARK		lílìbì	l i l i b i
9016	25167	kraftchadic-Lamepeve	peve1243		bark	1204	BARK		bəlegu	b ə l e g u
9017	25168	kraftchadic-Mandara	wand1278		bark	1204	BARK		vwanəfa	v w a n ə f a
9018	25169	kraftchadic-Margi	marg1265		bark	1204	BARK		mampì̵lìbà	m a m p ɨ l i b a
9019	25170	kraftchadic-Massa	masa1322		bark	1204	BARK		bolokguna	b o l o k g u n a
9020	25171	kraftchadic-Matakam	mafa1239		bark	1204	BARK		làkàlàv	l a k a l a v
9021	25172	kraftchadic-Mismezime	mesm1239		bark	1204	BARK		blè	b l e
9022	25173	kraftchadic-Miya	miya1266		bark	1204	BARK		tɩbobò	t ɪ b o b o
9023	25174	kraftchadic-Mwulyen	bata1314		bark	1204	BARK		ʔùlbí	ʔ u l b i
9024	25175	kraftchadic-Nakatsa	cine1238		bark	1204	BARK		labana	l a b a n a
9025	25176	kraftchadic-Ngamo	ngam1282		bark	1204	BARK		bàmr̃ò	b a m r̃ o
9026	25177	kraftchadic-Ngizim	ngiz1242		bark	1204	BARK		gwə̀ðì̵r̃ wəkà	g w ə ð ɨ r̃ + w ə k a
9027	25178	kraftchadic-Ngwaxi	nggw1242		bark	1204	BARK		ɓwòtɩla	ɓ w o t ɪ l a
9028	25179	kraftchadic-Njanye	nzan1240		bark	1204	BARK		zòʔokàdi	z o ʔ o k a d i
9029	25180	kraftchadic-Pero	pero1241		bark	1204	BARK		kwɔɣɔlɔ̀	k w ɔ ɣ ɔ l ɔ
9030	25181	kraftchadic-Piimdi	tera1251		bark	1204	BARK		gi̵bər	g ɨ b ə r
9031	25182	kraftchadic-Plci	polc1243		bark	1204	BARK		kòrî	k o r i
9032	25183	kraftchadic-Seya	saya1246		bark	1204	BARK		kə̀bu	k ə b u
9033	25184	kraftchadic-Sura	mwag1236		bark	1204	BARK		kuɣap	k u ɣ a p
9034	25185	kraftchadic-Tangale	nucl1696		bark	1204	BARK		ànkulak	a n k u l a k
9035	25186	kraftchadic-Tangale	nucl1696		bark	1204	BARK		fitò	f i t o
9036	25187	kraftchadic-Westmargi	puta1243		bark	1204	BARK		murɩgubà	m u r ɪ g u b a
9038	25189	kraftchadic-Zvana	dghw1239		bark	1204	BARK		sə̀pa	s ə p a
9103	25254	northeuralex-arb	stan1318		bark	1204	BARK		qiʃra	q i ʃ r a
9137	25288	northeuralex-heb	hebr1245		bark	1204	BARK		klipatʔɛt͡s	k l i p a t ʔ ɛ ts
9225	25376	ratcliffearabic-GulfArabic	gulf1241		bark	1204	BARK		giʃra	g i ʃ r a
9226	25377	ratcliffearabic-Maltese	malt1254		bark	1204	BARK		ʔoʃr_a	ʔ o ʃ r a
9227	25378	ratcliffearabic-MoroccanArabic	moro1292		bark	1204	BARK		qeʃ_rˁa	q e ʃ rˤ a
