	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9101	25252	northeuralex-ain	ainu1240		bark	1204	BARK		nijaɾakap	n i j a ɾ a k a p
23116	39267	northeuralex-ain	ainu1240		belly	1251	BELLY		honi	h o n i
28266	44417	northeuralex-ain	ainu1240		big	1202	BIG		poɾo	p o ɾ o
30603	46754	northeuralex-ain	ainu1240		bird	937	BIRD		t͡sikap	ts i k a p
32939	49090	northeuralex-ain	ainu1240		bite	1403	BITE		kuba	k u b a
35566	51717	northeuralex-ain	ainu1240		black	163	BLACK		kunːe	k u nː e
38980	55131	northeuralex-ain	ainu1240		blood	946	BLOOD		kem	k e m
47203	63354	northeuralex-ain	ainu1240		bone	1394	BONE		pone	p o n e
57263	73416	northeuralex-ain	ainu1240		breast	1402	BREAST		ɾeɾaɾi	ɾ e ɾ a ɾ i
87027	103180	northeuralex-ain	ainu1240		claw	72	CLAW		ami	a m i
91882	108035	northeuralex-ain	ainu1240		cloud	1489	CLOUD		kuɾi	k u ɾ i
95476	111629	northeuralex-ain	ainu1240		cold	1287	COLD		mean	m e a n
99146	115299	northeuralex-ain	ainu1240		come	1446	COME		ek	e k
127355	143510	northeuralex-ain	ainu1240		die	1494	DIE		ɾa͡ɪ	ɾ aɪ
135919	152074	northeuralex-ain	ainu1240		dog	2009	DOG		seta	s e t a
142380	158535	northeuralex-ain	ainu1240		drink	1401	DRINK		ku	k u
145944	162099	northeuralex-ain	ainu1240		dry	1398	DRY		sak	s a k
151468	167623	northeuralex-ain	ainu1240		ear	1247	EAR		kisaɾ	k i s a ɾ
154286	170441	northeuralex-ain	ainu1240		earthsoil	1228	EARTH (SOIL)		toi	t o i
156999	173154	northeuralex-ain	ainu1240		eat	1336	EAT		ibe	i b e
159281	175439	northeuralex-ain	ainu1240		egg	744	EGG		nok	n o k
169867	186025	northeuralex-ain	ainu1240		eye	1248	EYE		sik	s i k
182224	198384	northeuralex-ain	ainu1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kiɾipu	k i ɾ i p u
185108	201268	northeuralex-ain	ainu1240		feather	1201	FEATHER		ɾap	ɾ a p
185109	201269	northeuralex-ain	ainu1240		feather	1201	FEATHER		koŋkoni	k o ŋ k o n i
193018	225671	northeuralex-ain	ainu1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		hopuni	h o p u n i
196399	229052	northeuralex-ain	ainu1240		foot	1301	FOOT		uɾe	u ɾ e
