	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3867	20018	johanssonsoundsymbolic-Arapaho	arap1274		back	1291	BACK		wʊkʊʊ	w ʊ k ʊː
4978	21129	johanssonsoundsymbolic-Arapaho	arap1274		bad	1292	BAD		wɔxʊtɔɔ	w ɔ x ʊ t ɔː
8820	24971	johanssonsoundsymbolic-Arapaho	arap1274		bark	1204	BARK		hɪnɔɔɔx	h ɪ n ɔː x
12960	29111	johanssonsoundsymbolic-Arapaho	arap1274		bealive	1422	BE ALIVE		hɪɪnɛʔɛtɪɪ	h ɪː n ɛ ʔ ɛ t ɪː
16297	32448	johanssonsoundsymbolic-Arapaho	arap1274		because	1157	BECAUSE		tɔh	t ɔ h
22852	39003	johanssonsoundsymbolic-Arapaho	arap1274		belly	1251	BELLY		wɔnɔt	w ɔ n ɔ t
27892	44043	johanssonsoundsymbolic-Arapaho	arap1274		big	1202	BIG		hɛɛbɛθɪɪhɪʔ	h ɛː b ɛ θ ɪː h ɪ ʔ
30285	46436	johanssonsoundsymbolic-Arapaho	arap1274		bird	937	BIRD		nɪɪʔɛɪhɪɪ	n ɪː ʔ ɛ ɪ h ɪː
32633	48784	johanssonsoundsymbolic-Arapaho	arap1274		bite	1403	BITE		tɔjɔɔb	t ɔ j ɔː b
35243	51394	johanssonsoundsymbolic-Arapaho	arap1274		black	163	BLACK		wɔʔtɛɛn	w ɔ ʔ t ɛː n
38655	54806	johanssonsoundsymbolic-Arapaho	arap1274		blood	946	BLOOD		bɛʔ	b ɛ ʔ
40881	57032	johanssonsoundsymbolic-Arapaho	arap1274		blowofwind	175	BLOW (OF WIND)		tʃɪɪtɔɔθɔɔ	tʃ ɪː t ɔː θ ɔː
43079	59230	johanssonsoundsymbolic-Arapaho	arap1274		blunt	379	BLUNT		hɔɔwtɔxʊʔɔɔ	h ɔː w t ɔ x ʊ ʔ ɔː
46884	63035	johanssonsoundsymbolic-Arapaho	arap1274		bone	1394	BONE		hɪx	h ɪ x
58910	75063	johanssonsoundsymbolic-Arapaho	arap1274		breathe	1407	BREATHE		hɔɔwɔθɔɔwɔ	h ɔː w ɔ θ ɔː w ɔ
91585	107738	johanssonsoundsymbolic-Arapaho	arap1274		cloud	1489	CLOUD		hɪɪnɔɔnɔʔɛt	h ɪː n ɔː n ɔ ʔ ɛ t
98824	114977	johanssonsoundsymbolic-Arapaho	arap1274		come	1446	COME		hɪɪtɪsɛɛ	h ɪː t ɪ s ɛː
104895	121048	johanssonsoundsymbolic-Arapaho	arap1274		correctright	1725	CORRECT (RIGHT)		bɛbɪɪsɪɪhɪʔ	b ɛ b ɪː s ɪː h ɪ ʔ
121768	137923	johanssonsoundsymbolic-Arapaho	arap1274		daynotnight	1225	DAY (NOT NIGHT)		hɪɪsɪʔ	h ɪː s ɪ ʔ
127044	143199	johanssonsoundsymbolic-Arapaho	arap1274		die	1494	DIE		tʃɛtɔʔɔɔ	tʃ ɛ t ɔ ʔ ɔː
131702	147857	johanssonsoundsymbolic-Arapaho	arap1274		dirty	1230	DIRTY		wɔtɔxɔɔbɛɪhɪ	w ɔ t ɔ x ɔː b ɛ ɪ h ɪ
135594	151749	johanssonsoundsymbolic-Arapaho	arap1274		dog	2009	DOG		hɛθ	h ɛ θ
142063	158218	johanssonsoundsymbolic-Arapaho	arap1274		drink	1401	DRINK		bɛnɛ	b ɛ n ɛ
145708	161863	johanssonsoundsymbolic-Arapaho	arap1274		dry	1398	DRY		hɪɪxɔɔʔɛɛ	h ɪː x ɔː ʔ ɛː
148693	164848	johanssonsoundsymbolic-Arapaho	arap1274		dust	2	DUST		kɔɔʔɔʊʊtɛ	k ɔː ʔ ɔ ʊː t ɛ
151137	167292	johanssonsoundsymbolic-Arapaho	arap1274		ear	1247	EAR		wɔnɔtɔnɔʔ	w ɔ n ɔ t ɔ n ɔ ʔ
154060	170215	johanssonsoundsymbolic-Arapaho	arap1274		earthsoil	1228	EARTH (SOIL)		bɪɪtɔʔɔwʊʔ	b ɪː t ɔ ʔ ɔ w ʊ ʔ
156661	172816	johanssonsoundsymbolic-Arapaho	arap1274		eat	1336	EAT		hɔtɔɔbɛ	h ɔ t ɔː b ɛ
158973	175131	johanssonsoundsymbolic-Arapaho	arap1274		egg	744	EGG		nɔɔn	n ɔː n
169541	185699	johanssonsoundsymbolic-Arapaho	arap1274		eye	1248	EYE		bɛsɪɪɪsɛʔ	b ɛ s ɪː s ɛ ʔ
173547	189706	johanssonsoundsymbolic-Arapaho	arap1274		fall	1280	FALL		tʃɛnsɪnɛ	tʃ ɛ n s ɪ n ɛ
175816	191975	johanssonsoundsymbolic-Arapaho	arap1274		far	1406	FAR		tʃɪɪsɪɪhɪʔ	tʃ ɪː s ɪː h ɪ ʔ
182037	198197	johanssonsoundsymbolic-Arapaho	arap1274		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tʃɛbɪtɛɛ	tʃ ɛ b ɪ t ɛː
184873	201033	johanssonsoundsymbolic-Arapaho	arap1274		feather	1201	FEATHER		bɪɪɪ	b ɪː
189902	222555	johanssonsoundsymbolic-Arapaho	arap1274		flower	239	FLOWER		tʃɛɛʔɛsɛʔɛɪnɔɔʔ	tʃ ɛː ʔ ɛ s ɛ ʔ ɛ ɪ n ɔː ʔ
192831	225484	johanssonsoundsymbolic-Arapaho	arap1274		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		nɔʊbɛɛ	n ɔ ʊ b ɛː
196143	228796	johanssonsoundsymbolic-Arapaho	arap1274		foot	1301	FOOT		wɔʔɔɔθ	w ɔ ʔ ɔː θ
202475	235128	johanssonsoundsymbolic-Arapaho	arap1274		four	1500	FOUR		jɛɪn	j ɛ ɪ n
214571	247224	johanssonsoundsymbolic-Arapaho	arap1274		give	1447	GIVE		bɪɪn	b ɪː n
220698	253354	johanssonsoundsymbolic-Arapaho	arap1274		good	1035	GOOD		nɪʔ	n ɪ ʔ
226148	258804	johanssonsoundsymbolic-Arapaho	arap1274		grass	606	GRASS		wɔxʊʔ	w ɔ x ʊ ʔ
