	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3875	20026	johanssonsoundsymbolic-Baruya	baru1267		back	1291	BACK		mbule	m b u l e
4986	21137	johanssonsoundsymbolic-Baruya	baru1267		bad	1292	BAD		kajaaʔnanja	k a j aː ʔ n a n j a
8828	24979	johanssonsoundsymbolic-Baruya	baru1267		bark	1204	BARK		jəkəlaaka	j ə k ə l aː k a
12968	29119	johanssonsoundsymbolic-Baruya	baru1267		bealive	1422	BE ALIVE		ŋgaaljai	ŋ g aː l j a i
15732	31883	johanssonsoundsymbolic-Baruya	baru1267		beautiful	1427	BEAUTIFUL		nawəʔnja	n a w ə ʔ n j a
20457	36608	johanssonsoundsymbolic-Baruya	baru1267		behind	1686	BEHIND		ndusə	n d u s ə
22860	39011	johanssonsoundsymbolic-Baruya	baru1267		belly	1251	BELLY		munja	m u n j a
24515	40666	johanssonsoundsymbolic-Baruya	baru1267		beloworunder	1485	BELOW OR UNDER		kwaakemba	k w aː k e m b a
27900	44051	johanssonsoundsymbolic-Baruya	baru1267		big	1202	BIG		kwaimale	k w a i m a l e
30291	46442	johanssonsoundsymbolic-Baruya	baru1267		bird	937	BIRD		juta	j u t a
32641	48792	johanssonsoundsymbolic-Baruya	baru1267		bite	1403	BITE		təka	t ə k a
33786	49937	johanssonsoundsymbolic-Baruya	baru1267		bitter	887	BITTER		kajaakuɽja	k a j aː k u ɽ j a
35251	51402	johanssonsoundsymbolic-Baruya	baru1267		black	163	BLACK		muɽənja	m u ɽ ə n j a
38663	54814	johanssonsoundsymbolic-Baruya	baru1267		blood	946	BLOOD		tawe	t a w e
40889	57040	johanssonsoundsymbolic-Baruya	baru1267		blowofwind	175	BLOW (OF WIND)		pwaʔmu	p w a ʔ m u
42057	58208	johanssonsoundsymbolic-Baruya	baru1267		blue	837	BLUE		mbiwaaʔnja	m b i w aː ʔ n j a
43084	59235	johanssonsoundsymbolic-Baruya	baru1267		blunt	379	BLUNT		minjəminja	m i n j ə m i n j a
44554	60705	johanssonsoundsymbolic-Baruya	baru1267		body	1480	BODY		kəlaaka	k ə l aː k a
46892	63043	johanssonsoundsymbolic-Baruya	baru1267		bone	1394	BONE		jaŋgənja	j a ŋ g ə n j a
