	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3875	20026	johanssonsoundsymbolic-Baruya	baru1267		back	1291	BACK		mbule	m b u l e
4986	21137	johanssonsoundsymbolic-Baruya	baru1267		bad	1292	BAD		kajaaʔnanja	k a j aː ʔ n a n j a
8828	24979	johanssonsoundsymbolic-Baruya	baru1267		bark	1204	BARK		jəkəlaaka	j ə k ə l aː k a
12968	29119	johanssonsoundsymbolic-Baruya	baru1267		bealive	1422	BE ALIVE		ŋgaaljai	ŋ g aː l j a i
22860	39011	johanssonsoundsymbolic-Baruya	baru1267		belly	1251	BELLY		munja	m u n j a
27900	44051	johanssonsoundsymbolic-Baruya	baru1267		big	1202	BIG		kwaimale	k w a i m a l e
30291	46442	johanssonsoundsymbolic-Baruya	baru1267		bird	937	BIRD		juta	j u t a
32641	48792	johanssonsoundsymbolic-Baruya	baru1267		bite	1403	BITE		təka	t ə k a
35251	51402	johanssonsoundsymbolic-Baruya	baru1267		black	163	BLACK		muɽənja	m u ɽ ə n j a
38663	54814	johanssonsoundsymbolic-Baruya	baru1267		blood	946	BLOOD		tawe	t a w e
40889	57040	johanssonsoundsymbolic-Baruya	baru1267		blowofwind	175	BLOW (OF WIND)		pwaʔmu	p w a ʔ m u
43084	59235	johanssonsoundsymbolic-Baruya	baru1267		blunt	379	BLUNT		minjəminja	m i n j ə m i n j a
46892	63043	johanssonsoundsymbolic-Baruya	baru1267		bone	1394	BONE		jaŋgənja	j a ŋ g ə n j a
91593	107746	johanssonsoundsymbolic-Baruya	baru1267		cloud	1489	CLOUD		jəɽaaja	j ə ɽ aː j a
98832	114985	johanssonsoundsymbolic-Baruya	baru1267		come	1446	COME		mbəmo	m b ə m o
104901	121054	johanssonsoundsymbolic-Baruya	baru1267		correctright	1725	CORRECT (RIGHT)		pandaʔŋgaləmo	p a n d a ʔ ŋ g a l ə m o
121776	137931	johanssonsoundsymbolic-Baruya	baru1267		daynotnight	1225	DAY (NOT NIGHT)		jəɽəka	j ə ɽ ə k a
127052	143207	johanssonsoundsymbolic-Baruya	baru1267		die	1494	DIE		mbaigəɽəmo	m b a i g ə ɽ ə m o
135602	151757	johanssonsoundsymbolic-Baruya	baru1267		dog	2009	DOG		njələka	n j ə l ə k a
