	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8888	25039	johanssonsoundsymbolic-Marind	nucl1622		bark	1204	BARK		par	p a r
9419	25570	transnewguineaorg-yaqay-kogo	yaqa1246		bark	1204	BARK		dɛˈrumb	d ɛ r u m b
9422	25573	transnewguineaorg-zimakani	zima1244		bark	1204	BARK		tɑe_ŋgusumi	t ɑ e + ŋ g u s u m i
22929	39080	johanssonsoundsymbolic-Marind	nucl1622		belly	1251	BELLY		handam	h a n d a m
23661	39812	transnewguineaorg-kuni-boazi	kuni1265		belly	1251	BELLY		ěmǔ	e m u
23802	39953	transnewguineaorg-zimakani	zima1244		belly	1251	BELLY		gusu	g u s u
27972	44123	johanssonsoundsymbolic-Marind	nucl1622		big	1202	BIG		samb	s a m b
28859	45010	transnewguineaorg-kuni-boazi	kuni1265		big	1202	BIG		knbɔγɔbe	k n b ɔ ɣ ɔ b e
29008	45159	transnewguineaorg-yaqay-kogo	yaqa1246		big	1202	BIG		poˈjɑrɑp̚	p o j ɑ r ɑ p̚
29018	45169	transnewguineaorg-zimakani	zima1244		big	1202	BIG		ndɛwi	n d ɛ w i
30355	46506	johanssonsoundsymbolic-Marind	nucl1622		bird	937	BIRD		oezoeb	o e z o e b
31204	47355	transnewguineaorg-kuni-boazi	kuni1265		bird	937	BIRD		pipisi	p i p i s i
31205	47356	transnewguineaorg-kuni-boazi	kuni1265		bird	937	BIRD		pipisiɛm	p i p i s i ɛ m
31206	47357	transnewguineaorg-kuni-boazi	kuni1265		bird	937	BIRD		pipisi	p i p i s i
31364	47515	transnewguineaorg-yaqay-kogo	yaqa1246		bird	937	BIRD		jɑŋˈgo	j ɑ ŋ g o
31376	47527	transnewguineaorg-zimakani	zima1244		bird	937	BIRD		i̯ɔvɔi̯ɔvɔ	i̯ ɔ v ɔ i̯ ɔ v ɔ
31377	47528	transnewguineaorg-zimakani	zima1244		bird	937	BIRD		fiafi	f i a f i
32706	48857	johanssonsoundsymbolic-Marind	nucl1622		bite	1403	BITE		dahi	d a h i
33460	49611	transnewguineaorg-yaqay-kogo	yaqa1246		bite	1403	BITE		kɑrˈbojɑʔ	k ɑ r b o j ɑ ʔ
35319	51470	johanssonsoundsymbolic-Marind	nucl1622		black	163	BLACK		ŋe	ŋ e
38732	54883	johanssonsoundsymbolic-Marind	nucl1622		blood	946	BLOOD		do	d o
39572	55723	transnewguineaorg-kuni-boazi	kuni1265		blood	946	BLOOD		kowk	k o w k
39573	55724	transnewguineaorg-kuni-boazi	kuni1265		blood	946	BLOOD		kou̯k	k ou k
39719	55870	transnewguineaorg-yaqay-kogo	yaqa1246		blood	946	BLOOD		kɑb	k ɑ b
39730	55881	transnewguineaorg-zimakani	zima1244		blood	946	BLOOD		ḳɔu̯ku	k ɔ u k u
47802	63953	transnewguineaorg-kuni-boazi	kuni1265		bone	1394	BONE		bazag	b a z a g
47803	63954	transnewguineaorg-kuni-boazi	kuni1265		bone	1394	BONE		bazɑḳ	b a z ɑ k
