	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9493	25644	wold-Mapudungun	mapu1245		bark	1204	BARK		trolüf	ʈʂ o l ɨ f
23875	40026	wold-Mapudungun	mapu1245		belly	1251	BELLY		pütra	p ɨ ʈʂ a
29092	45243	wold-Mapudungun	mapu1245		big	1202	BIG		fütra	f ɨ ʈʂ a
31450	47601	wold-Mapudungun	mapu1245		bird	937	BIRD		isüm	i s ɨ m
31451	47602	wold-Mapudungun	mapu1245		bird	937	BIRD		üñüm	ɨ ɲ ɨ m
33541	49692	wold-Mapudungun	mapu1245		bite	1403	BITE		ünatun	ɨ n a t u n
36062	52213	wold-Mapudungun	mapu1245		black	163	BLACK		kurü	k u ɻ ɨ
39803	55954	wold-Mapudungun	mapu1245		blood	946	BLOOD		mollfüñ	m o ʎ f ɨ ɲ
48058	64209	wold-Mapudungun	mapu1245		bone	1394	BONE		foro	f o ɻ o
58106	74259	wold-Mapudungun	mapu1245		breast	1402	BREAST		moyo	m o y o
87352	103505	wold-Mapudungun	mapu1245		claw	72	CLAW		wili	w i l i
92522	108675	wold-Mapudungun	mapu1245		cloud	1489	CLOUD		tromü	ʈʂ o m ɨ
96301	112454	wold-Mapudungun	mapu1245		cold	1287	COLD		wütre	w ɨ ʈʂ e
96302	112455	wold-Mapudungun	mapu1245		cold	1287	COLD		fürkü	f ɨ ɻ k ɨ
100001	116154	wold-Mapudungun	mapu1245		come	1446	COME		küpan	k ɨ p a n
128116	144271	wold-Mapudungun	mapu1245		die	1494	DIE		ḻay	l̪ a y
128117	144272	wold-Mapudungun	mapu1245		die	1494	DIE		faltay	f a l t a y
136782	152937	wold-Mapudungun	mapu1245		dog	2009	DOG		trewa	ʈʂ e w a
142839	158994	wold-Mapudungun	mapu1245		drink	1401	DRINK		pütun	p ɨ t u n
146449	162604	wold-Mapudungun	mapu1245		dry	1398	DRY		piwün	p i w ɨ n
152312	168467	wold-Mapudungun	mapu1245		ear	1247	EAR		piluṉ	p i l u n̪
154781	170936	wold-Mapudungun	mapu1245		earthsoil	1228	EARTH (SOIL)		püllü	p ɨ ʎ ɨ
154782	170937	wold-Mapudungun	mapu1245		earthsoil	1228	EARTH (SOIL)		kuyüm	k u y ɨ m
157699	173857	wold-Mapudungun	mapu1245		eat	1336	EAT		in	i n
160093	176251	wold-Mapudungun	mapu1245		egg	744	EGG		kuram	k u ɻ a m
170739	186897	wold-Mapudungun	mapu1245		eye	1248	EYE		nge	ŋ e
182734	198894	wold-Mapudungun	mapu1245		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		iwiñ	i w i ɲ
185517	201677	wold-Mapudungun	mapu1245		feather	1201	FEATHER		pichuñ	p i tʃ u ɲ
193565	226218	wold-Mapudungun	mapu1245		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		müpün	m ɨ p ɨ n
196947	229600	wold-Mapudungun	mapu1245		foot	1301	FOOT		ṉamuṉ	n̪ a m u n̪
210022	242675	wold-Mapudungun	mapu1245		full	1429	FULL		apon	a p o n
215702	248355	wold-Mapudungun	mapu1245		give	1447	GIVE		wülün	w ɨ l ɨ n
221873	254529	wold-Mapudungun	mapu1245		good	1035	GOOD		küme	k ɨ m e
229296	261952	wold-Mapudungun	mapu1245		green	1425	GREEN		karü	k a ɻ ɨ
239230	271886	wold-Mapudungun	mapu1245		hand	1277	HAND		kuwü	k u w ɨ
245127	277784	wold-Mapudungun	mapu1245		head	1256	HEAD		longko	l o ŋ k o
247921	280578	wold-Mapudungun	mapu1245		hear	1408	HEAR		allkün	a ʎ k ɨ n
249270	281927	wold-Mapudungun	mapu1245		heart	1223	HEART		piwke	p i w k e
263912	296572	wold-Mapudungun	mapu1245		hornanatomy	1393	HORN (ANATOMY)		müta	m ɨ t a
275534	308194	wold-Mapudungun	mapu1245		i	1209	I		iñche	i ɲ tʃ e
288347	321007	wold-Mapudungun	mapu1245		kill	1417	KILL		ḻangümün	l̪ a ŋ ɨ m ɨ n
291241	323901	wold-Mapudungun	mapu1245		knee	1371	KNEE		luku	l u k u
294886	327546	wold-Mapudungun	mapu1245		knowsomething	1410	KNOW (SOMETHING)		kimün	k i m ɨ n
303219	335879	wold-Mapudungun	mapu1245		leaf	628	LEAF		tapül	t a p ɨ l
317694	350354	wold-Mapudungun	mapu1245		liver	1224	LIVER		ke	k e
320745	353405	wold-Mapudungun	mapu1245		long	1203	LONG		alütuw	a l ɨ t u w
331494	364155	wold-Mapudungun	mapu1245		man	1554	MAN		wentru	w e n ʈʂ u
