	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8661	24812	chaconbaniwa-Aha	bani1255		bark	1204	BARK		likhi	l i kʰ i
8754	24905	hubercolumbian-Curripaco	curr1243		bark	1204	BARK		haikoiija	h a i k o iː j a
8761	24912	hubercolumbian-Giacone	tari1256		bark	1204	BARK		taapa	t aː p a
8781	24932	hubercolumbian-Piapoco	piap1246		bark	1204	BARK		àiku íimami	a i k u + i i m a m i
8785	24936	hubercolumbian-Resigaro	resi1247		bark	1204	BARK		daʔmí	d a ʔ m i
8799	24950	hubercolumbian-Wayuu	wayu1243		bark	1204	BARK		sitá	s i t a
8800	24951	hubercolumbian-Wayuu	wayu1243		bark	1204	BARK		sitá wunúʔu	s i t a + w u n u ʔ u
8801	24952	hubercolumbian-Wayuu	wayu1243		bark	1204	BARK		stá	s t a
8802	24953	hubercolumbian-Wayuu	wayu1243		bark	1204	BARK		stá si̵tá	s t a + s ɨ t a
8803	24954	hubercolumbian-Wayuu	wayu1243		bark	1204	BARK		stá si̵atá	s t a + s ɨ a t a
8808	24959	hubercolumbian-Yucuna	yucu1253		bark	1204	BARK		aʔawaná íima	a ʔ a w a n a + i i m a
22541	38692	chaconbaniwa-Aha	bani1255		belly	1251	BELLY		lisrada	l i s ɾ a d a
22708	38859	hubercolumbian-Cabiyari	cabi1241		belly	1251	BELLY		teere	t eː r e
22709	38860	hubercolumbian-Cabiyari	cabi1241		belly	1251	BELLY		teere	t eː r e
22726	38877	hubercolumbian-Curripaco	curr1243		belly	1251	BELLY		nowawa	n o w a w a
22727	38878	hubercolumbian-Curripaco	curr1243		belly	1251	BELLY		nowawa	n o w a w a
22742	38893	hubercolumbian-Giacone	tari1256		belly	1251	BELLY		piuaua	p i u a u a
22743	38894	hubercolumbian-Giacone	tari1256		belly	1251	BELLY		nauáua	n a u a u a
22744	38895	hubercolumbian-Giacone	tari1256		belly	1251	BELLY		nauáua keepinanipe	n a u a u a + k eː p i n a n i p e
22778	38929	hubercolumbian-Piapoco	piap1246		belly	1251	BELLY		wadèe	w a d e e
22779	38930	hubercolumbian-Piapoco	piap1246		belly	1251	BELLY		wadèe	w a d e e
22780	38931	hubercolumbian-Piapoco	piap1246		belly	1251	BELLY		wadèe wadèe	w a d e e + w a d e e
22787	38938	hubercolumbian-Resigaro	resi1247		belly	1251	BELLY		atʰéʔeemú	a tʰ e ʔ eː m u
22788	38939	hubercolumbian-Resigaro	resi1247		belly	1251	BELLY		iiʔʃaú	iː ʔ ʃ a u
22815	38966	hubercolumbian-Wayuu	wayu1243		belly	1251	BELLY		waléʔe	w a l e ʔ e
22816	38967	hubercolumbian-Wayuu	wayu1243		belly	1251	BELLY		si̵léʔe	s ɨ l e ʔ e
22817	38968	hubercolumbian-Wayuu	wayu1243		belly	1251	BELLY		si̵aléʔe	s ɨ a l e ʔ e
22833	38984	hubercolumbian-Yucuna	yucu1253		belly	1251	BELLY		wawó	w a w o
22834	38985	hubercolumbian-Yucuna	yucu1253		belly	1251	BELLY		huláhi	h u l a h i
27593	43744	chaconbaniwa-Aha	bani1255		big	1202	BIG		makadali	m a k a d a l i
27802	43953	hubercolumbian-Achagua	acha1250		big	1202	BIG		máanui	m a a n u i
27809	43960	hubercolumbian-Cabiyari	cabi1241		big	1202	BIG		matakaka	m a t a k a k a
27818	43969	hubercolumbian-Curripaco	curr1243		big	1202	BIG		makadali	m a k a d a l i
27826	43977	hubercolumbian-Giacone	tari1256		big	1202	BIG		hanuite	h a n u i t e
27848	43999	hubercolumbian-Piapoco	piap1246		big	1202	BIG		manuíri	m a n u i r i
27849	44000	hubercolumbian-Piapoco	piap1246		big	1202	BIG		manuíri manuííri	m a n u i r i + m a n u i i r i
27853	44004	hubercolumbian-Resigaro	resi1247		big	1202	BIG		ʤiʤa	dʒ i dʒ a
27854	44005	hubercolumbian-Resigaro	resi1247		big	1202	BIG		kobú	k o b u
27870	44021	hubercolumbian-Wayuu	wayu1243		big	1202	BIG		mijóʔu	m i j o ʔ u
27871	44022	hubercolumbian-Wayuu	wayu1243		big	1202	BIG		mi̵leóʔu	m ɨ l e o ʔ u
27876	44027	hubercolumbian-Yucuna	yucu1253		big	1202	BIG		kaxrúni	k a x r u n i
27877	44028	hubercolumbian-Yucuna	yucu1253		big	1202	BIG		ɲóʔopohlo	ɲ o ʔ o p o h l o
29996	46147	chaconbaniwa-Aha	bani1255		bird	937	BIRD		wiphiaro	w i pʰ i a ɾ o
30199	46350	hubercolumbian-Achagua	acha1250		bird	937	BIRD		míʃiidu	m i ʃ iː d u
30205	46356	hubercolumbian-Cabiyari	cabi1241		bird	937	BIRD		ʔupira	ʔ u p i r a
30214	46365	hubercolumbian-Curripaco	curr1243		bird	937	BIRD		wipiaro	w i p i a r o
30221	46372	hubercolumbian-Giacone	tari1256		bird	937	BIRD		képira	k e p i r a
30241	46392	hubercolumbian-Piapoco	piap1246		bird	937	BIRD		màsibèe	m a s i b e e
30242	46393	hubercolumbian-Piapoco	piap1246		bird	937	BIRD		kuìpìra	k u i p i r a
30247	46398	hubercolumbian-Resigaro	resi1247		bird	937	BIRD		koʔpíidú	k o ʔ p i i d u
30261	46412	hubercolumbian-Wayuu	wayu1243		bird	937	BIRD		wuʧíi	w u tʃ i i
30269	46420	hubercolumbian-Yucuna	yucu1253		bird	937	BIRD		kupiraʔaphá	k u p i r a ʔ a p h a
32326	48477	chaconbaniwa-Aha	bani1255		bite	1403	BITE		ihmoaketi	i mʰ o a k e t i
32556	48707	hubercolumbian-Achagua	acha1250		bite	1403	BITE		jáamua	j a a m u a
32571	48722	hubercolumbian-Curripaco	curr1243		bite	1403	BITE		pamuaka	p a m u a k a
32579	48730	hubercolumbian-Giacone	tari1256		bite	1403	BITE		pahmuánipe	p a h m u a n i p e
32596	48747	hubercolumbian-Piapoco	piap1246		bite	1403	BITE		waamíaka	w aː m i a k a
32600	48751	hubercolumbian-Resigaro	resi1247		bite	1403	BITE		em̥ú	e m̥ u
32614	48765	hubercolumbian-Wayuu	wayu1243		bite	1403	BITE		ohóttaa	o h o t t aː
32619	48770	hubercolumbian-Yucuna	yucu1253		bite	1403	BITE		axmaʔakáhe	a x m a ʔ a k a h e
34980	51131	chaconbaniwa-Aha	bani1255		black	163	BLACK		iːtadali	iː t a d a l i
35157	51308	hubercolumbian-Achagua	acha1250		black	163	BLACK		kaʧáhulai	k a tʃ a h u l a i
35165	51316	hubercolumbian-Cabiyari	cabi1241		black	163	BLACK		kewereka	k e w e r e k a
35173	51324	hubercolumbian-Curripaco	curr1243		black	163	BLACK		itadali	i t a d a l i
35182	51333	hubercolumbian-Giacone	tari1256		black	163	BLACK		kadáite	k a d a i t e
35201	51352	hubercolumbian-Piapoco	piap1246		black	163	BLACK		kúulíiri	k u u l i i r i
35202	51353	hubercolumbian-Piapoco	piap1246		black	163	BLACK		kúulíiri kúuliíri	k u u l i i r i + k u u l i i r i
35206	51357	hubercolumbian-Resigaro	resi1247		black	163	BLACK		tsapʰóʔ	ts a pʰ o ʔ
35221	51372	hubercolumbian-Wayuu	wayu1243		black	163	BLACK		mí̵tsiiasi̵	m ɨ ts iː a s ɨ
35222	51373	hubercolumbian-Wayuu	wayu1243		black	163	BLACK		júuisi̵	j u u i s ɨ
35227	51378	hubercolumbian-Yucuna	yucu1253		black	163	BLACK		kaméni	k a m e n i
38403	54554	carvalhopurus-Apurina	apur1254		blood	946	BLOOD		-erẽka	e r ẽ k a
38404	54555	carvalhopurus-Inapari	inap1242		blood	946	BLOOD		ɨráá-ti	ɨ r aː + t i
