	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3911	20062	johanssonsoundsymbolic-Jamamadi	jama1261		back	1291	BACK		baɾi	b a ɾ i
5027	21178	johanssonsoundsymbolic-Jamamadi	jama1261		bad	1292	BAD		tohe	t o h e
8866	25017	johanssonsoundsymbolic-Jamamadi	jama1261		bark	1204	BARK		ataɾi	a t a ɾ i
13008	29159	johanssonsoundsymbolic-Jamamadi	jama1261		bealive	1422	BE ALIVE		wina	w i n a
16329	32480	johanssonsoundsymbolic-Jamamadi	jama1261		because	1157	BECAUSE		ihi	i h i
19255	35406	johanssonsoundsymbolic-Jamamadi	jama1261		before	1882	BEFORE		nokosi	n o k o s i
20490	36641	johanssonsoundsymbolic-Jamamadi	jama1261		behind	1686	BEHIND		baɾi	b a ɾ i
22902	39053	johanssonsoundsymbolic-Jamamadi	jama1261		belly	1251	BELLY		sobo	s o b o
24548	40699	johanssonsoundsymbolic-Jamamadi	jama1261		beloworunder	1485	BELOW OR UNDER		ihaɾisa	i h a ɾ i s a
25764	41915	johanssonsoundsymbolic-Jamamadi	jama1261		beside	1816	BESIDE		beheɾi	b e h e ɾ i
26482	42633	johanssonsoundsymbolic-Jamamadi	jama1261		between	689	BETWEEN		basa_kana	b a s a + k a n a
27943	44094	johanssonsoundsymbolic-Jamamadi	jama1261		big	1202	BIG		ehebote	e h e b o t e
30329	46480	johanssonsoundsymbolic-Jamamadi	jama1261		bird	937	BIRD		bani	b a n i
32678	48829	johanssonsoundsymbolic-Jamamadi	jama1261		bite	1403	BITE		si_kana	s i + k a n a
33821	49972	johanssonsoundsymbolic-Jamamadi	jama1261		bitter	887	BITTER		bita	b i t a
35294	51445	johanssonsoundsymbolic-Jamamadi	jama1261		black	163	BLACK		hahasa_na	h a h a s a + n a
38704	54855	johanssonsoundsymbolic-Jamamadi	jama1261		blood	946	BLOOD		ama	a m a
40923	57074	johanssonsoundsymbolic-Jamamadi	jama1261		blowofwind	175	BLOW (OF WIND)		haɸoɸo_na	h a ɸ o ɸ o + n a
42086	58237	johanssonsoundsymbolic-Jamamadi	jama1261		blue	837	BLUE		teteɸo_na	t e t e ɸ o + n a
43108	59259	johanssonsoundsymbolic-Jamamadi	jama1261		blunt	379	BLUNT		toboɾo	t o b o ɾ o
44593	60744	johanssonsoundsymbolic-Jamamadi	jama1261		body	1480	BODY		amaka	a m a k a
46934	63085	johanssonsoundsymbolic-Jamamadi	jama1261		bone	1394	BONE		tona	t o n a
51515	67666	johanssonsoundsymbolic-Jamamadi	jama1261		boy	1366	BOY		inamatewe	i n a m a t e w e
52914	69065	johanssonsoundsymbolic-Jamamadi	jama1261		brain	1583	BRAIN		tati_aɸone	t a t i + a ɸ o n e
57020	73173	johanssonsoundsymbolic-Jamamadi	jama1261		breast	1402	BREAST		yoha	j o h a
58944	75097	johanssonsoundsymbolic-Jamamadi	jama1261		breathe	1407	BREATHE		hasi_na	h a s i + n a
