	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
538	16689	kesslersignificance-Navajo	nava1243		at	1461	AT		d.i	d i
3861	20012	johanssonsoundsymbolic-Ahtena	ahte1237		back	1291	BACK		tʼɬʼaʔ	tʼ ɬʼ a ʔ
4028	20179	kesslersignificance-Navajo	nava1243		back	1291	BACK		n.ay.ɣ.a.h	n ay ɣ a h
4969	21120	johanssonsoundsymbolic-Ahtena	ahte1237		bad	1292	BAD		tʼsʼaʁɮtʼae̞ʔe̞	tsʼ a ʁ ɮ tʼ a e̞ ʔ e̞
5147	21298	kesslersignificance-Navajo	nava1243		bad	1292	BAD		j.ay.ʔ.ay.ʃ.õ.õ	j ay ʔ ay ʃ õ õ
8813	24964	johanssonsoundsymbolic-Ahtena	ahte1237		bark	1204	BARK		ɮatʼuudze̞ʔ	ɮ a tʼ uː d z e̞ ʔ
8971	25122	kesslersignificance-Navajo	nava1243		bark	1204	BARK		k.ay.ʃ.tˀ.oː.ʒ	k ay ʃ tˀ oː ʒ
12951	29102	johanssonsoundsymbolic-Ahtena	ahte1237		bealive	1422	BE ALIVE		kho̞niitsh	kʰ o̞ n iː tsʰ
15719	31870	johanssonsoundsymbolic-Ahtena	ahte1237		beautiful	1427	BEAUTIFUL		zuu	z uː
16290	32441	johanssonsoundsymbolic-Ahtena	ahte1237		because	1157	BECAUSE		daaɢe̞ʔ	d aː ɢ e̞ ʔ
16404	32555	kesslersignificance-Navajo	nava1243		because	1157	BECAUSE		h.aː.l.ay	h aː l ay
19208	35359	johanssonsoundsymbolic-Ahtena	ahte1237		before	1882	BEFORE		tse̞	ts e̞
20443	36594	johanssonsoundsymbolic-Ahtena	ahte1237		behind	1686	BEHIND		tshitʼaaʔakʼe̞	tsʰ i tʼ aː ʔ a kʼ e̞
22843	38994	johanssonsoundsymbolic-Ahtena	ahte1237		belly	1251	BELLY		be̞tʼ	b e̞ tʼ
23025	39176	kesslersignificance-Navajo	nava1243		belly	1251	BELLY		b.i.d	b i d
24501	40652	johanssonsoundsymbolic-Ahtena	ahte1237		beloworunder	1485	BELOW OR UNDER		jɢath	j ɢ a tʰ
25731	41882	johanssonsoundsymbolic-Ahtena	ahte1237		beside	1816	BESIDE		kʼe̞ze̞	kʼ e̞ z e̞
26457	42608	johanssonsoundsymbolic-Ahtena	ahte1237		between	689	BETWEEN		ʁathɢe̞	ʁ a tʰ ɢ e̞
27884	44035	johanssonsoundsymbolic-Ahtena	ahte1237		big	1202	BIG		tshaaχ	tsʰ aː χ
28074	44225	kesslersignificance-Navajo	nava1243		big	1202	BIG		ʔ.ay.n.i.ɬ.ʦ.o	ʔ ay n i ɬ ts o
30277	46428	johanssonsoundsymbolic-Ahtena	ahte1237		bird	937	BIRD		ɢaaɢi	ɢ aː ɢ i
30445	46596	kesslersignificance-Navajo	nava1243		bird	937	BIRD		ʦ.i.d.iː	ts i d iː
32626	48777	johanssonsoundsymbolic-Ahtena	ahte1237		bite	1403	BITE		aatʼɬʼ	aː tʼ ɬʼ
32805	48956	kesslersignificance-Navajo	nava1243		bite	1403	BITE		ʔ.a.h.ay.ɬ.h.aː.ʃ	ʔ a h ay ɬ h aː ʃ
33772	49923	johanssonsoundsymbolic-Ahtena	ahte1237		bitter	887	BITTER		tʼsʼiitshʔ	tsʼ iː tsʰ ʔ
35234	51385	johanssonsoundsymbolic-Ahtena	ahte1237		black	163	BLACK		tʼuutʼsʼ	tʼ uː tsʼ
35419	51570	kesslersignificance-Navajo	nava1243		black	163	BLACK		ɬ.i.ʒ.i.n	ɬ i ʒ i n
38647	54798	johanssonsoundsymbolic-Ahtena	ahte1237		blood	946	BLOOD		de̞ɮ	d e̞ ɮ
38833	54984	kesslersignificance-Navajo	nava1243		blood	946	BLOOD		d.i.ɬ	d i ɬ
40873	57024	johanssonsoundsymbolic-Ahtena	ahte1237		blowofwind	175	BLOW (OF WIND)		jo̞tʼɬʼ	j o̞ tʼ ɬʼ
41036	57187	kesslersignificance-Navajo	nava1243		blowofwind	175	BLOW (OF WIND)		n.i.ʧˀ.i	n i tʃˀ i
42044	58195	johanssonsoundsymbolic-Ahtena	ahte1237		blue	837	BLUE		suuχ	s uː χ
43075	59226	johanssonsoundsymbolic-Ahtena	ahte1237		blunt	379	BLUNT		nʁtʼɬʼe̞s	n ʁ tʼ ɬʼ e̞ s
43197	59348	kesslersignificance-Navajo	nava1243		blunt	379	BLUNT		d.eː.n.i	d eː n i
44539	60690	johanssonsoundsymbolic-Ahtena	ahte1237		body	1480	BODY		naajthah	n aː j tʰ a h
46875	63026	johanssonsoundsymbolic-Ahtena	ahte1237		bone	1394	BONE		tʼsʼe̞n	tsʼ e̞ n
47053	63204	kesslersignificance-Navajo	nava1243		bone	1394	BONE		ʦˀ.i.n	tsˀ i n
51462	67613	johanssonsoundsymbolic-Ahtena	ahte1237		boy	1366	BOY		tshiiɮ	tsʰ iː ɮ
52868	69019	johanssonsoundsymbolic-Ahtena	ahte1237		brain	1583	BRAIN		tsiʁaanʔ	ts i ʁ aː n ʔ
56962	73115	johanssonsoundsymbolic-Ahtena	ahte1237		breast	1402	BREAST		baaʔ	b aː ʔ
57138	73291	kesslersignificance-Navajo	nava1243		breast	1402	BREAST		b.e.ʔ	b e ʔ
58904	75057	johanssonsoundsymbolic-Ahtena	ahte1237		breathe	1407	BREATHE		tʼsʼiiʔ	tsʼ iː ʔ
59043	75196	kesslersignificance-Navajo	nava1243		breathe	1407	BREATHE		ń.d.i.ʣ.i.h	ɲ d i dz i h
64441	80594	johanssonsoundsymbolic-Ahtena	ahte1237		burn	2102	BURN		dkʼanʔ	d kʼ a n ʔ
64604	80757	kesslersignificance-Navajo	nava1243		burn	2102	BURN		d.i.l.tˡ.i.ʔ	d i l tˡ i ʔ
67755	83908	johanssonsoundsymbolic-Ahtena	ahte1237		buttocks	834	BUTTOCKS		tʼɬʼatse̞nʔ	tʼ ɬʼ a ts e̞ n ʔ
