	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8813	24964	johanssonsoundsymbolic-Ahtena	ahte1237		bark	1204	BARK		ɮatʼuudze̞ʔ	ɮ a tʼ uː d z e̞ ʔ
8971	25122	kesslersignificance-Navajo	nava1243		bark	1204	BARK		k.ay.ʃ.tˀ.oː.ʒ	k ay ʃ tˀ oː ʒ
22843	38994	johanssonsoundsymbolic-Ahtena	ahte1237		belly	1251	BELLY		be̞tʼ	b e̞ tʼ
23025	39176	kesslersignificance-Navajo	nava1243		belly	1251	BELLY		b.i.d	b i d
27884	44035	johanssonsoundsymbolic-Ahtena	ahte1237		big	1202	BIG		tshaaχ	tsʰ aː χ
28074	44225	kesslersignificance-Navajo	nava1243		big	1202	BIG		ʔ.ay.n.i.ɬ.ʦ.o	ʔ ay n i ɬ ts o
30277	46428	johanssonsoundsymbolic-Ahtena	ahte1237		bird	937	BIRD		ɢaaɢi	ɢ aː ɢ i
30445	46596	kesslersignificance-Navajo	nava1243		bird	937	BIRD		ʦ.i.d.iː	ts i d iː
32626	48777	johanssonsoundsymbolic-Ahtena	ahte1237		bite	1403	BITE		aatʼɬʼ	aː tʼ ɬʼ
32805	48956	kesslersignificance-Navajo	nava1243		bite	1403	BITE		ʔ.a.h.ay.ɬ.h.aː.ʃ	ʔ a h ay ɬ h aː ʃ
35234	51385	johanssonsoundsymbolic-Ahtena	ahte1237		black	163	BLACK		tʼuutʼsʼ	tʼ uː tsʼ
35419	51570	kesslersignificance-Navajo	nava1243		black	163	BLACK		ɬ.i.ʒ.i.n	ɬ i ʒ i n
38647	54798	johanssonsoundsymbolic-Ahtena	ahte1237		blood	946	BLOOD		de̞ɮ	d e̞ ɮ
38833	54984	kesslersignificance-Navajo	nava1243		blood	946	BLOOD		d.i.ɬ	d i ɬ
46875	63026	johanssonsoundsymbolic-Ahtena	ahte1237		bone	1394	BONE		tʼsʼe̞n	tsʼ e̞ n
47053	63204	kesslersignificance-Navajo	nava1243		bone	1394	BONE		ʦˀ.i.n	tsˀ i n
56962	73115	johanssonsoundsymbolic-Ahtena	ahte1237		breast	1402	BREAST		baaʔ	b aː ʔ
