	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
684	16835	wold-Swahili	swah1253		at	1461	AT		-ni	n i
879	17030	kraftchadic-Jaku	labi1245		atop	57	ATOP		mi̵ɗi	m ɨ ɗ i
880	17031	kraftchadic-Jari	daga1272		atop	57	ATOP		natùni	n a t u n i
883	17034	kraftchadic-Lame	lame1257		atop	57	ATOP		ùwá	u w a
904	17055	kraftchadic-Yingilum	nort2770		atop	57	ATOP		ílčε̄tóskò	i l tʃ ɛ t o s k o
942	17093	wold-Swahili	swah1253		attack	722	ATTACK		shambulio	ʃ a ⁿb u l i o
1613	17764	wold-Swahili	swah1253		aunt	1272	AUNT		mama	m a m a
1614	17765	wold-Swahili	swah1253		aunt	1272	AUNT		shangazi	ʃ a ⁿg a z i
1850	18001	wold-Swahili	swah1253		autumn	1276	AUTUMN		majira_ya_kupukutika_kwa_majani	m a dʒ i r a + j a + k u p u k u t i k a + k w a + m a dʒ a n i
1915	18066	mitterhoferbena-Ikuna	ikun1241		awake	825	AWAKE		asisimwihe	a s i s i m w i h e
1916	18067	mitterhoferbena-Itipula	itip1234		awake	825	AWAKE		alamuwike	a l a m u w i k e
1917	18068	mitterhoferbena-Kanamalenga	kana1293		awake	825	AWAKE		alamuwiːhe	a l a m u w iː h e
1918	18069	mitterhoferbena-Liwengi	liwe1234		awake	825	AWAKE		alamwuihe	a l a m w u i h e
1919	18070	mitterhoferbena-Ujindile	ujin1234		awake	825	AWAKE		alamwiːhe	a l a m w iː h e
1920	18071	mitterhoferbena-Ukalawa	ukal1234		awake	825	AWAKE		alamwiːke	a l a m w iː k e
2024	18175	wold-Swahili	swah1253		awl	278	AWL		maharazi	m a h a r a z i
2060	18211	bantubvd-1	nyam1276		axe	677	AXE		bàsàá	b a s a a
2061	18212	bantubvd-10	yaoo1241		axe	677	AXE		sóòkà	s o o k a
2062	18213	bantubvd-10	yaoo1241		axe	677	AXE		váágó	v a a g o
2063	18214	bantubvd-2	buku1249		axe	677	AXE		jàjwà	j a j w a
2064	18215	bantubvd-2	buku1249		axe	677	AXE		sjóòkà	s j o o k a
2065	18216	bantubvd-2	buku1249		axe	677	AXE		sùùlúùlù	s u u l u u l u
2066	18217	bantubvd-3	koyo1242		axe	677	AXE		pɛ́bɛ́	p ɛ b ɛ
2067	18218	bantubvd-3	koyo1242		axe	677	AXE		ʤ̑wémbé	dʒ w e m b e
2068	18219	bantubvd-4	bemb1257		axe	677	AXE		sèmbè	s e m b e
2069	18220	bantubvd-5	basa1284		axe	677	AXE		hónd	h o n d
2070	18221	bantubvd-6	asut1235		axe	677	AXE		zòká	z o k a
2071	18222	bantubvd-7	diri1252		axe	677	AXE		kûßà	k u β a
2072	18223	bantubvd-7	diri1252		axe	677	AXE		bɔ́	b ɔ
2073	18224	bantubvd-8	lega1249		axe	677	AXE		sàgà	s a g a
2074	18225	bantubvd-9	tswa1253		axe	677	AXE		lɛ́pɛ́	l ɛ p ɛ
2253	18404	kraftchadic-Jaku	labi1245		axe	677	AXE		njùbu	n dʒ u b u
2254	18405	kraftchadic-Jari	daga1272		axe	677	AXE		kətə̀m	k ə t ə m
2257	18408	kraftchadic-Lame	lame1257		axe	677	AXE		čéə̀dέ	tʃ e ə d ɛ
2279	18430	kraftchadic-Yingilum	nort2770		axe	677	AXE		dèːnóə	d eː n o ə
2315	18466	mitterhoferbena-Ikuna	ikun1241		axe	677	AXE		silaŋga	s i l a ŋ g a
2316	18467	mitterhoferbena-Itipula	itip1234		axe	677	AXE		soːka	s oː k a
2317	18468	mitterhoferbena-Itipula	itip1234		axe	677	AXE		ŋgiːnda	ŋ g iː n d a
2318	18469	mitterhoferbena-Kanamalenga	kana1293		axe	677	AXE		eʋeːga	e ʋ eː g a
2319	18470	mitterhoferbena-Liwengi	liwe1234		axe	677	AXE		ŋgiːnda	ŋ g iː n d a
2320	18471	mitterhoferbena-Ujindile	ujin1234		axe	677	AXE		ʋeːga	ʋ eː g a
2321	18472	mitterhoferbena-Ukalawa	ukal1234		axe	677	AXE		ŋgiːnda	ŋ g iː n d a
2330	18481	polyglottaafricana-Agwagwune	agwa1247		axe	677	AXE		ẹ́goāṣẹ́	e˞ g o aː ʂ e˞
2331	18482	polyglottaafricana-AjaGbe	ajab1235		axe	677	AXE		ẹ́pfīọ	e˞ p f iː o˞
2332	18483	polyglottaafricana-Akan	akan1250		axe	677	AXE		akúma	a k u m a
2333	18484	polyglottaafricana-Alege	aleg1238		axe	677	AXE		dékā	d e k aː
2334	18485	polyglottaafricana-Anaang	anaa1238		axe	677	AXE		ḗkud	eː k u d
2335	18486	polyglottaafricana-Asu	asun1235		axe	677	AXE		ágbā	a gb aː
2336	18487	polyglottaafricana-Baatonum	baat1238		axe	677	AXE		gba·	gb a
2337	18488	polyglottaafricana-Baba	baba1264		axe	677	AXE		ńdṣām	ŋ ɖʐ aː m
2338	18489	polyglottaafricana-Badiaranke	bady1239		axe	677	AXE		pákūsẹ	p a k uː s e˞
2339	18490	polyglottaafricana-BafawBalong	bafa1247		axe	677	AXE		ọhṓn	o˞ h oː n
2340	18491	polyglottaafricana-BagaKoba	baga1273		axe	677	AXE		abḗra	a b eː r a
2342	18493	polyglottaafricana-BakunduBalue	orok1266		axe	677	AXE		dīyọ́ka	d iː j o˞ː ɠ̥ a
2344	18495	polyglottaafricana-BalantaSoofa	bala1301		axe	677	AXE		fulóhu·	f u l o h u
2346	18497	polyglottaafricana-Bamenyam	bame1260		axe	677	AXE		ńdṣa	ŋ ɖʐ a
2347	18498	polyglottaafricana-Bamun	bamu1253		axe	677	AXE		n·dṣān·	n ɖʐ aː n
2349	18500	polyglottaafricana-Bangolan	bang1356		axe	677	AXE		ńtsā	ŋ t s aː
2351	18502	polyglottaafricana-BassaKontagora	bass1259		axe	677	AXE		ágūba	a g uː b a
2352	18503	polyglottaafricana-BaynunkGujaxer	bain1259		axe	677	AXE		putḗbi	p u t eː b i
2353	18504	polyglottaafricana-BegbereEjar	begb1241		axe	677	AXE		ḗfo	eː f o
2354	18505	polyglottaafricana-Biafada	biaf1240		axe	677	AXE		ádīṛa	a d iː ɽ a
2356	18507	polyglottaafricana-Bokyi	boky1238		axe	677	AXE		dékīe	d e k iː e
2357	18508	polyglottaafricana-Bolo	bolo1261		axe	677	AXE		nyā́n·ga	n j aː ŋ g a
2359	18510	polyglottaafricana-Buli	buli1254		axe	677	AXE		líāṛa	l i aː ɽ a
2360	18511	polyglottaafricana-Chuwabo	chuw1238		axe	677	AXE		bā́ṭo	b aː ʈ o
2361	18512	polyglottaafricana-CindaRegiTiyal	cind1241		axe	677	AXE		áṣāwo	a ʂ aː w o
2362	18513	polyglottaafricana-CrossRiverMbembe	cros1244		axe	677	AXE		ẹ̄́bar	e˞ː b a r
2363	18514	polyglottaafricana-Dangme	adan1247		axe	677	AXE		éfṣīa	e f ʂ iː a
2365	18516	polyglottaafricana-Dibo	dibo1247		axe	677	AXE		ā́gba	aː gb a
2366	18517	polyglottaafricana-Dimbong	dimb1238		axe	677	AXE		fútsẹn	f u t s e˞ n
2367	18518	polyglottaafricana-Duala	dual1243		axe	677	AXE		ewṓndo	e w oː n d o
2369	18520	polyglottaafricana-Ebira	ebir1243		axe	677	AXE		ā́ga	aː g a
2370	18521	polyglottaafricana-Ebira	ebir1243		axe	677	AXE		ā́ga	aː g a
2371	18522	polyglottaafricana-Ebira	ebir1243		axe	677	AXE		irā́ga	i r aː g a
2372	18523	polyglottaafricana-Ebo	teke1278		axe	677	AXE		gékū	g e k uː
2373	18524	polyglottaafricana-Edo	bini1246		axe	677	AXE		úgāma	u g aː m a
2374	18525	polyglottaafricana-Eloyi	eloy1241		axe	677	AXE		ḗtūa·	eː t uː a
2375	18526	polyglottaafricana-FonGbe	fonn1241		axe	677	AXE		asī́ọ	a s iː o˞
2376	18527	polyglottaafricana-Fula	nige1253		axe	677	AXE		dṣámbẹ̄rẹ	ɖʐ a m b e˞ː r e˞
2377	18528	polyglottaafricana-Fula	nige1253		axe	677	AXE		féirdē	f e i r d eː
2378	18529	polyglottaafricana-FutaJalon	pula1262		axe	677	AXE		tēnírdẹ	t eː n i r d e˞
2379	18530	polyglottaafricana-FutaTooro	pula1263		axe	677	AXE		dṣámbẹ̄rẹ	ɖʐ a m b e˞ː r e˞
2380	18531	polyglottaafricana-Gola	gola1255		axe	677	AXE		bu	b u
2381	18532	polyglottaafricana-Gurmancema	gour1243		axe	677	AXE		yáli	j a l i
2382	18533	polyglottaafricana-Gwari	gbar1246		axe	677	AXE		kẹ́rẹ̄	k e˞ r e˞ː
2383	18534	polyglottaafricana-Gwari	gbar1246		axe	677	AXE		gbā́gn	gb aː g n
2384	18535	polyglottaafricana-Gwari	gbar1246		axe	677	AXE		ā́tsūẹ	aː t s uː e˞
