	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
684	16835	wold-Swahili	swah1253		at	1461	AT		-ni	n i
3490	19641	bantubvd-1	nyam1276		back	1291	BACK		gɔ̀ɔ̀ŋgɔ̀	g ɔ ɔ ŋ g ɔ
3491	19642	bantubvd-10	yaoo1241		back	1291	BACK		ɲùmà	ɲ u m a
3492	19643	bantubvd-2	buku1249		back	1291	BACK		kóòŋgò	k o o ŋ g o
3493	19644	bantubvd-3	koyo1242		back	1291	BACK		kɔ̀rɔ̀	k ɔ r ɔ
3494	19645	bantubvd-4	bemb1257		back	1291	BACK		nùmá	n u m a
3495	19646	bantubvd-5	basa1284		back	1291	BACK		bús	b u s
3496	19647	bantubvd-6	asut1235		back	1291	BACK		ɣòŋgò	ɣ o ŋ g o
3497	19648	bantubvd-7	diri1252		back	1291	BACK		ɣɔ́ŋgɔ̀	ɣ ɔ ŋ g ɔ
3498	19649	bantubvd-8	lega1249		back	1291	BACK		gòŋgò	g o ŋ g o
3499	19650	bantubvd-9	tswa1253		back	1291	BACK		kwàtɬà	k w a tɬ a
3773	19924	hantganbangime-Fulfulde	maas1239		back	1291	BACK		caggal	tʃ a gː a l
4088	20239	mitterhoferbena-Ikuna	ikun1241		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4089	20240	mitterhoferbena-Itipula	itip1234		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4090	20241	mitterhoferbena-Kanamalenga	kana1293		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4091	20242	mitterhoferbena-Liwengi	liwe1234		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4092	20243	mitterhoferbena-Ujindile	ujin1234		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4093	20244	mitterhoferbena-Ukalawa	ukal1234		back	1291	BACK		mugoːŋgo	m u g oː ŋ g o
4312	20463	wold-Swahili	swah1253		back	1291	BACK		mgongo	m ɠ o ⁿg o
4721	20872	bantubvd-1	nyam1276		bad	1292	BAD		βàjá	β a j a
4722	20873	bantubvd-1	nyam1276		bad	1292	BAD		βìí	β i i
4723	20874	bantubvd-10	yaoo1241		bad	1292	BAD		saakala	s a a k a l a
4724	20875	bantubvd-2	buku1249		bad	1292	BAD		-ßì	β i
4725	20876	bantubvd-3	koyo1242		bad	1292	BAD		bé	b e
4726	20877	bantubvd-4	bemb1257		bad	1292	BAD		ßí	β i
4727	20878	bantubvd-6	asut1235		bad	1292	BAD		víví	v i v i
4728	20879	bantubvd-7	diri1252		bad	1292	BAD		dɔ̂nà	d ɔ n a
4729	20880	bantubvd-8	lega1249		bad	1292	BAD		-bɩ́	b i
4730	20881	bantubvd-9	tswa1253		bad	1292	BAD		swɛ́	s w ɛ
4870	21021	hantganbangime-Fulfulde	maas1239		bad	1292	BAD		bon-nde	b o n + n d e
5212	21363	mitterhoferbena-Ikuna	ikun1241		bad	1292	BAD		hibaja	h i b a j a
5213	21364	mitterhoferbena-Itipula	itip1234		bad	1292	BAD		kibaja	k i b a j a
5214	21365	mitterhoferbena-Kanamalenga	kana1293		bad	1292	BAD		hiʋiːfu	h i ʋ iː f u
5215	21366	mitterhoferbena-Liwengi	liwe1234		bad	1292	BAD		hitsafu	h i ts a f u
5216	21367	mitterhoferbena-Liwengi	liwe1234		bad	1292	BAD		ʃibaja	ʃ i b a j a
5217	21368	mitterhoferbena-Ujindile	ujin1234		bad	1292	BAD		çiʋiːʋi	ç i ʋ iː ʋ i
5218	21369	mitterhoferbena-Ukalawa	ukal1234		bad	1292	BAD		kiwiːfu	k i w iː f u
5359	21510	polyglottaafricana-Agwagwune	agwa1247		bad	1292	BAD		ẹ́nẹ̄p	e˞ n e˞ː p
5360	21511	polyglottaafricana-AjaGbe	ajab1235		bad	1292	BAD		mẹ́nyu	m e˞ n j u
5361	21512	polyglottaafricana-Akan	akan1250		bad	1292	BAD		ẹ́n·gẹ	e˞ ŋ g e˞
5362	21513	polyglottaafricana-Alege	aleg1238		bad	1292	BAD		i sọ́nōre	i + s o˞ n oː r e
5363	21514	polyglottaafricana-Alege	aleg1238		bad	1292	BAD		érē bíbi	e r eː + b i b i
5364	21515	polyglottaafricana-Anaang	anaa1238		bad	1292	BAD		ífanno	i f a n n o
5365	21516	polyglottaafricana-Anaang	anaa1238		bad	1292	BAD		ī́dīọg	iː d iː o˞ g
5366	21517	polyglottaafricana-Asu	asun1235		bad	1292	BAD		dẹ̄́woma	d e˞ː w o m a
5367	21518	polyglottaafricana-Baatonum	baat1238		bad	1292	BAD		mokún·wa	m o k u n w a
5368	21519	polyglottaafricana-Baba	baba1264		bad	1292	BAD		ílaṛa pṓẹ	i l a ɽ a + p oː e˞
5369	21520	polyglottaafricana-Badiaranke	bady1239		bad	1292	BAD		wáīra	w a iː r a
5370	21521	polyglottaafricana-BafawBalong	bafa1247		bad	1292	BAD		a bọ́n·ōọ́·	a + b o˞ ŋ oː o˞
5371	21522	polyglottaafricana-BagaKoba	baga1273		bad	1292	BAD		pān dẹ̄́tsa	p aː n + d e˞ː t s a
5373	21524	polyglottaafricana-BakunduBalue	orok1266		bad	1292	BAD		ẹ sā rọ́li	e˞ + s aː + r o˞ l i
5376	21527	polyglottaafricana-BalantaSoofa	bala1301		bad	1292	BAD		u-wọ́hẹ	u + w o˞ h e˞
5378	21529	polyglottaafricana-Bamenyam	bame1260		bad	1292	BAD		ī́bè	iː b e
5379	21530	polyglottaafricana-Bamun	bamu1253		bad	1292	BAD		atámbō	a t a m b oː
5381	21532	polyglottaafricana-Bangolan	bang1356		bad	1292	BAD		ḗpohu	eː p o h u
5384	21535	polyglottaafricana-BassaKontagora	bass1259		bad	1292	BAD		īdṣíṣyu	iː ɖʐ i ʂ j u
5385	21536	polyglottaafricana-BaynunkGujaxer	bain1259		bad	1292	BAD		bū́ndo	b uː n d o
5386	21537	polyglottaafricana-BegbereEjar	begb1241		bad	1292	BAD		onẹ́wupfī	o n e˞ w u p f iː
5387	21538	polyglottaafricana-Biafada	biaf1240		bad	1292	BAD		wóyālé	w o j aː l e
5389	21540	polyglottaafricana-Bokyi	boky1238		bad	1292	BAD		kḗnyuā	k eː n j u aː
5390	21541	polyglottaafricana-Bolo	bolo1261		bad	1292	BAD		mṓtu	m oː t u
5392	21543	polyglottaafricana-Buli	buli1254		bad	1292	BAD		dṣábiọ̄ṛa	ɖʐ a b i o˞ː ɽ a
5393	21544	polyglottaafricana-Chuwabo	chuw1238		bad	1292	BAD		kikódēle	k i k o d eː l e
