	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9094	25245	nagarajakhasian-Khasi	khas1269		bark	1204	BARK		snep	s e p
9095	25246	nagarajakhasian-Khmu	khmu1256		bark	1204	BARK		səŋkhraʔ	s ə ŋ kʰ r a ʔ
9096	25247	nagarajakhasian-Lyngngam	lyng1241		bark	1204	BARK		snieʔ	s i e ʔ
9097	25248	nagarajakhasian-Palaung	shwe1236		bark	1204	BARK		gɔʔ	g ɔ ʔ
9098	25249	nagarajakhasian-WarLamin	warj1242		bark	1204	BARK		snɪəʔ	s ɪ ə ʔ
9214	25365	peirosaustroasiatic-Bit	bitt1240		bark	1204	BARK		kɨnrɔʔ	k ɨ n r ɔ ʔ
9215	25366	peirosaustroasiatic-Bugan	buga1247		bark	1204	BARK		buŋ.55	b u ŋ ⁵⁵
9216	25367	peirosaustroasiatic-Chong	chon1284		bark	1204	BARK		kəkɔʔ.A	k ə k ɔ ʔ ¹
9217	25368	peirosaustroasiatic-MDip	maaa1253		bark	1204	BARK		ndo	ⁿd o
9218	25369	peirosaustroasiatic-Mang	mang1378		bark	1204	BARK		dɔ.31 hɔ.35	d ɔ ³¹ + h ɔ ³⁵
9219	25370	peirosaustroasiatic-Mlabri	mlab1235		bark	1204	BARK		gu gu	g u + g u
9220	25371	peirosaustroasiatic-Mundari	mund1320		bark	1204	BARK		harta	h a r t a
9221	25372	peirosaustroasiatic-Mundari	mund1320		bark	1204	BARK		harta	h a r t a
9222	25373	peirosaustroasiatic-Nancawri	nanc1247		bark	1204	BARK		ʔyk-	ʔ y k
9223	25374	peirosaustroasiatic-Ruc	rucc1239		bark	1204	BARK		kəduh	k ə d u h
9224	25375	peirosaustroasiatic-Samre	somr1240		bark	1204	BARK		sabɔk.B	s a b ɔ k ²
9472	25623	wold-CeqWong	chew1245		bark	1204	BARK		ktəʔ	k t ə ʔ
9511	25662	wold-Vietnamese	viet1252		bark	1204	BARK		vỏ	v ɔː ²¹⁴
22606	38757	deepadungpalaung-MangBang	ruma1248		belly	1251	BELLY		vat	v a t
22614	38765	dunnaslian-Batek_Deq_Koh	bate1262		belly	1251	BELLY		cɨŋ	c ɨ ŋ
22615	38766	dunnaslian-Jah_Hut	jahh1242		belly	1251	BELLY		ləpɛc	l ə p ɛ c
22616	38767	dunnaslian-Jahai_Banun	jeha1242		belly	1251	BELLY		ʔɛc	ʔ ɛ c
22617	38768	dunnaslian-Kensiw_Perak	kens1248		belly	1251	BELLY		cɘŋ	c ɘ ŋ
22618	38769	dunnaslian-Khmer_Siem_Reap	cent1989		belly	1251	BELLY		pŏɔh	p ŏ ɔ h
22619	38770	dunnaslian-Kintaq	kint1239		belly	1251	BELLY		cɨŋ	c ɨ ŋ
22620	38771	dunnaslian-Lanoh_Kertei	lano1248		belly	1251	BELLY		ʔec	ʔ e c
22621	38772	dunnaslian-Mah_Meri	besi1244		belly	1251	BELLY		ʔoʔoc	ʔ o ʔ o c
22622	38773	dunnaslian-Maniq	tong1308		belly	1251	BELLY		cɨŋ	c ɨ ŋ
22623	38774	dunnaslian-Menriq_Lah	minr1238		belly	1251	BELLY		kɨt	k ɨ t
22624	38775	dunnaslian-Semai_Kampar	sema1266		belly	1251	BELLY		kət	k ə t
22625	38776	dunnaslian-Semaq_Beri_Berua	sema1265		belly	1251	BELLY		lpəc	l p ə c
22626	38777	dunnaslian-Semelai	seme1247		belly	1251	BELLY		lpəc	l p ə c
22627	38778	dunnaslian-Semnam_Bal	semn1250		belly	1251	BELLY		kə̆t	k ə̆ t
22628	38779	dunnaslian-Temiar_Kelantan	temi1246		belly	1251	BELLY		ʔej	ʔ e j
23109	39260	nagarajakhasian-Khasi	khas1269		belly	1251	BELLY		kpoʔ	k p o ʔ
23110	39261	nagarajakhasian-Khmu	khmu1256		belly	1251	BELLY		luːj	l uː j
23111	39262	nagarajakhasian-Lyngngam	lyng1241		belly	1251	BELLY		ləwbaʔ	l ə w b a ʔ
23112	39263	nagarajakhasian-Palaung	shwe1236		belly	1251	BELLY		vɛʔ	v ɛ ʔ
23113	39264	nagarajakhasian-WarLamin	warj1242		belly	1251	BELLY		pɒʔ	p ɒ ʔ
23222	39373	peirosaustroasiatic-Bit	bitt1240		belly	1251	BELLY		sərpo	s ə r p o
23223	39374	peirosaustroasiatic-Bugan	buga1247		belly	1251	BELLY		çɛ.33	ç ɛ ³³
23224	39375	peirosaustroasiatic-Chong	chon1284		belly	1251	BELLY		phuŋ.C	pʰ u ŋ ³
23225	39376	peirosaustroasiatic-MDip	maaa1253		belly	1251	BELLY		ndul	ⁿd u l
23226	39377	peirosaustroasiatic-Mang	mang1378		belly	1251	BELLY		plut.55	p l u t ⁵⁵
23227	39378	peirosaustroasiatic-Mlabri	mlab1235		belly	1251	BELLY		puj	p u j
23228	39379	peirosaustroasiatic-Mundari	mund1320		belly	1251	BELLY		laʔi	l a ʔ i
23229	39380	peirosaustroasiatic-Nancawri	nanc1247		belly	1251	BELLY		wíaŋ	w i a ŋ
23230	39381	peirosaustroasiatic-Ruc	rucc1239		belly	1251	BELLY		kəʔdəl.1	k ə ʔ d ə l ¹
23231	39382	peirosaustroasiatic-Samre	somr1240		belly	1251	BELLY		kapuŋ.C	k a p u ŋ ³
23855	40006	wold-CeqWong	chew1245		belly	1251	BELLY		ʔac	ʔ a c
23894	40045	wold-Vietnamese	viet1252		belly	1251	BELLY		bụng	ɓ u ŋm ²¹²
27680	43831	dunnaslian-Batek_Deq_Koh	bate1262		big	1202	BIG		bɘw	b ɘ w
27681	43832	dunnaslian-Jah_Hut	jahh1242		big	1202	BIG		mənaʔ	m ə n a ʔ
27682	43833	dunnaslian-Jahai_Banun	jeha1242		big	1202	BIG		bəw	b ə w
27683	43834	dunnaslian-Kensiw_Perak	kens1248		big	1202	BIG		tbɘʔ	t b ɘ ʔ
27684	43835	dunnaslian-Khmer_Siem_Reap	cent1989		big	1202	BIG		thɔm	tʰ ɔ m
27685	43836	dunnaslian-Kintaq	kint1239		big	1202	BIG		tbɨʔ	t b ɨ ʔ
27686	43837	dunnaslian-Lanoh_Kertei	lano1248		big	1202	BIG		ckɛy	c k ɛ j
27687	43838	dunnaslian-Mah_Meri	besi1244		big	1202	BIG		kadam	k a d a m
27688	43839	dunnaslian-Maniq	tong1308		big	1202	BIG		ʔəhaw	ʔ ə h a w
27689	43840	dunnaslian-Menriq_Lah	minr1238		big	1202	BIG		bəw	b ə w
27690	43841	dunnaslian-Semai_Kampar	sema1266		big	1202	BIG		ntu:y	n t uː j
27691	43842	dunnaslian-Semaq_Beri_Berua	sema1265		big	1202	BIG		pagɑh	p a g ɑ h
27692	43843	dunnaslian-Semelai	seme1247		big	1202	BIG		tʰəy	tʰ ə j
27693	43844	dunnaslian-Semnam_Bal	semn1250		big	1202	BIG		ʔibu:ʔ	ʔ i b uː ʔ
27694	43845	dunnaslian-Temiar_Kelantan	temi1246		big	1202	BIG		mənuːʔ	m ə n uː ʔ
28259	44410	nagarajakhasian-Khasi	khas1269		big	1202	BIG		heʔ	h e ʔ
28260	44411	nagarajakhasian-Khmu	khmu1256		big	1202	BIG		hnam	h a m
28261	44412	nagarajakhasian-Lyngngam	lyng1241		big	1202	BIG		kɨmba	k ɨ m b a
28262	44413	nagarajakhasian-Palaung	shwe1236		big	1202	BIG		daŋ	d a ŋ
28263	44414	nagarajakhasian-WarLamin	warj1242		big	1202	BIG		mɪa	m ɪ a
28375	44526	peirosaustroasiatic-Bit	bitt1240		big	1202	BIG		neŋ	n e ŋ
28376	44527	peirosaustroasiatic-Bugan	buga1247		big	1202	BIG		thɔ.31	tʰ ɔ ³¹
28377	44528	peirosaustroasiatic-Chong	chon1284		big	1202	BIG		tak.A	t a k ¹
28378	44529	peirosaustroasiatic-MDip	maaa1253		big	1202	BIG		kwaŋ	kʷ a ŋ
28379	44530	peirosaustroasiatic-Mang	mang1378		big	1202	BIG		toʔ.31	t o ʔ ³¹
28380	44531	peirosaustroasiatic-Mlabri	mlab1235		big	1202	BIG		diŋ	d i ŋ
28381	44532	peirosaustroasiatic-Mundari	mund1320		big	1202	BIG		maraŋ	m a r a ŋ
28382	44533	peirosaustroasiatic-Nancawri	nanc1247		big	1202	BIG		karúʔ	k a r u ʔ
28383	44534	peirosaustroasiatic-Ruc	rucc1239		big	1202	BIG		məam.2	m əa m ²
28384	44535	peirosaustroasiatic-Samre	somr1240		big	1202	BIG		kɨt.A	k ɨ t ¹
29072	45223	wold-CeqWong	chew1245		big	1202	BIG		mnɨ̃ʔ	m n ɨ̃ ʔ
29109	45260	wold-Vietnamese	viet1252		big	1202	BIG		to	t ɔː ³³
30080	46231	deepadungpalaung-MangBang	ruma1248		bird	937	BIRD		siːm	s iː m
30088	46239	dunnaslian-Batek_Deq_Koh	bate1262		bird	937	BIRD		kawaw	k a w a w
30089	46240	dunnaslian-Jah_Hut	jahh1242		bird	937	BIRD		cɛm	c ɛ m
30090	46241	dunnaslian-Jahai_Banun	jeha1242		bird	937	BIRD		kawɔ̃t	k a w ɔ̃ t
30091	46242	dunnaslian-Kensiw_Perak	kens1248		bird	937	BIRD		kawaw	k a w a w
30092	46243	dunnaslian-Khmer_Siem_Reap	cent1989		bird	937	BIRD		sat slaːp	s a t + s l aː p
30093	46244	dunnaslian-Kintaq	kint1239		bird	937	BIRD		kawaw	k a w a w
30094	46245	dunnaslian-Lanoh_Kertei	lano1248		bird	937	BIRD		cɛp	c ɛ p
30095	46246	dunnaslian-Mah_Meri	besi1244		bird	937	BIRD		ci̤p	c i̤ p
30096	46247	dunnaslian-Maniq	tong1308		bird	937	BIRD		kawaw	k a w a w
30097	46248	dunnaslian-Menriq_Lah	minr1238		bird	937	BIRD		kawaw	k a w a w
30098	46249	dunnaslian-Semai_Kampar	sema1266		bird	937	BIRD		cɛːp	c ɛː p
30099	46250	dunnaslian-Semaq_Beri_Berua	sema1265		bird	937	BIRD		kawɑw	k a w ɑ w
30100	46251	dunnaslian-Semelai	seme1247		bird	937	BIRD		cim	c i m
30101	46252	dunnaslian-Semnam_Bal	semn1250		bird	937	BIRD		ceːm	c eː m
30102	46253	dunnaslian-Temiar_Kelantan	temi1246		bird	937	BIRD		cɛp	c ɛ p
30596	46747	nagarajakhasian-Khasi	khas1269		bird	937	BIRD		sim	s i m
30597	46748	nagarajakhasian-Khmu	khmu1256		bird	937	BIRD		siːm	s iː m
30598	46749	nagarajakhasian-Lyngngam	lyng1241		bird	937	BIRD		sim	s i m
30599	46750	nagarajakhasian-Palaung	shwe1236		bird	937	BIRD		sim	s i m
30600	46751	nagarajakhasian-WarLamin	warj1242		bird	937	BIRD		ksem	k s e m
30714	46865	peirosaustroasiatic-Bit	bitt1240		bird	937	BIRD		ćem	tɕ e m
30715	46866	peirosaustroasiatic-Bugan	buga1247		bird	937	BIRD		sau.33	s au ³³
30716	46867	peirosaustroasiatic-Chong	chon1284		bird	937	BIRD		chim.C	tsʰ i m ³
30717	46868	peirosaustroasiatic-MDip	maaa1253		bird	937	BIRD		sɨm	s ɨ m
30718	46869	peirosaustroasiatic-Mang	mang1378		bird	937	BIRD		sɔm.35	s ɔ m ³⁵
30719	46870	peirosaustroasiatic-Mlabri	mlab1235		bird	937	BIRD		ʔat	ʔ a t
30720	46871	peirosaustroasiatic-Mundari	mund1320		bird	937	BIRD		ceNe	ts e ŋ e
30721	46872	peirosaustroasiatic-Nancawri	nanc1247		bird	937	BIRD		sicú-a	s i c u + a
30722	46873	peirosaustroasiatic-Ruc	rucc1239		bird	937	BIRD		icim.1	i c i m ¹
30723	46874	peirosaustroasiatic-Samre	somr1240		bird	937	BIRD		chim.C	tsʰ i m ³
30990	47141	sidwellbahnaric-alak	alak1253		bird	937	BIRD		c.ɛː.m	c ɛː m
30991	47142	sidwellbahnaric-bahnarpleiku	bahn1262		bird	937	BIRD		s.ɛː.m	s ɛː m
30992	47143	sidwellbahnaric-bahnarpleiku	bahn1262		bird	937	BIRD		s.ɛː.m._.p.a.r	s ɛː m + p a r
30993	47144	sidwellbahnaric-brao	lave1249		bird	937	BIRD		c.eː.m	c eː m
30994	47145	sidwellbahnaric-cheng	jeng1241		bird	937	BIRD		c.eː.m	c eː m
30995	47146	sidwellbahnaric-chrau	chra1242		bird	937	BIRD		s.u.m	s u m
30996	47147	sidwellbahnaric-cua	cuaa1241		bird	937	BIRD		s.eː.p	s eː p
30997	47148	sidwellbahnaric-halang	hala1252		bird	937	BIRD		c.i.m	c i m
30998	47149	sidwellbahnaric-jeh	jehh1245		bird	937	BIRD		c.i.m	c i m
30999	47150	sidwellbahnaric-jrulaven	lave1248		bird	937	BIRD		c.eː.m	c eː m
31000	47151	sidwellbahnaric-mnongrlm	east2333		bird	937	BIRD		s.ɨ.m	s ɨ m
