	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8823	24974	johanssonsoundsymbolic-Aymara	cent2142		bark	1204	BARK		qhathi_siʎpʼi	qʰ a tʰ i + s i ʎ pʼ i
22587	38738	crossandean-Jaqaru	jaqa1244		belly	1251	BELLY		phuĉa.ka	pʰ u ʈʂ a + k a
22589	38740	crossandean-Kawki	cauq1239		belly	1251	BELLY		phuĉa.ka	pʰ u ʈʂ a + k a
22855	39006	johanssonsoundsymbolic-Aymara	cent2142		belly	1251	BELLY		phatanka	pʰ a t a n k a
27654	43805	crossandean-Jaqaru	jaqa1244		big	1202	BIG		axts'a	a x tsʼ a
27656	43807	crossandean-Kawki	cauq1239		big	1202	BIG		asĉ'a	a s ʈʂʼ a
27895	44046	johanssonsoundsymbolic-Aymara	cent2142		big	1202	BIG		xatʼʃʼa	x a tʃʼ a
30061	46212	crossandean-Jaqaru	jaqa1244		bird	937	BIRD		č'ipi	tʃʼ i p i
30063	46214	crossandean-Kawki	cauq1239		bird	937	BIRD		č'ipi	tʃʼ i p i
30288	46439	johanssonsoundsymbolic-Aymara	cent2142		bird	937	BIRD		xamatʼʃʼi	x a m a tʃʼ i
32390	48541	crossandean-Jaqaru	jaqa1244		bite	1403	BITE		hawč'i.	h au tʃʼ i
32392	48543	crossandean-Kawki	cauq1239		bite	1403	BITE		hawč'i.	h au tʃʼ i
32636	48787	johanssonsoundsymbolic-Aymara	cent2142		bite	1403	BITE		atʃuqaɲa	a tʃ u q a ɲ a
35041	51192	crossandean-Jaqaru	jaqa1244		black	163	BLACK		ts'irara	tsʼ i r a r a
35043	51194	crossandean-Kawki	cauq1239		black	163	BLACK		ĉ'irara	ʈʂʼ i r a r a
35246	51397	johanssonsoundsymbolic-Aymara	cent2142		black	163	BLACK		tʼʃʼijaɾa	tʃʼ i j a ɾ a
38475	54626	crossandean-Jaqaru	jaqa1244		blood	946	BLOOD		wila	w i l a
38477	54628	crossandean-Kawki	cauq1239		blood	946	BLOOD		wila	w i l a
38658	54809	johanssonsoundsymbolic-Aymara	cent2142		blood	946	BLOOD		wila	w i l a
46689	62840	crossandean-Jaqaru	jaqa1244		bone	1394	BONE		ts'a:ka	tsʼ aː k a
46691	62842	crossandean-Kawki	cauq1239		bone	1394	BONE		ts'a:ka	tsʼ aː k a
46887	63038	johanssonsoundsymbolic-Aymara	cent2142		bone	1394	BONE		tʼʃʼakha	tʃʼ a kʰ a
56774	72927	crossandean-Jaqaru	jaqa1244		breast	1402	BREAST		ñuñu	ɲ u ɲ u
56776	72929	crossandean-Kawki	cauq1239		breast	1402	BREAST		ñuñu	ɲ u ɲ u
56974	73127	johanssonsoundsymbolic-Aymara	cent2142		breast	1402	BREAST		ɲuɲu	ɲ u ɲ u
64450	80603	johanssonsoundsymbolic-Aymara	cent2142		burn	2102	BURN		phitʃhaɲa	pʰ i tʃʰ a ɲ a
91363	107516	crossandean-Jaqaru	jaqa1244		cloud	1489	CLOUD		urpi	u r p i
91365	107518	crossandean-Kawki	cauq1239		cloud	1489	CLOUD		urpi	u r p i
91588	107741	johanssonsoundsymbolic-Aymara	cent2142		cloud	1489	CLOUD		qinaja	q i n a j a
94961	111114	crossandean-Jaqaru	jaqa1244		cold	1287	COLD		ats'iki	a tsʼ i k i
94963	111116	crossandean-Kawki	cauq1239		cold	1287	COLD		haĉ'iki	h a ʈʂʼ i k i
95163	111316	johanssonsoundsymbolic-Aymara	cent2142		cold	1287	COLD		thaja	tʰ a j a
98580	114733	crossandean-Jaqaru	jaqa1244		come	1446	COME		uxta.	u x t a
98582	114735	crossandean-Kawki	cauq1239		come	1446	COME		uxta.	u x t a
98583	114736	crossandean-Kawki	cauq1239		come	1446	COME		usta.	u s t a
98827	114980	johanssonsoundsymbolic-Aymara	cent2142		come	1446	COME		xutaɲa	x u t a ɲ a
126802	142957	crossandean-Jaqaru	jaqa1244		die	1494	DIE		hiwa.	h i w a
126804	142959	crossandean-Kawki	cauq1239		die	1494	DIE		hiwa.	h i w a
127047	143202	johanssonsoundsymbolic-Aymara	cent2142		die	1494	DIE		xiwata	x i w a t a
135397	151552	crossandean-Jaqaru	jaqa1244		dog	2009	DOG		haλq'u	h a ʎ qʼ u
135399	151554	crossandean-Kawki	cauq1239		dog	2009	DOG		ašara	a ʃ a r a
135597	151752	johanssonsoundsymbolic-Aymara	cent2142		dog	2009	DOG		anu	a n u
141861	158016	crossandean-Jaqaru	jaqa1244		drink	1401	DRINK		uma.	u m a
141863	158018	crossandean-Kawki	cauq1239		drink	1401	DRINK		uma.	u m a
142066	158221	johanssonsoundsymbolic-Aymara	cent2142		drink	1401	DRINK		umaɲa	u m a ɲ a
145495	161650	crossandean-Jaqaru	jaqa1244		dry	1398	DRY		ča:ki	tʃ aː k i
145497	161652	crossandean-Kawki	cauq1239		dry	1398	DRY		čaki	tʃ a k i
145710	161865	johanssonsoundsymbolic-Aymara	cent2142		dry	1398	DRY		waɲa	w a ɲ a
150954	167109	crossandean-Jaqaru	jaqa1244		ear	1247	EAR		hinču	h i n tʃ u
150956	167111	crossandean-Kawki	cauq1239		ear	1247	EAR		hinču	h i n tʃ u
151140	167295	johanssonsoundsymbolic-Aymara	cent2142		ear	1247	EAR		xintʃu	x i n tʃ u
154063	170218	johanssonsoundsymbolic-Aymara	cent2142		earthsoil	1228	EARTH (SOIL)		uɾaqi	u ɾ a q i
156426	172581	crossandean-Jaqaru	jaqa1244		eat	1336	EAT		palu.	p a l u
156428	172583	crossandean-Kawki	cauq1239		eat	1336	EAT		palu.	p a l u
156664	172819	johanssonsoundsymbolic-Aymara	cent2142		eat	1336	EAT		manqʼaɲa	m a n qʼ a ɲ a
158794	174952	crossandean-Jaqaru	jaqa1244		egg	744	EGG		nuru	n u r u
158796	174954	crossandean-Kawki	cauq1239		egg	744	EGG		k'awna	kʼ a w n a
158976	175134	johanssonsoundsymbolic-Aymara	cent2142		egg	744	EGG		kʼawna	kʼ a w n a
169331	185489	crossandean-Jaqaru	jaqa1244		eye	1248	EYE		nayra	n ai r a
169333	185491	crossandean-Kawki	cauq1239		eye	1248	EYE		nayra	n ai r a
169544	185702	johanssonsoundsymbolic-Aymara	cent2142		eye	1248	EYE		najɾa	n a j ɾ a
181982	198142	crossandean-Jaqaru	jaqa1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nik'i	n i kʼ i
181984	198144	crossandean-Kawki	cauq1239		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ñik'i	ɲ i kʼ i
182040	198200	johanssonsoundsymbolic-Aymara	cent2142		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		juspha	j u s pʰ a
184876	201036	johanssonsoundsymbolic-Aymara	cent2142		feather	1201	FEATHER		phuju	pʰ u j u
187077	219730	crossandean-Jaqaru	jaqa1244		fleshormeat	2615	FLESH OR MEAT		hanči	h a n tʃ i
187079	219732	crossandean-Kawki	cauq1239		fleshormeat	2615	FLESH OR MEAT		hanči	h a n tʃ i
192630	225283	crossandean-Jaqaru	jaqa1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		hax.pta.	h a x + p t a
