	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2978	19129	transnewguineaorg-qaget	qaqe1238		baby	1289	BABY		ʌɔkʌgini	ʌ ɔ k ʌ g i n i
2990	19141	transnewguineaorg-ura	urap1240		baby	1289	BABY		rimini	r i m i n i
2991	19142	transnewguineaorg-ura	urap1240		baby	1289	BABY		rɩmɩnɩ	r ɪ m ɪ n ɪ
2992	19143	transnewguineaorg-ura	urap1240		baby	1289	BABY		r̰uɩmɩni	r u ɪ m ɪ n i
3933	20084	johanssonsoundsymbolic-Mali	mali1284		back	1291	BACK		ɹəŋ	ɹ ə ŋ
5051	21202	johanssonsoundsymbolic-Mali	mali1284		bad	1292	BAD		aŋguβaŋ	a ŋ g u β a ŋ
8189	24340	transnewguineaorg-qaget	qaqe1238		banana	868	BANANA		ǥəƀɨt	g ə β ɨ t
8190	24341	transnewguineaorg-qaget	qaqe1238		banana	868	BANANA		ʌ_g̶ʌƀətkʌ	ʌ + gˤ ʌ β ə t k ʌ
8226	24377	transnewguineaorg-ura	urap1240		banana	868	BANANA		rʌŋʌm	r ʌ ŋ ʌ m
8227	24378	transnewguineaorg-ura	urap1240		banana	868	BANANA		rʌŋʌm	r ʌ ŋ ʌ m
8228	24379	transnewguineaorg-ura	urap1240		banana	868	BANANA		r̰aŋam-gi	r a ŋ a m + g i
8886	25037	johanssonsoundsymbolic-Mali	mali1284		bark	1204	BARK		aluat	a l u a t
9384	25535	transnewguineaorg-qaget	qaqe1238		bark	1204	BARK		ʌ_g̶ʌtəŋit	ʌ + gˤ ʌ t ə ŋ i t
9406	25557	transnewguineaorg-ura	urap1240		bark	1204	BARK		ʌsnʌŋgut	ʌ s n ʌ ŋ g u t
9407	25558	transnewguineaorg-ura	urap1240		bark	1204	BARK		ʌsnʌŋgut	ʌ s n ʌ ŋ g u t
9408	25559	transnewguineaorg-ura	urap1240		bark	1204	BARK		luat	l u a t
9409	25560	transnewguineaorg-ura	urap1240		bark	1204	BARK		lur̰ait	l u r a i t
13029	29180	johanssonsoundsymbolic-Mali	mali1284		bealive	1422	BE ALIVE		ajar	a j a r
14167	30318	transnewguineaorg-qaget	qaqe1238		bean	832	BEAN		ʌg̶lƀai	ʌ gˤ l β a i
14188	30339	transnewguineaorg-ura	urap1240		bean	832	BEAN		ɣaweo	ɣ a w e o
15775	31926	johanssonsoundsymbolic-Mali	mali1284		beautiful	1427	BEAUTIFUL		mamər	m a m ə r
16344	32495	johanssonsoundsymbolic-Mali	mali1284		because	1157	BECAUSE		i	i
19275	35426	johanssonsoundsymbolic-Mali	mali1284		before	1882	BEFORE		mali	m a l i
20511	36662	johanssonsoundsymbolic-Mali	mali1284		behind	1686	BEHIND		nasɔt	n a s ɔ t
22927	39078	johanssonsoundsymbolic-Mali	mali1284		belly	1251	BELLY		sarumgi	s a r u m g i
23723	39874	transnewguineaorg-qaget	qaqe1238		belly	1251	BELLY		řutka	r̝ u t k a
23724	39875	transnewguineaorg-qaget	qaqe1238		belly	1251	BELLY		ʌ_rarutkʌ	ʌ + r a r u t k ʌ
23770	39921	transnewguineaorg-ura	urap1240		belly	1251	BELLY		ʌ_səřimgi	ʌ + s ə r̝ i m g i
23771	39922	transnewguineaorg-ura	urap1240		belly	1251	BELLY		ʌ_sərɩmgɩ	ʌ + s ə r ɪ m g ɪ
23772	39923	transnewguineaorg-ura	urap1240		belly	1251	BELLY		sařimgi	s a r̝ i m g i
24567	40718	johanssonsoundsymbolic-Mali	mali1284		beloworunder	1485	BELOW OR UNDER		imani	i m a n i
25781	41932	johanssonsoundsymbolic-Mali	mali1284		beside	1816	BESIDE		dəβəɹik	d ə β ə ɹ i k
26495	42646	johanssonsoundsymbolic-Mali	mali1284		between	689	BETWEEN		mugurəp	m u g u r ə p
27970	44121	johanssonsoundsymbolic-Mali	mali1284		big	1202	BIG		amɔr	a m ɔ r
28928	45079	transnewguineaorg-qaget	qaqe1238		big	1202	BIG		sᵊluřᵊka	s ə l u r̝ ə k a
28929	45080	transnewguineaorg-qaget	qaqe1238		big	1202	BIG		ʌmʌL̶urľka	ʌ m ʌ l u r ʎ k a
28981	45132	transnewguineaorg-ura	urap1240		big	1202	BIG		mořo	m o r̝ o
28982	45133	transnewguineaorg-ura	urap1240		big	1202	BIG		mořo	m o r̝ o
28983	45134	transnewguineaorg-ura	urap1240		big	1202	BIG		moř	m o r̝
30353	46504	johanssonsoundsymbolic-Mali	mali1284		bird	937	BIRD		isəmga	i s ə m g a
31280	47431	transnewguineaorg-qaget	qaqe1238		bird	937	BIRD		waⁱṱki	w ai t k i
31281	47432	transnewguineaorg-qaget	qaqe1238		bird	937	BIRD		ʌ_wʌitka	ʌ + w ʌ i t k a
31334	47485	transnewguineaorg-ura	urap1240		bird	937	BIRD		ɛɛsumgʌ	ɛ ɛ s u m g ʌ
31335	47486	transnewguineaorg-ura	urap1240		bird	937	BIRD		ɛɛ'sumgʌ	ɛ ɛ s u m g ʌ
31336	47487	transnewguineaorg-ura	urap1240		bird	937	BIRD		isʌmga	i s ʌ m g a
32704	48855	johanssonsoundsymbolic-Mali	mali1284		bite	1403	BITE		tnɛs	t n ɛ s
33386	49537	transnewguineaorg-qaget	qaqe1238		bite	1403	BITE		ⁿdaŋka_kanis_ama_watka	ⁿd a ŋ k a + k a n i s + a m a + w a t k a
33387	49538	transnewguineaorg-qaget	qaqe1238		bite	1403	BITE		ʌ_dʌŋkʌ_kʌ_ts	ʌ + d ʌ ŋ k ʌ + k ʌ + ts
33437	49588	transnewguineaorg-ura	urap1240		bite	1403	BITE		ʌ_mɛmgʌ_kʌ_tᵊsʌmʌ_rugʌ	ʌ + m ɛ m g ʌ + k ʌ + t ə s ʌ m ʌ + r u g ʌ
33438	49589	transnewguineaorg-ura	urap1240		bite	1403	BITE		ʌ_mɛmgʌ_kʌ_ts_ʌmʌ_rugʌ	ʌ + m ɛ m g ʌ + k ʌ + ts + ʌ m ʌ + r u g ʌ
33439	49590	transnewguineaorg-ura	urap1240		bite	1403	BITE		ɣʌṱnɛs	ɣ ʌ t n ɛ s
33839	49990	johanssonsoundsymbolic-Mali	mali1284		bitter	887	BITTER		sərɛn	s ə r ɛ n
35317	51468	johanssonsoundsymbolic-Mali	mali1284		black	163	BLACK		aɣluiŋ	a ɣ l u i ŋ
38730	54881	johanssonsoundsymbolic-Mali	mali1284		blood	946	BLOOD		biaska	b i a s k a
39640	55791	transnewguineaorg-qaget	qaqe1238		blood	946	BLOOD		ǥᵊřᵊka	g ə r̝ ə k a
39641	55792	transnewguineaorg-qaget	qaqe1238		blood	946	BLOOD		ʌg̶ʌřʌkʌ	ʌ gˤ ʌ r̝ ʌ k ʌ
39691	55842	transnewguineaorg-ura	urap1240		blood	946	BLOOD		biʌskʌ	b i ʌ s k ʌ
39692	55843	transnewguineaorg-ura	urap1240		blood	946	BLOOD		biʌskʌ	b i ʌ s k ʌ
39693	55844	transnewguineaorg-ura	urap1240		blood	946	BLOOD		a_biaska	a + b i a s k a
40945	57096	johanssonsoundsymbolic-Mali	mali1284		blowofwind	175	BLOW (OF WIND)		pɛs	p ɛ s
42107	58258	johanssonsoundsymbolic-Mali	mali1284		blue	837	BLUE		ɣəɹiaɣa	ɣ ə ɹ i a ɣ a
43124	59275	johanssonsoundsymbolic-Mali	mali1284		blunt	379	BLUNT		buɛl_mət	b u ɛ l + m ə t
44616	60767	johanssonsoundsymbolic-Mali	mali1284		body	1480	BODY		ɣədəŋəm	ɣ ə d ə ŋ ə m
46959	63110	johanssonsoundsymbolic-Mali	mali1284		bone	1394	BONE		sləpki	s l ə p k i
47880	64031	transnewguineaorg-qaget	qaqe1238		bone	1394	BONE		lan	l a n
47881	64032	transnewguineaorg-qaget	qaqe1238		bone	1394	BONE		sləpki	s l ə p k i
47942	64093	transnewguineaorg-ura	urap1240		bone	1394	BONE		a_Lləp	a + l l ə p
47943	64094	transnewguineaorg-ura	urap1240		bone	1394	BONE		ʌ_Lləp	ʌ + l l ə p
47944	64095	transnewguineaorg-ura	urap1240		bone	1394	BONE		o_slʌpki	o + s l ʌ p k i
51540	67691	johanssonsoundsymbolic-Mali	mali1284		boy	1366	BOY		ɹuarɛska	ɹ u a r ɛ s k a
52198	68349	transnewguineaorg-qaget	qaqe1238		boy	1366	BOY		ʌřuimgʌ	ʌ r̝ u i m g ʌ
52224	68375	transnewguineaorg-ura	urap1240		boy	1366	BOY		řuɛmgʌ	r̝ u ɛ m g ʌ
52225	68376	transnewguineaorg-ura	urap1240		boy	1366	BOY		řuɛmgʌ	r̝ u ɛ m g ʌ
52226	68377	transnewguineaorg-ura	urap1240		boy	1366	BOY		r̰oemga	r o e m g a
52933	69084	johanssonsoundsymbolic-Mali	mali1284		brain	1583	BRAIN		gənəŋaɣi	g ə n ə ŋ a ɣ i
57042	73195	johanssonsoundsymbolic-Mali	mali1284		breast	1402	BREAST		ɣəməɣa	ɣ ə m ə ɣ a
57931	74084	transnewguineaorg-qaget	qaqe1238		breast	1402	BREAST		ǥomʌk	g o m ʌ k
57932	74085	transnewguineaorg-qaget	qaqe1238		breast	1402	BREAST		og̶əmək	o gˤ ə m ə k
57990	74143	transnewguineaorg-ura	urap1240		breast	1402	BREAST		at_gəmuk	a t + g ə m u k
57991	74144	transnewguineaorg-ura	urap1240		breast	1402	BREAST		at_gəmuk	a t + g ə m u k
57992	74145	transnewguineaorg-ura	urap1240		breast	1402	BREAST		atkʌmuk	a t k ʌ m u k
58963	75116	johanssonsoundsymbolic-Mali	mali1284		breathe	1407	BREATHE		saŋgas	s a ŋ g a s
61557	77710	transnewguineaorg-qaget	qaqe1238		brother	1262	BROTHER		bařᵊka	b a r̝ ə k a
61558	77711	transnewguineaorg-qaget	qaqe1238		brother	1262	BROTHER		guřʌřiɛmgʌ	g u r̝ ʌ r̝ i ɛ m g ʌ
61577	77730	transnewguineaorg-ura	urap1240		brother	1262	BROTHER		gwʌ̂mʌtkʌ	g w ʌ m ʌ t k ʌ
61578	77731	transnewguineaorg-ura	urap1240		brother	1262	BROTHER		gwʌmʌtkʌ	g w ʌ m ʌ t k ʌ
