	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3933	20084	johanssonsoundsymbolic-Mali	mali1284		back	1291	BACK		ɹəŋ	ɹ ə ŋ
5051	21202	johanssonsoundsymbolic-Mali	mali1284		bad	1292	BAD		aŋguβaŋ	a ŋ g u β a ŋ
8886	25037	johanssonsoundsymbolic-Mali	mali1284		bark	1204	BARK		aluat	a l u a t
9384	25535	transnewguineaorg-qaget	qaqe1238		bark	1204	BARK		ʌ_g̶ʌtəŋit	ʌ + gˤ ʌ t ə ŋ i t
9406	25557	transnewguineaorg-ura	urap1240		bark	1204	BARK		ʌsnʌŋgut	ʌ s n ʌ ŋ g u t
9407	25558	transnewguineaorg-ura	urap1240		bark	1204	BARK		ʌsnʌŋgut	ʌ s n ʌ ŋ g u t
9408	25559	transnewguineaorg-ura	urap1240		bark	1204	BARK		luat	l u a t
9409	25560	transnewguineaorg-ura	urap1240		bark	1204	BARK		lur̰ait	l u r a i t
13029	29180	johanssonsoundsymbolic-Mali	mali1284		bealive	1422	BE ALIVE		ajar	a j a r
16344	32495	johanssonsoundsymbolic-Mali	mali1284		because	1157	BECAUSE		i	i
22927	39078	johanssonsoundsymbolic-Mali	mali1284		belly	1251	BELLY		sarumgi	s a r u m g i
23723	39874	transnewguineaorg-qaget	qaqe1238		belly	1251	BELLY		řutka	r̝ u t k a
23724	39875	transnewguineaorg-qaget	qaqe1238		belly	1251	BELLY		ʌ_rarutkʌ	ʌ + r a r u t k ʌ
23770	39921	transnewguineaorg-ura	urap1240		belly	1251	BELLY		ʌ_səřimgi	ʌ + s ə r̝ i m g i
23771	39922	transnewguineaorg-ura	urap1240		belly	1251	BELLY		ʌ_sərɩmgɩ	ʌ + s ə r ɪ m g ɪ
23772	39923	transnewguineaorg-ura	urap1240		belly	1251	BELLY		sařimgi	s a r̝ i m g i
27970	44121	johanssonsoundsymbolic-Mali	mali1284		big	1202	BIG		amɔr	a m ɔ r
28928	45079	transnewguineaorg-qaget	qaqe1238		big	1202	BIG		sᵊluřᵊka	s ə l u r̝ ə k a
28929	45080	transnewguineaorg-qaget	qaqe1238		big	1202	BIG		ʌmʌL̶urľka	ʌ m ʌ l u r ʎ k a
28981	45132	transnewguineaorg-ura	urap1240		big	1202	BIG		mořo	m o r̝ o
28982	45133	transnewguineaorg-ura	urap1240		big	1202	BIG		mořo	m o r̝ o
28983	45134	transnewguineaorg-ura	urap1240		big	1202	BIG		moř	m o r̝
30353	46504	johanssonsoundsymbolic-Mali	mali1284		bird	937	BIRD		isəmga	i s ə m g a
31280	47431	transnewguineaorg-qaget	qaqe1238		bird	937	BIRD		waⁱṱki	w ai t k i
31281	47432	transnewguineaorg-qaget	qaqe1238		bird	937	BIRD		ʌ_wʌitka	ʌ + w ʌ i t k a
31334	47485	transnewguineaorg-ura	urap1240		bird	937	BIRD		ɛɛsumgʌ	ɛ ɛ s u m g ʌ
31335	47486	transnewguineaorg-ura	urap1240		bird	937	BIRD		ɛɛ'sumgʌ	ɛ ɛ s u m g ʌ
