	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
461	16612	hubercolumbian-Awa	awac1239		at	1461	AT		ta	t a
468	16619	hubercolumbian-Chapalaachi	chac1249		at	1461	AT		ʃa	ʃ a
484	16635	hubercolumbian-Guambiano	guam1248		at	1461	AT		ju	j u
517	16668	hubercolumbian-TsafiquiPila	colo1256		at	1461	AT		te	t e
518	16669	hubercolumbian-TsafiquiPila	colo1256		at	1461	AT		le	l e
519	16670	hubercolumbian-TsafiquiPila	colo1256		at	1461	AT		ka	k a
3790	19941	hubercolumbian-Awa	awac1239		back	1291	BACK		puns	p u n s
3798	19949	hubercolumbian-Chapalaachi	chac1249		back	1291	BACK		beenbuʃu	b eː n b u ʃ u
3814	19965	hubercolumbian-Guambiano	guam1248		back	1291	BACK		lʲik	lʲ i k
3841	19992	hubercolumbian-TsafiquiPila	colo1256		back	1291	BACK		betende	b e t e n d e
4891	21042	hubercolumbian-Awa	awac1239		bad	1292	BAD		kwail	k w a i l
4902	21053	hubercolumbian-Chapalaachi	chac1249		bad	1292	BAD		urahtu	u r a h t u
4917	21068	hubercolumbian-Guambiano	guam1248		bad	1292	BAD		kaik	k a i k
4945	21096	hubercolumbian-Totoro	toto1306		bad	1292	BAD		tɕi̵mpik	tɕ ɨ m p i k
4946	21097	hubercolumbian-TsafiquiPila	colo1256		bad	1292	BAD		seiton	s e i t o n
8742	24893	hubercolumbian-Awa	awac1239		bark	1204	BARK		ti̵ aja	t ɨ + a j a
8743	24894	hubercolumbian-Awa	awac1239		bark	1204	BARK		tamaxatu	t a m a x a t u
8750	24901	hubercolumbian-Chapalaachi	chac1249		bark	1204	BARK		kika	k i k a
8763	24914	hubercolumbian-Guambiano	guam1248		bark	1204	BARK		kalus	k a l u s
8792	24943	hubercolumbian-Totoro	toto1306		bark	1204	BARK		tɕikkali̵s	tɕ i k k a l ɨ s
8793	24944	hubercolumbian-TsafiquiPila	colo1256		bark	1204	BARK		kido	k i d o
12879	29030	hubercolumbian-Awa	awac1239		bealive	1422	BE ALIVE		kã	k ã
12886	29037	hubercolumbian-Chapalaachi	chac1249		bealive	1422	BE ALIVE		su	s u
12900	29051	hubercolumbian-Guambiano	guam1248		bealive	1422	BE ALIVE		i̵sik	ɨ s i k
12928	29079	hubercolumbian-Totoro	toto1306		bealive	1422	BE ALIVE		isik paɕan	i s i k + p a ɕ a n
12929	29080	hubercolumbian-TsafiquiPila	colo1256		bealive	1422	BE ALIVE		son	s o n
22697	38848	hubercolumbian-Awa	awac1239		belly	1251	BELLY		pi̵xa	p ɨ x a
22698	38849	hubercolumbian-Awa	awac1239		belly	1251	BELLY		pi̵xa	p ɨ x a
22717	38868	hubercolumbian-Chapalaachi	chac1249		belly	1251	BELLY		ahka	a h k a
22718	38869	hubercolumbian-Chapalaachi	chac1249		belly	1251	BELLY		ahka	a h k a
22748	38899	hubercolumbian-Guambiano	guam1248		belly	1251	BELLY		patsi̵	p a ts ɨ
22749	38900	hubercolumbian-Guambiano	guam1248		belly	1251	BELLY		patsi̵	p a ts ɨ
22800	38951	hubercolumbian-Totoro	toto1306		belly	1251	BELLY		kiti̵	k i t ɨ
22801	38952	hubercolumbian-Totoro	toto1306		belly	1251	BELLY		kiti̵	k i t ɨ
22802	38953	hubercolumbian-TsafiquiPila	colo1256		belly	1251	BELLY		pekolo	p e k o l o
22803	38954	hubercolumbian-TsafiquiPila	colo1256		belly	1251	BELLY		pekolo	p e k o l o
27803	43954	hubercolumbian-Awa	awac1239		big	1202	BIG		katsa	k a ts a
27813	43964	hubercolumbian-Chapalaachi	chac1249		big	1202	BIG		aahua	aː h u a
27829	43980	hubercolumbian-Guambiano	guam1248		big	1202	BIG		nu	n u
27862	44013	hubercolumbian-Totoro	toto1306		big	1202	BIG		nuik	n u i k
27863	44014	hubercolumbian-TsafiquiPila	colo1256		big	1202	BIG		wa	w a
27864	44015	hubercolumbian-TsafiquiPila	colo1256		big	1202	BIG		ajankan	a j a n k a n
30200	46351	hubercolumbian-Awa	awac1239		bird	937	BIRD		ʧiʧu	tʃ i tʃ u
30209	46360	hubercolumbian-Chapalaachi	chac1249		bird	937	BIRD		piʃku	p i ʃ k u
30223	46374	hubercolumbian-Guambiano	guam1248		bird	937	BIRD		ilʲĩ	i lʲ ĩ
30254	46405	hubercolumbian-Totoro	toto1306		bird	937	BIRD		ilʲi	i lʲ i
30255	46406	hubercolumbian-TsafiquiPila	colo1256		bird	937	BIRD		pitsu	p i ts u
32557	48708	hubercolumbian-Awa	awac1239		bite	1403	BITE		sula kwan	s u l a + k w a n
32567	48718	hubercolumbian-Chapalaachi	chac1249		bite	1403	BITE		finu	f i n u
32581	48732	hubercolumbian-Guambiano	guam1248		bite	1403	BITE		tsaʧip	ts a tʃ i p
32607	48758	hubercolumbian-Totoro	toto1306		bite	1403	BITE		kikip	k i k i p
32608	48759	hubercolumbian-TsafiquiPila	colo1256		bite	1403	BITE		hali	h a l i
