	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2690	18841	bremerberta-Fadashi	fada1248		baboon	1197	BABOON		duʔaʃ	d u ʔ a ʃ
2691	18842	bremerberta-Maiyu	mayu1240		baboon	1197	BABOON		dʊ́ʷosh	d ʊu̯ o ʃ
2692	18843	bremerberta-Undulu	undu1236		baboon	1197	BABOON		tóːʃ	t oː ʃ
7246	23397	bremerberta-Fadashi	fada1248		bamboo	1927	BAMBOO		kaːgú	k aː g u
7247	23398	bremerberta-Maiyu	mayu1240		bamboo	1927	BAMBOO		kaːgú	k aː g u
7248	23399	bremerberta-Undulu	undu1236		bamboo	1927	BAMBOO		gaːgú	g aː g u
12070	28221	bremerberta-Fadashi	fada1248		bead	1860	BEAD		amanzi	a m a n z i
12071	28222	bremerberta-Maiyu	mayu1240		bead	1860	BEAD		amanzi	a m a n z i
12072	28223	bremerberta-Undulu	undu1236		bead	1860	BEAD		amanzi	a m a n z i
12761	28912	bremerberta-Fadashi	fada1248		bealive	1422	BE ALIVE		siː_θaːre	s iː + θ aː r e
12762	28913	bremerberta-Maiyu	mayu1240		bealive	1422	BE ALIVE		siː_θaːre	s iː + θ aː r e
12763	28914	bremerberta-Undulu	undu1236		bealive	1422	BE ALIVE		hiːʔiya	h iː ʔ i y a
19201	35352	bremerberta-Fadashi	fada1248		before	1882	BEFORE		ɓəɗé	ɓ ə ɗ e
19202	35353	bremerberta-Maiyu	mayu1240		before	1882	BEFORE		gə́bʊl	g ə b ʊ l
19203	35354	bremerberta-Undulu	undu1236		before	1882	BEFORE		ɓɛɗé	ɓ ɛ ɗ e
20411	36562	bremerberta-Fadashi	fada1248		behind	1686	BEHIND		ma_gundi	m a + g u n d i
20412	36563	bremerberta-Maiyu	mayu1240		behind	1686	BEHIND		ma_gundi	m a + g u n d i
20413	36564	bremerberta-Undulu	undu1236		behind	1686	BEHIND		gundi	g u n d i
33691	49842	bremerberta-Fadashi	fada1248		bitter	887	BITTER		k’as’i	k ʔ a s ʔ i
33692	49843	bremerberta-Maiyu	mayu1240		bitter	887	BITTER		k’əs’í	k ʔ ə s ʔ i
37005	53156	bremerberta-Maiyu	mayu1240		bleed	3615	BLEED		ɓuda	ɓ u d a
37006	53157	bremerberta-Undulu	undu1236		bleed	3615	BLEED		ɓuɗí	ɓ u ɗ i
37767	53918	bremerberta-Fadashi	fada1248		blocktheway	2762	BLOCK (THE WAY)		məriɛne	m ə r i ɛ n e
37768	53919	bremerberta-Maiyu	mayu1240		blocktheway	2762	BLOCK (THE WAY)		p’aːra_-ʔi	p ʔ aː r a + ʔ i
37769	53920	bremerberta-Undulu	undu1236		blocktheway	2762	BLOCK (THE WAY)		məriɛne	m ə r i ɛ n e
38398	54549	bremerberta-Fadashi	fada1248		blood	946	BLOOD		k’afa	k ʔ a f a
38399	54550	bremerberta-Maiyu	mayu1240		blood	946	BLOOD		k’áfa	k ʔ a f a
38400	54551	bremerberta-Undulu	undu1236		blood	946	BLOOD		k’áfaŋ	k ʔ a f a ŋ
44039	60190	bremerberta-Fadashi	fada1248		boat	1844	BOAT		k’urfe	k ʔ u r f e
44040	60191	bremerberta-Maiyu	mayu1240		boat	1844	BOAT		k’urfe	k ʔ u r f e
44041	60192	bremerberta-Undulu	undu1236		boat	1844	BOAT		bidɛru	b i d ɛ r u
44476	60627	bremerberta-Fadashi	fada1248		body	1480	BODY		bus’ike	b u s ʔ i k e
44477	60628	bremerberta-Maiyu	mayu1240		body	1480	BODY		bʊsk’e	b ʊ s k ʔ e
44478	60629	bremerberta-Undulu	undu1236		body	1480	BODY		bɪsk’e	b ɪ s k ʔ e
54672	70824	bremerberta-Fadashi	fada1248		bread	1368	BREAD		ɓɛmbɛl	ɓ ɛ m b ɛ l
54673	70825	bremerberta-Maiyu	mayu1240		bread	1368	BREAD		p’ɪmːp’íl	p ʔ ɪ mː p ʔ i l
54674	70826	bremerberta-Undulu	undu1236		bread	1368	BREAD		ɓɪmɓɪl	ɓ ɪ m ɓ ɪ l
55811	71964	bremerberta-Fadashi	fada1248		breakfast	1322	BREAKFAST		fɛdari	f ɛ d a r i
55812	71965	bremerberta-Maiyu	mayu1240		breakfast	1322	BREAKFAST		al_fat’úr	a l + f a t ʔ u r
55813	71966	bremerberta-Undulu	undu1236		breakfast	1322	BREAKFAST		áːsúːndu	aː s uː n d u
61261	77414	bremerberta-Fadashi	fada1248		brother	1262	BROTHER		agúdí	a g u d i
61262	77415	bremerberta-Maiyu	mayu1240		brother	1262	BROTHER		agudi	a g u d i
61263	77416	bremerberta-Undulu	undu1236		brother	1262	BROTHER		agúdíʔ	a g u d i ʔ
67027	83180	bremerberta-Fadashi	fada1248		butterfly	1791	BUTTERFLY		aburbudu	a b u r b u d u
67028	83181	bremerberta-Maiyu	mayu1240		butterfly	1791	BUTTERFLY		abúrbúdu	a b u r b u d u
67029	83182	bremerberta-Undulu	undu1236		butterfly	1791	BUTTERFLY		abúrbúdu	a b u r b u d u
68692	84845	bremerberta-Maiyu	mayu1240		buy	1869	BUY		ʃɪbila	ʃ ɪ b i l a
68693	84846	bremerberta-Undulu	undu1236		buy	1869	BUY		jéːla	j eː l a
75533	91686	bremerberta-Fadashi	fada1248		catch	702	CATCH		mːoːne	mː oː n e
75534	91687	bremerberta-Maiyu	mayu1240		catch	702	CATCH		múːfa	m uː f a
75535	91688	bremerberta-Undulu	undu1236		catch	702	CATCH		múːfo	m uː f o
75894	92047	bremerberta-Fadashi	fada1248		caterpillar	2247	CATERPILLAR		abɔbɔne	a b ɔ b ɔ n e
75895	92048	bremerberta-Maiyu	mayu1240		caterpillar	2247	CATERPILLAR		abɔbɔne	a b ɔ b ɔ n e
75896	92049	bremerberta-Undulu	undu1236		caterpillar	2247	CATERPILLAR		áːbɔbɔʔí	aː b ɔ b ɔ ʔ i
77652	93805	bremerberta-Fadashi	fada1248		chair	1476	CHAIR		ama:ɗé	a m aː ɗ e
77653	93806	bremerberta-Maiyu	mayu1240		chair	1476	CHAIR		al_kʊ́rsi	a l + k ʊ r s i
77654	93807	bremerberta-Undulu	undu1236		chair	1476	CHAIR		alkúrsi	a l k u r s i
81652	97805	bremerberta-Fadashi	fada1248		chick	2512	CHICK		bibiyo	b i b i y o
81653	97806	bremerberta-Fadashi	fada1248		chick	2512	CHICK		mise_guːle	m i s e + g uː l e
81654	97807	bremerberta-Maiyu	mayu1240		chick	2512	CHICK		p’íːpíʲó	p ʔ iː p i o
81655	97808	bremerberta-Undulu	undu1236		chick	2512	CHICK		mɪseʔ_biːle	m ɪ s e ʔ + b iː l e
87404	103557	bremerberta-Fadashi	fada1248		clawornail	2128	CLAW OR NAIL		maːʃó	m aː ʃ o
87405	103558	bremerberta-Maiyu	mayu1240		clawornail	2128	CLAW OR NAIL		máːshũ	m aː ʃ ũ
87406	103559	bremerberta-Undulu	undu1236		clawornail	2128	CLAW OR NAIL		mə́nʃó	m ə n ʃ o
90227	106380	bremerberta-Fadashi	fada1248		clothes	1895	CLOTHES		or	o r
90228	106381	bremerberta-Maiyu	mayu1240		clothes	1895	CLOTHES		ɔr	ɔ r
90229	106382	bremerberta-Undulu	undu1236		clothes	1895	CLOTHES		or	o r
91287	107440	bremerberta-Fadashi	fada1248		cloud	1489	CLOUD		agúːru	a g uː r u
91288	107441	bremerberta-Maiyu	mayu1240		cloud	1489	CLOUD		agúːru	a g uː r u
