	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
12761	28912	bremerberta-Fadashi	fada1248		bealive	1422	BE ALIVE		siː_θaːre	s iː + θ aː r e
12762	28913	bremerberta-Maiyu	mayu1240		bealive	1422	BE ALIVE		siː_θaːre	s iː + θ aː r e
12763	28914	bremerberta-Undulu	undu1236		bealive	1422	BE ALIVE		hiːʔiya	h iː ʔ i y a
38398	54549	bremerberta-Fadashi	fada1248		blood	946	BLOOD		k’afa	k ʔ a f a
38399	54550	bremerberta-Maiyu	mayu1240		blood	946	BLOOD		k’áfa	k ʔ a f a
38400	54551	bremerberta-Undulu	undu1236		blood	946	BLOOD		k’áfaŋ	k ʔ a f a ŋ
91287	107440	bremerberta-Fadashi	fada1248		cloud	1489	CLOUD		agúːru	a g uː r u
91288	107441	bremerberta-Maiyu	mayu1240		cloud	1489	CLOUD		agúːru	a g uː r u
91289	107442	bremerberta-Undulu	undu1236		cloud	1489	CLOUD		agúːru	a g uː r u
126741	142896	bremerberta-Fadashi	fada1248		die	1494	DIE		múʃé	m u ʃ e
126742	142897	bremerberta-Maiyu	mayu1240		die	1494	DIE		múʃa	m u ʃ a
126743	142898	bremerberta-Undulu	undu1236		die	1494	DIE		jěː	j eː
129528	145683	bremerberta-Fadashi	fada1248		dig	1418	DIG		hoːɗa	h oː ɗ a
129529	145684	bremerberta-Maiyu	mayu1240		dig	1418	DIG		fʊda	f ʊ d a
131515	147670	bremerberta-Fadashi	fada1248		dirty	1230	DIRTY		diːde	d iː d e
131516	147671	bremerberta-Maiyu	mayu1240		dirty	1230	DIRTY		diɗí	d i ɗ i
131517	147672	bremerberta-Undulu	undu1236		dirty	1230	DIRTY		bɛlɛsí	b ɛ l ɛ s i
145417	161572	bremerberta-Fadashi	fada1248		dry	1398	DRY		hoʃɛle	h o ʃ ɛ l e
145418	161573	bremerberta-Maiyu	mayu1240		dry	1398	DRY		hɔʃəla	h ɔ ʃ ə l a
145419	161574	bremerberta-Undulu	undu1236		dry	1398	DRY		hoʃala	h o ʃ a l a
148548	164703	bremerberta-Fadashi	fada1248		dust	2	DUST		amburu	a m b u r u
148549	164704	bremerberta-Maiyu	mayu1240		dust	2	DUST		ambʊdúr	a m b ʊ d u r
148550	164705	bremerberta-Undulu	undu1236		dust	2	DUST		hohuθa	h o h u θ a
153870	170025	bremerberta-Fadashi	fada1248		earthsoil	1228	EARTH (SOIL)		s’ak’a	s ʔ a k ʔ a
153871	170026	bremerberta-Maiyu	mayu1240		earthsoil	1228	EARTH (SOIL)		s’ak’a	s ʔ a k ʔ a
153872	170027	bremerberta-Undulu	undu1236		earthsoil	1228	EARTH (SOIL)		s’ak’a	s ʔ a k ʔ a
158733	174891	bremerberta-Fadashi	fada1248		egg	744	EGG		hólú	h o l u
158734	174892	bremerberta-Maiyu	mayu1240		egg	744	EGG		húhúlú	h u h u l u
158735	174893	bremerberta-Undulu	undu1236		egg	744	EGG		hóːhólú	h oː h o l u
169252	185410	bremerberta-Fadashi	fada1248		eye	1248	EYE		are	a r e
169253	185411	bremerberta-Fadashi	fada1248		eye	1248	EYE		areʔolo	a r e ʔ o l o
169254	185412	bremerberta-Maiyu	mayu1240		eye	1248	EYE		are	a r e
169255	185413	bremerberta-Undulu	undu1236		eye	1248	EYE		aroʔóló	a r o ʔ o l o
179447	195606	bremerberta-Fadashi	fada1248		father	1217	FATHER		abːa	a bː a
179448	195607	bremerberta-Maiyu	mayu1240		father	1217	FATHER		abbá	a bː a
179449	195608	bremerberta-Undulu	undu1236		father	1217	FATHER		aːb͡aiyó	aː b a i y o
192572	225225	bremerberta-Fadashi	fada1248		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		bədé	b ə d e
192573	225226	bremerberta-Maiyu	mayu1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		bədá	b ə d a
192574	225227	bremerberta-Undulu	undu1236		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		bədé	b ə d e
214285	246938	bremerberta-Fadashi	fada1248		give	1447	GIVE		ndɛne	n d ɛ n e
214286	246939	bremerberta-Maiyu	mayu1240		give	1447	GIVE		daː	d aː
214287	246940	bremerberta-Undulu	undu1236		give	1447	GIVE		ndɪné	n d ɪ n e
228275	260931	bremerberta-Fadashi	fada1248		green	1425	GREEN		galasí	g a l a s i
228276	260932	bremerberta-Maiyu	mayu1240		green	1425	GREEN		gɛlasí	g ɛ l a s i
228277	260933	bremerberta-Undulu	undu1236		green	1425	GREEN		galazí	g a l a z i
238071	270727	bremerberta-Fadashi	fada1248		hand	1277	HAND		θabá	θ a b a
238072	270728	bremerberta-Maiyu	mayu1240		hand	1277	HAND		θabá	θ a b a
238073	270729	bremerberta-Undulu	undu1236		hand	1277	HAND		θabá	θ a b a
254303	286961	bremerberta-Fadashi	fada1248		here	136	HERE		θoːʔi	θ oː ʔ i
254304	286962	bremerberta-Fadashi	fada1248		here	136	HERE		loːʔi	l oː ʔ i
254305	286963	bremerberta-Maiyu	mayu1240		here	136	HERE		θɛ́lːé	θ ɛ lː e
254306	286964	bremerberta-Undulu	undu1236		here	136	HERE		θoːʔiyu	θ oː ʔ i y u
274428	307088	bremerberta-Fadashi	fada1248		i	1209	I		ali	a l i
274429	307089	bremerberta-Maiyu	mayu1240		i	1209	I		ali	a l i
274430	307090	bremerberta-Undulu	undu1236		i	1209	I		ali	a l i
298803	331463	bremerberta-Fadashi	fada1248		laugh	1355	LAUGH		keːde	k eː d e
298804	331464	bremerberta-Maiyu	mayu1240		laugh	1355	LAUGH		k’ééda	k ʔ eː d a
298805	331465	bremerberta-Undulu	undu1236		laugh	1355	LAUGH		tʃɛ́ːdi	tʃ ɛ d i
349003	381664	bremerberta-Fadashi	fada1248		mother	1216	MOTHER		amːá	a mː a
349004	381665	bremerberta-Maiyu	mayu1240		mother	1216	MOTHER		amːá	a mː a
349005	381666	bremerberta-Undulu	undu1236		mother	1216	MOTHER		áːʔó	aː ʔ o
368471	401138	bremerberta-Fadashi	fada1248		new	1231	NEW		tokolo	t o k o l o
368472	401139	bremerberta-Fadashi	fada1248		new	1231	NEW		towolo	t o w o l o
368473	401140	bremerberta-Maiyu	mayu1240		new	1231	NEW		t’ɔk’ɔló	t ʔ ɔ k ʔ ɔ l o
368474	401141	bremerberta-Undulu	undu1236		new	1231	NEW		t’ok’oló	t ʔ o k ʔ o l o
