	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
621	16772	servamalagasy-BetsimisarakaMarolambo	sout3125		at	1461	AT		agny	a ŋ i
1170	17321	chindialectsurvey-RawngtuWeilong-A	wela1234		aubergine	1146	AUBERGINE		ɓɨk.ɓɨn	ɓ ɨ k + ɓ ɨ n
3674	19825	chindialectsurvey-RawngtuWeilong-A	wela1234		back	1291	BACK		pɑŋ	p ɑ ŋ
3974	20125	johanssonsoundsymbolic-Sanapanaangaite	sana1281		back	1291	BACK		apkapok	a p k a p o k
4252	20403	servamalagasy-BetsimisarakaMarolambo	sout3125		back	1291	BACK		tambokoka	t a ⁿb o k o k a
4809	20960	chindialectsurvey-RawngtuWeilong-A	wela1234		bad	1292	BAD		tʰɛ_tɨ	tʰ ɛ + t ɨ
5093	21244	johanssonsoundsymbolic-Sanapanaangaite	sana1281		bad	1292	BAD		asonkoi	a s o n k o i
5624	21775	servamalagasy-BetsimisarakaMarolambo	sout3125		bad	1292	BAD		rase	r a s e
7006	23157	chindialectsurvey-RawngtuWeilong-A	wela1234		bald	1125	BALD		tɑl_kɨl_tɨ	t ɑ l + k ɨ l + t ɨ
7280	23431	chindialectsurvey-RawngtuWeilong-A	wela1234		bamboo	1927	BAMBOO		piŋ	p i ŋ
7801	23952	chindialectsurvey-RawngtuWeilong-A	wela1234		bambooshoot	2494	BAMBOO SHOOT		ro	r o
7901	24052	chindialectsurvey-RawngtuWeilong-A	wela1234		banana	868	BANANA		pɑn.si	p ɑ n + s i
8667	24818	chindialectsurvey-RawngtuWeilong-A	wela1234		bark	1204	BARK		ʃiŋ.hɔ̃k	ʃ i ŋ + h ɔ̃ k
8882	25033	johanssonsoundsymbolic-Lencasalvador	lenc1244		bark	1204	BARK		tsʔstsʔa	ts ʔ s ts ʔ a
8925	25076	johanssonsoundsymbolic-Sanapanaangaite	sana1281		bark	1204	BARK		jamit_ajimpihik	j a m i t + a j i m p i h i k
9274	25425	servamalagasy-BetsimisarakaMarolambo	sout3125		bark	1204	BARK		hoditra kakazo	h o d i ʈʂ a + k a k a z o
