	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
464	16615	hubercolumbian-Bora	bora1263		at	1461	AT		tsʰatsʰíi	tsʰ a tsʰ i i
498	16649	hubercolumbian-Muinane	muin1242		at	1461	AT		βi̵	β ɨ
2161	18312	hubercolumbian-Bora	bora1263		axe	677	AXE		ɯ́kʷaáxi	ɯ kʷ a a x i
2189	18340	hubercolumbian-Muinane	muin1242		axe	677	AXE		xí̵gááxe	x ɨ g a a x e
2756	18907	hubercolumbian-Bora	bora1263		baby	1289	BABY		tsʰí̵í̵mene	tsʰ ɨ ɨ m e n e
2795	18946	hubercolumbian-Muinane	muin1242		baby	1289	BABY		séemene	s e e m e n e
3793	19944	hubercolumbian-Bora	bora1263		back	1291	BACK		máʔaʧɯ	m a ʔ a tʃ ɯ
3824	19975	hubercolumbian-Muinane	muin1242		back	1291	BACK		jóobai	j o o b a i
4895	21046	hubercolumbian-Bora	bora1263		bad	1292	BAD		ímitʰʲɯìne	i m i tʲʰ ɯ i n e
4896	21047	hubercolumbian-Bora	bora1263		bad	1292	BAD		ímítʰʲɯìɯìpekʰe	i m i tʲʰ ɯ i ɯ i p e kʰ e
4929	21080	hubercolumbian-Muinane	muin1242		bad	1292	BAD		ímiti̵no	i m i t ɨ n o
8461	24612	hubercolumbian-Bora	bora1263		banisterium	276	BANISTERIUM		népaxkʰe	n e p a x kʰ e
8480	24631	hubercolumbian-Muinane	muin1242		banisterium	276	BANISTERIUM		bákotami̵	b a k o t a m ɨ
8746	24897	hubercolumbian-Bora	bora1263		bark	1204	BARK		ɯ́méʔé ʔaʧɯ́emí̵í̵ʔo	ɯ m e ʔ e + ʔ a tʃ ɯ e m ɨ ɨ ʔ o
8774	24925	hubercolumbian-Muinane	muin1242		bark	1204	BARK		mééʔu	m e e ʔ u
8775	24926	hubercolumbian-Muinane	muin1242		bark	1204	BARK		kuumééʔu	k uː m e e ʔ u
10481	26632	hubercolumbian-Bora	bora1263		bat	1793	BAT		kʰíkʰiíxʲe	kʰ i kʰ i i xʲ e
10512	26663	hubercolumbian-Muinane	muin1242		bat	1793	BAT		kíkíxe	k i k i x e
12882	29033	hubercolumbian-Bora	bora1263		bealive	1422	BE ALIVE		póʔí̵í̵pekʰe	p o ʔ ɨ ɨ p e kʰ e
12912	29063	hubercolumbian-Muinane	muin1242		bealive	1422	BE ALIVE		búʔéeno	b u ʔ e e n o
15094	31245	hubercolumbian-Bora	bora1263		beard	678	BEARD		ɯ́xkʰaʔe	ɯ x kʰ a ʔ e
15122	31273	hubercolumbian-Muinane	muin1242		beard	678	BEARD		xí̵kkoʔai	x ɨ k k o ʔ a i
17128	33279	hubercolumbian-Bora	bora1263		bed	1663	BED		kʰɯkʷáíʔkʰʲɯ	kʰ ɯ kʷ a i ʔ kʲʰ ɯ
17129	33280	hubercolumbian-Bora	bora1263		bed	1663	BED		kʰɯ́kʷaí̵í̵xí̵	kʰ ɯ kʷ a ɨ ɨ x ɨ
17152	33303	hubercolumbian-Muinane	muin1242		bed	1663	BED		kí̵gaíixe	k ɨ g a i i x e
17153	33304	hubercolumbian-Muinane	muin1242		bed	1663	BED		kí̵gataxe	k ɨ g a t a x e
18526	34677	hubercolumbian-Bora	bora1263		bee	665	BEE		íímɯ́ʔóexpʰi	i i m ɯ ʔ o e x pʰ i
18527	34678	hubercolumbian-Bora	bora1263		bee	665	BEE		téʔtsʰipa	t e ʔ tsʰ i p a
18556	34707	hubercolumbian-Muinane	muin1242		bee	665	BEE		ní̵í̵bi̵ri	n ɨ ɨ b ɨ r i
18557	34708	hubercolumbian-Muinane	muin1242		bee	665	BEE		mí̵i̵bi̵riʔi̵	m ɨ ɨ b ɨ r i ʔ ɨ
22703	38854	hubercolumbian-Bora	bora1263		belly	1251	BELLY		íʔpáɯ	i ʔ p a ɯ
22704	38855	hubercolumbian-Bora	bora1263		belly	1251	BELLY		méʔpáɯɯ́	m e ʔ p a ɯ ɯ
22705	38856	hubercolumbian-Bora	bora1263		belly	1251	BELLY		mááámi̵ʔo	m a a a m ɨ ʔ o
22706	38857	hubercolumbian-Bora	bora1263		belly	1251	BELLY		íʔpáɯ	i ʔ p a ɯ
22707	38858	hubercolumbian-Bora	bora1263		belly	1251	BELLY		méʔpáɯɯ́	m e ʔ p a ɯ ɯ
22768	38919	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		ííba	i i b a
22769	38920	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		íiba	i i b a
22770	38921	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		xéebi̵i̵	x e e b ɨ ɨ
27806	43957	hubercolumbian-Bora	bora1263		big	1202	BIG		mitʰʲane	m i tʲʰ a n e
27807	43958	hubercolumbian-Bora	bora1263		big	1202	BIG		ʧija	tʃ i j a
27808	43959	hubercolumbian-Bora	bora1263		big	1202	BIG		kʰemɯ	kʰ e m ɯ
27840	43991	hubercolumbian-Muinane	muin1242		big	1202	BIG		gíráano	g i r a a n o
27841	43992	hubercolumbian-Muinane	muin1242		big	1202	BIG		kééɸi	k e e ɸ i
27842	43993	hubercolumbian-Muinane	muin1242		big	1202	BIG		mítʲano	m i tʲ a n o
30203	46354	hubercolumbian-Bora	bora1263		bird	937	BIRD		kʰoomí̵kʰo	kʰ oː m ɨ kʰ o
30204	46355	hubercolumbian-Bora	bora1263		bird	937	BIRD		ʧʰeʔréɯ	tʃʰ e ʔ r e ɯ
30233	46384	hubercolumbian-Muinane	muin1242		bird	937	BIRD		xóói̵	x o o ɨ
32560	48711	hubercolumbian-Bora	bora1263		bite	1403	BITE		i̵ʔto	ɨ ʔ t o
32561	48712	hubercolumbian-Bora	bora1263		bite	1403	BITE		ti̵kɯ́xkʰɯ	t ɨ k ɯ x kʰ ɯ
32562	48713	hubercolumbian-Bora	bora1263		bite	1403	BITE		tenóxkʰo	t e n o x kʰ o
32563	48714	hubercolumbian-Bora	bora1263		bite	1403	BITE		tí̵ʧeʔxɯ́kʰɯ	t ɨ tʃ e ʔ x ɯ kʰ ɯ
32591	48742	hubercolumbian-Muinane	muin1242		bite	1403	BITE		ééduʔi	e e d u ʔ i
35162	51313	hubercolumbian-Bora	bora1263		black	163	BLACK		kʰɯìɯìβene	kʰ ɯ i ɯ i β e n e
35163	51314	hubercolumbian-Bora	bora1263		black	163	BLACK		kʰɯìɯìβémekʰe	kʰ ɯ i ɯ i β e m e kʰ e
35164	51315	hubercolumbian-Bora	bora1263		black	163	BLACK		páxtʰɯne	p a x tʰ ɯ n e
35196	51347	hubercolumbian-Muinane	muin1242		black	163	BLACK		kí̵βono	k ɨ β o n o
38577	54728	hubercolumbian-Bora	bora1263		blood	946	BLOOD		tʰɯ́xpʰakʰʲo	tʰ ɯ x pʰ a kʲʰ o
