	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
464	16615	hubercolumbian-Bora	bora1263		at	1461	AT		tsʰatsʰíi	tsʰ a tsʰ i i
498	16649	hubercolumbian-Muinane	muin1242		at	1461	AT		βi̵	β ɨ
3793	19944	hubercolumbian-Bora	bora1263		back	1291	BACK		máʔaʧɯ	m a ʔ a tʃ ɯ
3824	19975	hubercolumbian-Muinane	muin1242		back	1291	BACK		jóobai	j o o b a i
4895	21046	hubercolumbian-Bora	bora1263		bad	1292	BAD		ímitʰʲɯìne	i m i tʲʰ ɯ i n e
4896	21047	hubercolumbian-Bora	bora1263		bad	1292	BAD		ímítʰʲɯìɯìpekʰe	i m i tʲʰ ɯ i ɯ i p e kʰ e
4929	21080	hubercolumbian-Muinane	muin1242		bad	1292	BAD		ímiti̵no	i m i t ɨ n o
8746	24897	hubercolumbian-Bora	bora1263		bark	1204	BARK		ɯ́méʔé ʔaʧɯ́emí̵í̵ʔo	ɯ m e ʔ e + ʔ a tʃ ɯ e m ɨ ɨ ʔ o
8774	24925	hubercolumbian-Muinane	muin1242		bark	1204	BARK		mééʔu	m e e ʔ u
8775	24926	hubercolumbian-Muinane	muin1242		bark	1204	BARK		kuumééʔu	k uː m e e ʔ u
12882	29033	hubercolumbian-Bora	bora1263		bealive	1422	BE ALIVE		póʔí̵í̵pekʰe	p o ʔ ɨ ɨ p e kʰ e
12912	29063	hubercolumbian-Muinane	muin1242		bealive	1422	BE ALIVE		búʔéeno	b u ʔ e e n o
22703	38854	hubercolumbian-Bora	bora1263		belly	1251	BELLY		íʔpáɯ	i ʔ p a ɯ
22704	38855	hubercolumbian-Bora	bora1263		belly	1251	BELLY		méʔpáɯɯ́	m e ʔ p a ɯ ɯ
22705	38856	hubercolumbian-Bora	bora1263		belly	1251	BELLY		mááámi̵ʔo	m a a a m ɨ ʔ o
22706	38857	hubercolumbian-Bora	bora1263		belly	1251	BELLY		íʔpáɯ	i ʔ p a ɯ
22707	38858	hubercolumbian-Bora	bora1263		belly	1251	BELLY		méʔpáɯɯ́	m e ʔ p a ɯ ɯ
22768	38919	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		ííba	i i b a
22769	38920	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		íiba	i i b a
22770	38921	hubercolumbian-Muinane	muin1242		belly	1251	BELLY		xéebi̵i̵	x e e b ɨ ɨ
27806	43957	hubercolumbian-Bora	bora1263		big	1202	BIG		mitʰʲane	m i tʲʰ a n e
27807	43958	hubercolumbian-Bora	bora1263		big	1202	BIG		ʧija	tʃ i j a
27808	43959	hubercolumbian-Bora	bora1263		big	1202	BIG		kʰemɯ	kʰ e m ɯ
27840	43991	hubercolumbian-Muinane	muin1242		big	1202	BIG		gíráano	g i r a a n o
27841	43992	hubercolumbian-Muinane	muin1242		big	1202	BIG		kééɸi	k e e ɸ i
27842	43993	hubercolumbian-Muinane	muin1242		big	1202	BIG		mítʲano	m i tʲ a n o
30203	46354	hubercolumbian-Bora	bora1263		bird	937	BIRD		kʰoomí̵kʰo	kʰ oː m ɨ kʰ o
30204	46355	hubercolumbian-Bora	bora1263		bird	937	BIRD		ʧʰeʔréɯ	tʃʰ e ʔ r e ɯ
30233	46384	hubercolumbian-Muinane	muin1242		bird	937	BIRD		xóói̵	x o o ɨ
32560	48711	hubercolumbian-Bora	bora1263		bite	1403	BITE		i̵ʔto	ɨ ʔ t o
32561	48712	hubercolumbian-Bora	bora1263		bite	1403	BITE		ti̵kɯ́xkʰɯ	t ɨ k ɯ x kʰ ɯ
32562	48713	hubercolumbian-Bora	bora1263		bite	1403	BITE		tenóxkʰo	t e n o x kʰ o
32563	48714	hubercolumbian-Bora	bora1263		bite	1403	BITE		tí̵ʧeʔxɯ́kʰɯ	t ɨ tʃ e ʔ x ɯ kʰ ɯ
32591	48742	hubercolumbian-Muinane	muin1242		bite	1403	BITE		ééduʔi	e e d u ʔ i
35162	51313	hubercolumbian-Bora	bora1263		black	163	BLACK		kʰɯìɯìβene	kʰ ɯ i ɯ i β e n e
35163	51314	hubercolumbian-Bora	bora1263		black	163	BLACK		kʰɯìɯìβémekʰe	kʰ ɯ i ɯ i β e m e kʰ e
35164	51315	hubercolumbian-Bora	bora1263		black	163	BLACK		páxtʰɯne	p a x tʰ ɯ n e
35196	51347	hubercolumbian-Muinane	muin1242		black	163	BLACK		kí̵βono	k ɨ β o n o
38577	54728	hubercolumbian-Bora	bora1263		blood	946	BLOOD		tʰɯ́xpʰakʰʲo	tʰ ɯ x pʰ a kʲʰ o
38607	54758	hubercolumbian-Muinane	muin1242		blood	946	BLOOD		tí̵í̵xóʔo	t ɨ ɨ x o ʔ o
40768	56919	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		í̵pátsʰɯʔxákʰo	ɨ p a tsʰ ɯ ʔ x a kʰ o
40769	56920	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		poxtsʰókʰɯ	p o x tsʰ o kʰ ɯ
40770	56921	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		ʧixʧʰɯ́kʰɯ	tʃ i x tʃʰ ɯ kʰ ɯ
40771	56922	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		βoβóxkʰɯ	β o β o x kʰ ɯ
40772	56923	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		ióxkʰo	i o x kʰ o
40773	56924	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		βooíkʰʲɯ	β oː i kʲʰ ɯ
40774	56925	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		áápʰɯɯ́kʰɯ	a a pʰ ɯ ɯ kʰ ɯ
40775	56926	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		ʧʰíjoákʰo	tʃʰ i j o a kʰ o
40776	56927	hubercolumbian-Bora	bora1263		blowofwind	175	BLOW (OF WIND)		ɯɯ́po	ɯ ɯ p o
40815	56966	hubercolumbian-Muinane	muin1242		blowofwind	175	BLOW (OF WIND)		ébásuʔi	e b a s u ʔ i
40816	56967	hubercolumbian-Muinane	muin1242		blowofwind	175	BLOW (OF WIND)		búúsuʔi	b u u s u ʔ i
40817	56968	hubercolumbian-Muinane	muin1242		blowofwind	175	BLOW (OF WIND)		gísi̵ʔi	g i s ɨ ʔ i
40818	56969	hubercolumbian-Muinane	muin1242		blowofwind	175	BLOW (OF WIND)		ɸúúni̵ʔi	ɸ u u n ɨ ʔ i
40819	56970	hubercolumbian-Muinane	muin1242		blowofwind	175	BLOW (OF WIND)		gíbúʔi	g i b u ʔ i
