	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5132	21283	johanssonsoundsymbolic-Waris	wari1266		bad	1292	BAD		s̪aho̞kl̪al̪	s̪ a h o̞ k l̪ a l̪
7453	23604	transnewguineaorg-awyi	awyi1241		bamboo	1927	BAMBOO		kut	k u t
8024	24175	transnewguineaorg-awyi	awyi1241		banana	868	BANANA		wafe	w a f e
8957	25108	johanssonsoundsymbolic-Waris	wari1266		bark	1204	BARK		t̪it̪ɒβ	t̪ i t̪ ɒ β
16391	32542	johanssonsoundsymbolic-Waris	wari1266		because	1157	BECAUSE		no̞in̪d̪a	n o̞ i n̪ d̪ a
19333	35484	johanssonsoundsymbolic-Waris	wari1266		before	1882	BEFORE		s̪eil̪m	s̪ e i l̪ m
20580	36731	johanssonsoundsymbolic-Waris	wari1266		behind	1686	BEHIND		meis̪hanam	m e i s̪ʰ a n a m
23009	39160	johanssonsoundsymbolic-Waris	wari1266		belly	1251	BELLY		eho̞nal̪	e h o̞ n a l̪
23548	39699	transnewguineaorg-awyi	awyi1241		belly	1251	BELLY		al	a l
24634	40785	johanssonsoundsymbolic-Waris	wari1266		beloworunder	1485	BELOW OR UNDER		s̪eŋgai	s̪ e ŋ g a i
28056	44207	johanssonsoundsymbolic-Waris	wari1266		big	1202	BIG		men̪d̪ekl̪i	m e n̪ d̪ e k l̪ i
28720	44871	transnewguineaorg-awyi	awyi1241		big	1202	BIG		tuja	t u j a
30428	46579	johanssonsoundsymbolic-Waris	wari1266		bird	937	BIRD		t̪uawa	t̪ u a w a
31055	47206	transnewguineaorg-awyi	awyi1241		bird	937	BIRD		noy	n o j
31056	47207	transnewguineaorg-awyi	awyi1241		bird	937	BIRD		noj	n o j
32787	48938	johanssonsoundsymbolic-Waris	wari1266		bite	1403	BITE		həl̪βaβ	h ə l̪ β a β
35402	51553	johanssonsoundsymbolic-Waris	wari1266		black	163	BLACK		s̪uwihal̪	s̪ u w i h a l̪
38815	54966	johanssonsoundsymbolic-Waris	wari1266		blood	946	BLOOD		t̪ɒβɒl̪	t̪ ɒ β ɒ l̪
39428	55579	transnewguineaorg-awyi	awyi1241		blood	946	BLOOD		keane	k e a n e
39429	55580	transnewguineaorg-awyi	awyi1241		blood	946	BLOOD		keane	k e a n e
42166	58317	johanssonsoundsymbolic-Waris	wari1266		blue	837	BLUE		s̪embo̞l̪	s̪ e m b o̞ l̪
43186	59337	johanssonsoundsymbolic-Waris	wari1266		blunt	379	BLUNT		hβeβ	h β e β
47035	63186	johanssonsoundsymbolic-Waris	wari1266		bone	1394	BONE		kəl̪	k ə l̪
47648	63799	transnewguineaorg-awyi	awyi1241		bone	1394	BONE		sakər	s a k ə r
47649	63800	transnewguineaorg-awyi	awyi1241		bone	1394	BONE		sakər	s a k ə r
51607	67758	johanssonsoundsymbolic-Waris	wari1266		boy	1366	BOY		t̪uen̪d̪is̪r̪ini	t̪ u e n̪ d̪ i s̪ r̪ i n i
52992	69143	johanssonsoundsymbolic-Waris	wari1266		brain	1583	BRAIN		no̞wo̞l̪	n o̞ w o̞ l̪
54911	71064	transnewguineaorg-awyi	awyi1241		breadfruit	2371	BREADFRUIT		ni	n i
57121	73274	johanssonsoundsymbolic-Waris	wari1266		breast	1402	BREAST		t̪ət̪	t̪ ə t̪
57704	73857	transnewguineaorg-awyi	awyi1241		breast	1402	BREAST		mə̃	m ə̃
64589	80742	johanssonsoundsymbolic-Waris	wari1266		burn	2102	BURN		t̪aβ	t̪ a β
64827	80980	transnewguineaorg-awyi	awyi1241		burn	2102	BURN		tao	t a o
67885	84038	johanssonsoundsymbolic-Waris	wari1266		buttocks	834	BUTTOCKS		en̪d̪amɒ	e n̪ d̪ a m ɒ
73101	89254	johanssonsoundsymbolic-Waris	wari1266		carry	700	CARRY		guaβ	g u a β
74543	90696	transnewguineaorg-awyi	awyi1241		cassowary	466	CASSOWARY		kuji	k u j i
91724	107877	johanssonsoundsymbolic-Waris	wari1266		cloud	1489	CLOUD		t̪ekɒ	t̪ e k ɒ
92148	108301	transnewguineaorg-awyi	awyi1241		cloud	1489	CLOUD		bu	b u
95313	111466	johanssonsoundsymbolic-Waris	wari1266		cold	1287	COLD		nel̪po̞ŋg	n e l̪ p o̞ ŋ g
95948	112101	transnewguineaorg-awyi	awyi1241		cold	1287	COLD		tapsasi	t a p s a s i
98979	115132	johanssonsoundsymbolic-Waris	wari1266		come	1446	COME		pr̪ɒβ	p r̪ ɒ β
99600	115753	transnewguineaorg-awyi	awyi1241		come	1446	COME		manam	m a n a m
99601	115754	transnewguineaorg-awyi	awyi1241		come	1446	COME		manam	m a n a m
106094	122247	johanssonsoundsymbolic-Waris	wari1266		cough	879	COUGH		wineŋg	w i n e ŋ g
110147	126300	transnewguineaorg-awyi	awyi1241		crocodile	1857	CROCODILE		wongo	w o n g o
112121	128274	johanssonsoundsymbolic-Waris	wari1266		crush	1520	CRUSH		t̪at̪ai_βr̪əβ	t̪ a t̪ a i + β r̪ ə β
113082	129235	johanssonsoundsymbolic-Waris	wari1266		cry	1839	CRY		ɒn̪d̪o̞_ɒβ	ɒ n̪ d̪ o̞ + ɒ β
113551	129704	transnewguineaorg-awyi	awyi1241		cry	1839	CRY		o	o
118789	134942	johanssonsoundsymbolic-Waris	wari1266		dark	706	DARK		s̪ia	s̪ i a
121917	138072	johanssonsoundsymbolic-Waris	wari1266		daynotnight	1225	DAY (NOT NIGHT)		ups̪il̪	u p s̪ i l̪
127203	143358	johanssonsoundsymbolic-Waris	wari1266		die	1494	DIE		dal̪β	d a l̪ β
