	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8957	25108	johanssonsoundsymbolic-Waris	wari1266		bark	1204	BARK		t̪it̪ɒβ	t̪ i t̪ ɒ β
23009	39160	johanssonsoundsymbolic-Waris	wari1266		belly	1251	BELLY		eho̞nal̪	e h o̞ n a l̪
23548	39699	transnewguineaorg-awyi	awyi1241		belly	1251	BELLY		al	a l
28056	44207	johanssonsoundsymbolic-Waris	wari1266		big	1202	BIG		men̪d̪ekl̪i	m e n̪ d̪ e k l̪ i
28720	44871	transnewguineaorg-awyi	awyi1241		big	1202	BIG		tuja	t u j a
30428	46579	johanssonsoundsymbolic-Waris	wari1266		bird	937	BIRD		t̪uawa	t̪ u a w a
31055	47206	transnewguineaorg-awyi	awyi1241		bird	937	BIRD		noy	n o j
31056	47207	transnewguineaorg-awyi	awyi1241		bird	937	BIRD		noj	n o j
32787	48938	johanssonsoundsymbolic-Waris	wari1266		bite	1403	BITE		həl̪βaβ	h ə l̪ β a β
35402	51553	johanssonsoundsymbolic-Waris	wari1266		black	163	BLACK		s̪uwihal̪	s̪ u w i h a l̪
38815	54966	johanssonsoundsymbolic-Waris	wari1266		blood	946	BLOOD		t̪ɒβɒl̪	t̪ ɒ β ɒ l̪
39428	55579	transnewguineaorg-awyi	awyi1241		blood	946	BLOOD		keane	k e a n e
39429	55580	transnewguineaorg-awyi	awyi1241		blood	946	BLOOD		keane	k e a n e
47035	63186	johanssonsoundsymbolic-Waris	wari1266		bone	1394	BONE		kəl̪	k ə l̪
47648	63799	transnewguineaorg-awyi	awyi1241		bone	1394	BONE		sakər	s a k ə r
47649	63800	transnewguineaorg-awyi	awyi1241		bone	1394	BONE		sakər	s a k ə r
57121	73274	johanssonsoundsymbolic-Waris	wari1266		breast	1402	BREAST		t̪ət̪	t̪ ə t̪
57704	73857	transnewguineaorg-awyi	awyi1241		breast	1402	BREAST		mə̃	m ə̃
64589	80742	johanssonsoundsymbolic-Waris	wari1266		burn	2102	BURN		t̪aβ	t̪ a β
