	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8831	24982	johanssonsoundsymbolic-Bororo	boro1282		bark	1204	BARK		bir̪i	b i r̪ i
22863	39014	johanssonsoundsymbolic-Bororo	boro1282		belly	1251	BELLY		kur̪i	k u r̪ i
27903	44054	johanssonsoundsymbolic-Bororo	boro1282		big	1202	BIG		kɨr̪i	k ɨ r̪ i
30294	46445	johanssonsoundsymbolic-Bororo	boro1282		bird	937	BIRD		kio̞go̞	k i o̞ g o̞
32644	48795	johanssonsoundsymbolic-Bororo	boro1282		bite	1403	BITE		o̞e̞d̪o̞	o̞ e̞ d̪ o̞
35254	51405	johanssonsoundsymbolic-Bororo	boro1282		black	163	BLACK		tʃo̞	tʃ o̞
38666	54817	johanssonsoundsymbolic-Bororo	boro1282		blood	946	BLOOD		kur̪e̞	k u r̪ e̞
46895	63046	johanssonsoundsymbolic-Bororo	boro1282		bone	1394	BONE		r̪a	r̪ a
56982	73135	johanssonsoundsymbolic-Bororo	boro1282		breast	1402	BREAST		mar̪ar̪a	m a r̪ a r̪ a
64458	80611	johanssonsoundsymbolic-Bororo	boro1282		burn	2102	BURN		ko̞wu	k o̞ w u
91596	107749	johanssonsoundsymbolic-Bororo	boro1282		cloud	1489	CLOUD		bo̞e̞_t̪ɨgɨ	b o̞ e̞ + t̪ ɨ g ɨ
95171	111324	johanssonsoundsymbolic-Bororo	boro1282		cold	1287	COLD		buiaku	b u i a k u
127055	143210	johanssonsoundsymbolic-Bororo	boro1282		die	1494	DIE		bir̪e̞	b i r̪ e̞
135605	151760	johanssonsoundsymbolic-Bororo	boro1282		dog	2009	DOG		ar̪igao̞	a r̪ i g a o̞
142074	158229	johanssonsoundsymbolic-Bororo	boro1282		drink	1401	DRINK		kud̪u	k u d̪ u
145718	161873	johanssonsoundsymbolic-Bororo	boro1282		dry	1398	DRY		kid̪ɨ	k i d̪ ɨ
151148	167303	johanssonsoundsymbolic-Bororo	boro1282		ear	1247	EAR		biadʒa	b i a dʒ a
154071	170226	johanssonsoundsymbolic-Bororo	boro1282		earthsoil	1228	EARTH (SOIL)		mo̞t̪o̞	m o̞ t̪ o̞
