	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3896	20047	johanssonsoundsymbolic-Gooniyandi	goon1238		back	1291	BACK		wiɭa	w i ɭ a
5012	21163	johanssonsoundsymbolic-Gooniyandi	goon1238		bad	1292	BAD		jiɟgawɯ	j i ɟ g a w ɯ
8851	25002	johanssonsoundsymbolic-Gooniyandi	goon1238		bark	1204	BARK		biɭŋa	b i ɭ ŋ a
12993	29144	johanssonsoundsymbolic-Gooniyandi	goon1238		bealive	1422	BE ALIVE		waŋa	w a ŋ a
19242	35393	johanssonsoundsymbolic-Gooniyandi	goon1238		before	1882	BEFORE		ŋamɯ	ŋ a m ɯ
20479	36630	johanssonsoundsymbolic-Gooniyandi	goon1238		behind	1686	BEHIND		baʎɯwa	b a ʎ ɯ w a
22887	39038	johanssonsoundsymbolic-Gooniyandi	goon1238		belly	1251	BELLY		ɟɯɭɯ	ɟ ɯ ɭ ɯ
24535	40686	johanssonsoundsymbolic-Gooniyandi	goon1238		beloworunder	1485	BELOW OR UNDER		bɑbiɾi	b ɑ b i ɾ i
27928	44079	johanssonsoundsymbolic-Gooniyandi	goon1238		big	1202	BIG		ɲamani	ɲ a m a n i
30314	46465	johanssonsoundsymbolic-Gooniyandi	goon1238		bird	937	BIRD		ɟiɻigi	ɟ i ɻ i g i
32663	48814	johanssonsoundsymbolic-Gooniyandi	goon1238		bite	1403	BITE		wiɖ	w i ɖ
35279	51430	johanssonsoundsymbolic-Gooniyandi	goon1238		black	163	BLACK		gɯɻɯgɯɻɯ	g ɯ ɻ ɯ g ɯ ɻ ɯ
38689	54840	johanssonsoundsymbolic-Gooniyandi	goon1238		blood	946	BLOOD		waɾi	w a ɾ i
43098	59249	johanssonsoundsymbolic-Gooniyandi	goon1238		blunt	379	BLUNT		damaɖa	d a m a ɖ a
44579	60730	johanssonsoundsymbolic-Gooniyandi	goon1238		body	1480	BODY		gaɻaɟbi	g a ɻ a ɟ b i
46919	63070	johanssonsoundsymbolic-Gooniyandi	goon1238		bone	1394	BONE		gɯɟi	g ɯ ɟ i
51502	67653	johanssonsoundsymbolic-Gooniyandi	goon1238		boy	1366	BOY		gambaji	g a m b a j i
52902	69053	johanssonsoundsymbolic-Gooniyandi	goon1238		brain	1583	BRAIN		miʎiʎi	m i ʎ i ʎ i
57005	73158	johanssonsoundsymbolic-Gooniyandi	goon1238		breast	1402	BREAST		gamɯ	g a m ɯ
64477	80630	johanssonsoundsymbolic-Gooniyandi	goon1238		burn	2102	BURN		ŋab	ŋ a b
67787	83940	johanssonsoundsymbolic-Gooniyandi	goon1238		buttocks	834	BUTTOCKS		naɳba	n a ɳ b a
72976	89129	johanssonsoundsymbolic-Gooniyandi	goon1238		carry	700	CARRY		galiɲ	g a l i ɲ
91617	107770	johanssonsoundsymbolic-Gooniyandi	goon1238		cloud	1489	CLOUD		ŋɯmɯɾɯ	ŋ ɯ m ɯ ɾ ɯ
95194	111347	johanssonsoundsymbolic-Gooniyandi	goon1238		cold	1287	COLD		muŋgɯwaɭa	m u ŋ g ɯ w a ɭ a
112033	128186	johanssonsoundsymbolic-Gooniyandi	goon1238		crush	1520	CRUSH		gɯɖaj	g ɯ ɖ a j
112965	129118	johanssonsoundsymbolic-Gooniyandi	goon1238		cry	1839	CRY		naɖa	n a ɖ a
124241	140396	johanssonsoundsymbolic-Gooniyandi	goon1238		deep	1593	DEEP		ɲaɳa	ɲ a ɳ a
127077	143232	johanssonsoundsymbolic-Gooniyandi	goon1238		die	1494	DIE		naŋ	n a ŋ
134189	150344	johanssonsoundsymbolic-Gooniyandi	goon1238		do	813	DO		ŋaɻag	ŋ a ɻ a g
135629	151784	johanssonsoundsymbolic-Gooniyandi	goon1238		dog	2009	DOG		t̪aɾa	t̪ a ɾ a
142097	158252	johanssonsoundsymbolic-Gooniyandi	goon1238		drink	1401	DRINK		ŋɯɭɯg	ŋ ɯ ɭ ɯ g
145737	161892	johanssonsoundsymbolic-Gooniyandi	goon1238		dry	1398	DRY		bɯladi	b ɯ l a d i
148720	164875	johanssonsoundsymbolic-Gooniyandi	goon1238		dust	2	DUST		ɟɯdɯ	ɟ ɯ d ɯ
151172	167327	johanssonsoundsymbolic-Gooniyandi	goon1238		ear	1247	EAR		maŋa	m a ŋ a
154094	170249	johanssonsoundsymbolic-Gooniyandi	goon1238		earthsoil	1228	EARTH (SOIL)		banda	b a n d a
159007	175165	johanssonsoundsymbolic-Gooniyandi	goon1238		egg	744	EGG		gambiɲi	g a m b i ɲ i
169577	185735	johanssonsoundsymbolic-Gooniyandi	goon1238		eye	1248	EYE		mɯɭɯ	m ɯ ɭ ɯ
173580	189739	johanssonsoundsymbolic-Gooniyandi	goon1238		fall	1280	FALL		gaɖ	g a ɖ
175851	192010	johanssonsoundsymbolic-Gooniyandi	goon1238		far	1406	FAR		maɳaŋɯɾɯ	m a ɳ a ŋ ɯ ɾ ɯ
182064	198224	johanssonsoundsymbolic-Gooniyandi	goon1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		gaɾiɳdi	g a ɾ i ɳ d i
184904	201064	johanssonsoundsymbolic-Gooniyandi	goon1238		feather	1201	FEATHER		ŋabɯ	ŋ a b ɯ
189936	222589	johanssonsoundsymbolic-Gooniyandi	goon1238		flower	239	FLOWER		ɟiga	ɟ i g a
196175	228828	johanssonsoundsymbolic-Gooniyandi	goon1238		foot	1301	FOOT		t̪iŋa	t̪ i ŋ a
213285	245938	johanssonsoundsymbolic-Gooniyandi	goon1238		girl	1646	GIRL		galinda	g a l i n d a
214605	247258	johanssonsoundsymbolic-Gooniyandi	goon1238		give	1447	GIVE		ŋaŋ	ŋ a ŋ
216962	249615	johanssonsoundsymbolic-Gooniyandi	goon1238		go	695	GO		waɖ	w a ɖ
220732	253388	johanssonsoundsymbolic-Gooniyandi	goon1238		good	1035	GOOD		ɟɯɳaɲgaɾa	ɟ ɯ ɳ a ɲ g a ɾ a
226178	258834	johanssonsoundsymbolic-Gooniyandi	goon1238		grass	606	GRASS		giliɳi	g i l i ɳ i
234536	267192	johanssonsoundsymbolic-Gooniyandi	goon1238		hair	1040	HAIR		bɯlga	b ɯ l g a
238375	271031	johanssonsoundsymbolic-Gooniyandi	goon1238		hand	1277	HAND		maɭa	m a ɭ a
240661	273317	johanssonsoundsymbolic-Gooniyandi	goon1238		hard	1884	HARD		biɲidi	b i ɲ i d i
243930	276587	johanssonsoundsymbolic-Gooniyandi	goon1238		head	1256	HEAD		miɾa	m i ɾ a
246874	279531	johanssonsoundsymbolic-Gooniyandi	goon1238		hear	1408	HEAR		daɲmili	d a ɲ m i l i
248459	281116	johanssonsoundsymbolic-Gooniyandi	goon1238		heart	1223	HEART		dɯlɯ	d ɯ l ɯ
250628	283285	johanssonsoundsymbolic-Gooniyandi	goon1238		heavy	1210	HEAVY		t̪aɻidi	t̪ a ɻ i d i
253839	286497	johanssonsoundsymbolic-Gooniyandi	goon1238		heorsheorit	262	HE OR SHE OR IT		niji	n i j i
254462	287121	johanssonsoundsymbolic-Gooniyandi	goon1238		here	136	HERE		ɲa	ɲ a
255720	288379	johanssonsoundsymbolic-Gooniyandi	goon1238		hide	2486	HIDE		bɯɻɯ	b ɯ ɻ ɯ
258708	291368	johanssonsoundsymbolic-Gooniyandi	goon1238		hit	1433	HIT		gaɖ	g a ɖ
265179	297839	johanssonsoundsymbolic-Gooniyandi	goon1238		hot	1286	HOT		bɯɖbaɻa	b ɯ ɖ b a ɻ a
267266	299926	johanssonsoundsymbolic-Gooniyandi	goon1238		house	1252	HOUSE		majaɻɯ	m a j a ɻ ɯ
274683	307343	johanssonsoundsymbolic-Gooniyandi	goon1238		i	1209	I		ŋaɲi	ŋ a ɲ i
287528	320188	johanssonsoundsymbolic-Gooniyandi	goon1238		kill	1417	KILL		gaɖ	g a ɖ
290206	322866	johanssonsoundsymbolic-Gooniyandi	goon1238		knee	1371	KNEE		gimani	g i m a n i
299010	331670	johanssonsoundsymbolic-Gooniyandi	goon1238		laugh	1355	LAUGH		galgal	g a l g a l
302165	334825	johanssonsoundsymbolic-Gooniyandi	goon1238		leaf	628	LEAF		jimaɾaɾa	j i m a ɾ a ɾ a
309491	342151	johanssonsoundsymbolic-Gooniyandi	goon1238		liedown	215	LIE DOWN		bagi	b a g i
