	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3896	20047	johanssonsoundsymbolic-Gooniyandi	goon1238		back	1291	BACK		wiɭa	w i ɭ a
5012	21163	johanssonsoundsymbolic-Gooniyandi	goon1238		bad	1292	BAD		jiɟgawɯ	j i ɟ g a w ɯ
8851	25002	johanssonsoundsymbolic-Gooniyandi	goon1238		bark	1204	BARK		biɭŋa	b i ɭ ŋ a
12993	29144	johanssonsoundsymbolic-Gooniyandi	goon1238		bealive	1422	BE ALIVE		waŋa	w a ŋ a
22887	39038	johanssonsoundsymbolic-Gooniyandi	goon1238		belly	1251	BELLY		ɟɯɭɯ	ɟ ɯ ɭ ɯ
27928	44079	johanssonsoundsymbolic-Gooniyandi	goon1238		big	1202	BIG		ɲamani	ɲ a m a n i
30314	46465	johanssonsoundsymbolic-Gooniyandi	goon1238		bird	937	BIRD		ɟiɻigi	ɟ i ɻ i g i
32663	48814	johanssonsoundsymbolic-Gooniyandi	goon1238		bite	1403	BITE		wiɖ	w i ɖ
35279	51430	johanssonsoundsymbolic-Gooniyandi	goon1238		black	163	BLACK		gɯɻɯgɯɻɯ	g ɯ ɻ ɯ g ɯ ɻ ɯ
38689	54840	johanssonsoundsymbolic-Gooniyandi	goon1238		blood	946	BLOOD		waɾi	w a ɾ i
43098	59249	johanssonsoundsymbolic-Gooniyandi	goon1238		blunt	379	BLUNT		damaɖa	d a m a ɖ a
46919	63070	johanssonsoundsymbolic-Gooniyandi	goon1238		bone	1394	BONE		gɯɟi	g ɯ ɟ i
91617	107770	johanssonsoundsymbolic-Gooniyandi	goon1238		cloud	1489	CLOUD		ŋɯmɯɾɯ	ŋ ɯ m ɯ ɾ ɯ
127077	143232	johanssonsoundsymbolic-Gooniyandi	goon1238		die	1494	DIE		naŋ	n a ŋ
135629	151784	johanssonsoundsymbolic-Gooniyandi	goon1238		dog	2009	DOG		t̪aɾa	t̪ a ɾ a
142097	158252	johanssonsoundsymbolic-Gooniyandi	goon1238		drink	1401	DRINK		ŋɯɭɯg	ŋ ɯ ɭ ɯ g
145737	161892	johanssonsoundsymbolic-Gooniyandi	goon1238		dry	1398	DRY		bɯladi	b ɯ l a d i
148720	164875	johanssonsoundsymbolic-Gooniyandi	goon1238		dust	2	DUST		ɟɯdɯ	ɟ ɯ d ɯ
151172	167327	johanssonsoundsymbolic-Gooniyandi	goon1238		ear	1247	EAR		maŋa	m a ŋ a
154094	170249	johanssonsoundsymbolic-Gooniyandi	goon1238		earthsoil	1228	EARTH (SOIL)		banda	b a n d a
159007	175165	johanssonsoundsymbolic-Gooniyandi	goon1238		egg	744	EGG		gambiɲi	g a m b i ɲ i
169577	185735	johanssonsoundsymbolic-Gooniyandi	goon1238		eye	1248	EYE		mɯɭɯ	m ɯ ɭ ɯ
173580	189739	johanssonsoundsymbolic-Gooniyandi	goon1238		fall	1280	FALL		gaɖ	g a ɖ
175851	192010	johanssonsoundsymbolic-Gooniyandi	goon1238		far	1406	FAR		maɳaŋɯɾɯ	m a ɳ a ŋ ɯ ɾ ɯ
182064	198224	johanssonsoundsymbolic-Gooniyandi	goon1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		gaɾiɳdi	g a ɾ i ɳ d i
184904	201064	johanssonsoundsymbolic-Gooniyandi	goon1238		feather	1201	FEATHER		ŋabɯ	ŋ a b ɯ
189936	222589	johanssonsoundsymbolic-Gooniyandi	goon1238		flower	239	FLOWER		ɟiga	ɟ i g a
196175	228828	johanssonsoundsymbolic-Gooniyandi	goon1238		foot	1301	FOOT		t̪iŋa	t̪ i ŋ a
214605	247258	johanssonsoundsymbolic-Gooniyandi	goon1238		give	1447	GIVE		ŋaŋ	ŋ a ŋ
220732	253388	johanssonsoundsymbolic-Gooniyandi	goon1238		good	1035	GOOD		ɟɯɳaɲgaɾa	ɟ ɯ ɳ a ɲ g a ɾ a
226178	258834	johanssonsoundsymbolic-Gooniyandi	goon1238		grass	606	GRASS		giliɳi	g i l i ɳ i
234536	267192	johanssonsoundsymbolic-Gooniyandi	goon1238		hair	1040	HAIR		bɯlga	b ɯ l g a
238375	271031	johanssonsoundsymbolic-Gooniyandi	goon1238		hand	1277	HAND		maɭa	m a ɭ a
243930	276587	johanssonsoundsymbolic-Gooniyandi	goon1238		head	1256	HEAD		miɾa	m i ɾ a
246874	279531	johanssonsoundsymbolic-Gooniyandi	goon1238		hear	1408	HEAR		daɲmili	d a ɲ m i l i
248459	281116	johanssonsoundsymbolic-Gooniyandi	goon1238		heart	1223	HEART		dɯlɯ	d ɯ l ɯ
250628	283285	johanssonsoundsymbolic-Gooniyandi	goon1238		heavy	1210	HEAVY		t̪aɻidi	t̪ a ɻ i d i
254462	287121	johanssonsoundsymbolic-Gooniyandi	goon1238		here	136	HERE		ɲa	ɲ a
258708	291368	johanssonsoundsymbolic-Gooniyandi	goon1238		hit	1433	HIT		gaɖ	g a ɖ
274683	307343	johanssonsoundsymbolic-Gooniyandi	goon1238		i	1209	I		ŋaɲi	ŋ a ɲ i
287528	320188	johanssonsoundsymbolic-Gooniyandi	goon1238		kill	1417	KILL		gaɖ	g a ɖ
299010	331670	johanssonsoundsymbolic-Gooniyandi	goon1238		laugh	1355	LAUGH		galgal	g a l g a l
302165	334825	johanssonsoundsymbolic-Gooniyandi	goon1238		leaf	628	LEAF		jimaɾaɾa	j i m a ɾ a ɾ a
316929	349589	johanssonsoundsymbolic-Gooniyandi	goon1238		liver	1224	LIVER		miɭi	m i ɭ i
319826	352486	johanssonsoundsymbolic-Gooniyandi	goon1238		long	1203	LONG		giɾabiŋaɾi	g i ɾ a b i ŋ a ɾ i
332261	364922	johanssonsoundsymbolic-Gooniyandi	goon1238		many	1198	MANY		gaɳdiwa	g a ɳ d i w a
353415	386079	johanssonsoundsymbolic-Gooniyandi	goon1238		mouth	674	MOUTH		t̪aŋaɳdi	t̪ a ŋ a ɳ d i
358434	391098	johanssonsoundsymbolic-Gooniyandi	goon1238		name	1405	NAME		gɯwaɟ	g ɯ w a ɟ
362984	395650	johanssonsoundsymbolic-Gooniyandi	goon1238		near	1942	NEAR		jalawa	j a l a w a
364722	397389	johanssonsoundsymbolic-Gooniyandi	goon1238		neck	1333	NECK		ɟɑbi	ɟ ɑ b i
368780	401447	johanssonsoundsymbolic-Gooniyandi	goon1238		new	1231	NEW		janɯŋgɯ	j a n ɯ ŋ g ɯ
371554	404221	johanssonsoundsymbolic-Gooniyandi	goon1238		night	1233	NIGHT		maniŋga	m a n i ŋ g a
377374	410041	johanssonsoundsymbolic-Gooniyandi	goon1238		nose	1221	NOSE		manili	m a n i l i
389669	422336	johanssonsoundsymbolic-Gooniyandi	goon1238		one	1493	ONE		jɯwaɳi	j ɯ w a ɳ i
393713	426380	johanssonsoundsymbolic-Gooniyandi	goon1238		other	197	OTHER		jɑɲa	j ɑ ɲ a
406204	438871	johanssonsoundsymbolic-Gooniyandi	goon1238		person	683	PERSON		jɯlɯ	j ɯ l ɯ
432462	465130	johanssonsoundsymbolic-Gooniyandi	goon1238		red	156	RED		t̪iwa	t̪ i w a
440719	473387	johanssonsoundsymbolic-Gooniyandi	goon1238		river	666	RIVER		waɭibiɾi	w a ɭ i b i ɾ i
444412	477081	johanssonsoundsymbolic-Gooniyandi	goon1238		root	670	ROOT		jiɾali	j i ɾ a l i
447959	480628	johanssonsoundsymbolic-Gooniyandi	goon1238		rotten	1728	ROTTEN		t̪ɯɳdɯ	t̪ ɯ ɳ d ɯ
456365	489034	johanssonsoundsymbolic-Gooniyandi	goon1238		sand	671	SAND		waʎaɾa	w a ʎ a ɾ a
459331	492000	johanssonsoundsymbolic-Gooniyandi	goon1238		say	1458	SAY		ɟag	ɟ a g
465077	497747	johanssonsoundsymbolic-Gooniyandi	goon1238		see	1409	SEE		mila	m i l a
474947	507618	johanssonsoundsymbolic-Gooniyandi	goon1238		sharp	1396	SHARP		ɟalgɯdɯ	ɟ a l g ɯ d ɯ
481541	514213	johanssonsoundsymbolic-Gooniyandi	goon1238		short	1645	SHORT		t̪igi	t̪ i g i
490521	523193	johanssonsoundsymbolic-Gooniyandi	goon1238		sit	1416	SIT		waɻaŋ	w a ɻ a ŋ
497088	529760	johanssonsoundsymbolic-Gooniyandi	goon1238		sky	1732	SKY		biɾiɲi	b i ɾ i ɲ i
