	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
271	271	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		above	1741	ABOVE		ˈyʌṭe	j ɜ ʈ e
274	274	backstromnorthernpakistan-UyumNagar	naga1398		above	1741	ABOVE		ˈyʌṭe	j ɜ ʈ e
275	275	backstromnorthernpakistan-YasinCenter	yasi1237		above	1741	ABOVE		ˈyʌṭe	j ɜ ʈ e
1107	17258	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		aubergine	1146	AUBERGINE		ṣ̌ɪˈnɑ ˈbɑlogʌn	ʂ ɪ n̪ ɑ + b ɑ l o g ɜ n̪
1109	17260	backstromnorthernpakistan-UyumNagar	naga1398		aubergine	1146	AUBERGINE		ˈṣ̌eenʌ bɑˈlogʌn	ʂ e e n̪ ɜ + b ɑ l o g ɜ n̪
1110	17261	backstromnorthernpakistan-YasinCenter	yasi1237		aubergine	1146	AUBERGINE		pʌṭigɑn	p ɜ ʈ i g ɑ n̪
2056	18207	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		axe	677	AXE		ˈgʌŋi	g ɜ ŋ i
2058	18209	backstromnorthernpakistan-UyumNagar	naga1398		axe	677	AXE		ˈgʌŋi	g ɜ ŋ i
2059	18210	backstromnorthernpakistan-YasinCenter	yasi1237		axe	677	AXE		ˈgʸɛŋgi	gʲ ɛ ŋ g i
4717	20868	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		bad	1292	BAD		ɣuˈniqiṣ̌	ɣ u n̪ i q i ʂ
4719	20870	backstromnorthernpakistan-UyumNagar	naga1398		bad	1292	BAD		g̣ʌˈnɛqɪṣ̌	ɢ ɜ n̪ ɛ q ɪ ʂ
4720	20871	backstromnorthernpakistan-YasinCenter	yasi1237		bad	1292	BAD		šum	ɕ u m
7848	23999	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		banana	868	BANANA		keˈlɑ	k e l ɑ
7849	24000	backstromnorthernpakistan-UyumNagar	naga1398		banana	868	BANANA		kiˈlʌ	k i l ɜ
7850	24001	backstromnorthernpakistan-YasinCenter	yasi1237		banana	868	BANANA		keˈlʌ	k e l ɜ
15545	31696	backstromnorthernpakistan-NazimabadUpperSust	hunz1248		beat	1665	BEAT		ˈdɛli	d̪ ɛ l i
15546	31697	backstromnorthernpakistan-UyumNagar	naga1398		beat	1665	BEAT		ˈdɛli	d̪ ɛ l i
