	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8916	25067	johanssonsoundsymbolic-Pawnee	pawn1254		bark	1204	BARK		ɾaakitskuusʔ	ɾ aː k i ts k uː s ʔ
22960	39111	johanssonsoundsymbolic-Pawnee	pawn1254		belly	1251	BELLY		kaɾaaɾuʔ	k a ɾ aː ɾ u ʔ
28003	44154	johanssonsoundsymbolic-Pawnee	pawn1254		big	1202	BIG		ɾihuuɾ	ɾ i h uː ɾ
30380	46531	johanssonsoundsymbolic-Pawnee	pawn1254		bird	937	BIRD		ɾikutski	ɾ i k u ts k i
32736	48887	johanssonsoundsymbolic-Pawnee	pawn1254		bite	1403	BITE		kaʔuts	k a ʔ u ts
35350	51501	johanssonsoundsymbolic-Pawnee	pawn1254		black	163	BLACK		kaatiit	k aː t iː t
38763	54914	johanssonsoundsymbolic-Pawnee	pawn1254		blood	946	BLOOD		paatuʔ	p aː t u ʔ
46986	63137	johanssonsoundsymbolic-Pawnee	pawn1254		bone	1394	BONE		kiisuʔ	k iː s u ʔ
57073	73226	johanssonsoundsymbolic-Pawnee	pawn1254		breast	1402	BREAST		iituʔ	iː t u ʔ
64543	80696	johanssonsoundsymbolic-Pawnee	pawn1254		burn	2102	BURN		kahuuɾik	k a h uː ɾ i k
91680	107833	johanssonsoundsymbolic-Pawnee	pawn1254		cloud	1489	CLOUD		tskaʔu	ts k a ʔ u
95264	111417	johanssonsoundsymbolic-Pawnee	pawn1254		cold	1287	COLD		ɾaawaasit	ɾ aː w aː s i t
98927	115080	johanssonsoundsymbolic-Pawnee	pawn1254		come	1446	COME		a	a
127151	143306	johanssonsoundsymbolic-Pawnee	pawn1254		die	1494	DIE		huɾahats	h u ɾ a h a ts
135700	151855	johanssonsoundsymbolic-Pawnee	pawn1254		dog	2009	DOG		asaa	a s aː
142169	158324	johanssonsoundsymbolic-Pawnee	pawn1254		drink	1401	DRINK		kiikaa	k iː k aː
145804	161959	johanssonsoundsymbolic-Pawnee	pawn1254		dry	1398	DRY		taahiis	t aː h iː s
151245	167400	johanssonsoundsymbolic-Pawnee	pawn1254		ear	1247	EAR		itkahaaɾuʔ	i t k a h aː ɾ u ʔ
154165	170320	johanssonsoundsymbolic-Pawnee	pawn1254		earthsoil	1228	EARTH (SOIL)		itkaaɾuʔ	i t k aː ɾ u ʔ
156768	172923	johanssonsoundsymbolic-Pawnee	pawn1254		eat	1336	EAT		aa	aː
159075	175233	johanssonsoundsymbolic-Pawnee	pawn1254		egg	744	EGG		ɾipiikuʔ	ɾ i p iː k u ʔ
169648	185806	johanssonsoundsymbolic-Pawnee	pawn1254		eye	1248	EYE		kiɾiikuʔ	k i ɾ iː k u ʔ
182123	198283	johanssonsoundsymbolic-Pawnee	pawn1254		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kiitsahiihtuʔ	k iː ts a h iː h t u ʔ
