	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3883	20034	johanssonsoundsymbolic-Chayahuita	chay1248		back	1291	BACK		pinɨn	p i n ɨ n
12976	29127	johanssonsoundsymbolic-Chayahuita	chay1248		bealive	1422	BE ALIVE		yaʔwɨɾin	j a ʔ w ɨ ɾ i n
22868	39019	johanssonsoundsymbolic-Chayahuita	chay1248		belly	1251	BELLY		pɨtoyoʔnan	p ɨ t o y o ʔ n a n
27908	44059	johanssonsoundsymbolic-Chayahuita	chay1248		big	1202	BIG		panka	p a n k a
30298	46449	johanssonsoundsymbolic-Chayahuita	chay1248		bird	937	BIRD		inaiɾa	i n a i ɾ a
32649	48800	johanssonsoundsymbolic-Chayahuita	chay1248		bite	1403	BITE		kɨtɨɾin	k ɨ t ɨ ɾ i n
35259	51410	johanssonsoundsymbolic-Chayahuita	chay1248		black	163	BLACK		yaɾaton	j a ɾ a t o n
38671	54822	johanssonsoundsymbolic-Chayahuita	chay1248		blood	946	BLOOD		wɨnaiʔ	w ɨ n a i ʔ
40897	57048	johanssonsoundsymbolic-Chayahuita	chay1248		blowofwind	175	BLOW (OF WIND)		piwiɾin	p i w i ɾ i n
46900	63051	johanssonsoundsymbolic-Chayahuita	chay1248		bone	1394	BONE		nansɨ	n a n s ɨ
58924	75077	johanssonsoundsymbolic-Chayahuita	chay1248		breathe	1407	BREATHE		niiɾin	n iː ɾ i n
91600	107753	johanssonsoundsymbolic-Chayahuita	chay1248		cloud	1489	CLOUD		ohistɨɾoʔ	o h i s t ɨ ɾ o ʔ
98839	114992	johanssonsoundsymbolic-Chayahuita	chay1248		come	1446	COME		wɨʔnin	w ɨ ʔ n i n
121784	137939	johanssonsoundsymbolic-Chayahuita	chay1248		daynotnight	1225	DAY (NOT NIGHT)		tawɨɾi	t a w ɨ ɾ i
127060	143215	johanssonsoundsymbolic-Chayahuita	chay1248		die	1494	DIE		tʃiminin	tʃ i m i n i n
131716	147871	johanssonsoundsymbolic-Chayahuita	chay1248		dirty	1230	DIRTY		nɨʔwɨ	n ɨ ʔ w ɨ
135610	151765	johanssonsoundsymbolic-Chayahuita	chay1248		dog	2009	DOG		niʔniɾa	n i ʔ n i ɾ a
142078	158233	johanssonsoundsymbolic-Chayahuita	chay1248		drink	1401	DRINK		oʔoɾin	o ʔ o ɾ i n
145723	161878	johanssonsoundsymbolic-Chayahuita	chay1248		dry	1398	DRY		yaniɾin	j a n i ɾ i n
148706	164861	johanssonsoundsymbolic-Chayahuita	chay1248		dust	2	DUST		amokan	a m o k a n
151153	167308	johanssonsoundsymbolic-Chayahuita	chay1248		ear	1247	EAR		wɨɾatɨʔ	w ɨ ɾ a t ɨ ʔ
154075	170230	johanssonsoundsymbolic-Chayahuita	chay1248		earthsoil	1228	EARTH (SOIL)		noʔpaʔ	n o ʔ p a ʔ
156677	172832	johanssonsoundsymbolic-Chayahuita	chay1248		eat	1336	EAT		koʃatɨɾin	k o ʃ a t ɨ ɾ i n
158989	175147	johanssonsoundsymbolic-Chayahuita	chay1248		egg	744	EGG		kayoʔ	k a y o ʔ
169557	185715	johanssonsoundsymbolic-Chayahuita	chay1248		eye	1248	EYE		yaʔpiɾa	j a ʔ p i ɾ a
173563	189722	johanssonsoundsymbolic-Chayahuita	chay1248		fall	1280	FALL		anotɨɾin	a n o t ɨ ɾ i n
175832	191991	johanssonsoundsymbolic-Chayahuita	chay1248		far	1406	FAR		akɨ	a k ɨ
182049	198209	johanssonsoundsymbolic-Chayahuita	chay1248		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tomaʔ	t o m a ʔ
184888	201048	johanssonsoundsymbolic-Chayahuita	chay1248		feather	1201	FEATHER		anpoɾoʔ	a n p o ɾ o ʔ
189918	222571	johanssonsoundsymbolic-Chayahuita	chay1248		flower	239	FLOWER		yanko	j a n k o
192845	225498	johanssonsoundsymbolic-Chayahuita	chay1248		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		iko	i k o
196158	228811	johanssonsoundsymbolic-Chayahuita	chay1248		foot	1301	FOOT		nantɨʔ	n a n t ɨ ʔ
202491	235144	johanssonsoundsymbolic-Chayahuita	chay1248		four	1500	FOUR		katapini	k a t a p i n i
