	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
535	16686	hubercolumbian-Yukpa	yukp1241		at	1461	AT		ja	j a
667	16818	wold-Kalina	gali1262		at	1461	AT		po	p o
2163	18314	hubercolumbian-Carijona	cari1279		axe	677	AXE		wɯwɯ	w ɯ w ɯ
2219	18370	hubercolumbian-Yukpa	yukp1241		axe	677	AXE		wáʃa	w a ʃ a
2552	18703	wold-Kalina	gali1262		axe	677	AXE		wɨwɨ	w ɨ w ɨ
2758	18909	hubercolumbian-Carijona	cari1279		baby	1289	BABY		muri muguru	m u r i + m u g u r u
2828	18979	hubercolumbian-Yukpa	yukp1241		baby	1289	BABY		kaʔʧáʃe	k a ʔ tʃ a ʃ e
3008	19159	wold-Kalina	gali1262		baby	1289	BABY		pitanimenpo	p i t a n i m e n p o
3795	19946	hubercolumbian-Carijona	cari1279		back	1291	BACK		iiba	iː b a
3796	19947	hubercolumbian-Carijona	cari1279		back	1291	BACK		iiban	iː b a n
3857	20008	hubercolumbian-Yukpa	yukp1241		back	1291	BACK		mósa	m o s a
3892	20043	johanssonsoundsymbolic-Enapaworomaipu	enap1235		back	1291	BACK		mpae	m p a e
4292	20443	wold-Kalina	gali1262		back	1291	BACK		-ɨnkanalɨ	ɨ n k a n a l ɨ
4899	21050	hubercolumbian-Carijona	cari1279		bad	1292	BAD		kurakeno	k u r a k e n o
4962	21113	hubercolumbian-Yukpa	yukp1241		bad	1292	BAD		ti̵spí̵noʃ	t ɨ s p ɨ n o ʃ
4963	21114	hubercolumbian-Yukpa	yukp1241		bad	1292	BAD		wáji	w a j i
5006	21157	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bad	1292	BAD		aɾjɨpɨpe	a ɾ j ɨ p ɨ p e
5662	21813	wold-Kalina	gali1262		bad	1292	BAD		yawame	j a w a m e
5910	22061	wold-Kalina	gali1262		badluck	56	BAD LUCK		omita	o m i t a
6826	22977	wold-Kalina	gali1262		bait	2013	BAIT		sapa	s a p a
6972	23123	wold-Kalina	gali1262		bake	183	BAKE		ekei	e k e i
7025	23176	wold-Kalina	gali1262		bald	1125	BALD		use’pa	u s e ʔ p a
7145	23296	wold-Kalina	gali1262		ball	1845	BALL		bal	b a l
7578	23729	wold-Kalina	gali1262		bamboo	1927	BAMBOO		kuwama	k u w a m a
8270	24421	wold-Kalina	gali1262		banana	868	BANANA		palulu	p a l u l u
8463	24614	hubercolumbian-Carijona	cari1279		banisterium	276	BANISTERIUM		jahe	j a h e
8748	24899	hubercolumbian-Carijona	cari1279		bark	1204	BARK		βeβedihɯ	β e β e d i h ɯ
8846	24997	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bark	1204	BARK		ije_pihpə	i j e + p i h p ə
9483	25634	wold-Kalina	gali1262		bark	1204	BARK		-pipo	p i p o
