	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8748	24899	hubercolumbian-Carijona	cari1279		bark	1204	BARK		βeβedihɯ	β e β e d i h ɯ
8846	24997	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bark	1204	BARK		ije_pihpə	i j e + p i h p ə
9483	25634	wold-Kalina	gali1262		bark	1204	BARK		-pipo	p i p o
22712	38863	hubercolumbian-Carijona	cari1279		belly	1251	BELLY		iwakuru	i w a k u r u
22713	38864	hubercolumbian-Carijona	cari1279		belly	1251	BELLY		iwakuru	i w a k u r u
22835	38986	hubercolumbian-Yukpa	yukp1241		belly	1251	BELLY		póse	p o s e
22836	38987	hubercolumbian-Yukpa	yukp1241		belly	1251	BELLY		póse	p o s e
22880	39031	johanssonsoundsymbolic-Enapaworomaipu	enap1235		belly	1251	BELLY		patʃe	p a tʃ e
23866	40017	wold-Kalina	gali1262		belly	1251	BELLY		uwenpo	u w e n p o
27811	43962	hubercolumbian-Carijona	cari1279		big	1202	BIG		mono	m o n o
27878	44029	hubercolumbian-Yukpa	yukp1241		big	1202	BIG		ʃã́pe	ʃ ã p e
27921	44072	johanssonsoundsymbolic-Enapaworomaipu	enap1235		big	1202	BIG		tosenpe	t o s e n p e
29084	45235	wold-Kalina	gali1262		big	1202	BIG		potome	p o t o m e
30207	46358	hubercolumbian-Carijona	cari1279		bird	937	BIRD		torono	t o r o n o
30270	46421	hubercolumbian-Yukpa	yukp1241		bird	937	BIRD		okóʧkaʧ	o k o tʃ k a tʃ
30271	46422	hubercolumbian-Yukpa	yukp1241		bird	937	BIRD		towása	t o w a s a
30310	46461	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bird	937	BIRD		tunko	t u n k o
31441	47592	wold-Kalina	gali1262		bird	937	BIRD		tonolo	t o n o l o
31442	47593	wold-Kalina	gali1262		bird	937	BIRD		wasili	w a s i l i
32565	48716	hubercolumbian-Carijona	cari1279		bite	1403	BITE		jeserehatɯi	j e s e r e h a t ɯ i
32620	48771	hubercolumbian-Yukpa	yukp1241		bite	1403	BITE		esékase	e s e k a s e
32659	48810	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bite	1403	BITE		ɨnən	ɨ n ə n
33532	49683	wold-Kalina	gali1262		bite	1403	BITE		eka	e k a
35167	51318	hubercolumbian-Carijona	cari1279		black	163	BLACK		sukutumemɯ	s u k u t u m e m ɯ
35228	51379	hubercolumbian-Yukpa	yukp1241		black	163	BLACK		korówʧe	k o r o w tʃ e
35272	51423	johanssonsoundsymbolic-Enapaworomaipu	enap1235		black	163	BLACK		tɨpuɾuke	t ɨ p u ɾ u k e
36054	52205	wold-Kalina	gali1262		black	163	BLACK		tɨkalaiye	t ɨ k a l a i j e
38580	54731	hubercolumbian-Carijona	cari1279		blood	946	BLOOD		munʲu	m u nʲ u
38641	54792	hubercolumbian-Yukpa	yukp1241		blood	946	BLOOD		múro	m u r o
38683	54834	johanssonsoundsymbolic-Enapaworomaipu	enap1235		blood	946	BLOOD		meitʃuʔ	m e i tʃ u ʔ
39795	55946	wold-Kalina	gali1262		blood	946	BLOOD		mɨnɨ	m ɨ n ɨ
46809	62960	hubercolumbian-Carijona	cari1279		bone	1394	BONE		ijetihɯ	i j e t i h ɯ
46870	63021	hubercolumbian-Yukpa	yukp1241		bone	1394	BONE		jópo	j o p o
46913	63064	johanssonsoundsymbolic-Enapaworomaipu	enap1235		bone	1394	BONE		jəhpə	j ə h p ə
48049	64200	wold-Kalina	gali1262		bone	1394	BONE		-yepo	j e p o
56903	73056	hubercolumbian-Carijona	cari1279		breast	1402	BREAST		susuru	s u s u r u
56904	73057	hubercolumbian-Carijona	cari1279		breast	1402	BREAST		manati	m a n a t i
56957	73110	hubercolumbian-Yukpa	yukp1241		breast	1402	BREAST		ɕéɕe	ɕ e ɕ e
56999	73152	johanssonsoundsymbolic-Enapaworomaipu	enap1235		breast	1402	BREAST		mak	m a k
58097	74250	wold-Kalina	gali1262		breast	1402	BREAST		-manatɨlɨ	m a n a t ɨ l ɨ
64353	80506	hubercolumbian-Carijona	cari1279		burn	2102	BURN		nehenʲanɯ	n e h e nʲ a n ɯ
64435	80588	hubercolumbian-Yukpa	yukp1241		burn	2102	BURN		oká	o k a
64473	80626	johanssonsoundsymbolic-Enapaworomaipu	enap1235		burn	2102	BURN		uka	u k a
87341	103494	wold-Kalina	gali1262		claw	72	CLAW		-amosaitɨlɨ	a m o s a i t ɨ l ɨ
91574	107727	hubercolumbian-Yukpa	yukp1241		cloud	1489	CLOUD		kamúro	k a m u r o
91612	107765	johanssonsoundsymbolic-Enapaworomaipu	enap1235		cloud	1489	CLOUD		keʔɲato	k e ʔ ɲ a t o
92513	108666	wold-Kalina	gali1262		cloud	1489	CLOUD		kapulutu	k a p u l u t u
95076	111229	hubercolumbian-Carijona	cari1279		cold	1287	COLD		ehirikɯ	e h i r i k ɯ
95147	111300	hubercolumbian-Yukpa	yukp1241		cold	1287	COLD		méja	m e j a
95188	111341	johanssonsoundsymbolic-Enapaworomaipu	enap1235		cold	1287	COLD		tɨʔnatəke	t ɨ ʔ n a t ə k e
96292	112445	wold-Kalina	gali1262		cold	1287	COLD		tɨsanole	t ɨ s a n o l e
98749	114902	hubercolumbian-Carijona	cari1279		come	1446	COME		jejae	j e j a e
98810	114963	hubercolumbian-Yukpa	yukp1241		come	1446	COME		táse	t a s e
98851	115004	johanssonsoundsymbolic-Enapaworomaipu	enap1235		come	1446	COME		uwəpɨn	u w ə p ɨ n
99992	116145	wold-Kalina	gali1262		come	1446	COME		wopɨ	w o p ɨ
126960	143115	hubercolumbian-Carijona	cari1279		die	1494	DIE		jahejae	j a h e j a e
127028	143183	hubercolumbian-Yukpa	yukp1241		die	1494	DIE		eká	e k a
127072	143227	johanssonsoundsymbolic-Enapaworomaipu	enap1235		die	1494	DIE		jusukan	j u s u k a n
128107	144262	wold-Kalina	gali1262		die	1494	DIE		lomopɨ	l o m o p ɨ
135524	151679	hubercolumbian-Carijona	cari1279		dog	2009	DOG		kaikuʧi ekɯnɯ	k a i k u tʃ i + e k ɯ n ɯ
135623	151778	johanssonsoundsymbolic-Enapaworomaipu	enap1235		dog	2009	DOG		kəɾənəpən	k ə ɾ ə n ə p ə n
136773	152928	wold-Kalina	gali1262		dog	2009	DOG		pelo	p e l o
141990	158145	hubercolumbian-Carijona	cari1279		drink	1401	DRINK		nejandanɯ	n e j a n d a n ɯ
142048	158203	hubercolumbian-Yukpa	yukp1241		drink	1401	DRINK		kuná	k u n a
142090	158245	johanssonsoundsymbolic-Enapaworomaipu	enap1235		drink	1401	DRINK		nɨkoɾooman	n ɨ k o ɾ oː m a n
142831	158986	wold-Kalina	gali1262		drink	1401	DRINK		enɨlɨ	e n ɨ l ɨ
145633	161788	hubercolumbian-Carijona	cari1279		dry	1398	DRY		taurunemɯ	t a u r u n e m ɯ
145694	161849	hubercolumbian-Yukpa	yukp1241		dry	1398	DRY		túne	t u n e
145695	161850	hubercolumbian-Yukpa	yukp1241		dry	1398	DRY		kóko	k o k o
145731	161886	johanssonsoundsymbolic-Enapaworomaipu	enap1235		dry	1398	DRY		tukotʃiketʃe	t u k o tʃ i k e tʃ e
146441	162596	wold-Kalina	gali1262		dry	1398	DRY		talule	t a l u l e
151063	167218	hubercolumbian-Carijona	cari1279		ear	1247	EAR		eenuru	eː n u r u
151122	167277	hubercolumbian-Yukpa	yukp1241		ear	1247	EAR		pána	p a n a
151165	167320	johanssonsoundsymbolic-Enapaworomaipu	enap1235		ear	1247	EAR		pana	p a n a
152303	168458	wold-Kalina	gali1262		ear	1247	EAR		pana	p a n a
153967	170122	hubercolumbian-Carijona	cari1279		earthsoil	1228	EARTH (SOIL)		nono	n o n o
154044	170199	hubercolumbian-Yukpa	yukp1241		earthsoil	1228	EARTH (SOIL)		nóno	n o n o
154088	170243	johanssonsoundsymbolic-Enapaworomaipu	enap1235		earthsoil	1228	EARTH (SOIL)		ano	a n o
154772	170927	wold-Kalina	gali1262		earthsoil	1228	EARTH (SOIL)		nono	n o n o
156563	172718	hubercolumbian-Carijona	cari1279		eat	1336	EAT		nejandanɯ	n e j a n d a n ɯ
156646	172801	hubercolumbian-Yukpa	yukp1241		eat	1336	EAT		eʃẽpase	e ʃ ẽ p a s e
156690	172845	johanssonsoundsymbolic-Enapaworomaipu	enap1235		eat	1336	EAT		jutʃeɾeman	j u tʃ e ɾ e m a n
157687	173845	wold-Kalina	gali1262		eat	1336	EAT		onolɨ	o n o l ɨ
157688	173846	wold-Kalina	gali1262		eat	1336	EAT		enɨlɨ	e n ɨ l ɨ
157689	173847	wold-Kalina	gali1262		eat	1336	EAT		wentame	w e n t a m e
158901	175059	hubercolumbian-Carijona	cari1279		egg	744	EGG		imo	i m o
158960	175118	hubercolumbian-Yukpa	yukp1241		egg	744	EGG		mí̵re	m ɨ r e
159002	175160	johanssonsoundsymbolic-Enapaworomaipu	enap1235		egg	744	EGG		moe	m o e
160085	176243	wold-Kalina	gali1262		egg	744	EGG		i’mo	i ʔ m o
169469	185627	hubercolumbian-Carijona	cari1279		eye	1248	EYE		ihanari	i h a n a r i
169527	185685	hubercolumbian-Yukpa	yukp1241		eye	1248	EYE		ánu	a n u
169570	185728	johanssonsoundsymbolic-Enapaworomaipu	enap1235		eye	1248	EYE		o	o
170731	186889	wold-Kalina	gali1262		eye	1248	EYE		-enulu	e n u l u
182060	198220	johanssonsoundsymbolic-Enapaworomaipu	enap1235		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kaɾapa	k a ɾ a p a
182725	198885	wold-Kalina	gali1262		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		katɨ	k a t ɨ
184805	200965	hubercolumbian-Carijona	cari1279		feather	1201	FEATHER		haru	h a r u
184861	201021	hubercolumbian-Yukpa	yukp1241		feather	1201	FEATHER		kurátana	k u r a t a n a
184898	201058	johanssonsoundsymbolic-Enapaworomaipu	enap1235		feather	1201	FEATHER		iʔpok	i ʔ p o k
185508	201668	wold-Kalina	gali1262		feather	1201	FEATHER		-potï	p o t ɯ
187134	219787	hubercolumbian-Carijona	cari1279		fleshormeat	2615	FLESH OR MEAT		tanaimɯ	t a n a i m ɯ
187201	219854	hubercolumbian-Yukpa	yukp1241		fleshormeat	2615	FLESH OR MEAT		pu	p u
192763	225416	hubercolumbian-Carijona	cari1279		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		jahɯritai	j a h ɯ r i t a i
192857	225510	johanssonsoundsymbolic-Enapaworomaipu	enap1235		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tjuwinke	t j u w i n k e
193557	226210	wold-Kalina	gali1262		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		alilumɨ	a l i l u m ɨ
196070	228723	hubercolumbian-Carijona	cari1279		foot	1301	FOOT		huhu	h u h u
196129	228782	hubercolumbian-Yukpa	yukp1241		foot	1301	FOOT		úʃi	u ʃ i
196169	228822	johanssonsoundsymbolic-Enapaworomaipu	enap1235		foot	1301	FOOT		pata	p a t a
196939	229592	wold-Kalina	gali1262		foot	1301	FOOT		-pupulu	p u p u l u
209172	241825	hubercolumbian-Carijona	cari1279		full	1429	FULL		tɯnahoke	t ɯ n a h o k e
209237	241890	hubercolumbian-Yukpa	yukp1241		full	1429	FULL		túʔwe	t u ʔ w e
209238	241891	hubercolumbian-Yukpa	yukp1241		full	1429	FULL		tuwáje	t u w a j e
209275	241928	johanssonsoundsymbolic-Enapaworomaipu	enap1235		full	1429	FULL		tuke	t u k e
210014	242667	wold-Kalina	gali1262		full	1429	FULL		tanuse	t a n u s e
214492	247145	hubercolumbian-Carijona	cari1279		give	1447	GIVE		jawonjae	j a w o n j a e
214557	247210	hubercolumbian-Yukpa	yukp1241		give	1447	GIVE		túse	t u s e
214599	247252	johanssonsoundsymbolic-Enapaworomaipu	enap1235		give	1447	GIVE		juʔtu	j u ʔ t u
215694	248347	wold-Kalina	gali1262		give	1447	GIVE		ɨlɨ	ɨ l ɨ
220619	253275	hubercolumbian-Carijona	cari1279		good	1035	GOOD		kurano	k u r a n o
220620	253276	hubercolumbian-Carijona	cari1279		good	1035	GOOD		kure	k u r e
220683	253339	hubercolumbian-Yukpa	yukp1241		good	1035	GOOD		tẽtẽìra	t ẽ t ẽ i r a
220726	253382	johanssonsoundsymbolic-Enapaworomaipu	enap1235		good	1035	GOOD		ajape	a j a p e
221864	254520	wold-Kalina	gali1262		good	1035	GOOD		ilupa	i l u p a
228487	261143	hubercolumbian-Yukpa	yukp1241		green	1425	GREEN		ʃépa	ʃ e p a
228526	261182	johanssonsoundsymbolic-Enapaworomaipu	enap1235		green	1425	GREEN		takuʔjake	t a k u ʔ j a k e
229288	261944	wold-Kalina	gali1262		green	1425	GREEN		tikile	t i k i l e
234529	267185	johanssonsoundsymbolic-Enapaworomaipu	enap1235		hair	1040	HAIR		iʔpok	i ʔ p o k
238269	270925	hubercolumbian-Carijona	cari1279		hand	1277	HAND		eenʲari	eː nʲ a r i
238326	270982	hubercolumbian-Yukpa	yukp1241		hand	1277	HAND		óma	o m a
238369	271025	johanssonsoundsymbolic-Enapaworomaipu	enap1235		hand	1277	HAND		eɲa	e ɲ a
239222	271878	wold-Kalina	gali1262		hand	1277	HAND		-ainalɨ	a i n a l ɨ
243821	276478	hubercolumbian-Carijona	cari1279		head	1256	HEAD		hutu	h u t u
243822	276479	hubercolumbian-Carijona	cari1279		head	1256	HEAD		ihutuhəʔ	i h u t u h ə ʔ
243881	276538	hubercolumbian-Yukpa	yukp1241		head	1256	HEAD		wása	w a s a
243925	276582	johanssonsoundsymbolic-Enapaworomaipu	enap1235		head	1256	HEAD		pun	p u n
245119	277776	wold-Kalina	gali1262		head	1256	HEAD		-upupo	u p u p o
246772	279429	hubercolumbian-Carijona	cari1279		hear	1408	HEAR		etae	e t a e
246829	279486	hubercolumbian-Yukpa	yukp1241		hear	1408	HEAR		etáse	e t a s e
246870	279527	johanssonsoundsymbolic-Enapaworomaipu	enap1235		hear	1408	HEAR		itja	i t j a
247912	280569	wold-Kalina	gali1262		hear	1408	HEAR		eta	e t a
248356	281013	hubercolumbian-Carijona	cari1279		heart	1223	HEART		eremorori	e r e m o r o r i
