	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3500	19651	birchallchapacuran-cojubim	kuyu1236		back	1291	BACK		ataw	a t a w
3501	19652	birchallchapacuran-orowin	orow1243		back	1291	BACK		arawasi	a r a w a s i
3502	19653	birchallchapacuran-wanyam	wany1246		back	1291	BACK		awaraʃiʔ	a w a r a ʃ i ʔ
4010	20161	johanssonsoundsymbolic-Wari	wari1268		back	1291	BACK		waɾaʃiʔ	w a ɾ a ʃ i ʔ
5131	21282	johanssonsoundsymbolic-Wari	wari1268		bad	1292	BAD		ʔemʔ	ʔ e m ʔ
8956	25107	johanssonsoundsymbolic-Wari	wari1268		bark	1204	BARK		tapaɾi	t a p a ɾ i
13102	29253	johanssonsoundsymbolic-Wari	wari1268		bealive	1422	BE ALIVE		eʔ	e ʔ
20579	36730	johanssonsoundsymbolic-Wari	wari1268		behind	1686	BEHIND		nomonoʃiʔ	n o m o n o ʃ i ʔ
22365	38516	birchallchapacuran-cojubim	kuyu1236		belly	1251	BELLY		tʃakaw ta	tʃ a k a w + t a
22366	38517	birchallchapacuran-orowin	orow1243		belly	1251	BELLY		kimi	k i m i
22367	38518	birchallchapacuran-orowin	orow1243		belly	1251	BELLY		tapawakon	t a p a w a k o n
22368	38519	birchallchapacuran-wanyam	wany1246		belly	1251	BELLY		kimijekin	k i m i j e k i n
23008	39159	johanssonsoundsymbolic-Wari	wari1268		belly	1251	BELLY		monoʃiʔ	m o n o ʃ i ʔ
24633	40784	johanssonsoundsymbolic-Wari	wari1268		beloworunder	1485	BELOW OR UNDER		ʃoneʃiʔ	ʃ o n e ʃ i ʔ
25828	41979	johanssonsoundsymbolic-Wari	wari1268		beside	1816	BESIDE		kiɾiʃiʔ	k i ɾ i ʃ i ʔ
26530	42681	johanssonsoundsymbolic-Wari	wari1268		between	689	BETWEEN		ʃimijaʃiʔ	ʃ i m i j a ʃ i ʔ
27406	43557	birchallchapacuran-cojubim	kuyu1236		big	1202	BIG		ina	i n a
27407	43558	birchallchapacuran-orowin	orow1243		big	1202	BIG		foraʔ	f o r a ʔ
27408	43559	birchallchapacuran-orowin	orow1243		big	1202	BIG		ekem	e k e m
27409	43560	birchallchapacuran-wanyam	wany1246		big	1202	BIG		iparinaj	i p a r i n a j
28055	44206	johanssonsoundsymbolic-Wari	wari1268		big	1202	BIG		hwaɾaʔ	hʷ a ɾ a ʔ
29833	45984	birchallchapacuran-cojubim	kuyu1236		bird	937	BIRD		ume	u m e
