	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
438	16589	constenlachibchan-Boruca	boru1252		at	1461	AT		kà	k a
439	16590	constenlachibchan-Bribri	brib1243		at	1461	AT		iã̀	i ã
440	16591	constenlachibchan-Buglere	bugl1243		at	1461	AT		ske	s k e
441	16592	constenlachibchan-Cabecar	cabe1245		at	1461	AT		skà	s k a
443	16594	constenlachibchan-Chibcha	chib1270		at	1461	AT		na	n a
446	16597	constenlachibchan-MalekuJaika	male1297		at	1461	AT		ko	k o
448	16599	constenlachibchan-Ngabere	ngab1239		at	1461	AT		te	t e
449	16600	constenlachibchan-Pech	pech1241		at	1461	AT		jã́	j ã
450	16601	constenlachibchan-Rama	rama1270		at	1461	AT		ka	k a
451	16602	constenlachibchan-SanBlasKuna	sanb1242		at	1461	AT		ki	k i
452	16603	constenlachibchan-Teribe	teri1250		at	1461	AT		ʃkò	ʃ k o
463	16614	hubercolumbian-Bari	bari1297		at	1461	AT		ha	h a
469	16620	hubercolumbian-Chimila	chim1309		at	1461	AT		la	l a
470	16621	hubercolumbian-Chimila	chim1309		at	1461	AT		ʔwa	ʔ w a
487	16638	hubercolumbian-Ika	arhu1242		at	1461	AT		eki̵	e k ɨ
493	16644	hubercolumbian-Kogui	cogu1240		at	1461	AT		xa	x a
521	16672	hubercolumbian-TuneboCentral	cent2150		at	1461	AT		cuitar	c u i t a r
2160	18311	hubercolumbian-Bari	bari1297		axe	677	AXE		ʔokbəɾə	ʔ o k b ə ɾ ə
2166	18317	hubercolumbian-Chimila	chim1309		axe	677	AXE		óo	o o
2172	18323	hubercolumbian-Dimina	mala1522		axe	677	AXE		áʃa haʧa	a ʃ a + h a tʃ a
2181	18332	hubercolumbian-Ika	arhu1242		axe	677	AXE		háʧa	h a tʃ a
2186	18337	hubercolumbian-Kogui	cogu1240		axe	677	AXE		hákldiggi	h a k l d i g g i
2208	18359	hubercolumbian-TuneboCentral	cent2150		axe	677	AXE		áʃa	a ʃ a
2755	18906	hubercolumbian-Bari	bari1297		baby	1289	BABY		hakuɾə	h a k u ɾ ə
2763	18914	hubercolumbian-Chimila	chim1309		baby	1289	BABY		ógwe tíiɾiniʔ	o g w e + t i i ɾ i n i ʔ
2768	18919	hubercolumbian-Dimina	mala1522		baby	1289	BABY		soma	s o m a
2785	18936	hubercolumbian-Ika	arhu1242		baby	1289	BABY		zízi	z i z i
2792	18943	hubercolumbian-Kogui	cogu1240		baby	1289	BABY		somá ʧíʧi	s o m a + tʃ i tʃ i
2816	18967	hubercolumbian-TuneboCentral	cent2150		baby	1289	BABY		buwáʃkʷara	b u w a ʃ kʷ a r a
3792	19943	hubercolumbian-Bari	bari1297		back	1291	BACK		kuinə	k u i n ə
3799	19950	hubercolumbian-Chimila	chim1309		back	1291	BACK		lákkɾa	l a k k ɾ a
3805	19956	hubercolumbian-Dimina	mala1522		back	1291	BACK		ʃinʃi̵ki̵ra	ʃ i n ʃ ɨ k ɨ r a
3816	19967	hubercolumbian-Ika	arhu1242		back	1291	BACK		gáʔkəni̵	g a ʔ k ə n ɨ
3821	19972	hubercolumbian-Kogui	cogu1240		back	1291	BACK		muɲʃíŋkəldə	m u ɲ ʃ i ŋ k ə l d ə
3843	19994	hubercolumbian-TuneboCentral	cent2150		back	1291	BACK		íkara	i k a r a
4811	20962	constenlachibchan-Boruca	boru1252		bad	1292	BAD		sádʒèŋ	s a dʒ e ŋ
4812	20963	constenlachibchan-Bribri	brib1243		bad	1292	BAD		suɺǔ	s u ɺ u
4813	20964	constenlachibchan-Buglere	bugl1243		bad	1292	BAD		me no	m e + n o
4814	20965	constenlachibchan-Cabecar	cabe1245		bad	1292	BAD		saɺuí	s a ɺ u i
4816	20967	constenlachibchan-Chibcha	chib1270		bad	1292	BAD		atʲuentsa	a tʲ u e n t s a
4819	20970	constenlachibchan-MalekuJaika	male1297		bad	1292	BAD		eme: koka:ɾiŋa	e m eː + k o k aː ɾ i ŋ a
4821	20972	constenlachibchan-Ngabere	ngab1239		bad	1292	BAD		kɔme	k ɔ m e
4822	20973	constenlachibchan-Pech	pech1241		bad	1292	BAD		wàɾkwá	w a ɾ k w a
4823	20974	constenlachibchan-Rama	rama1270		bad	1292	BAD		kwahala	k w a h a l a
4824	20975	constenlachibchan-SanBlasKuna	sanb1242		bad	1292	BAD		itʃakkwakwa	i tʃ a k w a k w a
4825	20976	constenlachibchan-Teribe	teri1250		bad	1292	BAD		ó	o
4894	21045	hubercolumbian-Bari	bari1297		bad	1292	BAD		ʔatərəkariɾə	ʔ a t ə r ə k a r i ɾ ə
4903	21054	hubercolumbian-Chimila	chim1309		bad	1292	BAD		jáame	j a a m e
4909	21060	hubercolumbian-Dimina	mala1522		bad	1292	BAD		wandua ni̵nka	w a n d u a + n ɨ n k a
4919	21070	hubercolumbian-Ika	arhu1242		bad	1292	BAD		du naʔ neika	d u + n a ʔ + n e i k a
4926	21077	hubercolumbian-Kogui	cogu1240		bad	1292	BAD		ʃáne	ʃ a n e
4948	21099	hubercolumbian-TuneboCentral	cent2150		bad	1292	BAD		aj bátro	a j + b a t r o
8669	24820	constenlachibchan-Boruca	boru1252		bark	1204	BARK		kuáʔs	k u a ʔ s
8670	24821	constenlachibchan-Bribri	brib1243		bark	1204	BARK		axkuʊ́	a x k u ʊ
8671	24822	constenlachibchan-Buglere	bugl1243		bark	1204	BARK		kwaɾa	k w a ɾ a
8672	24823	constenlachibchan-Cabecar	cabe1245		bark	1204	BARK		hkuʊ́	h k u ʊ
8674	24825	constenlachibchan-Chibcha	chib1270		bark	1204	BARK		huka	h u k a
8677	24828	constenlachibchan-MalekuJaika	male1297		bark	1204	BARK		leki:	l e k iː
8679	24830	constenlachibchan-Ngabere	ngab1239		bark	1204	BARK		kwata	k w a t a
8680	24831	constenlachibchan-Pech	pech1241		bark	1204	BARK		kã́wã̀	k ã w ã
8681	24832	constenlachibchan-Rama	rama1270		bark	1204	BARK		u:k	uː k
8682	24833	constenlachibchan-SanBlasKuna	sanb1242		bark	1204	BARK		ukka	u k a
8683	24834	constenlachibchan-Teribe	teri1250		bark	1204	BARK		kuótà	k u o t a
8745	24896	hubercolumbian-Bari	bari1297		bark	1204	BARK		ʔəgʃuɾə	ʔ ə g ʃ u ɾ ə
8751	24902	hubercolumbian-Chimila	chim1309		bark	1204	BARK		kámanta	k a m a n t a
8756	24907	hubercolumbian-Dimina	mala1522		bark	1204	BARK		anʒoma	a n ʒ o m a
8766	24917	hubercolumbian-Ika	arhu1242		bark	1204	BARK		azómi̵	a z o m ɨ
8771	24922	hubercolumbian-Kogui	cogu1240		bark	1204	BARK		kəldihúba	k ə l d i h u b a
8795	24946	hubercolumbian-TuneboCentral	cent2150		bark	1204	BARK		umá	u m a
10486	26637	hubercolumbian-Chimila	chim1309		bat	1793	BAT		láawi	l a a w i
10492	26643	hubercolumbian-Dimina	mala1522		bat	1793	BAT		dungu	d u n g u
10504	26655	hubercolumbian-Ika	arhu1242		bat	1793	BAT		ʤúgu	dʒ u g u
10509	26660	hubercolumbian-Kogui	cogu1240		bat	1793	BAT		niuwíʒi	n i u w i ʒ i
10532	26683	hubercolumbian-TuneboCentral	cent2150		bat	1793	BAT		rúkura	r u k u r a
12881	29032	hubercolumbian-Bari	bari1297		bealive	1422	BE ALIVE		ʔadjinə	ʔ a d j i n ə
12887	29038	hubercolumbian-Chimila	chim1309		bealive	1422	BE ALIVE		túŋwa	t u ŋ w a
12892	29043	hubercolumbian-Dimina	mala1522		bealive	1422	BE ALIVE		ʒigawigangwi	ʒ i g a w i g a n g w i
12902	29053	hubercolumbian-Ika	arhu1242		bealive	1422	BE ALIVE		ʧəkká	tʃ ə k k a
12907	29058	hubercolumbian-Kogui	cogu1240		bealive	1422	BE ALIVE		itéŋgə	i t e ŋ g ə
