	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8669	24820	constenlachibchan-Boruca	boru1252		bark	1204	BARK		kuáʔs	k u a ʔ s
8670	24821	constenlachibchan-Bribri	brib1243		bark	1204	BARK		axkuʊ́	a x k u ʊ
8671	24822	constenlachibchan-Buglere	bugl1243		bark	1204	BARK		kwaɾa	k w a ɾ a
8672	24823	constenlachibchan-Cabecar	cabe1245		bark	1204	BARK		hkuʊ́	h k u ʊ
8674	24825	constenlachibchan-Chibcha	chib1270		bark	1204	BARK		huka	h u k a
8677	24828	constenlachibchan-MalekuJaika	male1297		bark	1204	BARK		leki:	l e k iː
8679	24830	constenlachibchan-Ngabere	ngab1239		bark	1204	BARK		kwata	k w a t a
8680	24831	constenlachibchan-Pech	pech1241		bark	1204	BARK		kã́wã̀	k ã w ã
8681	24832	constenlachibchan-Rama	rama1270		bark	1204	BARK		u:k	uː k
8682	24833	constenlachibchan-SanBlasKuna	sanb1242		bark	1204	BARK		ukka	u k a
8683	24834	constenlachibchan-Teribe	teri1250		bark	1204	BARK		kuótà	k u o t a
8745	24896	hubercolumbian-Bari	bari1297		bark	1204	BARK		ʔəgʃuɾə	ʔ ə g ʃ u ɾ ə
8751	24902	hubercolumbian-Chimila	chim1309		bark	1204	BARK		kámanta	k a m a n t a
8756	24907	hubercolumbian-Dimina	mala1522		bark	1204	BARK		anʒoma	a n ʒ o m a
8766	24917	hubercolumbian-Ika	arhu1242		bark	1204	BARK		azómi̵	a z o m ɨ
8771	24922	hubercolumbian-Kogui	cogu1240		bark	1204	BARK		kəldihúba	k ə l d i h u b a
8795	24946	hubercolumbian-TuneboCentral	cent2150		bark	1204	BARK		umá	u m a
22701	38852	hubercolumbian-Bari	bari1297		belly	1251	BELLY		ʔiʃirə	ʔ i ʃ i r ə
22702	38853	hubercolumbian-Bari	bari1297		belly	1251	BELLY		ʔiʃirə	ʔ i ʃ i r ə
22719	38870	hubercolumbian-Chimila	chim1309		belly	1251	BELLY		ɾússukuéɾiniʔ	ɾ u s s u k u e ɾ i n i ʔ
22720	38871	hubercolumbian-Chimila	chim1309		belly	1251	BELLY		júmmesuʔ	j u m m e s u ʔ
22730	38881	hubercolumbian-Dimina	mala1522		belly	1251	BELLY		doabíga	d o a b i g a
