	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3968	20119	johanssonsoundsymbolic-Quileute	quil1240		back	1291	BACK		ʔooqwaajit	ʔ oː qʷ aː j i t
5087	21238	johanssonsoundsymbolic-Quileute	quil1240		bad	1292	BAD		basiʔ	b a s i ʔ
8921	25072	johanssonsoundsymbolic-Quileute	quil1240		bark	1204	BARK		ɬaʔwit	ɬ a ʔ w i t
13063	29214	johanssonsoundsymbolic-Quileute	quil1240		bealive	1422	BE ALIVE		siwaatʃ	s i w aː tʃ
22965	39116	johanssonsoundsymbolic-Quileute	quil1240		belly	1251	BELLY		tʃqid_	tʃ q i d
24599	40750	johanssonsoundsymbolic-Quileute	quil1240		beloworunder	1485	BELOW OR UNDER		tʃijaʔwaa	tʃ i j a ʔ w aː
25802	41953	johanssonsoundsymbolic-Quileute	quil1240		beside	1816	BESIDE		liwoʔwaa	l i w o ʔ w aː
26509	42660	johanssonsoundsymbolic-Quileute	quil1240		between	689	BETWEEN		tʼotʃotʃaʔwaa	tʼ o tʃ o tʃ a ʔ w aː
28009	44160	johanssonsoundsymbolic-Quileute	quil1240		big	1202	BIG		tʃikw	tʃ i kʷ
30385	46536	johanssonsoundsymbolic-Quileute	quil1240		bird	937	BIRD		diidoʔos_	d iː d o ʔ o s
32742	48893	johanssonsoundsymbolic-Quileute	quil1240		bite	1403	BITE		χitʼɬʼiilas	χ i tʼ ɬʼ iː l a s
33873	50024	johanssonsoundsymbolic-Quileute	quil1240		bitter	887	BITTER		tʼɬʼotʼada	tʼ ɬʼ o tʼ a d a
35356	51507	johanssonsoundsymbolic-Quileute	quil1240		black	163	BLACK		ʃiipa_	ʃ iː p a
38769	54920	johanssonsoundsymbolic-Quileute	quil1240		blood	946	BLOOD		ɬitʃti	ɬ i tʃ t i
40978	57129	johanssonsoundsymbolic-Quileute	quil1240		blowofwind	175	BLOW (OF WIND)		tʃiiʃaʔ	tʃ iː ʃ a ʔ
42131	58282	johanssonsoundsymbolic-Quileute	quil1240		blue	837	BLUE		tʼɬʼoopa	tʼ ɬʼ oː p a
43153	59304	johanssonsoundsymbolic-Quileute	quil1240		blunt	379	BLUNT		toʔb	t o ʔ b
44646	60797	johanssonsoundsymbolic-Quileute	quil1240		body	1480	BODY		daʔiidaʔat	d a ʔ iː d a ʔ a t
46992	63143	johanssonsoundsymbolic-Quileute	quil1240		bone	1394	BONE		qaaχ	q aː χ
51573	67724	johanssonsoundsymbolic-Quileute	quil1240		boy	1366	BOY		tʃoʔotskʼ	tʃ o ʔ o ts kʼ
52961	69112	johanssonsoundsymbolic-Quileute	quil1240		brain	1583	BRAIN		tʼɬʼibiiqwaʔ	tʼ ɬʼ i b iː qʷ a ʔ
57077	73230	johanssonsoundsymbolic-Quileute	quil1240		breast	1402	BREAST		ʔootits	ʔ oː t i ts
58994	75147	johanssonsoundsymbolic-Quileute	quil1240		breathe	1407	BREATHE		haaʔaxal	h aː ʔ a x a l
64547	80700	johanssonsoundsymbolic-Quileute	quil1240		burn	2102	BURN		hokwaaχas	h o k w aː χ a s
67849	84002	johanssonsoundsymbolic-Quileute	quil1240		buttocks	834	BUTTOCKS		ʔoodaqw	ʔ oː d a qʷ
73055	89208	johanssonsoundsymbolic-Quileute	quil1240		carry	700	CARRY		tiʃaʔaa	t i ʃ a ʔ aː
91685	107838	johanssonsoundsymbolic-Quileute	quil1240		cloud	1489	CLOUD		liila	l iː l a
95269	111422	johanssonsoundsymbolic-Quileute	quil1240		cold	1287	COLD		kʼiiʔiʔ	kʼ iː ʔ i ʔ
98933	115086	johanssonsoundsymbolic-Quileute	quil1240		come	1446	COME		kakwotɬli	k a k w o t ɬ l i
104963	121116	johanssonsoundsymbolic-Quileute	quil1240		correctright	1725	CORRECT (RIGHT)		tsixaa	ts i x aː
106058	122211	johanssonsoundsymbolic-Quileute	quil1240		cough	879	COUGH		ɬiwʔalas	ɬ i w ʔ a l a s
110521	126674	johanssonsoundsymbolic-Quileute	quil1240		crooked	297	CROOKED		kaliiʃa	k a l iː ʃ a
113039	129192	johanssonsoundsymbolic-Quileute	quil1240		cry	1839	CRY		ʔaalitaʔaaks	ʔ aː l i t a ʔ aː k s
118750	134903	johanssonsoundsymbolic-Quileute	quil1240		dark	706	DARK		tʼookwol	tʼ oː k w o l
121875	138030	johanssonsoundsymbolic-Quileute	quil1240		daynotnight	1225	DAY (NOT NIGHT)		qtija	q t i j a
124299	140454	johanssonsoundsymbolic-Quileute	quil1240		deep	1593	DEEP		paatʼa	p aː tʼ a
127157	143312	johanssonsoundsymbolic-Quileute	quil1240		die	1494	DIE		lobiʔ	l o b i ʔ
131792	147947	johanssonsoundsymbolic-Quileute	quil1240		dirty	1230	DIRTY		pʼiiq	pʼ iː q
134267	150422	johanssonsoundsymbolic-Quileute	quil1240		do	813	DO		ʔitsoʔos	ʔ i ts o ʔ o s
135706	151861	johanssonsoundsymbolic-Quileute	quil1240		dog	2009	DOG		kadiido	k a d iː d o
142175	158330	johanssonsoundsymbolic-Quileute	quil1240		drink	1401	DRINK		ʔitaali	ʔ i t aː l i
145810	161965	johanssonsoundsymbolic-Quileute	quil1240		dry	1398	DRY		tʃiiʃa	tʃ iː ʃ a
151251	167406	johanssonsoundsymbolic-Quileute	quil1240		ear	1247	EAR		ʔoolaaxat	ʔ oː l aː x a t
154170	170325	johanssonsoundsymbolic-Quileute	quil1240		earthsoil	1228	EARTH (SOIL)		tʼsʼiqʼaati	tsʼ i qʼ aː t i
156774	172929	johanssonsoundsymbolic-Quileute	quil1240		eat	1336	EAT		χa	χ a
159080	175238	johanssonsoundsymbolic-Quileute	quil1240		egg	744	EGG		ʔiikwtsoʔ	ʔ iː k w ts o ʔ
160821	176979	johanssonsoundsymbolic-Quileute	quil1240		eight	1705	EIGHT		ɬaʔwiitʼaɬi	ɬ a ʔ w iː tʼ a ɬ i
163764	179922	johanssonsoundsymbolic-Quileute	quil1240		eleven	1706	ELEVEN		wiɬtʼaɬi	w i ɬ tʼ a ɬ i
169654	185812	johanssonsoundsymbolic-Quileute	quil1240		eye	1248	EYE		ʔootiloxw	ʔ oː t i l o xʷ
173659	189818	johanssonsoundsymbolic-Quileute	quil1240		fall	1280	FALL		xaatʼɬʼal	x aː tʼ ɬʼ a l
175928	192087	johanssonsoundsymbolic-Quileute	quil1240		far	1406	FAR		kiiqaʔ	k iː q a ʔ
177045	193204	johanssonsoundsymbolic-Quileute	quil1240		fart	1159	FART		piitʼɬʼal	p iː tʼ ɬʼ a l
177500	193659	johanssonsoundsymbolic-Quileute	quil1240		fast	1631	FAST		kadooxwal	k a d oː xʷ a l
182129	198289	johanssonsoundsymbolic-Quileute	quil1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɬaʃiqwoɬ	ɬ a ʃ i qʷ o ɬ
184975	201135	johanssonsoundsymbolic-Quileute	quil1240		feather	1201	FEATHER		tʼɬʼooʔot	tʼ ɬʼ oː ʔ o t
190008	222661	johanssonsoundsymbolic-Quileute	quil1240		flower	239	FLOWER		bixaʔaa	b i x a ʔ aː
191324	223977	johanssonsoundsymbolic-Quileute	quil1240		flyinsect	1504	FLY (INSECT)		tʼʃʼaatʼʃʼaʔ	tʃʼ aː tʃʼ a ʔ
192926	225579	johanssonsoundsymbolic-Quileute	quil1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		sidaapija	s i d aː p i j a
196252	228905	johanssonsoundsymbolic-Quileute	quil1240		foot	1301	FOOT		ʔotsoqws	ʔ o ts o qʷ s
202582	235235	johanssonsoundsymbolic-Quileute	quil1240		four	1500	FOUR		baʔjas	b a ʔ j a s
