	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3884	20035	johanssonsoundsymbolic-Chinook	chin1286		back	1291	BACK		kutʼsʼ	k u tsʼ
4994	21145	johanssonsoundsymbolic-Chinook	chin1286		bad	1292	BAD		masatʃhi	m a s a tʃʰ i
8836	24987	johanssonsoundsymbolic-Chinook	chin1286		bark	1204	BARK		okotaɬ	o k o t a ɬ
12977	29128	johanssonsoundsymbolic-Chinook	chin1286		bealive	1422	BE ALIVE		jakanatti	j a k a n a tː i
22869	39020	johanssonsoundsymbolic-Chinook	chin1286		belly	1251	BELLY		jaqʼatin	j a qʼ a t i n
27909	44060	johanssonsoundsymbolic-Chinook	chin1286		big	1202	BIG		tɬokwunɬh	t ɬ o k w u n ɬ̥
30299	46450	johanssonsoundsymbolic-Chinook	chin1286		bird	937	BIRD		kaɬɬaknɬa	k a ɬː a k n ɬ a
32650	48801	johanssonsoundsymbolic-Chinook	chin1286		bite	1403	BITE		kaijaqʼs	k a i j a qʼ s
35260	51411	johanssonsoundsymbolic-Chinook	chin1286		black	163	BLACK		spook	s p oː k
38672	54823	johanssonsoundsymbolic-Chinook	chin1286		blood	946	BLOOD		tɬawɬkt	t ɬ a w ɬ k t
40898	57049	johanssonsoundsymbolic-Chinook	chin1286		blowofwind	175	BLOW (OF WIND)		poɬaxa	p o ɬ a x a
43089	59240	johanssonsoundsymbolic-Chinook	chin1286		blunt	379	BLUNT		tke_ltkel	t k e + l t k e l
46901	63052	johanssonsoundsymbolic-Chinook	chin1286		bone	1394	BONE		epeotsox	e p e o ts o x
91601	107754	johanssonsoundsymbolic-Chinook	chin1286		cloud	1489	CLOUD		ekusax	e k u s a x
98840	114993	johanssonsoundsymbolic-Chinook	chin1286		come	1446	COME		ntiaija	n t i a i j a
121785	137940	johanssonsoundsymbolic-Chinook	chin1286		daynotnight	1225	DAY (NOT NIGHT)		kawaxe	k a w a x e
127061	143216	johanssonsoundsymbolic-Chinook	chin1286		die	1494	DIE		kanate	k a n a t e
135611	151766	johanssonsoundsymbolic-Chinook	chin1286		dog	2009	DOG		eikeɬ	e i k e ɬ
142079	158234	johanssonsoundsymbolic-Chinook	chin1286		drink	1401	DRINK		tɬukʼupst	t ɬ u kʼ u p s t
145724	161879	johanssonsoundsymbolic-Chinook	chin1286		dry	1398	DRY		qʼeʃqʼeʃ	qʼ e ʃ qʼ e ʃ
151154	167309	johanssonsoundsymbolic-Chinook	chin1286		ear	1247	EAR		opeutsax	o p e u ts a x
154076	170231	johanssonsoundsymbolic-Chinook	chin1286		earthsoil	1228	EARTH (SOIL)		iɬaex	i ɬ a e x
156678	172833	johanssonsoundsymbolic-Chinook	chin1286		eat	1336	EAT		apatxɬhaɬapa	a p a t x ɬ̥ a ɬ a p a
158990	175148	johanssonsoundsymbolic-Chinook	chin1286		egg	744	EGG		tɬqulaula	t ɬ q u l a u l a
169558	185716	johanssonsoundsymbolic-Chinook	chin1286		eye	1248	EYE		opeɬhost	o p e ɬ̥ o s t
173564	189723	johanssonsoundsymbolic-Chinook	chin1286		fall	1280	FALL		otxuit_tʃu	o t x u i t + tʃ u
