	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3992	20143	johanssonsoundsymbolic-Tehuelche	tehu1242		back	1291	BACK		o̞k	o̞ k
5112	21263	johanssonsoundsymbolic-Tehuelche	tehu1242		bad	1292	BAD		gaan̪kn̪k	g aː n̪ k n̪ k
8941	25092	johanssonsoundsymbolic-Tehuelche	tehu1242		bark	1204	BARK		pʼat̪	pʼ a t̪
13086	29237	johanssonsoundsymbolic-Tehuelche	tehu1242		bealive	1422	BE ALIVE		ajkʼ	a j kʼ
16379	32530	johanssonsoundsymbolic-Tehuelche	tehu1242		because	1157	BECAUSE		ge̞l̪tʃo̞	g e̞ l̪ tʃ o̞
22991	39142	johanssonsoundsymbolic-Tehuelche	tehu1242		belly	1251	BELLY		hat̪ʼn̪	h a t̪ʼ n̪
28036	44187	johanssonsoundsymbolic-Tehuelche	tehu1242		big	1202	BIG		tʼʃʼaj	tʃʼ a j
30412	46563	johanssonsoundsymbolic-Tehuelche	tehu1242		bird	937	BIRD		tʼʃʼe̞ʔ	tʃʼ e̞ ʔ
32768	48919	johanssonsoundsymbolic-Tehuelche	tehu1242		bite	1403	BITE		ɕo̞o̞	ɕ o̞ː
35383	51534	johanssonsoundsymbolic-Tehuelche	tehu1242		black	163	BLACK		pʼo̞l̪	pʼ o̞ l̪
38796	54947	johanssonsoundsymbolic-Tehuelche	tehu1242		blood	946	BLOOD		ɕaʔw	ɕ a ʔ w
41001	57152	johanssonsoundsymbolic-Tehuelche	tehu1242		blowofwind	175	BLOW (OF WIND)		e̞ɕaapʼ	e̞ ɕ aː pʼ
43173	59324	johanssonsoundsymbolic-Tehuelche	tehu1242		blunt	379	BLUNT		o̞r̪_o̞o̞l̪t̪ʼe̞l̪	o̞ r̪ + o̞ː l̪ t̪ʼ e̞ l̪
47015	63166	johanssonsoundsymbolic-Tehuelche	tehu1242		bone	1394	BONE		kʼo̞ʔ	kʼ o̞ ʔ
59013	75166	johanssonsoundsymbolic-Tehuelche	tehu1242		breathe	1407	BREATHE		ho̞h	h o̞ h
91707	107860	johanssonsoundsymbolic-Tehuelche	tehu1242		cloud	1489	CLOUD		paʔwn̪	p a ʔ w n̪
98960	115113	johanssonsoundsymbolic-Tehuelche	tehu1242		come	1446	COME		aa	aː
104975	121128	johanssonsoundsymbolic-Tehuelche	tehu1242		correctright	1725	CORRECT (RIGHT)		kʼe̞t̪	kʼ e̞ t̪
121899	138054	johanssonsoundsymbolic-Tehuelche	tehu1242		daynotnight	1225	DAY (NOT NIGHT)		qe̞e̞n̪ge̞n̪kn̪	q e̞ː n̪ g e̞ n̪ k n̪
127183	143338	johanssonsoundsymbolic-Tehuelche	tehu1242		die	1494	DIE		ham	h a m
131812	147967	johanssonsoundsymbolic-Tehuelche	tehu1242		dirty	1230	DIRTY		t̪ʼaar̪t̪ʼɕ	t̪ʼ aː r̪ t̪ʼ ɕ
135732	151887	johanssonsoundsymbolic-Tehuelche	tehu1242		dog	2009	DOG		watʃn̪	w a tʃ n̪
142200	158355	johanssonsoundsymbolic-Tehuelche	tehu1242		drink	1401	DRINK		e̞_l̪e̞ʔ	e̞ + l̪ e̞ ʔ
145834	161989	johanssonsoundsymbolic-Tehuelche	tehu1242		dry	1398	DRY		aar̪	aː r̪
148809	164964	johanssonsoundsymbolic-Tehuelche	tehu1242		dust	2	DUST		t̪e̞e̞mhn̪	t̪ e̞ː m̥ n̪
151276	167431	johanssonsoundsymbolic-Tehuelche	tehu1242		ear	1247	EAR		ɕaan̪	ɕ aː n̪
154195	170350	johanssonsoundsymbolic-Tehuelche	tehu1242		earthsoil	1228	EARTH (SOIL)		t̪e̞e̞m	t̪ e̞ː m
156801	172956	johanssonsoundsymbolic-Tehuelche	tehu1242		eat	1336	EAT		hat̪ʼje̞	h a t̪ʼ j e̞
159102	175260	johanssonsoundsymbolic-Tehuelche	tehu1242		egg	744	EGG		s̪e̞ʔn̪	s̪ e̞ ʔ n̪
169681	185839	johanssonsoundsymbolic-Tehuelche	tehu1242		eye	1248	EYE		o̞t̪l̪	o̞ t̪ l̪
173685	189844	johanssonsoundsymbolic-Tehuelche	tehu1242		fall	1280	FALL		wat̪	w a t̪
175952	192111	johanssonsoundsymbolic-Tehuelche	tehu1242		far	1406	FAR		e̞wn̪	e̞ w n̪
182151	198311	johanssonsoundsymbolic-Tehuelche	tehu1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		aam	aː m
184998	201158	johanssonsoundsymbolic-Tehuelche	tehu1242		feather	1201	FEATHER		awr̪	a w r̪
192945	225598	johanssonsoundsymbolic-Tehuelche	tehu1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		t̪ʼe̞l̪go̞ʔ	t̪ʼ e̞ l̪ g o̞ ʔ
196277	228930	johanssonsoundsymbolic-Tehuelche	tehu1242		foot	1301	FOOT		kʼaw	kʼ a w
202608	235261	johanssonsoundsymbolic-Tehuelche	tehu1242		four	1500	FOUR		qaage̞	q aː g e̞
214709	247362	johanssonsoundsymbolic-Tehuelche	tehu1242		give	1447	GIVE		e̞	e̞
220838	253494	johanssonsoundsymbolic-Tehuelche	tehu1242		good	1035	GOOD		k_o̞mkʼe̞n̪k	k + o̞ m kʼ e̞ n̪ k
226272	258928	johanssonsoundsymbolic-Tehuelche	tehu1242		grass	606	GRASS		kʼo̞o̞r̪	kʼ o̞ː r̪
228618	261274	johanssonsoundsymbolic-Tehuelche	tehu1242		green	1425	GREEN		xe̞ɕt̪ʼl̪t̪ʼe̞	x e̞ ɕ t̪ʼ l̪ t̪ʼ e̞
234638	267294	johanssonsoundsymbolic-Tehuelche	tehu1242		hair	1040	HAIR		go̞t̪ʼ	g o̞ t̪ʼ
238481	271137	johanssonsoundsymbolic-Tehuelche	tehu1242		hand	1277	HAND		tʼʃʼe̞n̪	tʃʼ e̞ n̪
244037	276694	johanssonsoundsymbolic-Tehuelche	tehu1242		head	1256	HEAD		tʼʃʼe̞ʔt̪r̪	tʃʼ e̞ ʔ t̪ r̪
246969	279626	johanssonsoundsymbolic-Tehuelche	tehu1242		hear	1408	HEAR		jo̞j	j o̞ j
248561	281218	johanssonsoundsymbolic-Tehuelche	tehu1242		heart	1223	HEART		ɕe̞h	ɕ e̞ h
250725	283382	johanssonsoundsymbolic-Tehuelche	tehu1242		heavy	1210	HEAVY		po̞ʔgn̪e̞j	p o̞ ʔ g n̪ e̞ j
258813	291473	johanssonsoundsymbolic-Tehuelche	tehu1242		hit	1433	HIT		ahje̞	a h j e̞
268935	301595	johanssonsoundsymbolic-Tehuelche	tehu1242		how	1239	HOW		ke̞n̪kʼ	k e̞ n̪ kʼ
274787	307447	johanssonsoundsymbolic-Tehuelche	tehu1242		i	1209	I		i	i
276822	309482	johanssonsoundsymbolic-Tehuelche	tehu1242		if	1459	IF		o̞r̪	o̞ r̪
278112	310772	johanssonsoundsymbolic-Tehuelche	tehu1242		in	1460	IN		o̞mɕ	o̞ m ɕ
287627	320287	johanssonsoundsymbolic-Tehuelche	tehu1242		kill	1417	KILL		e̞ma	e̞ m a
299105	331765	johanssonsoundsymbolic-Tehuelche	tehu1242		laugh	1355	LAUGH		e̞jwe̞e̞	e̞ j w e̞ː
