	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
718	16869	northeuralex-ckt	chuk1273		atfirst	2915	AT FIRST		t͡ɕit	tɕ i t
719	16870	northeuralex-ckt	chuk1273		atfirst	2915	AT FIRST		janot	j a n o t
751	16902	northeuralex-itl	itel1242		atfirst	2915	AT FIRST		perβoj	p e r β o j
995	17146	northeuralex-ckt	chuk1273		atthattime	2922	AT THAT TIME		ənkə	ə n k ə
1028	17179	northeuralex-itl	itel1242		atthattime	2922	AT THAT TIME		sxle	s x l e
1283	17434	northeuralex-ckt	chuk1273		august	2851	AUGUST		ŋetjʔiɬɣən	ŋ e t j ʔ i ɬ ɣ ə n
1311	17462	northeuralex-itl	itel1242		august	2851	AUGUST		aβɡust	a β g u s t
1451	17602	northeuralex-ckt	chuk1273		aunt	1272	AUNT		ətt͡ɕaj	ə t tɕ a j
1480	17631	northeuralex-itl	itel1242		aunt	1272	AUNT		ɬisx	ɬ i s x
1728	17879	northeuralex-ckt	chuk1273		autumn	1276	AUTUMN		qetəŋːon	q e t ə ŋː o n
4125	20276	northeuralex-ckt	chuk1273		back	1291	BACK		qeptin	q e p t i n
4150	20301	northeuralex-itl	itel1242		back	1291	BACK		kʔaβat͡ʃ	k ʔ a β a tʃ
4440	20591	northeuralex-ckt	chuk1273		backdirection	2910	BACK (DIRECTION)		paɬqʔʃtatetə	p a ɬ q ʔ ʃ t a t e t ə
4469	20620	northeuralex-itl	itel1242		backdirection	2910	BACK (DIRECTION)		salke	s a l k e
4594	20745	northeuralex-ckt	chuk1273		backward	2911	BACKWARD		jaaɬeɣtə	j a a ɬ e ɣ t ə
4618	20769	northeuralex-itl	itel1242		backward	2911	BACKWARD		salke	s a l k e
5254	21405	northeuralex-ckt	chuk1273		bad	1292	BAD		etkiŋ	e t k i ŋ
5283	21434	northeuralex-itl	itel1242		bad	1292	BAD		et͡ʃkʔelaχ	e tʃ k ʔ e l a χ
5791	21942	northeuralex-ckt	chuk1273		badluck	56	BAD LUCK		aqaɣəɹɣən	a q a ɣ ə ɹ ɣ ə n
6699	22850	northeuralex-ckt	chuk1273		bag	2468	BAG		kaɬeʲot͡ɕɣən	k a ɬ e j o tɕ ɣ ə n
9117	25268	northeuralex-ckt	chuk1273		bark	1204	BARK		itqiɬɣən	i t q i ɬ ɣ ə n
9146	25297	northeuralex-itl	itel1242		bark	1204	BARK		ilal	i l a l
9622	25773	northeuralex-ckt	chuk1273		barking	1206	BARKING		taβtaβatək	t a β t a β a t ə k
10997	27148	northeuralex-ckt	chuk1273		bathe	138	BATHE		aɬʔeqatək	a ɬ ʔ e q a t ə k
11439	27590	northeuralex-ckt	chuk1273		bay	663	BAY		qujəm	q u j ə m
11943	28094	northeuralex-ckt	chuk1273		beable	972	BE ABLE		ɣajmaŋen	ɣ a j m a ŋ e n
11972	28123	northeuralex-itl	itel1242		beable	972	BE ABLE		xiq_eɬes	x i q + e ɬ e s
13225	29376	northeuralex-ckt	chuk1273		bealive	1422	BE ALIVE		ejuɬʔəɬʔən	e j u ɬ ʔ ə ɬ ʔ ə n
13226	29377	northeuralex-ckt	chuk1273		bealive	1422	BE ALIVE		ejuɬʔetək	e j u ɬ ʔ e t ə k
13227	29378	northeuralex-ckt	chuk1273		bealive	1422	BE ALIVE		βak	β a k
13273	29424	northeuralex-itl	itel1242		bealive	1422	BE ALIVE		ksuɲɬiɬ	k s u ɲ ɬ i ɬ
13274	29425	northeuralex-itl	itel1242		bealive	1422	BE ALIVE		soɲɬkas	s o ɲ ɬ k a s
14358	30509	northeuralex-ckt	chuk1273		beangry	2223	BE ANGRY		βit͡ɕetək	β i tɕ e t ə k
14390	30541	northeuralex-itl	itel1242		beangry	2223	BE ANGRY		χaqaɲɬkas	χ a q a ɲ ɬ k a s
14689	30840	northeuralex-ckt	chuk1273		bear	1820	BEAR		kejŋən	k e j ŋ ə n
14690	30841	northeuralex-ckt	chuk1273		bear	1820	BEAR		umqə	u m q ə
14715	30866	northeuralex-itl	itel1242		bear	1820	BEAR		massu	m a s s u
14716	30867	northeuralex-itl	itel1242		bear	1820	BEAR		metʔskʔaj	m e t ʔ s k ʔ a j
15268	31419	northeuralex-ckt	chuk1273		beard	678	BEARD		βaɬqəɬəɹɣən	β a ɬ q ə ɬ ə ɹ ɣ ə n
15290	31441	northeuralex-itl	itel1242		beard	678	BEARD		luʔβəl	l u ʔ β ə l
15900	32051	northeuralex-ckt	chuk1273		beautiful	1427	BEAUTIFUL		nətaŋpeɹaqen	n ə t a ŋ p e ɹ a q e n
15928	32079	northeuralex-itl	itel1242		beautiful	1427	BEAUTIFUL		t͡ʃʔinəŋlaχ	tʃ ʔ i n ə ŋ l a χ
16138	32289	northeuralex-ckt	chuk1273		beborn	1090	BE BORN		uɹetək	u ɹ e t ə k
16161	32312	northeuralex-itl	itel1242		beborn	1090	BE BORN		axskas	a x s k a s
16553	32704	northeuralex-ckt	chuk1273		becauseof	2918	BECAUSE OF		kuɹe	k u ɹ e
16749	32900	northeuralex-ckt	chuk1273		become	1990	BECOME		nʔeɬtəɬek	n ʔ e ɬ t ə ɬ e k
16988	33139	northeuralex-itl	itel1242		becomesick	2327	BECOME SICK		əŋqsxkas	ə ŋ q s x k a s
