	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3909	20060	johanssonsoundsymbolic-Ineseno	ines1240		back	1291	BACK		mɨt	m ɨ t
5025	21176	johanssonsoundsymbolic-Ineseno	ines1240		bad	1292	BAD		axɨmɨkʼ	a x ɨ m ɨ kʼ
8864	25015	johanssonsoundsymbolic-Ineseno	ines1240		bark	1204	BARK		suklep	s u k l e p
13006	29157	johanssonsoundsymbolic-Ineseno	ines1240		bealive	1422	BE ALIVE		ɨlɨkʼɨn	ɨ l ɨ kʼ ɨ n
15760	31911	johanssonsoundsymbolic-Ineseno	ines1240		beautiful	1427	BEAUTIFUL		anaqipnas	a n a q i p n a s
16327	32478	johanssonsoundsymbolic-Ineseno	ines1240		because	1157	BECAUSE		katʃʔa	k a tʃ ʔ a
19253	35404	johanssonsoundsymbolic-Ineseno	ines1240		before	1882	BEFORE		itwa	i t w a
20489	36640	johanssonsoundsymbolic-Ineseno	ines1240		behind	1686	BEHIND		mipolkʼoʔy	m i p o l kʼ o ʔ y
22900	39051	johanssonsoundsymbolic-Ineseno	ines1240		belly	1251	BELLY		aqʃʼɨʔw	a q ʃʼ ɨ ʔ w
24546	40697	johanssonsoundsymbolic-Ineseno	ines1240		beloworunder	1485	BELOW OR UNDER		atatiwil	a t a t i w i l
25762	41913	johanssonsoundsymbolic-Ineseno	ines1240		beside	1816	BESIDE		alixolox	a l i x o l o x
26481	42632	johanssonsoundsymbolic-Ineseno	ines1240		between	689	BETWEEN		liyɨk	l i y ɨ k
27941	44092	johanssonsoundsymbolic-Ineseno	ines1240		big	1202	BIG		noxonox	n o x o n o x
30327	46478	johanssonsoundsymbolic-Ineseno	ines1240		bird	937	BIRD		witsʔ	w i ts ʔ
32676	48827	johanssonsoundsymbolic-Ineseno	ines1240		bite	1403	BITE		axil	a x i l
33819	49970	johanssonsoundsymbolic-Ineseno	ines1240		bitter	887	BITTER		axpɨy	a x p ɨ y
35292	51443	johanssonsoundsymbolic-Ineseno	ines1240		black	163	BLACK		ʃoyin	ʃ o y i n
38702	54853	johanssonsoundsymbolic-Ineseno	ines1240		blood	946	BLOOD		axuʔlis	a x u ʔ l i s
40921	57072	johanssonsoundsymbolic-Ineseno	ines1240		blowofwind	175	BLOW (OF WIND)		axtipak	a x t i p a k
42084	58235	johanssonsoundsymbolic-Ineseno	ines1240		blue	837	BLUE		yolin	j o l i n
43107	59258	johanssonsoundsymbolic-Ineseno	ines1240		blunt	379	BLUNT		nuxnux	n u x n u x
44591	60742	johanssonsoundsymbolic-Ineseno	ines1240		body	1480	BODY		amɨʔn	a m ɨ ʔ n
46932	63083	johanssonsoundsymbolic-Ineseno	ines1240		bone	1394	BONE		se	s e
