	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8864	25015	johanssonsoundsymbolic-Ineseno	ines1240		bark	1204	BARK		suklep	s u k l e p
22900	39051	johanssonsoundsymbolic-Ineseno	ines1240		belly	1251	BELLY		aqʃʼɨʔw	a q ʃʼ ɨ ʔ w
27941	44092	johanssonsoundsymbolic-Ineseno	ines1240		big	1202	BIG		noxonox	n o x o n o x
30327	46478	johanssonsoundsymbolic-Ineseno	ines1240		bird	937	BIRD		witsʔ	w i ts ʔ
32676	48827	johanssonsoundsymbolic-Ineseno	ines1240		bite	1403	BITE		axil	a x i l
35292	51443	johanssonsoundsymbolic-Ineseno	ines1240		black	163	BLACK		ʃoyin	ʃ o y i n
38702	54853	johanssonsoundsymbolic-Ineseno	ines1240		blood	946	BLOOD		axuʔlis	a x u ʔ l i s
46932	63083	johanssonsoundsymbolic-Ineseno	ines1240		bone	1394	BONE		se	s e
57018	73171	johanssonsoundsymbolic-Ineseno	ines1240		breast	1402	BREAST		kutet	k u t e t
64489	80642	johanssonsoundsymbolic-Ineseno	ines1240		burn	2102	BURN		ixut	i x u t
91628	107781	johanssonsoundsymbolic-Ineseno	ines1240		cloud	1489	CLOUD		iqtsʔiʔ	i q ts ʔ i ʔ
95207	111360	johanssonsoundsymbolic-Ineseno	ines1240		cold	1287	COLD		axtsʔatsʔax	a x ts ʔ a ts ʔ a x
98869	115022	johanssonsoundsymbolic-Ineseno	ines1240		come	1446	COME		kum	k u m
127090	143245	johanssonsoundsymbolic-Ineseno	ines1240		die	1494	DIE		aqʃan	a q ʃ a n
135642	151797	johanssonsoundsymbolic-Ineseno	ines1240		dog	2009	DOG		hutʃu	h u tʃ u
142110	158265	johanssonsoundsymbolic-Ineseno	ines1240		drink	1401	DRINK		aqmil	a q m i l
145750	161905	johanssonsoundsymbolic-Ineseno	ines1240		dry	1398	DRY		kʼɨmɨn	kʼ ɨ m ɨ n
151185	167340	johanssonsoundsymbolic-Ineseno	ines1240		ear	1247	EAR		tuʔ	t u ʔ
154106	170261	johanssonsoundsymbolic-Ineseno	ines1240		earthsoil	1228	EARTH (SOIL)		ʃup	ʃ u p
156708	172863	johanssonsoundsymbolic-Ineseno	ines1240		eat	1336	EAT		aʃɨn	a ʃ ɨ n
159019	175177	johanssonsoundsymbolic-Ineseno	ines1240		egg	744	EGG		ʃtumun	ʃ t u m u n
169590	185748	johanssonsoundsymbolic-Ineseno	ines1240		eye	1248	EYE		tɨx	t ɨ x
182075	198235	johanssonsoundsymbolic-Ineseno	ines1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		xil	x i l
184915	201075	johanssonsoundsymbolic-Ineseno	ines1240		feather	1201	FEATHER		qap	q a p
192871	225524	johanssonsoundsymbolic-Ineseno	ines1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		axunpes	a x u n p e s
196188	228841	johanssonsoundsymbolic-Ineseno	ines1240		foot	1301	FOOT		ɨʔl	ɨ ʔ l
209288	241941	johanssonsoundsymbolic-Ineseno	ines1240		full	1429	FULL		axiyam	a x i y a m
214618	247271	johanssonsoundsymbolic-Ineseno	ines1240		give	1447	GIVE		ikʃ	i k ʃ
220745	253401	johanssonsoundsymbolic-Ineseno	ines1240		good	1035	GOOD		yulelew	j u l e l e w
228541	261197	johanssonsoundsymbolic-Ineseno	ines1240		green	1425	GREEN		aqulapʃan	a q u l a p ʃ a n
234549	267205	johanssonsoundsymbolic-Ineseno	ines1240		hair	1040	HAIR		oqwoʔn	o qʷ o ʔ n
238388	271044	johanssonsoundsymbolic-Ineseno	ines1240		hand	1277	HAND		pu	p u
243943	276600	johanssonsoundsymbolic-Ineseno	ines1240		head	1256	HEAD		oqwoʔn	o qʷ o ʔ n
246887	279544	johanssonsoundsymbolic-Ineseno	ines1240		hear	1408	HEAR		itaq	i t a q
248472	281129	johanssonsoundsymbolic-Ineseno	ines1240		heart	1223	HEART		atɨk	a t ɨ k
263354	296014	johanssonsoundsymbolic-Ineseno	ines1240		hornanatomy	1393	HORN (ANATOMY)		hap	h a p
274696	307356	johanssonsoundsymbolic-Ineseno	ines1240		i	1209	I		noʔ	n o ʔ
287540	320200	johanssonsoundsymbolic-Ineseno	ines1240		kill	1417	KILL		siniweʔ	s i n i w e ʔ
290218	322878	johanssonsoundsymbolic-Ineseno	ines1240		knee	1371	KNEE		apaʔm	a p a ʔ m
302178	334838	johanssonsoundsymbolic-Ineseno	ines1240		leaf	628	LEAF		qap	q a p
316941	349601	johanssonsoundsymbolic-Ineseno	ines1240		liver	1224	LIVER		aʔl	a ʔ l
319839	352499	johanssonsoundsymbolic-Ineseno	ines1240		long	1203	LONG		ɨhɨy	ɨ h ɨ y
323484	356144	johanssonsoundsymbolic-Ineseno	ines1240		louse	1392	LOUSE		uxʃnɨ	u x ʃ n ɨ
330451	363112	johanssonsoundsymbolic-Ineseno	ines1240		man	1554	MAN		ɨhɨʔy	ɨ h ɨ ʔ y
332274	364935	johanssonsoundsymbolic-Ineseno	ines1240		many	1198	MANY		wahatsʔ	w a h a ts ʔ
344443	377104	johanssonsoundsymbolic-Ineseno	ines1240		moon	1313	MOON		awaʔy	a w a ʔ y
350920	383584	johanssonsoundsymbolic-Ineseno	ines1240		mountain	639	MOUNTAIN		milimol	m i l i m o l
353428	386092	johanssonsoundsymbolic-Ineseno	ines1240		mouth	674	MOUTH		ɨk	ɨ k
358447	391111	johanssonsoundsymbolic-Ineseno	ines1240		name	1405	NAME		tɨ	t ɨ
364734	397401	johanssonsoundsymbolic-Ineseno	ines1240		neck	1333	NECK		niʔ	n i ʔ
368792	401459	johanssonsoundsymbolic-Ineseno	ines1240		new	1231	NEW		ikɨmin	i k ɨ m i n
371567	404234	johanssonsoundsymbolic-Ineseno	ines1240		night	1233	NIGHT		saxiyiʔ	s a x i y i ʔ
377387	410054	johanssonsoundsymbolic-Ineseno	ines1240		nose	1221	NOSE		noxʃ	n o x ʃ
378982	411649	johanssonsoundsymbolic-Ineseno	ines1240		not	1240	NOT		ini	i n i
389682	422349	johanssonsoundsymbolic-Ineseno	ines1240		one	1493	ONE		pakaʔs	p a k a ˀs
406217	438884	johanssonsoundsymbolic-Ineseno	ines1240		person	683	PERSON		ku	k u
432475	465143	johanssonsoundsymbolic-Ineseno	ines1240		red	156	RED		tasɨn	t a s ɨ n
444424	477093	johanssonsoundsymbolic-Ineseno	ines1240		root	670	ROOT		axpiliʔl	a x p i l i ʔ l
448820	481489	johanssonsoundsymbolic-Ineseno	ines1240		round	1395	ROUND		topoloʔlin	t o p o l o ʔ l i n
456376	489045	johanssonsoundsymbolic-Ineseno	ines1240		sand	671	SAND		xas	x a s
459344	492013	johanssonsoundsymbolic-Ineseno	ines1240		say	1458	SAY		ip	i p
465090	497760	johanssonsoundsymbolic-Ineseno	ines1240		see	1409	SEE		kuti	k u t i
466659	499329	johanssonsoundsymbolic-Ineseno	ines1240		seed	714	SEED		amɨʔn	a m ɨ ʔ n
490533	523205	johanssonsoundsymbolic-Ineseno	ines1240		sit	1416	SIT		ɨlɨkʼɨn	ɨ l ɨ kʼ ɨ n
494644	527316	johanssonsoundsymbolic-Ineseno	ines1240		skin	763	SKIN		pax	p a x
499283	531955	johanssonsoundsymbolic-Ineseno	ines1240		sleep	1585	SLEEP		weʔ	w e ʔ
502866	535540	johanssonsoundsymbolic-Ineseno	ines1240		small	1246	SMALL		kitseʔ	k i ts e ʔ
507191	539867	johanssonsoundsymbolic-Ineseno	ines1240		smokeexhaust	778	SMOKE (EXHAUST)		toʔw	t o ʔ w
530068	562744	johanssonsoundsymbolic-Ineseno	ines1240		stand	1442	STAND		nowon	n o w o n
532325	565001	johanssonsoundsymbolic-Ineseno	ines1240		star	1430	STAR		aqiwo	a q i w o
538866	571543	johanssonsoundsymbolic-Ineseno	ines1240		stone	857	STONE		xɨp	x ɨ p
548252	580929	johanssonsoundsymbolic-Ineseno	ines1240		sun	1343	SUN		qsi	q s i
555287	587964	johanssonsoundsymbolic-Ineseno	ines1240		swim	1439	SWIM		aqiwɨwɨn	a q i w ɨ w ɨ n
557744	590421	johanssonsoundsymbolic-Ineseno	ines1240		tail	1220	TAIL		teleqʔ	t e l e q ʔ
567132	599811	johanssonsoundsymbolic-Ineseno	ines1240		that	78	THAT		loʔ	l o ʔ
578221	610900	johanssonsoundsymbolic-Ineseno	ines1240		this	1214	THIS		keʔ	k e ʔ
580410	613093	johanssonsoundsymbolic-Ineseno	ines1240		thou	1215	THOU		piʔ	p i ʔ
596307	628994	johanssonsoundsymbolic-Ineseno	ines1240		tongue	1205	TONGUE		elew	e l e w
598483	631170	johanssonsoundsymbolic-Ineseno	ines1240		tooth	1380	TOOTH		sa	s a
602884	635571	johanssonsoundsymbolic-Ineseno	ines1240		tree	906	TREE		poʔn	p o ʔ n
611390	644077	johanssonsoundsymbolic-Ineseno	ines1240		two	1498	TWO		iʃkoʔm	i ʃ k o ʔ m
627241	679902	johanssonsoundsymbolic-Ineseno	ines1240		white	1335	WHITE		oʔowow	o ʔ o w o w
629708	682461	johanssonsoundsymbolic-Ineseno	ines1240		who	1235	WHO		kuneʔ	k u n e ʔ
640089	692844	johanssonsoundsymbolic-Ineseno	ines1240		woman	962	WOMAN		eneq	e n e q
