	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8839	24990	johanssonsoundsymbolic-Coos	coos1249		bark	1204	BARK		cʼxaa	cʼ x aː
27912	44063	johanssonsoundsymbolic-Coos	coos1249		big	1202	BIG		hɛmmus	h ɛ mː u s
30302	46453	johanssonsoundsymbolic-Coos	coos1249		bird	937	BIRD		cəci	c ə c i
35263	51414	johanssonsoundsymbolic-Coos	coos1249		black	163	BLACK		kʼlas	kʼ l a s
38675	54826	johanssonsoundsymbolic-Coos	coos1249		blood	946	BLOOD		wətn	w ə t n
46904	63055	johanssonsoundsymbolic-Coos	coos1249		bone	1394	BONE		laamakʼ	l aː m a kʼ
95180	111333	johanssonsoundsymbolic-Coos	coos1249		cold	1287	COLD		gɛɛjnɛ	g ɛː j n ɛ
98843	114996	johanssonsoundsymbolic-Coos	coos1249		come	1446	COME		hɛllaq	h ɛ lː a q
127064	143219	johanssonsoundsymbolic-Coos	coos1249		die	1494	DIE		lagawa	l a g a w a
135614	151769	johanssonsoundsymbolic-Coos	coos1249		dog	2009	DOG		kʼwijuus	kʼ w i j uː s
142082	158237	johanssonsoundsymbolic-Coos	coos1249		drink	1401	DRINK		ʃajani	ʃ a j a n i
151157	167312	johanssonsoundsymbolic-Coos	coos1249		ear	1247	EAR		qwhannas	qʷʰ a nː a s
154079	170234	johanssonsoundsymbolic-Coos	coos1249		earthsoil	1228	EARTH (SOIL)		tʼɬʼtaa	tʼ ɬʼ t aː
156681	172836	johanssonsoundsymbolic-Coos	coos1249		eat	1336	EAT		tɬajam	t ɬ a j a m
158993	175151	johanssonsoundsymbolic-Coos	coos1249		egg	744	EGG		maatɬaaj	m aː t ɬ aː j
169561	185719	johanssonsoundsymbolic-Coos	coos1249		eye	1248	EYE		xwalxwal	xʷ a l xʷ a l
184892	201052	johanssonsoundsymbolic-Coos	coos1249		feather	1201	FEATHER		watɬ	w a t ɬ
192849	225502	johanssonsoundsymbolic-Coos	coos1249		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		cʼaʔaj	cʼ a ʔ a j
220717	253373	johanssonsoundsymbolic-Coos	coos1249		good	1035	GOOD		ləji	l ə j i
228519	261175	johanssonsoundsymbolic-Coos	coos1249		green	1425	GREEN		kʼsəʔltas	kʼ s ə ʔ l t a s
234520	267176	johanssonsoundsymbolic-Coos	coos1249		hair	1040	HAIR		χnɛk	χ n ɛ k
238360	271016	johanssonsoundsymbolic-Coos	coos1249		hand	1277	HAND		kʼiɬa	kʼ i ɬ a
243916	276573	johanssonsoundsymbolic-Coos	coos1249		head	1256	HEAD		xwiluw	xʷ i l u w
248446	281103	johanssonsoundsymbolic-Coos	coos1249		heart	1223	HEART		ilwaltʃas	i l w a l tʃ a s
274667	307327	johanssonsoundsymbolic-Coos	coos1249		i	1209	I		ənnə	ə nː ə
287513	320173	johanssonsoundsymbolic-Coos	coos1249		kill	1417	KILL		cʼaʔuwaht	cʼ a ʔ u w a h t
302151	334811	johanssonsoundsymbolic-Coos	coos1249		leaf	628	LEAF		tɬnik	t ɬ n i k
330424	363085	johanssonsoundsymbolic-Coos	coos1249		man	1554	MAN		dɛɛmiɬ	d ɛː m i ɬ
332246	364907	johanssonsoundsymbolic-Coos	coos1249		many	1198	MANY		naant	n aː n t
344417	377078	johanssonsoundsymbolic-Coos	coos1249		moon	1313	MOON		ɬuuxw	ɬ uː xʷ
350892	383556	johanssonsoundsymbolic-Coos	coos1249		mountain	639	MOUNTAIN		qwaijɛʔis	qʷ a i j ɛ ʔ i s
353401	386065	johanssonsoundsymbolic-Coos	coos1249		mouth	674	MOUTH		jɛʔɛs	j ɛ ʔ ɛ s
358419	391083	johanssonsoundsymbolic-Coos	coos1249		name	1405	NAME		tənnahs	t ə nː a h s
364709	397376	johanssonsoundsymbolic-Coos	coos1249		neck	1333	NECK		kwanc	k w a n c
371539	404206	johanssonsoundsymbolic-Coos	coos1249		night	1233	NIGHT		qwətɬtʃ	qʷ ə t ɬ tʃ
377358	410025	johanssonsoundsymbolic-Coos	coos1249		nose	1221	NOSE		tʃuuɬ	tʃ uː ɬ
389653	422320	johanssonsoundsymbolic-Coos	coos1249		one	1493	ONE		jixɛj	j i x ɛ j
406193	438860	johanssonsoundsymbolic-Coos	coos1249		person	683	PERSON		ma	m a
432449	465117	johanssonsoundsymbolic-Coos	coos1249		red	156	RED		tɬkwiɬt	t ɬ k w i ɬ t
459316	491985	johanssonsoundsymbolic-Coos	coos1249		say	1458	SAY		tɬiijis	t ɬ iː j i s
465061	497731	johanssonsoundsymbolic-Coos	coos1249		see	1409	SEE		tɬuwit	t ɬ u w i t
490506	523178	johanssonsoundsymbolic-Coos	coos1249		sit	1416	SIT		tɬuwaqac	t ɬ u w a q a c
499256	531928	johanssonsoundsymbolic-Coos	coos1249		sleep	1585	SLEEP		qaaqat	q aː q a t
502837	535511	johanssonsoundsymbolic-Coos	coos1249		small	1246	SMALL		kʼajʃ	kʼ a j ʃ
530042	562718	johanssonsoundsymbolic-Coos	coos1249		stand	1442	STAND		stuuwq	s t uː w q
532298	564974	johanssonsoundsymbolic-Coos	coos1249		star	1430	STAR		juumii	j uː m iː
538838	571515	johanssonsoundsymbolic-Coos	coos1249		stone	857	STONE		kliijax	k l iː j a x
548225	580902	johanssonsoundsymbolic-Coos	coos1249		sun	1343	SUN		tʼquʔəɬ	tʼ q u ʔ ə ɬ
578193	610872	johanssonsoundsymbolic-Coos	coos1249		this	1214	THIS		dɛʔɛj	d ɛ ʔ ɛ j
580381	613064	johanssonsoundsymbolic-Coos	coos1249		thou	1215	THOU		aʔna	a ʔ n a
596278	628965	johanssonsoundsymbolic-Coos	coos1249		tongue	1205	TONGUE		hɛlta	h ɛ l t a
598455	631142	johanssonsoundsymbolic-Coos	coos1249		tooth	1380	TOOTH		qcaʔ	q c a ʔ
602859	635546	johanssonsoundsymbolic-Coos	coos1249		tree	906	TREE		kwmɛnɛil	k w m ɛ n ɛ i l
611361	644048	johanssonsoundsymbolic-Coos	coos1249		two	1498	TWO		juxwɛ	j u xʷ ɛ
627214	679875	johanssonsoundsymbolic-Coos	coos1249		white	1335	WHITE		xqas	x q a s
629680	682433	johanssonsoundsymbolic-Coos	coos1249		who	1235	WHO		wutu	w u t u
640062	692817	johanssonsoundsymbolic-Coos	coos1249		woman	962	WOMAN		huumis	h uː m i s
