	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3888	20039	johanssonsoundsymbolic-Daga	daga1275		back	1291	BACK		gari	g a r i
5001	21152	johanssonsoundsymbolic-Daga	daga1275		bad	1292	BAD		koe	k o e
8842	24993	johanssonsoundsymbolic-Daga	daga1275		bark	1204	BARK		epiwa	e p i w a
9329	25480	transnewguineaorg-dima	dima1252		bark	1204	BARK		ira_etopi	i r a + e t o p i
9365	25516	transnewguineaorg-maiwa	maiw1251		bark	1204	BARK		kʷa'pʰiwa	kʷ a pʰ i w a
12982	29133	johanssonsoundsymbolic-Daga	daga1275		bealive	1422	BE ALIVE		wandepen	w a n d e p e n
16311	32462	johanssonsoundsymbolic-Daga	daga1275		because	1157	BECAUSE		iwa	i w a
22875	39026	johanssonsoundsymbolic-Daga	daga1275		belly	1251	BELLY		bagua	b a g u a
23587	39738	transnewguineaorg-dima	dima1252		belly	1251	BELLY		baguna	b a g u n a
23667	39818	transnewguineaorg-maiwa	maiw1251		belly	1251	BELLY		danawa	d a n a w a
23668	39819	transnewguineaorg-maiwa	maiw1251		belly	1251	BELLY		dan'anwa	d a n a n w a
27916	44067	johanssonsoundsymbolic-Daga	daga1275		big	1202	BIG		baita	b a i t a
28769	44920	transnewguineaorg-dima	dima1252		big	1202	BIG		ratebi	r a t e b i
28865	45016	transnewguineaorg-maiwa	maiw1251		big	1202	BIG		kóka	k o k a
28866	45017	transnewguineaorg-maiwa	maiw1251		big	1202	BIG		'kʰokʰa	kʰ o kʰ a
30305	46456	johanssonsoundsymbolic-Daga	daga1275		bird	937	BIRD		nenip	n e n i p
31107	47258	transnewguineaorg-dima	dima1252		bird	937	BIRD		midiwari	m i d i w a r i
31213	47364	transnewguineaorg-maiwa	maiw1251		bird	937	BIRD		nenip	n e n i p
31214	47365	transnewguineaorg-maiwa	maiw1251		bird	937	BIRD		ve'kʰætʰu	v e kʰ æ tʰ u
32654	48805	johanssonsoundsymbolic-Daga	daga1275		bite	1403	BITE		akueramepen	a k u e r a m e p e n
33245	49396	transnewguineaorg-dima	dima1252		bite	1403	BITE		tarapi	t a r a p i
33329	49480	transnewguineaorg-maiwa	maiw1251		bite	1403	BITE		at_ne	a t + n e
33330	49481	transnewguineaorg-maiwa	maiw1251		bite	1403	BITE		'adne	a d n e
35267	51418	johanssonsoundsymbolic-Daga	daga1275		black	163	BLACK		pumpuni	p u m p u n i
38678	54829	johanssonsoundsymbolic-Daga	daga1275		blood	946	BLOOD		denip	d e n i p
39481	55632	transnewguineaorg-dima	dima1252		blood	946	BLOOD		tawayana	t a w a j a n a
39579	55730	transnewguineaorg-maiwa	maiw1251		blood	946	BLOOD		di	d i
40902	57053	johanssonsoundsymbolic-Daga	daga1275		blowofwind	175	BLOW (OF WIND)		japapen	j a p a p e n
43093	59244	johanssonsoundsymbolic-Daga	daga1275		blunt	379	BLUNT		bomunke	b o m u n k e
46908	63059	johanssonsoundsymbolic-Daga	daga1275		bone	1394	BONE		kaimewa	k a i m e w a
47706	63857	transnewguineaorg-dima	dima1252		bone	1394	BONE		regura	r e g u r a
47809	63960	transnewguineaorg-maiwa	maiw1251		bone	1394	BONE		mařɛt'nawa	m a r̝ ɛ t n a w a
91607	107760	johanssonsoundsymbolic-Daga	daga1275		cloud	1489	CLOUD		ikurup	i k u r u p
92193	108346	transnewguineaorg-dima	dima1252		cloud	1489	CLOUD		guba	g u b a
92297	108450	transnewguineaorg-maiwa	maiw1251		cloud	1489	CLOUD		goaveru	g o a v e r u
92298	108451	transnewguineaorg-maiwa	maiw1251		cloud	1489	CLOUD		gʷa'weřu	gʷ a w e r̝ u
99646	115799	transnewguineaorg-dima	dima1252		come	1446	COME		enai	e n a i
99750	115903	transnewguineaorg-maiwa	maiw1251		come	1446	COME		ómpe	o m p e
99751	115904	transnewguineaorg-maiwa	maiw1251		come	1446	COME		me_ɜ'one	m e + ɜ o n e
121792	137947	johanssonsoundsymbolic-Daga	daga1275		daynotnight	1225	DAY (NOT NIGHT)		oam	o a m
127067	143222	johanssonsoundsymbolic-Daga	daga1275		die	1494	DIE		bop_tapen	b o p + t a p e n
127847	144002	transnewguineaorg-dima	dima1252		die	1494	DIE		boidi	b o i d i
127921	144076	transnewguineaorg-maiwa	maiw1251		die	1494	DIE		me_'boine	m e + b o i n e
131721	147876	johanssonsoundsymbolic-Daga	daga1275		dirty	1230	DIRTY		bigip	b i g i p
135618	151773	johanssonsoundsymbolic-Daga	daga1275		dog	2009	DOG		eao	e a o
136434	152589	transnewguineaorg-dima	dima1252		dog	2009	DOG		kwegawa	k w e g a w a
136540	152695	transnewguineaorg-maiwa	maiw1251		dog	2009	DOG		kueyao	k u e j a o
136541	152696	transnewguineaorg-maiwa	maiw1251		dog	2009	DOG		kʷʰe'.aᵘ	kʷʰ e + au
142085	158240	johanssonsoundsymbolic-Daga	daga1275		drink	1401	DRINK		napen	n a p e n
142650	158805	transnewguineaorg-dima	dima1252		drink	1401	DRINK		oanadi	o a n a d i
