	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3981	20132	johanssonsoundsymbolic-Shatt	shat1244		back	1291	BACK		ɔŋgwan	ɔ ŋ g w a n
5100	21251	johanssonsoundsymbolic-Shatt	shat1244		bad	1292	BAD		tas	t a s
8931	25082	johanssonsoundsymbolic-Shatt	shat1244		bark	1204	BARK		kuɓundic	k u ɓ u n d i c
13074	29225	johanssonsoundsymbolic-Shatt	shat1244		bealive	1422	BE ALIVE		aj	a j
16373	32524	johanssonsoundsymbolic-Shatt	shat1244		because	1157	BECAUSE		xa	x a
19313	35464	johanssonsoundsymbolic-Shatt	shat1244		before	1882	BEFORE		tagwan	t a g w a n
20552	36703	johanssonsoundsymbolic-Shatt	shat1244		behind	1686	BEHIND		tɔŋɛ	t ɔ ŋ ɛ
22978	39129	johanssonsoundsymbolic-Shatt	shat1244		belly	1251	BELLY		ɓalɛg	ɓ a l ɛ g
24608	40759	johanssonsoundsymbolic-Shatt	shat1244		beloworunder	1485	BELOW OR UNDER		tɔɓɔxɛ	t ɔ ɓ ɔ x ɛ
25810	41961	johanssonsoundsymbolic-Shatt	shat1244		beside	1816	BESIDE		tə_cɛŋic	t ə + c ɛ ŋ i c
26517	42668	johanssonsoundsymbolic-Shatt	shat1244		between	689	BETWEEN		tipidi	t i p i d i
28022	44173	johanssonsoundsymbolic-Shatt	shat1244		big	1202	BIG		apaŋga	a p a ŋ g a
30398	46549	johanssonsoundsymbolic-Shatt	shat1244		bird	937	BIRD		awad	a w a d
35369	51520	johanssonsoundsymbolic-Shatt	shat1244		black	163	BLACK		ɟul	ɟ u l
38782	54933	johanssonsoundsymbolic-Shatt	shat1244		blood	946	BLOOD		tamic	t a m i c
44659	60810	johanssonsoundsymbolic-Shatt	shat1244		body	1480	BODY		wanwan	w a n w a n
47005	63156	johanssonsoundsymbolic-Shatt	shat1244		bone	1394	BONE		ŋɛc	ŋ ɛ c
52969	69120	johanssonsoundsymbolic-Shatt	shat1244		brain	1583	BRAIN		dərəg	d ə r ə g
57088	73241	johanssonsoundsymbolic-Shatt	shat1244		breast	1402	BREAST		kiɗic	k i ɗ i c
67859	84012	johanssonsoundsymbolic-Shatt	shat1244		buttocks	834	BUTTOCKS		pugusic	p u g u s i c
73068	89221	johanssonsoundsymbolic-Shatt	shat1244		carry	700	CARRY		pɔkɔ	p ɔ k ɔ
91696	107849	johanssonsoundsymbolic-Shatt	shat1244		cloud	1489	CLOUD		timiŋgarwɛc	t i m i ŋ g a r w ɛ c
95282	111435	johanssonsoundsymbolic-Shatt	shat1244		cold	1287	COLD		tudi	t u d i
98946	115099	johanssonsoundsymbolic-Shatt	shat1244		come	1446	COME		pəkədəŋ	p ə k ə d ə ŋ
113051	129204	johanssonsoundsymbolic-Shatt	shat1244		cry	1839	CRY		ŋɛ	ŋ ɛ
118761	134914	johanssonsoundsymbolic-Shatt	shat1244		dark	706	DARK		ɟuldəg	ɟ u l d ə g
121887	138042	johanssonsoundsymbolic-Shatt	shat1244		daynotnight	1225	DAY (NOT NIGHT)		kɛzic	k ɛ z i c
127169	143324	johanssonsoundsymbolic-Shatt	shat1244		die	1494	DIE		əxsɛ	ə x s ɛ
134279	150434	johanssonsoundsymbolic-Shatt	shat1244		do	813	DO		sɔgɔ	s ɔ g ɔ
135718	151873	johanssonsoundsymbolic-Shatt	shat1244		dog	2009	DOG		is	i s
142188	158343	johanssonsoundsymbolic-Shatt	shat1244		drink	1401	DRINK		wuxi	w u x i
145822	161977	johanssonsoundsymbolic-Shatt	shat1244		dry	1398	DRY		masɛ	m a s ɛ
148797	164952	johanssonsoundsymbolic-Shatt	shat1244		dust	2	DUST		ləg	l ə g
151264	167419	johanssonsoundsymbolic-Shatt	shat1244		ear	1247	EAR		wundwan	w u n d w a n
154183	170338	johanssonsoundsymbolic-Shatt	shat1244		earthsoil	1228	EARTH (SOIL)		zəg	z ə g
156787	172942	johanssonsoundsymbolic-Shatt	shat1244		eat	1336	EAT		sijɛ	s i j ɛ
159091	175249	johanssonsoundsymbolic-Shatt	shat1244		egg	744	EGG		gəldic	g ə l d i c
160832	176990	johanssonsoundsymbolic-Shatt	shat1244		eight	1705	EIGHT		kɔsɛndaŋ_tɛspɛdɛspɛ	k ɔ s ɛ n d a ŋ + t ɛ s p ɛ d ɛ s p ɛ
163774	179932	johanssonsoundsymbolic-Shatt	shat1244		eleven	1706	ELEVEN		asiɲ_waŋicə_nuuxu	a s i ɲ + w a ŋ i c ə + n uː x u
169667	185825	johanssonsoundsymbolic-Shatt	shat1244		eye	1248	EYE		awunwan	a w u n w a n
173671	189830	johanssonsoundsymbolic-Shatt	shat1244		fall	1280	FALL		tɛlgɛdəŋ	t ɛ l g ɛ d ə ŋ
175940	192099	johanssonsoundsymbolic-Shatt	shat1244		far	1406	FAR		təxandɛ	t ə x a n d ɛ
177511	193670	johanssonsoundsymbolic-Shatt	shat1244		fast	1631	FAST		pacɛ	p a c ɛ
182140	198300	johanssonsoundsymbolic-Shatt	shat1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		mid	m i d
184986	201146	johanssonsoundsymbolic-Shatt	shat1244		feather	1201	FEATHER		ndɛndɛŋic	n d ɛ n d ɛ ŋ i c
190018	222671	johanssonsoundsymbolic-Shatt	shat1244		flower	239	FLOWER		dudulusic	d u d u l u s i c
191334	223987	johanssonsoundsymbolic-Shatt	shat1244		flyinsect	1504	FLY (INSECT)		sanɛ	s a n ɛ
192937	225590	johanssonsoundsymbolic-Shatt	shat1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		aŋəxəsic	a ŋ ə x ə s i c
196265	228918	johanssonsoundsymbolic-Shatt	shat1244		foot	1301	FOOT		ɓadanwan	ɓ a d a n w a n
202595	235248	johanssonsoundsymbolic-Shatt	shat1244		four	1500	FOUR		tɛspɛt	t ɛ s p ɛ t
213363	246016	johanssonsoundsymbolic-Shatt	shat1244		girl	1646	GIRL		pəxə_ux	p ə x ə + u x
214695	247348	johanssonsoundsymbolic-Shatt	shat1244		give	1447	GIVE		tɔgada	t ɔ g a d a
217054	249707	johanssonsoundsymbolic-Shatt	shat1244		go	695	GO		dɔcɔ	d ɔ c ɔ
220825	253481	johanssonsoundsymbolic-Shatt	shat1244		good	1035	GOOD		apɔ	a p ɔ
226261	258917	johanssonsoundsymbolic-Shatt	shat1244		grass	606	GRASS		ɲaxic	ɲ a x i c
228606	261262	johanssonsoundsymbolic-Shatt	shat1244		green	1425	GREEN		tɛc	t ɛ c
234624	267280	johanssonsoundsymbolic-Shatt	shat1244		hair	1040	HAIR		apaxtic	a p a x t i c
236434	269090	johanssonsoundsymbolic-Shatt	shat1244		half	816	HALF		tipidi	t i p i d i
238469	271125	johanssonsoundsymbolic-Shatt	shat1244		hand	1277	HAND		andwan	a n d w a n
