	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8931	25082	johanssonsoundsymbolic-Shatt	shat1244		bark	1204	BARK		kuɓundic	k u ɓ u n d i c
22978	39129	johanssonsoundsymbolic-Shatt	shat1244		belly	1251	BELLY		ɓalɛg	ɓ a l ɛ g
28022	44173	johanssonsoundsymbolic-Shatt	shat1244		big	1202	BIG		apaŋga	a p a ŋ g a
30398	46549	johanssonsoundsymbolic-Shatt	shat1244		bird	937	BIRD		awad	a w a d
35369	51520	johanssonsoundsymbolic-Shatt	shat1244		black	163	BLACK		ɟul	ɟ u l
38782	54933	johanssonsoundsymbolic-Shatt	shat1244		blood	946	BLOOD		tamic	t a m i c
47005	63156	johanssonsoundsymbolic-Shatt	shat1244		bone	1394	BONE		ŋɛc	ŋ ɛ c
57088	73241	johanssonsoundsymbolic-Shatt	shat1244		breast	1402	BREAST		kiɗic	k i ɗ i c
91696	107849	johanssonsoundsymbolic-Shatt	shat1244		cloud	1489	CLOUD		timiŋgarwɛc	t i m i ŋ g a r w ɛ c
95282	111435	johanssonsoundsymbolic-Shatt	shat1244		cold	1287	COLD		tudi	t u d i
98946	115099	johanssonsoundsymbolic-Shatt	shat1244		come	1446	COME		pəkədəŋ	p ə k ə d ə ŋ
127169	143324	johanssonsoundsymbolic-Shatt	shat1244		die	1494	DIE		əxsɛ	ə x s ɛ
135718	151873	johanssonsoundsymbolic-Shatt	shat1244		dog	2009	DOG		is	i s
142188	158343	johanssonsoundsymbolic-Shatt	shat1244		drink	1401	DRINK		wuxi	w u x i
145822	161977	johanssonsoundsymbolic-Shatt	shat1244		dry	1398	DRY		masɛ	m a s ɛ
151264	167419	johanssonsoundsymbolic-Shatt	shat1244		ear	1247	EAR		wundwan	w u n d w a n
154183	170338	johanssonsoundsymbolic-Shatt	shat1244		earthsoil	1228	EARTH (SOIL)		zəg	z ə g
156787	172942	johanssonsoundsymbolic-Shatt	shat1244		eat	1336	EAT		sijɛ	s i j ɛ
159091	175249	johanssonsoundsymbolic-Shatt	shat1244		egg	744	EGG		gəldic	g ə l d i c
169667	185825	johanssonsoundsymbolic-Shatt	shat1244		eye	1248	EYE		awunwan	a w u n w a n
182140	198300	johanssonsoundsymbolic-Shatt	shat1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		mid	m i d
184986	201146	johanssonsoundsymbolic-Shatt	shat1244		feather	1201	FEATHER		ndɛndɛŋic	n d ɛ n d ɛ ŋ i c
192937	225590	johanssonsoundsymbolic-Shatt	shat1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		aŋəxəsic	a ŋ ə x ə s i c
196265	228918	johanssonsoundsymbolic-Shatt	shat1244		foot	1301	FOOT		ɓadanwan	ɓ a d a n w a n
214695	247348	johanssonsoundsymbolic-Shatt	shat1244		give	1447	GIVE		tɔgada	t ɔ g a d a
220825	253481	johanssonsoundsymbolic-Shatt	shat1244		good	1035	GOOD		apɔ	a p ɔ
228606	261262	johanssonsoundsymbolic-Shatt	shat1244		green	1425	GREEN		tɛc	t ɛ c
234624	267280	johanssonsoundsymbolic-Shatt	shat1244		hair	1040	HAIR		apaxtic	a p a x t i c
238469	271125	johanssonsoundsymbolic-Shatt	shat1244		hand	1277	HAND		andwan	a n d w a n
244023	276680	johanssonsoundsymbolic-Shatt	shat1244		head	1256	HEAD		zə	z ə
246957	279614	johanssonsoundsymbolic-Shatt	shat1244		hear	1408	HEAR		gataŋ	g a t a ŋ
248548	281205	johanssonsoundsymbolic-Shatt	shat1244		heart	1223	HEART		məgax	m ə g a x
