	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3982	20133	johanssonsoundsymbolic-Sheko	shek1245		back	1291	BACK		tiiti	t iː t i
5101	21252	johanssonsoundsymbolic-Sheko	shek1245		bad	1292	BAD		ʃeen	ʃ eː n
8932	25083	johanssonsoundsymbolic-Sheko	shek1245		bark	1204	BARK		gopaɾa	g o p a ɾ a
13075	29226	johanssonsoundsymbolic-Sheko	shek1245		bealive	1422	BE ALIVE		ki	k i
15812	31963	johanssonsoundsymbolic-Sheko	shek1245		beautiful	1427	BEAUTIFUL		ʒaaʒ	ʒ aː ʒ
22979	39130	johanssonsoundsymbolic-Sheko	shek1245		belly	1251	BELLY		bo	b o
24609	40760	johanssonsoundsymbolic-Sheko	shek1245		beloworunder	1485	BELOW OR UNDER		kʼankʼa	kʼ a n kʼ a
28023	44174	johanssonsoundsymbolic-Sheko	shek1245		big	1202	BIG		ʔjaat	ʔ j aː t
30399	46550	johanssonsoundsymbolic-Sheko	shek1245		bird	937	BIRD		kafa	k a f a
32755	48906	johanssonsoundsymbolic-Sheko	shek1245		bite	1403	BITE		wootʼsʼ	w oː tsʼ
35370	51521	johanssonsoundsymbolic-Sheko	shek1245		black	163	BLACK		tʼsʼaw	tsʼ a w
38783	54934	johanssonsoundsymbolic-Sheko	shek1245		blood	946	BLOOD		jaɾbm	j a ɾ b m
40990	57141	johanssonsoundsymbolic-Sheko	shek1245		blowofwind	175	BLOW (OF WIND)		feɾ	f e ɾ
42139	58290	johanssonsoundsymbolic-Sheko	shek1245		blue	837	BLUE		ʒikʼnʒikʼn	ʒ i kʼ n ʒ i kʼ n
43164	59315	johanssonsoundsymbolic-Sheko	shek1245		blunt	379	BLUNT		gontʼa_ge	g o n tʼ a + g e
44660	60811	johanssonsoundsymbolic-Sheko	shek1245		body	1480	BODY		faad	f aː d
47006	63157	johanssonsoundsymbolic-Sheko	shek1245		bone	1394	BONE		uusu	uː s u
51582	67733	johanssonsoundsymbolic-Sheko	shek1245		boy	1366	BOY		dadu	d a d u
52970	69121	johanssonsoundsymbolic-Sheko	shek1245		brain	1583	BRAIN		aɾa	a ɾ a
57089	73242	johanssonsoundsymbolic-Sheko	shek1245		breast	1402	BREAST		tʼjam	tʼ j a m
64559	80712	johanssonsoundsymbolic-Sheko	shek1245		burn	2102	BURN		bonkʼ	b o n kʼ
67860	84013	johanssonsoundsymbolic-Sheko	shek1245		buttocks	834	BUTTOCKS		kʼundi	kʼ u n d i
73069	89222	johanssonsoundsymbolic-Sheko	shek1245		carry	700	CARRY		baʔ	b a ʔ
91697	107850	johanssonsoundsymbolic-Sheko	shek1245		cloud	1489	CLOUD		gibu	g i b u
95283	111436	johanssonsoundsymbolic-Sheko	shek1245		cold	1287	COLD		ʂow	ʂ o w
98947	115100	johanssonsoundsymbolic-Sheko	shek1245		come	1446	COME		jəg	j ə g
104970	121123	johanssonsoundsymbolic-Sheko	shek1245		correctright	1725	CORRECT (RIGHT)		niki	n i k i
106069	122222	johanssonsoundsymbolic-Sheko	shek1245		cough	879	COUGH		oʈʂ	o ʈʂ
110531	126684	johanssonsoundsymbolic-Sheko	shek1245		crooked	297	CROOKED		bjangaɾ	b j a n g a ɾ
112099	128252	johanssonsoundsymbolic-Sheko	shek1245		crush	1520	CRUSH		botn	b o t n
113052	129205	johanssonsoundsymbolic-Sheko	shek1245		cry	1839	CRY		jeef	j eː f
118762	134915	johanssonsoundsymbolic-Sheko	shek1245		dark	706	DARK		udg	u d g
121888	138043	johanssonsoundsymbolic-Sheko	shek1245		daynotnight	1225	DAY (NOT NIGHT)		bokn	b o k n
127170	143325	johanssonsoundsymbolic-Sheko	shek1245		die	1494	DIE		ʂub	ʂ u b
131804	147959	johanssonsoundsymbolic-Sheko	shek1245		dirty	1230	DIRTY		dakns	d a k n s
134280	150435	johanssonsoundsymbolic-Sheko	shek1245		do	813	DO		eg	e g
135719	151874	johanssonsoundsymbolic-Sheko	shek1245		dog	2009	DOG		kjanu	k j a n u
142189	158344	johanssonsoundsymbolic-Sheko	shek1245		drink	1401	DRINK		kʼiʂ	kʼ i ʂ
145823	161978	johanssonsoundsymbolic-Sheko	shek1245		dry	1398	DRY		koɾ	k o ɾ
148798	164953	johanssonsoundsymbolic-Sheko	shek1245		dust	2	DUST		boota	b oː t a
151265	167420	johanssonsoundsymbolic-Sheko	shek1245		ear	1247	EAR		haaj	h aː j
154184	170339	johanssonsoundsymbolic-Sheko	shek1245		earthsoil	1228	EARTH (SOIL)		tuuɾu	t uː ɾ u
156788	172943	johanssonsoundsymbolic-Sheko	shek1245		eat	1336	EAT		um	u m
159092	175250	johanssonsoundsymbolic-Sheko	shek1245		egg	744	EGG		mjaakʼu	m j aː kʼ u
160833	176991	johanssonsoundsymbolic-Sheko	shek1245		eight	1705	EIGHT		zeed	z eː d
163775	179933	johanssonsoundsymbolic-Sheko	shek1245		eleven	1706	ELEVEN		tamuka_kʼoj	t a m u k a + kʼ o j
164962	181120	johanssonsoundsymbolic-Sheko	shek1245		empty	1624	EMPTY		koɾu	k o ɾ u
169668	185826	johanssonsoundsymbolic-Sheko	shek1245		eye	1248	EYE		aab	aː b
173672	189831	johanssonsoundsymbolic-Sheko	shek1245		fall	1280	FALL		wut	w u t
175941	192100	johanssonsoundsymbolic-Sheko	shek1245		far	1406	FAR		gotn	g o t n
184987	201147	johanssonsoundsymbolic-Sheko	shek1245		feather	1201	FEATHER		bij	b i j
190019	222672	johanssonsoundsymbolic-Sheko	shek1245		flower	239	FLOWER		uʃn	u ʃ n
191335	223988	johanssonsoundsymbolic-Sheko	shek1245		flyinsect	1504	FLY (INSECT)		gang	g a n g
192938	225591	johanssonsoundsymbolic-Sheko	shek1245		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		utsi	u ts i
196266	228919	johanssonsoundsymbolic-Sheko	shek1245		foot	1301	FOOT		aʂu	a ʂ u
202596	235249	johanssonsoundsymbolic-Sheko	shek1245		four	1500	FOUR		kubm	k u b m
209351	242004	johanssonsoundsymbolic-Sheko	shek1245		full	1429	FULL		tʼsʼootʼsʼ	tsʼ oː tsʼ
213364	246017	johanssonsoundsymbolic-Sheko	shek1245		girl	1646	GIRL		dadu	d a d u
214696	247349	johanssonsoundsymbolic-Sheko	shek1245		give	1447	GIVE		ats	a ts
217055	249708	johanssonsoundsymbolic-Sheko	shek1245		go	695	GO		təg	t ə g
220826	253482	johanssonsoundsymbolic-Sheko	shek1245		good	1035	GOOD		ʒaaʒ	ʒ aː ʒ
226262	258918	johanssonsoundsymbolic-Sheko	shek1245		grass	606	GRASS		wontʼʃʼi	w o n tʃʼ i
228607	261263	johanssonsoundsymbolic-Sheko	shek1245		green	1425	GREEN		tʼʃʼiɾu	tʃʼ i ɾ u
231529	264185	johanssonsoundsymbolic-Sheko	shek1245		grow	479	GROW		bez	b e z
234625	267281	johanssonsoundsymbolic-Sheko	shek1245		hair	1040	HAIR		sitsu	s i ts u
238470	271126	johanssonsoundsymbolic-Sheko	shek1245		hand	1277	HAND		kuʈʂu	k u ʈʂ u
240374	273030	johanssonsoundsymbolic-Sheko	shek1245		happy	1495	HAPPY		kaaʒ	k aː ʒ
240744	273400	johanssonsoundsymbolic-Sheko	shek1245		hard	1884	HARD		kʼoʒ	kʼ o ʒ
244024	276681	johanssonsoundsymbolic-Sheko	shek1245		head	1256	HEAD		gəɾi	g ə ɾ i
246958	279615	johanssonsoundsymbolic-Sheko	shek1245		hear	1408	HEAR		siis	s iː s
248549	281206	johanssonsoundsymbolic-Sheko	shek1245		heart	1223	HEART		ʂoon	ʂ oː n
250715	283372	johanssonsoundsymbolic-Sheko	shek1245		heavy	1210	HEAVY		ints	i n ts
253927	286585	johanssonsoundsymbolic-Sheko	shek1245		heorsheorit	262	HE OR SHE OR IT		az	a z
254542	287201	johanssonsoundsymbolic-Sheko	shek1245		here	136	HERE		haaz	h aː z
255802	288461	johanssonsoundsymbolic-Sheko	shek1245		hide	2486	HIDE		jaatʃ	j aː tʃ
258801	291461	johanssonsoundsymbolic-Sheko	shek1245		hit	1433	HIT		duf	d u f
263412	296072	johanssonsoundsymbolic-Sheko	shek1245		hornanatomy	1393	HORN (ANATOMY)		feɾa	f e ɾ a
265267	297927	johanssonsoundsymbolic-Sheko	shek1245		hot	1286	HOT		saɾ	s a ɾ
267357	300017	johanssonsoundsymbolic-Sheko	shek1245		house	1252	HOUSE		ij	i j
268924	301584	johanssonsoundsymbolic-Sheko	shek1245		how	1239	HOW		aas	aː s
274774	307434	johanssonsoundsymbolic-Sheko	shek1245		i	1209	I		nata	n a t a
278731	311391	johanssonsoundsymbolic-Sheko	shek1245		infrontof	1883	IN FRONT OF		saanta	s aː n t a
287616	320276	johanssonsoundsymbolic-Sheko	shek1245		kill	1417	KILL		wuʂ	w u ʂ
290294	322954	johanssonsoundsymbolic-Sheko	shek1245		knee	1371	KNEE		kʼumu	kʼ u m u
293375	326035	johanssonsoundsymbolic-Sheko	shek1245		know	3626	KNOW		tʼuus	tʼ uː s
299094	331754	johanssonsoundsymbolic-Sheko	shek1245		laugh	1355	LAUGH		geeʈʂ	g eː ʈʂ
302250	334910	johanssonsoundsymbolic-Sheko	shek1245		leaf	628	LEAF		kaɾa	k a ɾ a
305351	338011	johanssonsoundsymbolic-Sheko	shek1245		left	244	LEFT		kaga	k a g a
309566	342226	johanssonsoundsymbolic-Sheko	shek1245		liedown	215	LIE DOWN		ʂonkʼu	ʂ o n kʼ u
311558	344218	johanssonsoundsymbolic-Sheko	shek1245		lightcolor	250	LIGHT (COLOR)		kaam	k aː m
313724	346384	johanssonsoundsymbolic-Sheko	shek1245		lightweight	1052	LIGHT (WEIGHT)		ʂoʂknʂ	ʂ o ʂ k n ʂ
317017	349677	johanssonsoundsymbolic-Sheko	shek1245		liver	1224	LIVER		bow	b o w
319911	352571	johanssonsoundsymbolic-Sheko	shek1245		long	1203	LONG		gotn	g o t n
323553	356213	johanssonsoundsymbolic-Sheko	shek1245		louse	1392	LOUSE		ʈʂuuʈʂu	ʈʂ uː ʈʂ u
325459	358119	johanssonsoundsymbolic-Sheko	shek1245		lowerarm	446	LOWER ARM		kuʈʂu	k u ʈʂ u
325824	358485	johanssonsoundsymbolic-Sheko	shek1245		lowerleg	447	LOWER LEG		aʂu	a ʂ u
326406	359067	johanssonsoundsymbolic-Sheko	shek1245		lung	688	LUNG		ʂoɾtʼn	ʂ o ɾ tʼ n
330529	363190	johanssonsoundsymbolic-Sheko	shek1245		man	1554	MAN		jaab	j aː b
332350	365011	johanssonsoundsymbolic-Sheko	shek1245		many	1198	MANY		putʼʃʼa	p u tʃʼ a
339954	372615	johanssonsoundsymbolic-Sheko	shek1245		milk	635	MILK		kʼiiʂ	kʼ iː ʂ
344522	377183	johanssonsoundsymbolic-Sheko	shek1245		moon	1313	MOON		jatʼsʼn	j a tsʼ n
350989	383653	johanssonsoundsymbolic-Sheko	shek1245		mountain	639	MOUNTAIN		tʼuum	tʼ uː m
353505	386169	johanssonsoundsymbolic-Sheko	shek1245		mouth	674	MOUTH		ed	e d
358524	391188	johanssonsoundsymbolic-Sheko	shek1245		name	1405	NAME		suma	s u m a
