	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3771	19922	hantganbangime-Ben_Tey	bent1238		back	1291	BACK		tùlù_kɛ́lɛ̀	t u l u + k ɛ l ɛ
3772	19923	hantganbangime-Bunoge	buno1241		back	1291	BACK		pùmbù	p u m b u
3774	19925	hantganbangime-Jamsay	jams1239		back	1291	BACK		gǔn	g u n
3775	19926	hantganbangime-Mombo	momb1254		back	1291	BACK		túndú	t u n d u
3776	19927	hantganbangime-Najamba	bond1248		back	1291	BACK		bàndí-ŋgé	b a n d i + ŋ g e
3777	19928	hantganbangime-Nanga	nang1261		back	1291	BACK		tùndù_bìrⁿɛ́	t u n d u + b i r̃ ɛ
3778	19929	hantganbangime-Penange	pena1270		back	1291	BACK		túndú	t u n d u
3779	19930	hantganbangime-Perge_Tegu	perg1234		back	1291	BACK		tùr_kɛ́lɛ́	t u r + k ɛ l ɛ
3781	19932	hantganbangime-Tebul_Ure	tebu1239		back	1291	BACK		kúndú-gó	k u n d u + g o
3782	19933	hantganbangime-Tiranige_Diga	tira1258		back	1291	BACK		túnú	t u n u
3783	19934	hantganbangime-Togo_Kan	togo1254		back	1291	BACK		dògò_kɛ́nɛ́	d o g o + k ɛ n ɛ
3784	19935	hantganbangime-Tommo_So	tomm1242		back	1291	BACK		ònnú	o nː u
3785	19936	hantganbangime-Toro_Tegu	toro1253		back	1291	BACK		tùŋɔ́	t u ŋ ɔ
3786	19937	hantganbangime-Yanda_Dom	yand1257		back	1291	BACK		tùnù	t u n u
3787	19938	hantganbangime-Yorno_So	yorn1234		back	1291	BACK		ònɔ́	o n ɔ
3874	20025	johanssonsoundsymbolic-BankanTeyDogon	bank1259		back	1291	BACK		tundu	t u n d u
4868	21019	hantganbangime-Ben_Tey	bent1238		bad	1292	BAD		mɔ̀sú	m ɔ s u
4869	21020	hantganbangime-Bunoge	buno1241		bad	1292	BAD		ɲàmì	ɲ a m i
4871	21022	hantganbangime-Jamsay	jams1239		bad	1292	BAD		mɔ̀ɲú	m ɔ ɲ u
4873	21024	hantganbangime-Mombo	momb1254		bad	1292	BAD		yá:lá	j aː l a
4874	21025	hantganbangime-Najamba	bond1248		bad	1292	BAD		nɛ̀:ndɛ́:	n ɛː n d ɛː
4875	21026	hantganbangime-Nanga	nang1261		bad	1292	BAD		mɔ̀sí	m ɔ s i
4876	21027	hantganbangime-Penange	pena1270		bad	1292	BAD		ɲàm	ɲ a m
4877	21028	hantganbangime-Perge_Tegu	perg1234		bad	1292	BAD		mɔ̀sú	m ɔ s u
4879	21030	hantganbangime-Tebul_Ure	tebu1239		bad	1292	BAD		sàm-gɔ́	s a m + g ɔ
4880	21031	hantganbangime-Tiranige_Diga	tira1258		bad	1292	BAD		mɔ́:ná	m ɔː n a
4881	21032	hantganbangime-Togo_Kan	togo1254		bad	1292	BAD		mɔ̀ɲú	m ɔ ɲ u
4882	21033	hantganbangime-Tommo_So	tomm1242		bad	1292	BAD		pàdíɛ́	p a d i ɛ
4883	21034	hantganbangime-Toro_Tegu	toro1253		bad	1292	BAD		mɔ̀sú	m ɔ s u
4884	21035	hantganbangime-Yanda_Dom	yand1257		bad	1292	BAD		gɔ̀mɔ̀	g ɔ m ɔ
4885	21036	hantganbangime-Yorno_So	yorn1234		bad	1292	BAD		mɔ̀ɲú	m ɔ ɲ u
4985	21136	johanssonsoundsymbolic-BankanTeyDogon	bank1259		bad	1292	BAD		mbɔsu	m b ɔ s u
8724	24875	hantganbangime-Ben_Tey	bent1238		bark	1204	BARK		kù_kòmbî:	k u + k o m b iː
8725	24876	hantganbangime-Bunoge	buno1241		bark	1204	BARK		kòbàlì	k o b a l i
8727	24878	hantganbangime-Jamsay	jams1239		bark	1204	BARK		jêy	dʒ e j
8729	24880	hantganbangime-Mombo	momb1254		bark	1204	BARK		kòmbòlí	k o m b o l i
8730	24881	hantganbangime-Nanga	nang1261		bark	1204	BARK		tùmà_pô:	t u m a + p oː
8731	24882	hantganbangime-Penange	pena1270		bark	1204	BARK		témbú	t e m b u
8732	24883	hantganbangime-Perge_Tegu	perg1234		bark	1204	BARK		gɛ̂:ⁿ	g ɛ̃ː
8734	24885	hantganbangime-Tebul_Ure	tebu1239		bark	1204	BARK		kóbé	k o b e
8735	24886	hantganbangime-Tiranige_Diga	tira1258		bark	1204	BARK		kóy	k o j
8736	24887	hantganbangime-Togo_Kan	togo1254		bark	1204	BARK		kòkǒ:	k o k oː
8737	24888	hantganbangime-Tommo_So	tomm1242		bark	1204	BARK		jóyⁿ	dʒ o j̃
8738	24889	hantganbangime-Toro_Tegu	toro1253		bark	1204	BARK		kǒw	k o w
8739	24890	hantganbangime-Yanda_Dom	yand1257		bark	1204	BARK		tìmè_sábú	t i m e + s a b u
8827	24978	johanssonsoundsymbolic-BankanTeyDogon	bank1259		bark	1204	BARK		kokombuu	k o k o m b uː
12967	29118	johanssonsoundsymbolic-BankanTeyDogon	bank1259		bealive	1422	BE ALIVE		ja_wuura_kaŋ_so	j a + w uː r a + k a ŋ + s o
16304	32455	johanssonsoundsymbolic-BankanTeyDogon	bank1259		because	1157	BECAUSE		sabu	s a b u
22677	38828	hantganbangime-Ben_Tey	bent1238		belly	1251	BELLY		pìré	p i r e
22678	38829	hantganbangime-Bunoge	buno1241		belly	1251	BELLY		dólè	d o l e
22680	38831	hantganbangime-Jamsay	jams1239		belly	1251	BELLY		bɛrɛ	b ɛ r ɛ
22682	38833	hantganbangime-Mombo	momb1254		belly	1251	BELLY		píjí	p i dʒ i
22683	38834	hantganbangime-Najamba	bond1248		belly	1251	BELLY		kûl	k u l
22684	38835	hantganbangime-Nanga	nang1261		belly	1251	BELLY		bèndé	b e n d e
22685	38836	hantganbangime-Penange	pena1270		belly	1251	BELLY		jàŋgà	dʒ a ŋ g a
22686	38837	hantganbangime-Perge_Tegu	perg1234		belly	1251	BELLY		bɛ̀rɛ́	b ɛ r ɛ
22688	38839	hantganbangime-Tebul_Ure	tebu1239		belly	1251	BELLY		bɛ̀rǎ:	b ɛ r aː
22689	38840	hantganbangime-Tiranige_Diga	tira1258		belly	1251	BELLY		pìndì	p i n d i
22690	38841	hantganbangime-Togo_Kan	togo1254		belly	1251	BELLY		bǐn	b i n
22691	38842	hantganbangime-Tommo_So	tomm1242		belly	1251	BELLY		bɛ̀rɛ́	b ɛ r ɛ
22692	38843	hantganbangime-Toro_Tegu	toro1253		belly	1251	BELLY		bèté	b e t e
22693	38844	hantganbangime-Yanda_Dom	yand1257		belly	1251	BELLY		bɛ̀dɛ̀	b ɛ d ɛ
22694	38845	hantganbangime-Yorno_So	yorn1234		belly	1251	BELLY		bɛ̀rɛ́	b ɛ r ɛ
22859	39010	johanssonsoundsymbolic-BankanTeyDogon	bank1259		belly	1251	BELLY		pire	p i r e
