	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
752	16903	northeuralex-kan	nucl1305		atfirst	2915	AT FIRST		mɔd̪əlɪɡe	m ɔ d̪ ə l ɪ g e
774	16925	northeuralex-mal	mala1464		atfirst	2915	AT FIRST		aːd̪jam	aː d̪ j a m
810	16961	northeuralex-tam	tami1289		atfirst	2915	AT FIRST		muðʌlil	m u ð ʌ l i l
812	16963	northeuralex-tel	telu1262		atfirst	2915	AT FIRST		mod̪ʌʈiloː	m o d̪ ʌ ʈ i l oː
1032	17183	northeuralex-kan	nucl1305		atthattime	2922	AT THAT TIME		aːɡa	aː g a
1050	17201	northeuralex-mal	mala1464		atthattime	2922	AT THAT TIME		apːoːɭ	a pː oː ɭ
1082	17233	northeuralex-tam	tami1289		atthattime	2922	AT THAT TIME		ʌpːoɻuðu	ʌ pː o ɻ u ð u
1085	17236	northeuralex-tel	telu1262		atthattime	2922	AT THAT TIME		ʌpːuɖu	ʌ pː u ɖ u
1313	17464	northeuralex-kan	nucl1305		august	2851	AUGUST		mʊmːəɭe	m ʊ mː ə ɭ e
1330	17481	northeuralex-mal	mala1464		august	2851	AUGUST		aːɡasatatɨ̆	aː g a s a t a t ɨ
1361	17512	northeuralex-tam	tami1289		august	2851	AUGUST		ɑːkʌsʈ_mɑːt̪ʌm	ɑː k ʌ s ʈ + m ɑː t̪ ʌ m
1363	17514	northeuralex-tel	telu1262		august	2851	AUGUST		aːɡʌs̪ʈu	aː g ʌ s̪ ʈ u
1484	17635	northeuralex-kan	nucl1305		aunt	1272	AUNT		t͡ʃɪkːəmːa	tʃ ɪ kː ə mː a
1506	17657	northeuralex-mal	mala1464		aunt	1272	AUNT		maːmi	m aː m i
1547	17698	northeuralex-tam	tami1289		aunt	1272	AUNT		ʌt̪ːʌi	ʌ t̪ː ʌ i
1550	17701	northeuralex-tel	telu1262		aunt	1272	AUNT		meːn̪ʌt̪ːʌ	m eː n̪ ʌ t̪ː ʌ
1551	17702	northeuralex-tel	telu1262		aunt	1272	AUNT		pin̪ʌt̪ʌlːi	p i n̪ ʌ t̪ ʌ lː i
1756	17907	northeuralex-kan	nucl1305		autumn	1276	AUTUMN		ɕərət̪kaːla	ɕ ə r ə t̪ k aː l a
1772	17923	northeuralex-mal	mala1464		autumn	1276	AUTUMN		ɕaɾʲat̪kaːlam	ɕ a ɾʲ a t̪ k aː l a m
1802	17953	northeuralex-tam	tami1289		autumn	1276	AUTUMN		ilʌijuðiɾ_kɑːlʌm	i l ʌ i j u ð i ɾ + k ɑː l ʌ m
1804	17955	northeuralex-tel	telu1262		autumn	1276	AUTUMN		aːkuraːlukaːlʌmu	aː k u r aː l u k aː l ʌ m u
4152	20303	northeuralex-kan	nucl1305		back	1291	BACK		bɛn̪ːu	b ɛ n̪ː u
4169	20320	northeuralex-mal	mala1464		back	1291	BACK		mudʰuɡɨ̆	m u dʰ u g ɨ
4202	20353	northeuralex-tam	tami1289		back	1291	BACK		muðuku	m u ð u k u
4204	20355	northeuralex-tel	telu1262		back	1291	BACK		ʋen̪ːu	ʋ e n̪ː u
4472	20623	northeuralex-kan	nucl1305		backdirection	2910	BACK (DIRECTION)		hɪŋd̪əkːe	h ɪ ŋ d̪ ə kː e
4489	20640	northeuralex-mal	mala1464		backdirection	2910	BACK (DIRECTION)		puraɡileːkːɨ̆	p u r a g i l eː kː ɨ
4526	20677	northeuralex-tam	tami1289		backdirection	2910	BACK (DIRECTION)		pinbʌkːʌm	p i n b ʌ kː ʌ m
4528	20679	northeuralex-tel	telu1262		backdirection	2910	BACK (DIRECTION)		ʋen̪ukʌbʰaːɡʌmu	ʋ e n̪ u k ʌ bʰ aː g ʌ m u
4621	20772	northeuralex-kan	nucl1305		backward	2911	BACKWARD		hɪŋd̪ʊɡəɖɛɡe	h ɪ ŋ d̪ ʊ g ə ɖ ɛ g e
4640	20791	northeuralex-mal	mala1464		backward	2911	BACKWARD		t̪aladʰiɾʲit͡ʃːɨ̆	t̪ a l a dʰ i ɾʲ i tʃː ɨ
4669	20820	northeuralex-tam	tami1289		backward	2911	BACKWARD		pinːoːkːi	p i nː oː kː i
4671	20822	northeuralex-tel	telu1262		backward	2911	BACKWARD		ʋen̪ukʌku	ʋ e n̪ u k ʌ k u
5285	21436	northeuralex-kan	nucl1305		bad	1292	BAD		d̪ʊʂʈa	d̪ ʊ ʂ ʈ a
5304	21455	northeuralex-mal	mala1464		bad	1292	BAD		moːɕamaːja	m oː ɕ a m aː j a
5345	21496	northeuralex-tam	tami1289		bad	1292	BAD		keʈːʌ	k e ʈː ʌ
5347	21498	northeuralex-tel	telu1262		bad	1292	BAD		t͡ɕeɖːʌ	tɕ e ɖː ʌ
5823	21974	northeuralex-kan	nucl1305		badluck	56	BAD LUCK		əpaːja	ə p aː j a
5848	21999	northeuralex-mal	mala1464		badluck	56	BAD LUCK		d̪auɾʲbʰaːɡjam	d̪ a u ɾʲ bʰ aː g j a m
5883	22034	northeuralex-tam	tami1289		badluck	56	BAD LUCK		iɖʌijuːru	i ɖ ʌ i j uː r u
