	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3945	20096	johanssonsoundsymbolic-Moskona	mosk1236		back	1291	BACK		edʒmeg	e dʒ m e g
5063	21214	johanssonsoundsymbolic-Moskona	mosk1236		bad	1292	BAD		oskur	o s k u r
8898	25049	johanssonsoundsymbolic-Moskona	mosk1236		bark	1204	BARK		merga_owos	m e r g a + o w o s
13039	29190	johanssonsoundsymbolic-Moskona	mosk1236		bealive	1422	BE ALIVE		ebah	e b a h
22939	39090	johanssonsoundsymbolic-Moskona	mosk1236		belly	1251	BELLY		odogeg	o d o g e g
27982	44133	johanssonsoundsymbolic-Moskona	mosk1236		big	1202	BIG		oroketʃ	o r o k e tʃ
32715	48866	johanssonsoundsymbolic-Moskona	mosk1236		bite	1403	BITE		oɸ	o ɸ
35329	51480	johanssonsoundsymbolic-Moskona	mosk1236		black	163	BLACK		ahta	a h t a
38742	54893	johanssonsoundsymbolic-Moskona	mosk1236		blood	946	BLOOD		oɸuga	o ɸ u g a
40955	57106	johanssonsoundsymbolic-Moskona	mosk1236		blowofwind	175	BLOW (OF WIND)		oɸ	o ɸ
43133	59284	johanssonsoundsymbolic-Moskona	mosk1236		blunt	379	BLUNT		oɸodʒ	o ɸ o dʒ
46969	63120	johanssonsoundsymbolic-Moskona	mosk1236		bone	1394	BONE		oɸorna	o ɸ o r n a
58974	75127	johanssonsoundsymbolic-Moskona	mosk1236		breathe	1407	BREATHE		oh_eɸena	o h + e ɸ e n a
91662	107815	johanssonsoundsymbolic-Moskona	mosk1236		cloud	1489	CLOUD		motʃkedʒ	m o tʃ k e dʒ
98908	115061	johanssonsoundsymbolic-Moskona	mosk1236		come	1446	COME		en	e n
104944	121097	johanssonsoundsymbolic-Moskona	mosk1236		correctright	1725	CORRECT (RIGHT)		detʃir	d e tʃ i r
121849	138004	johanssonsoundsymbolic-Moskona	mosk1236		daynotnight	1225	DAY (NOT NIGHT)		mona	m o n a
127131	143286	johanssonsoundsymbolic-Moskona	mosk1236		die	1494	DIE		ogos	o g o s
131768	147923	johanssonsoundsymbolic-Moskona	mosk1236		dirty	1230	DIRTY		ahtuka	a h t u k a
135680	151835	johanssonsoundsymbolic-Moskona	mosk1236		dog	2009	DOG		mes	m e s
142148	158303	johanssonsoundsymbolic-Moskona	mosk1236		drink	1401	DRINK		et	e t
145785	161940	johanssonsoundsymbolic-Moskona	mosk1236		dry	1398	DRY		aharga	a h a r g a
148762	164917	johanssonsoundsymbolic-Moskona	mosk1236		dust	2	DUST		mow_oɸuj	m o w + o ɸ u j
151226	167381	johanssonsoundsymbolic-Moskona	mosk1236		ear	1247	EAR		osuj	o s u j
154144	170299	johanssonsoundsymbolic-Moskona	mosk1236		earthsoil	1228	EARTH (SOIL)		mow	m o w
156748	172903	johanssonsoundsymbolic-Moskona	mosk1236		eat	1336	EAT		et	e t
159056	175214	johanssonsoundsymbolic-Moskona	mosk1236		egg	744	EGG		mem_oɸuj	m e m + o ɸ u j
169629	185787	johanssonsoundsymbolic-Moskona	mosk1236		eye	1248	EYE		etejdʒa	e t e j dʒ a
173632	189791	johanssonsoundsymbolic-Moskona	mosk1236		fall	1280	FALL		esir	e s i r
175902	192061	johanssonsoundsymbolic-Moskona	mosk1236		far	1406	FAR		esen	e s e n
182108	198268	johanssonsoundsymbolic-Moskona	mosk1236		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ewes	e w e s
184951	201111	johanssonsoundsymbolic-Moskona	mosk1236		feather	1201	FEATHER		eɸedʒa	e ɸ e dʒ a
189984	222637	johanssonsoundsymbolic-Moskona	mosk1236		flower	239	FLOWER		marowok	m a r o w o k
192903	225556	johanssonsoundsymbolic-Moskona	mosk1236		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		mudag	m u d a g
196226	228879	johanssonsoundsymbolic-Moskona	mosk1236		foot	1301	FOOT		oko	o k o
202559	235212	johanssonsoundsymbolic-Moskona	mosk1236		four	1500	FOUR		tagur	t a g u r
220786	253442	johanssonsoundsymbolic-Moskona	mosk1236		good	1035	GOOD		ojɸa	o j ɸ a
226224	258880	johanssonsoundsymbolic-Moskona	mosk1236		grass	606	GRASS		mareɸen	m a r e ɸ e n
228574	261230	johanssonsoundsymbolic-Moskona	mosk1236		green	1425	GREEN		oɸraha	o ɸ r a h a
234587	267243	johanssonsoundsymbolic-Moskona	mosk1236		hair	1040	HAIR		eɸedʒa	e ɸ e dʒ a
238429	271085	johanssonsoundsymbolic-Moskona	mosk1236		hand	1277	HAND		etma	e t m a
243983	276640	johanssonsoundsymbolic-Moskona	mosk1236		head	1256	HEAD		ebir	e b i r
246922	279579	johanssonsoundsymbolic-Moskona	mosk1236		hear	1408	HEAR		eg	e g
248511	281168	johanssonsoundsymbolic-Moskona	mosk1236		heart	1223	HEART		eɸembedʒ	e ɸ e m b e dʒ
250681	283338	johanssonsoundsymbolic-Moskona	mosk1236		heavy	1210	HEAVY		okum	o k u m
254508	287167	johanssonsoundsymbolic-Moskona	mosk1236		here	136	HERE		dʒigkeɸ	dʒ i g k e ɸ
258761	291421	johanssonsoundsymbolic-Moskona	mosk1236		hit	1433	HIT		odʒok	o dʒ o k
268890	301550	johanssonsoundsymbolic-Moskona	mosk1236		how	1239	HOW		tineɸa	t i n e ɸ a
274734	307394	johanssonsoundsymbolic-Moskona	mosk1236		i	1209	I		diɸ	d i ɸ
278067	310727	johanssonsoundsymbolic-Moskona	mosk1236		in	1460	IN		gidʒ	g i dʒ
287577	320237	johanssonsoundsymbolic-Moskona	mosk1236		kill	1417	KILL		ogow	o g o w
299057	331717	johanssonsoundsymbolic-Moskona	mosk1236		laugh	1355	LAUGH		otut	o t u t
302215	334875	johanssonsoundsymbolic-Moskona	mosk1236		leaf	628	LEAF		eɸi	e ɸ i
305321	337981	johanssonsoundsymbolic-Moskona	mosk1236		left	244	LEFT		erga	e r g a
316979	349639	johanssonsoundsymbolic-Moskona	mosk1236		liver	1224	LIVER		oɸordor	o ɸ o r d o r
319873	352533	johanssonsoundsymbolic-Moskona	mosk1236		long	1203	LONG		eges	e g e s
323516	356176	johanssonsoundsymbolic-Moskona	mosk1236		louse	1392	LOUSE		medʒ	m e dʒ
332311	364972	johanssonsoundsymbolic-Moskona	mosk1236		many	1198	MANY		edeses	e d e s e s
350953	383617	johanssonsoundsymbolic-Moskona	mosk1236		mountain	639	MOUNTAIN		memega	m e m e g a
353467	386131	johanssonsoundsymbolic-Moskona	mosk1236		mouth	674	MOUTH		ohatʃ	o h a tʃ
358485	391149	johanssonsoundsymbolic-Moskona	mosk1236		name	1405	NAME		owoka	o w o k a
360381	393047	johanssonsoundsymbolic-Moskona	mosk1236		narrow	1267	NARROW		okutʃka	o k u tʃ k a
363031	395697	johanssonsoundsymbolic-Moskona	mosk1236		near	1942	NEAR		eɸ	e ɸ
364770	397437	johanssonsoundsymbolic-Moskona	mosk1236		neck	1333	NECK		ogodʒ	o g o dʒ
368826	401493	johanssonsoundsymbolic-Moskona	mosk1236		new	1231	NEW		eɸena	e ɸ e n a
371608	404275	johanssonsoundsymbolic-Moskona	mosk1236		night	1233	NIGHT		mot	m o t
377426	410093	johanssonsoundsymbolic-Moskona	mosk1236		nose	1221	NOSE		osum	o s u m
379017	411684	johanssonsoundsymbolic-Moskona	mosk1236		not	1240	NOT		era	e r a
389723	422390	johanssonsoundsymbolic-Moskona	mosk1236		one	1493	ONE		erges	e r g e s
393746	426413	johanssonsoundsymbolic-Moskona	mosk1236		other	197	OTHER		susuj	s u s u j
406242	438909	johanssonsoundsymbolic-Moskona	mosk1236		person	683	PERSON		osnok	o s n o k
432511	465179	johanssonsoundsymbolic-Moskona	mosk1236		red	156	RED		ekena	e k e n a
438266	470934	johanssonsoundsymbolic-Moskona	mosk1236		right	1019	RIGHT		orodʒudʒ	o r o dʒ u dʒ
440768	473436	johanssonsoundsymbolic-Moskona	mosk1236		river	666	RIVER		mij	m i j
444455	477124	johanssonsoundsymbolic-Moskona	mosk1236		root	670	ROOT		oɸom	o ɸ o m
446352	479021	johanssonsoundsymbolic-Moskona	mosk1236		rope	1218	ROPE		moɸun	m o ɸ u n
447999	480668	johanssonsoundsymbolic-Moskona	mosk1236		rotten	1728	ROTTEN		emba	e m b a
456413	489082	johanssonsoundsymbolic-Moskona	mosk1236		sand	671	SAND		mebsta	m e b s t a
459379	492048	johanssonsoundsymbolic-Moskona	mosk1236		say	1458	SAY		ohot	o h o t
463203	495872	johanssonsoundsymbolic-Moskona	mosk1236		sea	1474	SEA		mij_modʒum	m i j + m o dʒ u m
465125	497795	johanssonsoundsymbolic-Moskona	mosk1236		see	1409	SEE		ek	e k
466686	499356	johanssonsoundsymbolic-Moskona	mosk1236		seed	714	SEED		eɸedʒ	e ɸ e dʒ
474984	507655	johanssonsoundsymbolic-Moskona	mosk1236		sharp	1396	SHARP		eɸietka	e ɸ i e t k a
481584	514256	johanssonsoundsymbolic-Moskona	mosk1236		short	1645	SHORT		etkebra	e t k e b r a
490572	523244	johanssonsoundsymbolic-Moskona	mosk1236		sit	1416	SIT		eker	e k e r
497133	529805	johanssonsoundsymbolic-Moskona	mosk1236		sky	1732	SKY		mejbaga	m e j b a g a
499322	531994	johanssonsoundsymbolic-Moskona	mosk1236		sleep	1585	SLEEP		ah_dʒig	a h + dʒ i g
502906	535580	johanssonsoundsymbolic-Moskona	mosk1236		small	1246	SMALL		oskaj	o s k a j
507228	539904	johanssonsoundsymbolic-Moskona	mosk1236		smokeexhaust	778	SMOKE (EXHAUST)		merah_oɸog	m e r a h + o ɸ o g
508685	541361	johanssonsoundsymbolic-Moskona	mosk1236		smooth	1234	SMOOTH		oworsa	o w o r s a
514145	546821	johanssonsoundsymbolic-Moskona	mosk1236		some	1241	SOME		enia	e n i a
524211	556887	johanssonsoundsymbolic-Moskona	mosk1236		spit	1440	SPIT		osroɸ	o s r o ɸ
530105	562781	johanssonsoundsymbolic-Moskona	mosk1236		stand	1442	STAND		ot	o t
532363	565039	johanssonsoundsymbolic-Moskona	mosk1236		star	1430	STAR		motur	m o t u r
538906	571583	johanssonsoundsymbolic-Moskona	mosk1236		stone	857	STONE		mogoma	m o g o m a
541312	573989	johanssonsoundsymbolic-Moskona	mosk1236		straight	1404	STRAIGHT		ohurka	o h u r k a
546297	578974	johanssonsoundsymbolic-Moskona	mosk1236		suck	1421	SUCK		esta	e s t a
548292	580969	johanssonsoundsymbolic-Moskona	mosk1236		sun	1343	SUN		maw	m a w
555320	587997	johanssonsoundsymbolic-Moskona	mosk1236		swim	1439	SWIM		ahmij	a h m i j
557779	590456	johanssonsoundsymbolic-Moskona	mosk1236		tail	1220	TAIL		orega	o r e g a
567166	599845	johanssonsoundsymbolic-Moskona	mosk1236		that	78	THAT		noma	n o m a
569245	601924	johanssonsoundsymbolic-Moskona	mosk1236		there	1937	THERE		ma	m a
570718	603397	johanssonsoundsymbolic-Moskona	mosk1236		they	817	THEY		eri	e r i
572128	604807	johanssonsoundsymbolic-Moskona	mosk1236		thick	1244	THICK		oɸusum	o ɸ u s u m
573533	606212	johanssonsoundsymbolic-Moskona	mosk1236		thin	2308	THIN		ahabnuk	a h a b n u k
574958	607637	johanssonsoundsymbolic-Moskona	mosk1236		think	2271	THINK		orusohta	o r u s o h t a
578254	610933	johanssonsoundsymbolic-Moskona	mosk1236		this	1214	THIS		noka	n o k a
580448	613131	johanssonsoundsymbolic-Moskona	mosk1236		thou	1215	THOU		bua	b u a
583220	615905	johanssonsoundsymbolic-Moskona	mosk1236		three	492	THREE		ergom	e r g o m
589244	621931	johanssonsoundsymbolic-Moskona	mosk1236		tie	1917	TIE		ahatʃ	a h a tʃ
596343	629030	johanssonsoundsymbolic-Moskona	mosk1236		tongue	1205	TONGUE		ornodʒ	o r n o dʒ
598522	631209	johanssonsoundsymbolic-Moskona	mosk1236		tooth	1380	TOOTH		oɸon	o ɸ o n
602923	635610	johanssonsoundsymbolic-Moskona	mosk1236		tree	906	TREE		merga	m e r g a
611431	644118	johanssonsoundsymbolic-Moskona	mosk1236		two	1498	TWO		ergak	e r g a k
621310	653998	johanssonsoundsymbolic-Moskona	mosk1236		vomit	1278	VOMIT		ahamow	a h a m o w
624922	677583	johanssonsoundsymbolic-Moskona	mosk1236		where	1237	WHERE		hadeɸa	h a d e ɸ a
627279	679940	johanssonsoundsymbolic-Moskona	mosk1236		white	1335	WHITE		eɸsa	e ɸ s a
629745	682498	johanssonsoundsymbolic-Moskona	mosk1236		who	1235	WHO		ida	i d a
631505	684259	johanssonsoundsymbolic-Moskona	mosk1236		wide	1243	WIDE		otoh	o t o h
635115	687869	johanssonsoundsymbolic-Moskona	mosk1236		wind	960	WIND		maɸiɸ	m a ɸ i ɸ
637239	689993	johanssonsoundsymbolic-Moskona	mosk1236		wing	1257	WING		eɸembra	e ɸ e m b r a
640128	692883	johanssonsoundsymbolic-Moskona	mosk1236		woman	962	WOMAN		edʒena	e dʒ e n a
647871	700626	johanssonsoundsymbolic-Moskona	mosk1236		year	1226	YEAR		merahajsa	m e r a h a j s a
651745	705585	johanssonsoundsymbolic-Moskona	mosk1236		you	1213	YOU		jua	j u a
