	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5079	21230	johanssonsoundsymbolic-Odoodee	odoo1238		bad	1292	BAD		tɔkɛne	t ɔ k ɛ n e
8077	24228	transnewguineaorg-fembe	femb1238		banana	868	BANANA		ɛ	ɛ
8132	24283	transnewguineaorg-kubo	kubo1242		banana	868	BANANA		e:	eː
8195	24346	transnewguineaorg-samo	samo1303		banana	868	BANANA		ebe	e b e
9334	25485	transnewguineaorg-fembe	femb1238		bark	1204	BARK		biya_kɔlɔ	b i j a + k ɔ l ɔ
9335	25486	transnewguineaorg-fembe	femb1238		bark	1204	BARK		habegolo	h a b e g o l o
9362	25513	transnewguineaorg-kubo	kubo1242		bark	1204	BARK		biyo	b i j o
9363	25514	transnewguineaorg-kubo	kubo1242		bark	1204	BARK		biɔ	b i ɔ
9386	25537	transnewguineaorg-samo	samo1303		bark	1204	BARK		bisigobu	b i s i g o b u
9387	25538	transnewguineaorg-samo	samo1303		bark	1204	BARK		bisigɔbu	b i s i g ɔ b u
13055	29206	johanssonsoundsymbolic-Odoodee	odoo1238		bealive	1422	BE ALIVE		giɛ	g i ɛ
15793	31944	johanssonsoundsymbolic-Odoodee	odoo1238		beautiful	1427	BEAUTIFUL		tɛkɛɸɔ	t ɛ k ɛ ɸ ɔ
16361	32512	johanssonsoundsymbolic-Odoodee	odoo1238		because	1157	BECAUSE		bɛi	b ɛ i
19298	35449	johanssonsoundsymbolic-Odoodee	odoo1238		before	1882	BEFORE		dɑgɑ	d ɑ g ɑ
22956	39107	johanssonsoundsymbolic-Odoodee	odoo1238		belly	1251	BELLY		gɛmɛdɛi	g ɛ m ɛ d ɛ i
23601	39752	transnewguineaorg-fembe	femb1238		belly	1251	BELLY		sasime	s a s i m e
23602	39753	transnewguineaorg-fembe	femb1238		belly	1251	BELLY		sasimi	s a s i m i
23615	39766	transnewguineaorg-gobasi-bibo	goba1246		belly	1251	BELLY		sas	s a s
23657	39808	transnewguineaorg-kubo	kubo1242		belly	1251	BELLY		gosiyo	g o s i j o
23658	39809	transnewguineaorg-kubo	kubo1242		belly	1251	BELLY		gɔsiɔ	g ɔ s i ɔ
23732	39883	transnewguineaorg-samo	samo1303		belly	1251	BELLY		sasi	s a s i
23733	39884	transnewguineaorg-samo	samo1303		belly	1251	BELLY		sasi	s a s i
24591	40742	johanssonsoundsymbolic-Odoodee	odoo1238		beloworunder	1485	BELOW OR UNDER		hɛmidu	h ɛ m i d u
25797	41948	johanssonsoundsymbolic-Odoodee	odoo1238		beside	1816	BESIDE		dɔkɔlɔ	d ɔ k ɔ l ɔ
27999	44150	johanssonsoundsymbolic-Odoodee	odoo1238		big	1202	BIG		towɑ	t o w ɑ
28788	44939	transnewguineaorg-fembe	femb1238		big	1202	BIG		kaudakũ	k a u d a k ũ
28789	44940	transnewguineaorg-fembe	femb1238		big	1202	BIG		kouda	k o u d a
28802	44953	transnewguineaorg-gobasi-bibo	goba1246		big	1202	BIG		gau	g a u
28853	45004	transnewguineaorg-kubo	kubo1242		big	1202	BIG		kau	k a u
28854	45005	transnewguineaorg-kubo	kubo1242		big	1202	BIG		kau	k a u
28937	45088	transnewguineaorg-samo	samo1303		big	1202	BIG		kau	k a u
28938	45089	transnewguineaorg-samo	samo1303		big	1202	BIG		kau	k a u
30376	46527	johanssonsoundsymbolic-Odoodee	odoo1238		bird	937	BIRD		sɔ	s ɔ
31133	47284	transnewguineaorg-fembe	femb1238		bird	937	BIRD		siyɔ	s i j ɔ
31134	47285	transnewguineaorg-fembe	femb1238		bird	937	BIRD		siu	s i u
31147	47298	transnewguineaorg-gobasi-bibo	goba1246		bird	937	BIRD		sigo	s i g o
31198	47349	transnewguineaorg-kubo	kubo1242		bird	937	BIRD		siyu	s i j u
31199	47350	transnewguineaorg-kubo	kubo1242		bird	937	BIRD		siu	s i u
31288	47439	transnewguineaorg-samo	samo1303		bird	937	BIRD		sigo	s i g o
31289	47440	transnewguineaorg-samo	samo1303		bird	937	BIRD		sigɔ	s i g ɔ
32732	48883	johanssonsoundsymbolic-Odoodee	odoo1238		bite	1403	BITE		ɸɛ	ɸ ɛ
33259	49410	transnewguineaorg-fembe	femb1238		bite	1403	BITE		geyau	g e j a u
33260	49411	transnewguineaorg-fembe	femb1238		bite	1403	BITE		bofan	b o f a n
33275	49426	transnewguineaorg-gobasi-bibo	goba1246		bite	1403	BITE		gala	g a l a
33321	49472	transnewguineaorg-kubo	kubo1242		bite	1403	BITE		gaaiyo	g aː i j o
33322	49473	transnewguineaorg-kubo	kubo1242		bite	1403	BITE		ga:iɔ	g aː i ɔ
