	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4109	20260	northeuralex-ale	aleu1260		back	1291	BACK		at͡ʃix	a tʃ i x
4134	20285	northeuralex-ess	cent2128		back	1291	BACK		xata	x a t a
4151	20302	northeuralex-kal	kala1399		back	1291	BACK		qimɛʁlut	q i m ɛ ʁ l u t
5076	21227	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bad	1292	BAD		piʎuk	p i ʎ u k
5236	21387	northeuralex-ale	aleu1260		bad	1292	BAD		eʁɑmɛnɛlɛkan	e ʁ ɑ m ɛ n ɛ l ɛ k a n
5284	21435	northeuralex-kal	kala1399		bad	1292	BAD		sualupːɔq	s u a l u pː ɔ q
8910	25061	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bark	1204	BARK		amiʁaq	a m i ʁ a q
9102	25253	northeuralex-ale	aleu1260		bark	1204	BARK		qɑt͡ʃχ	q ɑ tʃ χ
9127	25278	northeuralex-ess	cent2128		bark	1204	BARK		qajɣu	q a j ɣ u
9147	25298	northeuralex-kal	kala1399		bark	1204	BARK		amɛʁaq	a m ɛ ʁ a q
13052	29203	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bealive	1422	BE ALIVE		iɲuu	i ɲ uː
13195	29346	northeuralex-ale	aleu1260		bealive	1422	BE ALIVE		aŋ́ɑʁelix	a ŋ ɑ ʁ e l i x
13196	29347	northeuralex-ale	aleu1260		bealive	1422	BE ALIVE		aŋ́ɑʁelix	a ŋ ɑ ʁ e l i x
13244	29395	northeuralex-ess	cent2128		bealive	1422	BE ALIVE		uŋɡ̥uvalɣi	u ŋ g̊ u v a l ɣ i
13245	29396	northeuralex-ess	cent2128		bealive	1422	BE ALIVE		papʃaŋɡ̥ilŋɡ̥uq	p a p ʃ a ŋ g̊ i l ŋ g̊ u q
13275	29426	northeuralex-kal	kala1399		bealive	1422	BE ALIVE		uːmavɔq	uː m a v ɔ q
13276	29427	northeuralex-kal	kala1399		bealive	1422	BE ALIVE		inuːvɔq	i n uː v ɔ q
16358	32509	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		because	1157	BECAUSE		atakkii	a t a kː iː
22953	39104	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		belly	1251	BELLY		aqiaʁuq	a q i a ʁ u q
23117	39268	northeuralex-ale	aleu1260		belly	1251	BELLY		ilidɑχ	i l i d ɑ χ
23141	39292	northeuralex-ess	cent2128		belly	1251	BELLY		aqsja	a q s j a
23158	39309	northeuralex-kal	kala1399		belly	1251	BELLY		naːq	n aː q
25607	41758	northeuralex-ale	aleu1260		berry	904	BERRY		qɑːjoχ	q ɑː j o χ
25629	41780	northeuralex-ess	cent2128		berry	904	BERRY		paɡunɣaq	p a g u n ɣ a q
25646	41797	northeuralex-kal	kala1399		berry	904	BERRY		paːʁmaq	p aː ʁ m a q
25647	41798	northeuralex-kal	kala1399		berry	904	BERRY		paːɴɣaq	p aː ɴ ɣ a q
27996	44147	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		big	1202	BIG		aŋi	a ŋ i
28267	44418	northeuralex-ale	aleu1260		big	1202	BIG		aŋunɛlix	a ŋ u n ɛ l i x
28292	44443	northeuralex-ess	cent2128		big	1202	BIG		aŋɡ̥ɨlɣi	a ŋ g̊ ɨ l ɣ i
28309	44460	northeuralex-kal	kala1399		big	1202	BIG		aŋivɔq	a ŋ i v ɔ q
30374	46525	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bird	937	BIRD		tiŋmiaq	t i ŋ m i a q
30604	46755	northeuralex-ale	aleu1260		bird	937	BIRD		sɑχ	s ɑ χ
30632	46783	northeuralex-ess	cent2128		bird	937	BIRD		qaǔak	q a u a k
30648	46799	northeuralex-kal	kala1399		bird	937	BIRD		t͡simːiaq	ts i mː i a q
32729	48880	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bite	1403	BITE		kii	k iː
32940	49091	northeuralex-ale	aleu1260		bite	1403	BITE		kixsix	k i x s i x
32970	49121	northeuralex-ess	cent2128		bite	1403	BITE		amqɨχquɣaqa	a m q ɨ χ q u ɣ a q a
32971	49122	northeuralex-ess	cent2128		bite	1403	BITE		amqɨχquɣaquq	a m q ɨ χ q u ɣ a q u q
32988	49139	northeuralex-kal	kala1399		bite	1403	BITE		kiːvaː	k iː v aː
35343	51494	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		black	163	BLACK		maŋaq	m a ŋ a q
35567	51718	northeuralex-ale	aleu1260		black	163	BLACK		qɑxt͡ʃikdɛlix	q ɑ x tʃ i k d ɛ l i x
35592	51743	northeuralex-ess	cent2128		black	163	BLACK		taɡnɨlɣi	t a g n ɨ l ɣ i
35608	51759	northeuralex-kal	kala1399		black	163	BLACK		qɛɴɛʁpɔq	q ɛ ɴ ɛ ʁ p ɔ q
38756	54907	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		blood	946	BLOOD		auk	a u k
38981	55132	northeuralex-ale	aleu1260		blood	946	BLOOD		ɛːmɛx	ɛː m ɛ x
39006	55157	northeuralex-ess	cent2128		blood	946	BLOOD		aǔk	a u k
39022	55173	northeuralex-kal	kala1399		blood	946	BLOOD		aːk	aː k
40967	57118	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		blowofwind	175	BLOW (OF WIND)		suvluaq	s u v l u a q
41128	57279	northeuralex-ale	aleu1260		blowofwind	175	BLOW (OF WIND)		slɛlix	s l ɛ l i x
41169	57320	northeuralex-kal	kala1399		blowofwind	175	BLOW (OF WIND)		t͡simːivɔq	ts i mː i v ɔ q
43144	59295	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		blunt	379	BLUNT		ipkiʎaq	i p k i ʎ a q
43259	59410	northeuralex-ale	aleu1260		blunt	379	BLUNT		qet͡ʃɑʁlɛkan	q e tʃ ɑ ʁ l ɛ k a n
43289	59440	northeuralex-ess	cent2128		blunt	379	BLUNT		ipxilŋɡ̥uχ	i p x i l ŋ g̊ u χ
43306	59457	northeuralex-kal	kala1399		blunt	379	BLUNT		aŋːɛʁpɔq	a ŋː ɛ ʁ p ɔ q
46980	63131	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		bone	1394	BONE		sauniq	s a u n i q
47204	63355	northeuralex-ale	aleu1260		bone	1394	BONE		qɑɡnɑχ	q ɑ g n ɑ χ
47243	63394	northeuralex-kal	kala1399		bone	1394	BONE		saːnikut	s aː n i k u t
58984	75137	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		breathe	1407	BREATHE		aniqsaaq	a n i q s aː q
59103	75256	northeuralex-ale	aleu1260		breathe	1407	BREATHE		aŋ́idɛlix	a ŋ i d ɛ l i x
59143	75296	northeuralex-kal	kala1399		breathe	1407	BREATHE		anɛʁsaːʁpɔq	a n ɛ ʁ s aː ʁ p ɔ q
65186	81339	northeuralex-ale	aleu1260		burning	1428	BURNING		hixsix	h i x s i x
65210	81363	northeuralex-ess	cent2128		burning	1428	BURNING		panɣaquq	p a n ɣ a q u q
65227	81380	northeuralex-kal	kala1399		burning	1428	BURNING		sɛːʁpɔq	s ɛː ʁ p ɔ q
65228	81381	northeuralex-kal	kala1399		burning	1428	BURNING		uːpːaː	uː pː aː
83674	99827	northeuralex-ale	aleu1260		childyounghuman	1304	CHILD (YOUNG HUMAN)		aneqdoχ	a n e q d o χ
83699	99852	northeuralex-ess	cent2128		childyounghuman	1304	CHILD (YOUNG HUMAN)		taɣnuχaq	t a ɣ n u χ a q
83719	99872	northeuralex-kal	kala1399		childyounghuman	1304	CHILD (YOUNG HUMAN)		mɛːʁaq	m ɛː ʁ a q
91674	107827	johanssonsoundsymbolic-NorthAlaskanInupiatun	nort2943		cloud	1489	CLOUD		nuvija	n u v i j a
