	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
12989	29140	johanssonsoundsymbolic-Fur	furr1244		bealive	1422	BE ALIVE		salla	s a lː a
22883	39034	johanssonsoundsymbolic-Fur	furr1244		belly	1251	BELLY		diito	d iː t o
27924	44075	johanssonsoundsymbolic-Fur	furr1244		big	1202	BIG		appa	a pː a
35275	51426	johanssonsoundsymbolic-Fur	furr1244		black	163	BLACK		dikko	d i kː o
38685	54836	johanssonsoundsymbolic-Fur	furr1244		blood	946	BLOOD		kwa	k w a
40907	57058	johanssonsoundsymbolic-Fur	furr1244		blowofwind	175	BLOW (OF WIND)		fu	f u
91614	107767	johanssonsoundsymbolic-Fur	furr1244		cloud	1489	CLOUD		kutu	k u t u
98853	115006	johanssonsoundsymbolic-Fur	furr1244		come	1446	COME		el	e l
121800	137955	johanssonsoundsymbolic-Fur	furr1244		daynotnight	1225	DAY (NOT NIGHT)		joom	j oː m
131727	147882	johanssonsoundsymbolic-Fur	furr1244		dirty	1230	DIRTY		rubba	r u bː a
135625	151780	johanssonsoundsymbolic-Fur	furr1244		dog	2009	DOG		asa	a s a
142093	158248	johanssonsoundsymbolic-Fur	furr1244		drink	1401	DRINK		ab	a b
145733	161888	johanssonsoundsymbolic-Fur	furr1244		dry	1398	DRY		futtoŋa	f u tː o ŋ a
151168	167323	johanssonsoundsymbolic-Fur	furr1244		ear	1247	EAR		dilo	d i l o
169573	185731	johanssonsoundsymbolic-Fur	furr1244		eye	1248	EYE		kuŋi	k u ŋ i
173576	189735	johanssonsoundsymbolic-Fur	furr1244		fall	1280	FALL		fo	f o
175847	192006	johanssonsoundsymbolic-Fur	furr1244		far	1406	FAR		karra	k a rː a
182062	198222	johanssonsoundsymbolic-Fur	furr1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		booro	b oː r o
184900	201060	johanssonsoundsymbolic-Fur	furr1244		feather	1201	FEATHER		kansa	k a n s a
189932	222585	johanssonsoundsymbolic-Fur	furr1244		flower	239	FLOWER		hi	h i
196172	228825	johanssonsoundsymbolic-Fur	furr1244		foot	1301	FOOT		taar	t aː r
202507	235160	johanssonsoundsymbolic-Fur	furr1244		four	1500	FOUR		oŋal	o ŋ a l
228528	261184	johanssonsoundsymbolic-Fur	furr1244		green	1425	GREEN		kirro	k i rː o
234532	267188	johanssonsoundsymbolic-Fur	furr1244		hair	1040	HAIR		ɲiilu	ɲ iː l u
238371	271027	johanssonsoundsymbolic-Fur	furr1244		hand	1277	HAND		doŋa	d o ŋ a
243927	276584	johanssonsoundsymbolic-Fur	furr1244		head	1256	HEAD		tabu	t a b u
248457	281114	johanssonsoundsymbolic-Fur	furr1244		heart	1223	HEART		killma	k i lː m a
250625	283282	johanssonsoundsymbolic-Fur	furr1244		heavy	1210	HEAVY		dirro	d i rː o
258704	291364	johanssonsoundsymbolic-Fur	furr1244		hit	1433	HIT		lat	l a t
274679	307339	johanssonsoundsymbolic-Fur	furr1244		i	1209	I		ka	k a
287524	320184	johanssonsoundsymbolic-Fur	furr1244		kill	1417	KILL		fu	f u
299006	331666	johanssonsoundsymbolic-Fur	furr1244		laugh	1355	LAUGH		la	l a
302161	334821	johanssonsoundsymbolic-Fur	furr1244		leaf	628	LEAF		kalma	k a l m a
319824	352484	johanssonsoundsymbolic-Fur	furr1244		long	1203	LONG		kurra	k u rː a
323470	356130	johanssonsoundsymbolic-Fur	furr1244		louse	1392	LOUSE		kina	k i n a
332258	364919	johanssonsoundsymbolic-Fur	furr1244		many	1198	MANY		soŋŋa	s o ŋː a
350904	383568	johanssonsoundsymbolic-Fur	furr1244		mountain	639	MOUNTAIN		fugo	f u g o
353411	386075	johanssonsoundsymbolic-Fur	furr1244		mouth	674	MOUTH		uto	u t o
358431	391095	johanssonsoundsymbolic-Fur	furr1244		name	1405	NAME		kona	k o n a
360344	393010	johanssonsoundsymbolic-Fur	furr1244		narrow	1267	NARROW		makke	m a kː e
362981	395647	johanssonsoundsymbolic-Fur	furr1244		near	1942	NEAR		dakke	d a kː e
368777	401444	johanssonsoundsymbolic-Fur	furr1244		new	1231	NEW		diwwo	d i wː o
377370	410037	johanssonsoundsymbolic-Fur	furr1244		nose	1221	NOSE		kormi	k o r m i
389665	422332	johanssonsoundsymbolic-Fur	furr1244		one	1493	ONE		diik	d iː k
432459	465127	johanssonsoundsymbolic-Fur	furr1244		red	156	RED		fukka	f u kː a
440716	473384	johanssonsoundsymbolic-Fur	furr1244		river	666	RIVER		roo	r oː
444411	477080	johanssonsoundsymbolic-Fur	furr1244		root	670	ROOT		diiŋ	d iː ŋ
447956	480625	johanssonsoundsymbolic-Fur	furr1244		rotten	1728	ROTTEN		tissa	t i sː a
456361	489030	johanssonsoundsymbolic-Fur	furr1244		sand	671	SAND		ŋaaɲ	ŋ aː ɲ
459327	491996	johanssonsoundsymbolic-Fur	furr1244		say	1458	SAY		bel	b e l
465073	497743	johanssonsoundsymbolic-Fur	furr1244		see	1409	SEE		la	l a
466646	499316	johanssonsoundsymbolic-Fur	furr1244		seed	714	SEED		kola	k o l a
474945	507616	johanssonsoundsymbolic-Fur	furr1244		sharp	1396	SHARP		sikka	s i kː a
481539	514211	johanssonsoundsymbolic-Fur	furr1244		short	1645	SHORT		butte	b u tː e
490517	523189	johanssonsoundsymbolic-Fur	furr1244		sit	1416	SIT		oŋo	o ŋ o
502849	535523	johanssonsoundsymbolic-Fur	furr1244		small	1246	SMALL		fatta	f a tː a
507176	539852	johanssonsoundsymbolic-Fur	furr1244		smokeexhaust	778	SMOKE (EXHAUST)		hi_suul	h i + s uː l
508649	541325	johanssonsoundsymbolic-Fur	furr1244		smooth	1234	SMOOTH		biriɲa	b i r i ɲ a
532309	564985	johanssonsoundsymbolic-Fur	furr1244		star	1430	STAR		uri	u r i
546256	578933	johanssonsoundsymbolic-Fur	furr1244		suck	1421	SUCK		uɲ	u ɲ
557729	590406	johanssonsoundsymbolic-Fur	furr1244		tail	1220	TAIL		dawi	d a w i
567115	599794	johanssonsoundsymbolic-Fur	furr1244		that	78	THAT		ie	i e
569197	601876	johanssonsoundsymbolic-Fur	furr1244		there	1937	THERE		lilla	l i lː a
570664	603343	johanssonsoundsymbolic-Fur	furr1244		they	817	THEY		ieeŋ	i eː ŋ
572088	604767	johanssonsoundsymbolic-Fur	furr1244		thick	1244	THICK		dukka	d u kː a
