	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8038	24189	transnewguineaorg-bauzi	bauz1241		banana	868	BANANA		fɛm	f ɛ m
8438	24589	transnewguineaorg-bauzi	bauz1241		bandicoot	3012	BANDICOOT		lokɛa	l o k ɛ a
10828	26979	transnewguineaorg-bauzi	bauz1241		bat	1793	BAT		vaa	v aː
11116	27267	transnewguineaorg-bauzi	bauz1241		bathe	138	BATHE		ɛhu	ɛ h u
28730	44881	transnewguineaorg-bauzi	bauz1241		big	1202	BIG		duat	d u a t
31072	47223	transnewguineaorg-bauzi	bauz1241		bird	937	BIRD		bume	b u m e
31073	47224	transnewguineaorg-bauzi	bauz1241		bird	937	BIRD		bumɛ	b u m ɛ
33216	49367	transnewguineaorg-bauzi	bauz1241		bite	1403	BITE		æda	æ d a
39444	55595	transnewguineaorg-bauzi	bauz1241		blood	946	BLOOD		veiso	v e i s o
39445	55596	transnewguineaorg-bauzi	bauz1241		blood	946	BLOOD		vasɛa	v a s ɛ a
41346	57497	transnewguineaorg-bauzi	bauz1241		blowofwind	175	BLOW (OF WIND)		fɛu	f ɛ u
45464	61615	transnewguineaorg-bauzi	bauz1241		boilofliquid	792	BOIL (OF LIQUID)		oubulɛ	o u b u l ɛ
47666	63817	transnewguineaorg-bauzi	bauz1241		bone	1394	BONE		oveha	o v e h a
47667	63818	transnewguineaorg-bauzi	bauz1241		bone	1394	BONE		fa	f a
50578	66729	transnewguineaorg-bauzi	bauz1241		bow	994	BOW		digɛhi	d i g ɛ h i
54230	70382	transnewguineaorg-bauzi	bauz1241		branch	1531	BRANCH		aaso	aː s o
54916	71069	transnewguineaorg-bauzi	bauz1241		breadfruit	2371	BREADFRUIT		kɔhu	k ɔ h u
57719	73872	transnewguineaorg-bauzi	bauz1241		breast	1402	BREAST		ahudɛ	a h u d ɛ
59433	75586	transnewguineaorg-bauzi	bauz1241		breathe	1407	BREATHE		ɔhɛ	ɔ h ɛ
67474	83627	transnewguineaorg-bauzi	bauz1241		butterfly	1791	BUTTERFLY		fata	f a t a
72089	88242	transnewguineaorg-bauzi	bauz1241		canoe	1970	CANOE		ihɛ	i h ɛ
74553	90706	transnewguineaorg-bauzi	bauz1241		cassowary	466	CASSOWARY		bihi	b i h i
