	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
28730	44881	transnewguineaorg-bauzi	bauz1241		big	1202	BIG		duat	d u a t
31072	47223	transnewguineaorg-bauzi	bauz1241		bird	937	BIRD		bume	b u m e
31073	47224	transnewguineaorg-bauzi	bauz1241		bird	937	BIRD		bumɛ	b u m ɛ
33216	49367	transnewguineaorg-bauzi	bauz1241		bite	1403	BITE		æda	æ d a
39444	55595	transnewguineaorg-bauzi	bauz1241		blood	946	BLOOD		veiso	v e i s o
39445	55596	transnewguineaorg-bauzi	bauz1241		blood	946	BLOOD		vasɛa	v a s ɛ a
41346	57497	transnewguineaorg-bauzi	bauz1241		blowofwind	175	BLOW (OF WIND)		fɛu	f ɛ u
47666	63817	transnewguineaorg-bauzi	bauz1241		bone	1394	BONE		oveha	o v e h a
47667	63818	transnewguineaorg-bauzi	bauz1241		bone	1394	BONE		fa	f a
59433	75586	transnewguineaorg-bauzi	bauz1241		breathe	1407	BREATHE		ɔhɛ	ɔ h ɛ
92161	108314	transnewguineaorg-bauzi	bauz1241		cloud	1489	CLOUD		ulo	u l o
99615	115768	transnewguineaorg-bauzi	bauz1241		come	1446	COME		lele	l e l e
99616	115769	transnewguineaorg-bauzi	bauz1241		come	1446	COME		lɛ	l ɛ
107622	123775	transnewguineaorg-bauzi	bauz1241		count	1420	COUNT		dɛ	d ɛ
127824	143979	transnewguineaorg-bauzi	bauz1241		die	1494	DIE		ɛlo	ɛ l o
130061	146216	transnewguineaorg-bauzi	bauz1241		dig	1418	DIG		si	s i
136398	152553	transnewguineaorg-bauzi	bauz1241		dog	2009	DOG		veme	v e m e
136399	152554	transnewguineaorg-bauzi	bauz1241		dog	2009	DOG		vɛm	v ɛ m
142636	158791	transnewguineaorg-bauzi	bauz1241		drink	1401	DRINK		udɛ	u d ɛ
149162	165317	transnewguineaorg-bauzi	bauz1241		dust	2	DUST		bak_fau	b a k + f a u
151931	168086	transnewguineaorg-bauzi	bauz1241		ear	1247	EAR		dogoi	d o g o i
157303	173458	transnewguineaorg-bauzi	bauz1241		eat	1336	EAT		udeʔa	u d e ʔ a
157304	173459	transnewguineaorg-bauzi	bauz1241		eat	1336	EAT		æ	æ
159748	175906	transnewguineaorg-bauzi	bauz1241		egg	744	EGG		ʔo	ʔ o
159749	175907	transnewguineaorg-bauzi	bauz1241		egg	744	EGG		ɔɔ	ɔ ɔ
170338	186496	transnewguineaorg-bauzi	bauz1241		eye	1248	EYE		fako	f a k o
170339	186497	transnewguineaorg-bauzi	bauz1241		eye	1248	EYE		faxo	f a x o
176378	192537	transnewguineaorg-bauzi	bauz1241		far	1406	FAR		bohulat	b o h u l a t
180306	196465	transnewguineaorg-bauzi	bauz1241		father	1217	FATHER		ai	a i
182437	198597	transnewguineaorg-bauzi	bauz1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nɛhu	n ɛ h u
184030	200190	transnewguineaorg-bauzi	bauz1241		fearbeafraid	1419	FEAR (BE AFRAID)		iɛdɛ	i ɛ d ɛ
189045	221698	transnewguineaorg-bauzi	bauz1241		flow	2003	FLOW		tæ	t æ
190346	222999	transnewguineaorg-bauzi	bauz1241		flower	239	FLOWER		ava	a v a
