	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3980	20131	johanssonsoundsymbolic-Shakacho	shek1244		back	1291	BACK		gubbo	g u bː o
5099	21250	johanssonsoundsymbolic-Shakacho	shek1244		bad	1292	BAD		gondo	g o n d o
8930	25081	johanssonsoundsymbolic-Shakacho	shek1244		bark	1204	BARK		okʔkʔo	o k ʔ k ʔ o
15811	31962	johanssonsoundsymbolic-Shakacho	shek1244		beautiful	1427	BEAUTIFUL		mɑrikɑtʃtʃo	m ɑ r i k ɑ tʃː o
22977	39128	johanssonsoundsymbolic-Shakacho	shek1244		belly	1251	BELLY		mɑɑtʃʔo	m ɑː tʃ ʔ o
26516	42667	johanssonsoundsymbolic-Shakacho	shek1244		between	689	BETWEEN		dɜggos	d ɜ gː o s
28021	44172	johanssonsoundsymbolic-Shakacho	shek1244		big	1202	BIG		oogo	oː g o
30397	46548	johanssonsoundsymbolic-Shakacho	shek1244		bird	937	BIRD		kɑpʔo	k ɑ p ʔ o
32754	48905	johanssonsoundsymbolic-Shakacho	shek1244		bite	1403	BITE		ʃɑɑtʃʔtʃʔi	ʃ ɑː tʃ ʔ tʃ ʔ i
33883	50034	johanssonsoundsymbolic-Shakacho	shek1244		bitter	887	BITTER		tʃʔɑɑmmi	tʃ ʔ ɑː mː i
35368	51519	johanssonsoundsymbolic-Shakacho	shek1244		black	163	BLACK		ɑɑʔo	ɑː ʔ o
38781	54932	johanssonsoundsymbolic-Shakacho	shek1244		blood	946	BLOOD		dɑmo	d ɑ m o
40989	57140	johanssonsoundsymbolic-Shakacho	shek1244		blowofwind	175	BLOW (OF WIND)		puggi	p u gː i
43163	59314	johanssonsoundsymbolic-Shakacho	shek1244		blunt	379	BLUNT		dutʃʔtʃʔi	d u tʃ ʔ tʃ ʔ i
44658	60809	johanssonsoundsymbolic-Shakacho	shek1244		body	1480	BODY		ɑtʃtʃo	ɑ tʃː o
47004	63155	johanssonsoundsymbolic-Shakacho	shek1244		bone	1394	BONE		ʃɑɑwuʃo	ʃ ɑː w u ʃ o
51581	67732	johanssonsoundsymbolic-Shakacho	shek1244		boy	1366	BOY		nɑʔo	n ɑ ʔ o
52968	69119	johanssonsoundsymbolic-Shakacho	shek1244		brain	1583	BRAIN		eengo	eː n g o
57087	73240	johanssonsoundsymbolic-Shakacho	shek1244		breast	1402	BREAST		tʔɜno	t ʔ ɜ n o
59004	75157	johanssonsoundsymbolic-Shakacho	shek1244		breathe	1407	BREATHE		kɑtʃtʃi	k ɑ tʃː i
64558	80711	johanssonsoundsymbolic-Shakacho	shek1244		burn	2102	BURN		mitʃʔtʃʔi	m i tʃ ʔ tʃ ʔ i
73067	89220	johanssonsoundsymbolic-Shakacho	shek1244		carry	700	CARRY		mijɑ	m i j ɑ
88004	104157	johanssonsoundsymbolic-Shakacho	shek1244		clean	704	CLEAN		tʔɜllo	t ʔ ɜ lː o
91695	107848	johanssonsoundsymbolic-Shakacho	shek1244		cloud	1489	CLOUD		guuppo	g uː pː o
95281	111434	johanssonsoundsymbolic-Shakacho	shek1244		cold	1287	COLD		kʔɜwɑ	k ʔ ɜ w ɑ
98945	115098	johanssonsoundsymbolic-Shakacho	shek1244		come	1446	COME		wɑɑ	w ɑː
106068	122221	johanssonsoundsymbolic-Shakacho	shek1244		cough	879	COUGH		otissi	o t i sː i
