	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3898	20049	johanssonsoundsymbolic-GreatAndamanese	mixe1288		back	1291	BACK		utkhum	u t kʰ u m
5014	21165	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bad	1292	BAD		cae	c a e
8853	25004	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bark	1204	BARK		teɽtija	t e ɽ t i j a
12995	29146	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bealive	1422	BE ALIVE		thikjoŋ	tʰ i k j o ŋ
15751	31902	johanssonsoundsymbolic-GreatAndamanese	mixe1288		beautiful	1427	BEAUTIFUL		nɔl	n ɔ l
19244	35395	johanssonsoundsymbolic-GreatAndamanese	mixe1288		before	1882	BEFORE		ʈhɛrphet	ʈʰ ɛ r pʰ e t
20481	36632	johanssonsoundsymbolic-GreatAndamanese	mixe1288		behind	1686	BEHIND		tarasulu	t a r a s u l u
22889	39040	johanssonsoundsymbolic-GreatAndamanese	mixe1288		belly	1251	BELLY		kotra	k o t r a
24536	40687	johanssonsoundsymbolic-GreatAndamanese	mixe1288		beloworunder	1485	BELOW OR UNDER		tumbol	t u m b o l
26474	42625	johanssonsoundsymbolic-GreatAndamanese	mixe1288		between	689	BETWEEN		mixuccol	m i x u cː o l
27930	44081	johanssonsoundsymbolic-GreatAndamanese	mixe1288		big	1202	BIG		phɔrɔk	pʰ ɔ r ɔ k
30316	46467	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bird	937	BIRD		laca	l a c a
32665	48816	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bite	1403	BITE		ebio	e b i o
33809	49960	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bitter	887	BITTER		ieleŋ	i e l e ŋ
35281	51432	johanssonsoundsymbolic-GreatAndamanese	mixe1288		black	163	BLACK		iɖirim	i ɖ i r i m
38691	54842	johanssonsoundsymbolic-GreatAndamanese	mixe1288		blood	946	BLOOD		ɛtei	ɛ t e i
40911	57062	johanssonsoundsymbolic-GreatAndamanese	mixe1288		blowofwind	175	BLOW (OF WIND)		ɛborake	ɛ b o r a k e
42076	58227	johanssonsoundsymbolic-GreatAndamanese	mixe1288		blue	837	BLUE		cɛrel	c ɛ r e l
43100	59251	johanssonsoundsymbolic-GreatAndamanese	mixe1288		blunt	379	BLUNT		ekokhela	e k o kʰ e l a
44581	60732	johanssonsoundsymbolic-GreatAndamanese	mixe1288		body	1480	BODY		buco	b u c o
46921	63072	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bone	1394	BONE		ecoʈɔe	e c o ʈ ɔ e
51504	67655	johanssonsoundsymbolic-GreatAndamanese	mixe1288		boy	1366	BOY		ʈoʈa	ʈ o ʈ a
52904	69055	johanssonsoundsymbolic-GreatAndamanese	mixe1288		brain	1583	BRAIN		ɛrʈaaŋo	ɛ r ʈ aː ŋ o
57007	73160	johanssonsoundsymbolic-GreatAndamanese	mixe1288		breast	1402	BREAST		ermetɛi	e r m e t ɛ i
58932	75085	johanssonsoundsymbolic-GreatAndamanese	mixe1288		breathe	1407	BREATHE		ŋeʈ	ŋ e ʈ
64479	80632	johanssonsoundsymbolic-GreatAndamanese	mixe1288		burn	2102	BURN		irluru	i r l u r u
67789	83942	johanssonsoundsymbolic-GreatAndamanese	mixe1288		buttocks	834	BUTTOCKS		arathomo	a r a tʰ o m o
72978	89131	johanssonsoundsymbolic-GreatAndamanese	mixe1288		carry	700	CARRY		ebiʈkhe	e b i ʈ kʰ e
87945	104098	johanssonsoundsymbolic-GreatAndamanese	mixe1288		clean	704	CLEAN		uccire	u cː i r e
91619	107772	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cloud	1489	CLOUD		ʈowterbeec	ʈ o w t e r b eː c
95196	111349	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cold	1287	COLD		ɟulu	ɟ u l u
98858	115011	johanssonsoundsymbolic-GreatAndamanese	mixe1288		come	1446	COME		ci	c i
104911	121064	johanssonsoundsymbolic-GreatAndamanese	mixe1288		correctright	1725	CORRECT (RIGHT)		ercop	e r c o p
105990	122143	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cough	879	COUGH		kootbe	k oː t b e
112035	128188	johanssonsoundsymbolic-GreatAndamanese	mixe1288		crush	1520	CRUSH		rok	r o k
112967	129120	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cry	1839	CRY		ŋol	ŋ o l
118681	134834	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dark	706	DARK		leiçar	l e i ç a r
121804	137959	johanssonsoundsymbolic-GreatAndamanese	mixe1288		daynotnight	1225	DAY (NOT NIGHT)		thambikhir	tʰ a m b i kʰ i r
127079	143234	johanssonsoundsymbolic-GreatAndamanese	mixe1288		die	1494	DIE		emphil	e m pʰ i l
131730	147885	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dirty	1230	DIRTY		ecaj	e c a j
134191	150346	johanssonsoundsymbolic-GreatAndamanese	mixe1288		do	813	DO		ɛtkaɲ	ɛ t k a ɲ
135631	151786	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dog	2009	DOG		cao	c a o
142099	158254	johanssonsoundsymbolic-GreatAndamanese	mixe1288		drink	1401	DRINK		ino	i n o
145739	161894	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dry	1398	DRY		suke	s u k e
148722	164877	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dust	2	DUST		biip	b iː p
151174	167329	johanssonsoundsymbolic-GreatAndamanese	mixe1288		ear	1247	EAR		buo	b u o
154096	170251	johanssonsoundsymbolic-GreatAndamanese	mixe1288		earthsoil	1228	EARTH (SOIL)		hamɛ	h a m ɛ
156697	172852	johanssonsoundsymbolic-GreatAndamanese	mixe1288		eat	1336	EAT		iɟi	i ɟ i
159009	175167	johanssonsoundsymbolic-GreatAndamanese	mixe1288		egg	744	EGG		epherɔpho	e pʰ e r ɔ pʰ o
164900	181058	johanssonsoundsymbolic-GreatAndamanese	mixe1288		empty	1624	EMPTY		tɛrlɔkho	t ɛ r l ɔ kʰ o
169579	185737	johanssonsoundsymbolic-GreatAndamanese	mixe1288		eye	1248	EYE		uwu	u w u
173582	189741	johanssonsoundsymbolic-GreatAndamanese	mixe1288		fall	1280	FALL		boʈo	b o ʈ o
175853	192012	johanssonsoundsymbolic-GreatAndamanese	mixe1288		far	1406	FAR		karacpho	k a r a c pʰ o
177000	193159	johanssonsoundsymbolic-GreatAndamanese	mixe1288		fart	1159	FART		ophotolɔm	o pʰ o t o l ɔ m
177438	193597	johanssonsoundsymbolic-GreatAndamanese	mixe1288		fast	1631	FAST		ercek	e r c e k
182066	198226	johanssonsoundsymbolic-GreatAndamanese	mixe1288		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		elonetercek	e l o n e t e r c e k
184906	201066	johanssonsoundsymbolic-GreatAndamanese	mixe1288		feather	1201	FEATHER		totbeec	t o t b eː c
189938	222591	johanssonsoundsymbolic-GreatAndamanese	mixe1288		flower	239	FLOWER		ɟillɔrɔ	ɟ i lː ɔ r ɔ
191255	223908	johanssonsoundsymbolic-GreatAndamanese	mixe1288		flyinsect	1504	FLY (INSECT)		ɟubu	ɟ u b u
192861	225514	johanssonsoundsymbolic-GreatAndamanese	mixe1288		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɟubu	ɟ u b u
196177	228830	johanssonsoundsymbolic-GreatAndamanese	mixe1288		foot	1301	FOOT		umɔʈo	u m ɔ ʈ o
209281	241934	johanssonsoundsymbolic-GreatAndamanese	mixe1288		full	1429	FULL		ikaŋɔrɔke	i k a ŋ ɔ r ɔ k e
213287	245940	johanssonsoundsymbolic-GreatAndamanese	mixe1288		girl	1646	GIRL		kaʈa	k a ʈ a
214607	247260	johanssonsoundsymbolic-GreatAndamanese	mixe1288		give	1447	GIVE		etɛçe	e t ɛ ç e
