	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8853	25004	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bark	1204	BARK		teɽtija	t e ɽ t i j a
22889	39040	johanssonsoundsymbolic-GreatAndamanese	mixe1288		belly	1251	BELLY		kotra	k o t r a
27930	44081	johanssonsoundsymbolic-GreatAndamanese	mixe1288		big	1202	BIG		phɔrɔk	pʰ ɔ r ɔ k
30316	46467	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bird	937	BIRD		laca	l a c a
32665	48816	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bite	1403	BITE		ebio	e b i o
35281	51432	johanssonsoundsymbolic-GreatAndamanese	mixe1288		black	163	BLACK		iɖirim	i ɖ i r i m
38691	54842	johanssonsoundsymbolic-GreatAndamanese	mixe1288		blood	946	BLOOD		ɛtei	ɛ t e i
46921	63072	johanssonsoundsymbolic-GreatAndamanese	mixe1288		bone	1394	BONE		ecoʈɔe	e c o ʈ ɔ e
57007	73160	johanssonsoundsymbolic-GreatAndamanese	mixe1288		breast	1402	BREAST		ermetɛi	e r m e t ɛ i
64479	80632	johanssonsoundsymbolic-GreatAndamanese	mixe1288		burn	2102	BURN		irluru	i r l u r u
91619	107772	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cloud	1489	CLOUD		ʈowterbeec	ʈ o w t e r b eː c
95196	111349	johanssonsoundsymbolic-GreatAndamanese	mixe1288		cold	1287	COLD		ɟulu	ɟ u l u
98858	115011	johanssonsoundsymbolic-GreatAndamanese	mixe1288		come	1446	COME		ci	c i
127079	143234	johanssonsoundsymbolic-GreatAndamanese	mixe1288		die	1494	DIE		emphil	e m pʰ i l
135631	151786	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dog	2009	DOG		cao	c a o
142099	158254	johanssonsoundsymbolic-GreatAndamanese	mixe1288		drink	1401	DRINK		ino	i n o
145739	161894	johanssonsoundsymbolic-GreatAndamanese	mixe1288		dry	1398	DRY		suke	s u k e
151174	167329	johanssonsoundsymbolic-GreatAndamanese	mixe1288		ear	1247	EAR		buo	b u o
154096	170251	johanssonsoundsymbolic-GreatAndamanese	mixe1288		earthsoil	1228	EARTH (SOIL)		hamɛ	h a m ɛ
156697	172852	johanssonsoundsymbolic-GreatAndamanese	mixe1288		eat	1336	EAT		iɟi	i ɟ i
159009	175167	johanssonsoundsymbolic-GreatAndamanese	mixe1288		egg	744	EGG		epherɔpho	e pʰ e r ɔ pʰ o
169579	185737	johanssonsoundsymbolic-GreatAndamanese	mixe1288		eye	1248	EYE		uwu	u w u
182066	198226	johanssonsoundsymbolic-GreatAndamanese	mixe1288		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		elonetercek	e l o n e t e r c e k
184906	201066	johanssonsoundsymbolic-GreatAndamanese	mixe1288		feather	1201	FEATHER		totbeec	t o t b eː c
192861	225514	johanssonsoundsymbolic-GreatAndamanese	mixe1288		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɟubu	ɟ u b u
196177	228830	johanssonsoundsymbolic-GreatAndamanese	mixe1288		foot	1301	FOOT		umɔʈo	u m ɔ ʈ o
209281	241934	johanssonsoundsymbolic-GreatAndamanese	mixe1288		full	1429	FULL		ikaŋɔrɔke	i k a ŋ ɔ r ɔ k e
214607	247260	johanssonsoundsymbolic-GreatAndamanese	mixe1288		give	1447	GIVE		etɛçe	e t ɛ ç e
220734	253390	johanssonsoundsymbolic-GreatAndamanese	mixe1288		good	1035	GOOD		dem	d e m
228531	261187	johanssonsoundsymbolic-GreatAndamanese	mixe1288		green	1425	GREEN		cɛrel	c ɛ r e l
234538	267194	johanssonsoundsymbolic-GreatAndamanese	mixe1288		hair	1040	HAIR		bɛc	b ɛ c
238377	271033	johanssonsoundsymbolic-GreatAndamanese	mixe1288		hand	1277	HAND		konto	k o n t o
243932	276589	johanssonsoundsymbolic-GreatAndamanese	mixe1288		head	1256	HEAD		ɛrco	ɛ r c o
246876	279533	johanssonsoundsymbolic-GreatAndamanese	mixe1288		hear	1408	HEAR		kaan	k aː n
248461	281118	johanssonsoundsymbolic-GreatAndamanese	mixe1288		heart	1223	HEART		uʈboiʈɖello	u ʈ b o i ʈ ɖ e lː o
263344	296004	johanssonsoundsymbolic-GreatAndamanese	mixe1288		hornanatomy	1393	HORN (ANATOMY)		ɛrlɔcɔŋ	ɛ r l ɔ c ɔ ŋ
