	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3941	20092	johanssonsoundsymbolic-Mocovi	moco1246		back	1291	BACK		lelaq	l e l a q
5059	21210	johanssonsoundsymbolic-Mocovi	moco1246		bad	1292	BAD		sqa_ʔmaʁaɾaik	s q a + ʔ m a ʁ a ɾ a i k
8894	25045	johanssonsoundsymbolic-Mocovi	moco1246		bark	1204	BARK		leso	l e s o
13035	29186	johanssonsoundsymbolic-Mocovi	moco1246		bealive	1422	BE ALIVE		nkaʔlewek	n k a ʔ l e w e k
15780	31931	johanssonsoundsymbolic-Mocovi	moco1246		beautiful	1427	BEAUTIFUL		loʔdʒaʁanek	l o ʔ dʒ a ʁ a n e k
16349	32500	johanssonsoundsymbolic-Mocovi	moco1246		because	1157	BECAUSE		maʔ	m a ʔ
19282	35433	johanssonsoundsymbolic-Mocovi	moco1246		before	1882	BEFORE		ɾeloqotoʔot	ɾ e l o q o t o ʔ o t
20516	36667	johanssonsoundsymbolic-Mocovi	moco1246		behind	1686	BEHIND		lowik	l o w i k
22935	39086	johanssonsoundsymbolic-Mocovi	moco1246		belly	1251	BELLY		ɾakom	ɾ a k o m
24572	40723	johanssonsoundsymbolic-Mocovi	moco1246		beloworunder	1485	BELOW OR UNDER		weetaɲi	w eː t a ɲ i
25785	41936	johanssonsoundsymbolic-Mocovi	moco1246		beside	1816	BESIDE		weetaʔgit	w eː t a ʔ g i t
27978	44129	johanssonsoundsymbolic-Mocovi	moco1246		big	1202	BIG		lo	l o
30360	46511	johanssonsoundsymbolic-Mocovi	moco1246		bird	937	BIRD		ajo	a j o
32711	48862	johanssonsoundsymbolic-Mocovi	moco1246		bite	1403	BITE		jaʔkaaɲi	j a ʔ k aː ɲ i
33844	49995	johanssonsoundsymbolic-Mocovi	moco1246		bitter	887	BITTER		tʃim	tʃ i m
35325	51476	johanssonsoundsymbolic-Mocovi	moco1246		black	163	BLACK		naweʔ	n a w e ʔ
38738	54889	johanssonsoundsymbolic-Mocovi	moco1246		blood	946	BLOOD		lewoʔ	l e w o ʔ
40951	57102	johanssonsoundsymbolic-Mocovi	moco1246		blowofwind	175	BLOW (OF WIND)		peʔet	p e ʔ e t
42111	58262	johanssonsoundsymbolic-Mocovi	moco1246		blue	837	BLUE		ikolaq	i k o l a q
43129	59280	johanssonsoundsymbolic-Mocovi	moco1246		blunt	379	BLUNT		sqai_jaʁaɾaik	s q a i + j a ʁ a ɾ a i k
44623	60774	johanssonsoundsymbolic-Mocovi	moco1246		body	1480	BODY		loʃikmaʁa	l o ʃ i k m a ʁ a
46965	63116	johanssonsoundsymbolic-Mocovi	moco1246		bone	1394	BONE		lpiʔnek	l p i ʔ n e k
51548	67699	johanssonsoundsymbolic-Mocovi	moco1246		boy	1366	BOY		noktokiʔ	n o k t o k i ʔ
52939	69090	johanssonsoundsymbolic-Mocovi	moco1246		brain	1583	BRAIN		lapioʔʁo	l a p i o ʔ ʁ o
57049	73202	johanssonsoundsymbolic-Mocovi	moco1246		breast	1402	BREAST		loʔweete	l o ʔ w eː t e
58970	75123	johanssonsoundsymbolic-Mocovi	moco1246		breathe	1407	BREATHE		lakat	l a k a t
64520	80673	johanssonsoundsymbolic-Mocovi	moco1246		burn	2102	BURN		jawigaʁat	j a w i g a ʁ a t
67826	83979	johanssonsoundsymbolic-Mocovi	moco1246		buttocks	834	BUTTOCKS		lijege_laʔat	l i j e g e + l a ʔ a t
73025	89178	johanssonsoundsymbolic-Mocovi	moco1246		carry	700	CARRY		jodo	j o d o
87974	104127	johanssonsoundsymbolic-Mocovi	moco1246		clean	704	CLEAN		koʔteeta	k o ʔ t eː t a
91658	107811	johanssonsoundsymbolic-Mocovi	moco1246		cloud	1489	CLOUD		nawegelek	n a w e g e l e k
95240	111393	johanssonsoundsymbolic-Mocovi	moco1246		cold	1287	COLD		ʔoom	ʔ oː m
98904	115057	johanssonsoundsymbolic-Mocovi	moco1246		come	1446	COME		nanak	n a n a k
104941	121094	johanssonsoundsymbolic-Mocovi	moco1246		correctright	1725	CORRECT (RIGHT)		jaʔmaqatʃigiɲi	j a ʔ m a q a tʃ i g i ɲ i
106030	122183	johanssonsoundsymbolic-Mocovi	moco1246		cough	879	COUGH		ɾsahmata	ɾ s a h m a t a
110496	126649	johanssonsoundsymbolic-Mocovi	moco1246		crooked	297	CROOKED		se_jalamaq	s e + j a l a m a q
112067	128220	johanssonsoundsymbolic-Mocovi	moco1246		crush	1520	CRUSH		jaʔdʒigi	j a ʔ dʒ i g i
113009	129162	johanssonsoundsymbolic-Mocovi	moco1246		cry	1839	CRY		nojen	n o j e n
118720	134873	johanssonsoundsymbolic-Mocovi	moco1246		dark	706	DARK		naweɾalek	n a w e ɾ a l e k
121845	138000	johanssonsoundsymbolic-Mocovi	moco1246		daynotnight	1225	DAY (NOT NIGHT)		naʔʁaʔa	n a ʔ ʁ a ʔ a
124274	140429	johanssonsoundsymbolic-Mocovi	moco1246		deep	1593	DEEP		qojoqotʃiʔɲigi	q o j o q o tʃ i ʔ ɲ i g i
127127	143282	johanssonsoundsymbolic-Mocovi	moco1246		die	1494	DIE		lewaʁaik	l e w a ʁ a i k
131764	147919	johanssonsoundsymbolic-Mocovi	moco1246		dirty	1230	DIRTY		napioʔo	n a p i o ʔ o
134236	150391	johanssonsoundsymbolic-Mocovi	moco1246		do	813	DO		joʔwet	j o ʔ w e t
135676	151831	johanssonsoundsymbolic-Mocovi	moco1246		dog	2009	DOG		pioq	p i o q
142144	158299	johanssonsoundsymbolic-Mocovi	moco1246		drink	1401	DRINK		neʔet	n e ʔ e t
145781	161936	johanssonsoundsymbolic-Mocovi	moco1246		dry	1398	DRY		ɾaʃiwita	ɾ a ʃ i w i t a
148759	164914	johanssonsoundsymbolic-Mocovi	moco1246		dust	2	DUST		namoʁojaʁa	n a m o ʁ o j a ʁ a
151222	167377	johanssonsoundsymbolic-Mocovi	moco1246		ear	1247	EAR		lkeʔla	l k e ʔ l a
154142	170297	johanssonsoundsymbolic-Mocovi	moco1246		earthsoil	1228	EARTH (SOIL)		ʔlawa	ʔ l a w a
156744	172899	johanssonsoundsymbolic-Mocovi	moco1246		eat	1336	EAT		jaʔik	j a ʔ i k
159052	175210	johanssonsoundsymbolic-Mocovi	moco1246		egg	744	EGG		lkoʔweʔ	l k o ʔ w e ʔ
160798	176956	johanssonsoundsymbolic-Mocovi	moco1246		eight	1705	EIGHT		ʔootʃolqaiʔ	ʔ oː tʃ o l q a i ʔ
164931	181089	johanssonsoundsymbolic-Mocovi	moco1246		empty	1624	EMPTY		koʔtʃiitʃigi	k o ʔ tʃ iː tʃ i g i
169625	185783	johanssonsoundsymbolic-Mocovi	moco1246		eye	1248	EYE		nqote	n q o t e
173628	189787	johanssonsoundsymbolic-Mocovi	moco1246		fall	1280	FALL		waaɲi	w aː ɲ i
175898	192057	johanssonsoundsymbolic-Mocovi	moco1246		far	1406	FAR		qojoqoʔta	q o j o q o ʔ t a
177026	193185	johanssonsoundsymbolic-Mocovi	moco1246		fart	1159	FART		ɾiɲek	ɾ i ɲ e k
177474	193633	johanssonsoundsymbolic-Mocovi	moco1246		fast	1631	FAST		dʒaq	dʒ a q
182104	198264	johanssonsoundsymbolic-Mocovi	moco1246		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		leʔwegaʁa	l e ʔ w e g a ʁ a
184947	201107	johanssonsoundsymbolic-Mocovi	moco1246		feather	1201	FEATHER		lawe	l a w e
189980	222633	johanssonsoundsymbolic-Mocovi	moco1246		flower	239	FLOWER		lenojaʁai	l e n o j a ʁ a i
191295	223948	johanssonsoundsymbolic-Mocovi	moco1246		flyinsect	1504	FLY (INSECT)		jo	j o
192900	225553	johanssonsoundsymbolic-Mocovi	moco1246		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		lataʁaɲi	l a t a ʁ a ɲ i
196222	228875	johanssonsoundsymbolic-Mocovi	moco1246		foot	1301	FOOT		lapiaʔ	l a p i a ʔ
202555	235208	johanssonsoundsymbolic-Mocovi	moco1246		four	1500	FOUR		kwaatɾolqaiʔ	k w aː t ɾ o l q a i ʔ
209318	241971	johanssonsoundsymbolic-Mocovi	moco1246		full	1429	FULL		noʔqaata	n o ʔ q aː t a
213325	245978	johanssonsoundsymbolic-Mocovi	moco1246		girl	1646	GIRL		noktoʔʎiʔ	n o k t o ʔ ʎ i ʔ
214653	247306	johanssonsoundsymbolic-Mocovi	moco1246		give	1447	GIVE		jaan	j aː n
217011	249664	johanssonsoundsymbolic-Mocovi	moco1246		go	695	GO		eek	eː k
220782	253438	johanssonsoundsymbolic-Mocovi	moco1246		good	1035	GOOD		noʔwen	n o ʔ w e n
226220	258876	johanssonsoundsymbolic-Mocovi	moco1246		grass	606	GRASS		ʔwaqapi	ʔʷ a q a p i
228570	261226	johanssonsoundsymbolic-Mocovi	moco1246		green	1425	GREEN		ɾadala	ɾ a d a l a
231491	264147	johanssonsoundsymbolic-Mocovi	moco1246		grow	479	GROW		nokiiketaʃigim	n o k iː k e t a ʃ i g i m
234583	267239	johanssonsoundsymbolic-Mocovi	moco1246		hair	1040	HAIR		lawe	l a w e
236404	269060	johanssonsoundsymbolic-Mocovi	moco1246		half	816	HALF		lawinɲi	l a w i n ɲ i
238425	271081	johanssonsoundsymbolic-Mocovi	moco1246		hand	1277	HAND		lqaiʔlaʁat	l q a i ʔ l a ʁ a t
240342	272998	johanssonsoundsymbolic-Mocovi	moco1246		happy	1495	HAPPY		netoon	n e t oː n
240704	273360	johanssonsoundsymbolic-Mocovi	moco1246		hard	1884	HARD		ɾaʔɲi	ɾ a ʔ ɲ i
243979	276636	johanssonsoundsymbolic-Mocovi	moco1246		head	1256	HEAD		lqahik	l q a h i k
246918	279575	johanssonsoundsymbolic-Mocovi	moco1246		hear	1408	HEAR		ʔqaa	ʔ q aː
248507	281164	johanssonsoundsymbolic-Mocovi	moco1246		heart	1223	HEART		leʔtaʁanata	l e ʔ t a ʁ a n a t a
