	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8894	25045	johanssonsoundsymbolic-Mocovi	moco1246		bark	1204	BARK		leso	l e s o
22935	39086	johanssonsoundsymbolic-Mocovi	moco1246		belly	1251	BELLY		ɾakom	ɾ a k o m
27978	44129	johanssonsoundsymbolic-Mocovi	moco1246		big	1202	BIG		lo	l o
30360	46511	johanssonsoundsymbolic-Mocovi	moco1246		bird	937	BIRD		ajo	a j o
32711	48862	johanssonsoundsymbolic-Mocovi	moco1246		bite	1403	BITE		jaʔkaaɲi	j a ʔ k aː ɲ i
35325	51476	johanssonsoundsymbolic-Mocovi	moco1246		black	163	BLACK		naweʔ	n a w e ʔ
38738	54889	johanssonsoundsymbolic-Mocovi	moco1246		blood	946	BLOOD		lewoʔ	l e w o ʔ
46965	63116	johanssonsoundsymbolic-Mocovi	moco1246		bone	1394	BONE		lpiʔnek	l p i ʔ n e k
57049	73202	johanssonsoundsymbolic-Mocovi	moco1246		breast	1402	BREAST		loʔweete	l o ʔ w eː t e
64520	80673	johanssonsoundsymbolic-Mocovi	moco1246		burn	2102	BURN		jawigaʁat	j a w i g a ʁ a t
91658	107811	johanssonsoundsymbolic-Mocovi	moco1246		cloud	1489	CLOUD		nawegelek	n a w e g e l e k
95240	111393	johanssonsoundsymbolic-Mocovi	moco1246		cold	1287	COLD		ʔoom	ʔ oː m
98904	115057	johanssonsoundsymbolic-Mocovi	moco1246		come	1446	COME		nanak	n a n a k
127127	143282	johanssonsoundsymbolic-Mocovi	moco1246		die	1494	DIE		lewaʁaik	l e w a ʁ a i k
135676	151831	johanssonsoundsymbolic-Mocovi	moco1246		dog	2009	DOG		pioq	p i o q
142144	158299	johanssonsoundsymbolic-Mocovi	moco1246		drink	1401	DRINK		neʔet	n e ʔ e t
145781	161936	johanssonsoundsymbolic-Mocovi	moco1246		dry	1398	DRY		ɾaʃiwita	ɾ a ʃ i w i t a
151222	167377	johanssonsoundsymbolic-Mocovi	moco1246		ear	1247	EAR		lkeʔla	l k e ʔ l a
154142	170297	johanssonsoundsymbolic-Mocovi	moco1246		earthsoil	1228	EARTH (SOIL)		ʔlawa	ʔ l a w a
156744	172899	johanssonsoundsymbolic-Mocovi	moco1246		eat	1336	EAT		jaʔik	j a ʔ i k
159052	175210	johanssonsoundsymbolic-Mocovi	moco1246		egg	744	EGG		lkoʔweʔ	l k o ʔ w e ʔ
169625	185783	johanssonsoundsymbolic-Mocovi	moco1246		eye	1248	EYE		nqote	n q o t e
182104	198264	johanssonsoundsymbolic-Mocovi	moco1246		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		leʔwegaʁa	l e ʔ w e g a ʁ a
184947	201107	johanssonsoundsymbolic-Mocovi	moco1246		feather	1201	FEATHER		lawe	l a w e
192900	225553	johanssonsoundsymbolic-Mocovi	moco1246		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		lataʁaɲi	l a t a ʁ a ɲ i
196222	228875	johanssonsoundsymbolic-Mocovi	moco1246		foot	1301	FOOT		lapiaʔ	l a p i a ʔ
209318	241971	johanssonsoundsymbolic-Mocovi	moco1246		full	1429	FULL		noʔqaata	n o ʔ q aː t a
214653	247306	johanssonsoundsymbolic-Mocovi	moco1246		give	1447	GIVE		jaan	j aː n
220782	253438	johanssonsoundsymbolic-Mocovi	moco1246		good	1035	GOOD		noʔwen	n o ʔ w e n
228570	261226	johanssonsoundsymbolic-Mocovi	moco1246		green	1425	GREEN		ɾadala	ɾ a d a l a
234583	267239	johanssonsoundsymbolic-Mocovi	moco1246		hair	1040	HAIR		lawe	l a w e
238425	271081	johanssonsoundsymbolic-Mocovi	moco1246		hand	1277	HAND		lqaiʔlaʁat	l q a i ʔ l a ʁ a t
243979	276636	johanssonsoundsymbolic-Mocovi	moco1246		head	1256	HEAD		lqahik	l q a h i k
246918	279575	johanssonsoundsymbolic-Mocovi	moco1246		hear	1408	HEAR		ʔqaa	ʔ q aː
248507	281164	johanssonsoundsymbolic-Mocovi	moco1246		heart	1223	HEART		leʔtaʁanata	l e ʔ t a ʁ a n a t a
263376	296036	johanssonsoundsymbolic-Mocovi	moco1246		hornanatomy	1393	HORN (ANATOMY)		lasote	l a s o t e
274731	307391	johanssonsoundsymbolic-Mocovi	moco1246		i	1209	I		ajim	a j i m
287573	320233	johanssonsoundsymbolic-Mocovi	moco1246		kill	1417	KILL		jalawat	j a l a w a t
290252	322912	johanssonsoundsymbolic-Mocovi	moco1246		knee	1371	KNEE		leʔkoota	l e ʔ k oː t a
302211	334871	johanssonsoundsymbolic-Mocovi	moco1246		leaf	628	LEAF		lawe	l a w e
316975	349635	johanssonsoundsymbolic-Mocovi	moco1246		liver	1224	LIVER		lolamek	l o l a m e k
319869	352529	johanssonsoundsymbolic-Mocovi	moco1246		long	1203	LONG		ladok	l a d o k
